,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.7351778656126482,0.6956521739130435,0.7252964426877471,0.7075098814229249,0.7035573122529645,0.6996047430830039,0.7055335968379447,0.7055335968379447,0.7312252964426877,0.7193675889328063,0.7233201581027668,0.7154150197628458,0.7252964426877471,0.7292490118577075,0.7015810276679841,0.7193675889328063,0.7134387351778656,0.7391304347826086,0.717391304347826,0.7312252964426877,0.7114624505928854,0.6758893280632411,0.6719367588932806,0.7193675889328063,0.7075098814229249,0.691699604743083,0.7391304347826086,0.7055335968379447,0.6818181818181818,0.7213438735177866,0.6640316205533597,0.733201581027668,0.7252964426877471,0.6462450592885376,0.7055335968379447,0.691699604743083,0.7015810276679841,0.6877470355731226,0.691699604743083,0.6798418972332015,0.691699604743083,0.7094861660079052,0.6837944664031621,0.7391304347826086,0.6640316205533597,0.7094861660079052,0.6976284584980237,0.6719367588932806,0.7391304347826086,0.7134387351778656,0.7371541501976284,0.6877470355731226,0.6956521739130435,0.7114624505928854,0.7055335968379447,0.7134387351778656,0.717391304347826,0.717391304347826,0.7272727272727273,0.7233201581027668,0.6976284584980237,0.6877470355731226,0.6877470355731226,0.7114624505928854,0.7193675889328063,0.7450592885375494,0.6778656126482213,0.7154150197628458,0.7134387351778656,0.6897233201581028,0.7292490118577075,0.6778656126482213,0.7233201581027668,0.66600790513834,0.6857707509881423,0.6679841897233202,0.6600790513833992,0.6877470355731226,0.7490118577075099,0.7351778656126482,0.7134387351778656,0.7490118577075099,0.7015810276679841,0.6818181818181818,0.7094861660079052,0.6837944664031621,0.6877470355731226,0.7015810276679841,0.6976284584980237,0.7094861660079052,0.7154150197628458,0.7233201581027668,0.7450592885375494,0.6818181818181818,0.6818181818181818,0.7015810276679841,0.7312252964426877,0.66600790513834,0.7035573122529645,0.6798418972332015
AUC,0.6267699512798309,0.6148413132197513,0.6117336815693066,0.6214195675764891,0.6217986871633795,0.6060686898075028,0.6025735755495577,0.6103866610553842,0.6214047955115584,0.6243467585238165,0.6196508946754162,0.6160020692487448,0.6223438703999474,0.6225656666495037,0.6169334197426297,0.6196382730123531,0.6210766754128306,0.6343869031120224,0.6155666904988537,0.6268438301019247,0.6190594142107281,0.598379040505558,0.612950378345129,0.6217668123814954,0.6059698850502454,0.5916009201714459,0.6263229775371596,0.6060385630474568,0.6082026481135726,0.6154430755252311,0.6043630420379734,0.6330058989992536,0.6119520731450032,0.5856330099009869,0.5904929060908869,0.6038534376490545,0.6108819638873818,0.6026414538615714,0.6075214881642544,0.6030476117506135,0.6183522222644208,0.6113260451581092,0.5944225396704109,0.6320908217674568,0.5941795973701605,0.614940955199879,0.6167786414791319,0.5934367146102952,0.6321608495083529,0.6224915764722717,0.6373071687416326,0.6115955264857746,0.6046366636389571,0.6092334487189831,0.6057213858763617,0.6162536283253264,0.614366519289932,0.6210823207551948,0.6289883136738621,0.6063477175739211,0.6273960038757778,0.6018519192407575,0.5997713178213708,0.6168336909247268,0.6191993849014342,0.6186027939080311,0.6004914207736219,0.6172620106839602,0.6182440325410459,0.5967203996040022,0.6308098864742423,0.6077466950540384,0.61471758424525,0.5776770799200298,0.5960842844519318,0.6042089824223541,0.5967135887434543,0.6033607939461297,0.6356505896425303,0.6217514690882687,0.6193877356664104,0.6286044006699811,0.6077803200825957,0.5883903138818914,0.6204208937038422,0.6025004848312152,0.6003952471728253,0.6092146565551744,0.6156933718543749,0.6171632218973313,0.619653356765756,0.6115306907176065,0.619229603252404,0.5929274946229238,0.6102527884011276,0.6004064825260096,0.6152156428427555,0.6101358459532968,0.6081007597007889,0.6022828500442114
Fscore,0.0016463018577110445,0.002230129130515182,0.0016456645311583185,0.001992418735153658,0.0016423977026626198,0.0016951879604138519,0.001696672936328247,0.0018237938967784941,0.0016478619512871277,0.0015353541266950007,0.0015738400016263008,0.0015151165324128614,0.0018268314800150203,0.0019419102313597873,0.0017561129852883936,0.0016808798763991,0.001652204470590639,0.0017443560157212638,0.0017706312410091637,0.0018795189830123737,0.0016223740773196737,0.0016313221691730748,0.0018087828462143736,0.0017205145178740596,0.0019995598923338406,0.0019560103671906787,0.001995416562012977,0.0015870555429225754,0.0018143845220577135,0.0018137706349733308,0.001594866655236928,0.0018813430105292105,0.001930436651744205,0.0018012045362246587,0.0017644666342186454,0.0015585072130155106,0.0015111574894384938,0.0016900110672720646,0.0016306941230643615,0.0016175938316111435,0.001802179432131989,0.0017093125694289356,0.0015269334269558332,0.0017544216457888908,0.001609003910959423,0.001802027767616287,0.0018676561257676394,0.0014853984680165068,0.0018136159715309932,0.001737631111988549,0.001843146235544015,0.0016932473990391758,0.0016796421737910632,0.0016709395634679942,0.0019635558660760105,0.001861527954555191,0.0020854543512267157,0.0017801717842118698,0.0018329755915823724,0.0016694577557165016,0.00171921764709187,0.0019023545289197287,0.0017196239629043363,0.0016651661170296779,0.001798256854885739,0.00188876449195787,0.001704732452828775,0.0015962477169949479,0.0021710389802033526,0.0018186669279781108,0.0018449928694253253,0.0018265018256868111,0.0017869077159814362,0.0017573521972595698,0.0016393791768033968,0.001680381656755549,0.0016573611718190154,0.001766418762005984,0.0020398460482179658,0.0017630309472922974,0.0019448272805800426,0.0018437966720788164,0.002008889720276751,0.001765218029543892,0.0016138381670854985,0.001839835314244923,0.001683570970487151,0.001569107043487079,0.0020526659068353676,0.001966856908081989,0.001582602693522959,0.0017942096888830285,0.002021673547979815,0.0016465543509504906,0.0017260159449373341,0.0016910111241062794,0.0018602028788134298,0.001615478015578951,0.001582220264763036,0.0017320436131704317
HR@10,0.009881422924901186,0.009881422924901186,0.01383399209486166,0.017786561264822136,0.007905138339920948,0.011857707509881422,0.01383399209486166,0.01383399209486166,0.01383399209486166,0.01383399209486166,0.007905138339920948,0.005928853754940711,0.015810276679841896,0.009881422924901186,0.009881422924901186,0.019762845849802372,0.011857707509881422,0.011857707509881422,0.011857707509881422,0.005928853754940711,0.007905138339920948,0.011857707509881422,0.011857707509881422,0.011857707509881422,0.01383399209486166,0.007905138339920948,0.009881422924901186,0.01383399209486166,0.01383399209486166,0.01383399209486166,0.011857707509881422,0.017786561264822136,0.01383399209486166,0.01383399209486166,0.011857707509881422,0.015810276679841896,0.009881422924901186,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.011857707509881422,0.011857707509881422,0.015810276679841896,0.01383399209486166,0.015810276679841896,0.011857707509881422,0.009881422924901186,0.017786561264822136,0.015810276679841896,0.009881422924901186,0.01383399209486166,0.009881422924901186,0.01383399209486166,0.007905138339920948,0.011857707509881422,0.01383399209486166,0.01383399209486166,0.01383399209486166,0.009881422924901186,0.011857707509881422,0.011857707509881422,0.011857707509881422,0.011857707509881422,0.009881422924901186,0.009881422924901186,0.011857707509881422,0.009881422924901186,0.019762845849802372,0.019762845849802372,0.011857707509881422,0.009881422924901186,0.009881422924901186,0.011857707509881422,0.011857707509881422,0.009881422924901186,0.011857707509881422,0.011857707509881422,0.01383399209486166,0.01383399209486166,0.011857707509881422,0.009881422924901186,0.011857707509881422,0.005928853754940711,0.005928853754940711,0.011857707509881422,0.017786561264822136,0.009881422924901186,0.011857707509881422,0.011857707509881422,0.01383399209486166,0.011857707509881422,0.01383399209486166,0.01383399209486166,0.01383399209486166,0.009881422924901186,0.01383399209486166,0.005928853754940711,0.007905138339920948,0.005928853754940711
HR@2,0.0,0.0,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.0,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.0,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.0,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.0,0.001976284584980237,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.003952569169960474,0.0,0.0,0.0,0.0,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.0,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.0,0.001976284584980237,0.001976284584980237,0.0,0.001976284584980237,0.003952569169960474,0.001976284584980237,0.0,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.0,0.001976284584980237
HR@5,0.003952569169960474,0.001976284584980237,0.005928853754940711,0.009881422924901186,0.005928853754940711,0.007905138339920948,0.009881422924901186,0.005928853754940711,0.005928853754940711,0.005928853754940711,0.001976284584980237,0.003952569169960474,0.005928853754940711,0.005928853754940711,0.003952569169960474,0.009881422924901186,0.005928853754940711,0.005928853754940711,0.005928853754940711,0.005928853754940711,0.003952569169960474,0.005928853754940711,0.005928853754940711,0.005928853754940711,0.005928853754940711,0.0,0.003952569169960474,0.005928853754940711,0.009881422924901186,0.007905138339920948,0.007905138339920948,0.009881422924901186,0.005928853754940711,0.005928853754940711,0.005928853754940711,0.007905138339920948,0.005928853754940711,0.001976284584980237,0.0,0.005928853754940711,0.007905138339920948,0.003952569169960474,0.003952569169960474,0.005928853754940711,0.007905138339920948,0.005928853754940711,0.005928853754940711,0.007905138339920948,0.009881422924901186,0.007905138339920948,0.005928853754940711,0.003952569169960474,0.005928853754940711,0.007905138339920948,0.003952569169960474,0.003952569169960474,0.009881422924901186,0.005928853754940711,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.005928853754940711,0.001976284584980237,0.007905138339920948,0.001976284584980237,0.001976284584980237,0.005928853754940711,0.005928853754940711,0.009881422924901186,0.009881422924901186,0.005928853754940711,0.005928853754940711,0.003952569169960474,0.007905138339920948,0.003952569169960474,0.005928853754940711,0.003952569169960474,0.005928853754940711,0.007905138339920948,0.005928853754940711,0.003952569169960474,0.007905138339920948,0.003952569169960474,0.0,0.003952569169960474,0.005928853754940711,0.009881422924901186,0.003952569169960474,0.003952569169960474,0.007905138339920948,0.003952569169960474,0.005928853754940711,0.003952569169960474,0.007905138339920948,0.005928853754940711,0.005928853754940711,0.005928853754940711,0.001976284584980237,0.003952569169960474,0.001976284584980237
Lin's AUC,0.6992463450719831,0.6664619578430137,0.7177010818624331,0.6997543774762934,0.7052076025639167,0.6838928509199226,0.7082940512349037,0.6851040755123136,0.725316143154774,0.6956442694097087,0.7066298513710794,0.7185469819299728,0.7171632617710714,0.7039405130651447,0.6731912421429757,0.6910904042687089,0.7033555916549156,0.7185580176693749,0.6886271496054932,0.7066095136858411,0.6816640373757107,0.6773287823465174,0.6499833960870286,0.7121127883566296,0.6978350650794755,0.6820091381169435,0.7044052894047905,0.6919463326390809,0.6644417253409992,0.6838829413605222,0.6801034651519576,0.7021022978605599,0.7020185804175768,0.6495158339376333,0.690894332883448,0.6903928589961502,0.6948785111069102,0.6643949865241996,0.6823694908357466,0.6823166877003677,0.6800533708366064,0.6827268611342048,0.6684134581814937,0.6975042210990534,0.6598552895067152,0.6963114126202272,0.6865126579247841,0.6585141270266238,0.7126285571859573,0.6899094506821125,0.6888984161430814,0.6903532358799854,0.7024836117987939,0.6955218865612564,0.6972399267532875,0.6796258276960178,0.6800573064732179,0.6929575369685144,0.7183197225929796,0.6908261089736726,0.6771462807315388,0.7033499551488038,0.6763323982182674,0.6843057030221923,0.7064931303637283,0.7044679470411579,0.6721300163133677,0.6904640126578597,0.6800257590322807,0.7048855837708385,0.6927360631066407,0.6644993153461204,0.6990863073613897,0.6692063849115812,0.6779865778026501,0.6672337821763689,0.6700272851473266,0.689607343243474,0.7147618677493324,0.7134832512530181,0.6884236902416534,0.7275748432752475,0.6868666502770701,0.6749931928322103,0.6961035064325067,0.6688269400003699,0.663321140247148,0.6987301299910859,0.691728748281463,0.7006237109628753,0.7176920874116229,0.7031550950375567,0.6948892267145487,0.653470189347793,0.669256501032511,0.6806751877025304,0.7057804857905575,0.6794254295902743,0.6841969305233115,0.680558603768195
NDCGk,0.25958815597243196,0.25332361664575764,0.25137737997318993,0.2453263390806073,0.2520482628553546,0.24090211185805702,0.24754948445484085,0.2524956900868522,0.24846209616717085,0.24299201955032207,0.2524258452965692,0.24619994795204178,0.24796247372571234,0.24671116049520966,0.25539140467278376,0.2541982362172016,0.24857563106273878,0.26009872161640146,0.2332827323091547,0.25925449721952554,0.2511287046010186,0.24868609130264563,0.24999581515482616,0.2523429364174367,0.25906656999171546,0.2503043404437829,0.2664613026840266,0.2441169602725438,0.26139307821761726,0.24477333011359817,0.2384482462799161,0.24082300027800013,0.2582232837731584,0.24005565869601905,0.2441899002081434,0.2581828217273208,0.2550663741312289,0.2602618299459548,0.25815767100602555,0.25219301330723254,0.25961913012389337,0.2526174594655441,0.23225343456205422,0.2490337705357613,0.24622220299877284,0.2578091807024107,0.2612505001291635,0.24495501043040388,0.25062135906937505,0.2546021743258841,0.2581061548312851,0.24984270970550626,0.23298795842268324,0.25732018039046173,0.23383636449399403,0.2580134709532293,0.2389625640940157,0.26362717025028926,0.25311032429284763,0.2376814110565665,0.2429666593238972,0.24636551887850877,0.2519000577178034,0.2484749329951145,0.24862115472478183,0.2637303059241575,0.2612255635428618,0.249140568455769,0.26806925830605666,0.24556221155811023,0.2580323559522088,0.2558148776428308,0.24810073923437578,0.2368244445188942,0.26233393676550115,0.24360116828324985,0.260197983573379,0.24444252595603905,0.2510448892478932,0.24594411040923045,0.2526871310957075,0.2606898971694687,0.2607122755142484,0.2545140496802505,0.26501231400649455,0.26091494106046814,0.2519767192352524,0.24947457314787566,0.2529141889766297,0.2636991351451963,0.2514547815738747,0.25939245167748265,0.2630992654918338,0.2457551639017434,0.259254141390602,0.2438183855430921,0.27589807803219724,0.2385810531380977,0.25024990303803263,0.24426630172897382
global AUC,0.738727005076271,0.7002878861942335,0.7301237259396858,0.7141378544019149,0.7098091821262696,0.7064935180719116,0.7127863468139841,0.710422583079547,0.736495942381317,0.7224251599067969,0.7272596827912134,0.721184492077827,0.7294402031402174,0.7320087320117037,0.7078042018724673,0.7223332534479016,0.7188053984307456,0.7418481336709384,0.7230046006677869,0.7324947037506615,0.716657637144889,0.6831917989443294,0.6800426318335614,0.7245515783326117,0.713455364792558,0.6983379315282788,0.7427074411724551,0.709479349873848,0.6896818063603709,0.725501335604492,0.6729711464830945,0.7375195015546263,0.7287869604777983,0.6548476630181597,0.7113733698906907,0.6979184563430005,0.7067938770247916,0.6942067701538115,0.6983432325602291,0.6873267462486401,0.6961248748178829,0.713173665326109,0.6911678732696456,0.7396952356413116,0.6701553164392611,0.7154680629399849,0.7029601612261406,0.6792725839258136,0.7425199226434862,0.7178277158190665,0.739526091832595,0.6952187853443204,0.7008034517107316,0.7171555581108251,0.7109648399490676,0.7184046630505648,0.722454863209791,0.7229068345971281,0.7325558700656027,0.7253381937906281,0.7044480681630347,0.69486913263566,0.6947018361562596,0.7165638358956473,0.7235833076082384,0.7471246319196335,0.6854370597889081,0.7205119729355887,0.7184601924554985,0.6968287109381303,0.7311234633268548,0.6848216070588016,0.7275842724252602,0.675839263978438,0.6920344751663665,0.6762387288633583,0.6691822485000235,0.6938215435778488,0.7512190803620817,0.7397266913515622,0.716423595854114,0.7502502985189254,0.7076771486955377,0.688971979197816,0.7155375020775154,0.6909220506909209,0.6945161247972738,0.7076463793447961,0.7052277506598434,0.7136796291111821,0.7206052046524719,0.727419184709172,0.7473335882307043,0.688647119400984,0.6876320995622005,0.7065764799521033,0.7342846636341163,0.6749116491024104,0.7085056028767986,0.6863595853821954
global NDCG,0.719304136688413,0.7030914105126276,0.7272414165808334,0.7524519473333151,0.7216394638277651,0.7327927134691666,0.7373947592531677,0.7185643619508867,0.7189148557641123,0.7204523586788384,0.7172144249485841,0.7266454654736246,0.7234790249566064,0.7236535278722265,0.7021398130147991,0.7434613282103962,0.731393444052714,0.727281445304733,0.7277787057407364,0.7080004913537207,0.7066673558508754,0.7077251881401585,0.7252031428396041,0.6940989412678075,0.7086239097589534,0.7018400550998994,0.7134705518556115,0.7174342350987012,0.728624278061882,0.7390037699058368,0.6967646605051627,0.739320843245101,0.7257601928673485,0.7047063533039737,0.7253427405569494,0.7184506609794871,0.7102589796357233,0.7046299827936502,0.6994061788494267,0.6980189086699468,0.7155006035325064,0.7247943060215789,0.7029466989650827,0.7198176411658639,0.6946154346307417,0.7387852479745075,0.7175374037770683,0.701460390027661,0.7425345121474795,0.7333295733501791,0.7394640847935967,0.7007975313395399,0.7075154367385027,0.736639279788229,0.7102740854837633,0.7076088816941403,0.7402833711461937,0.7284374172845192,0.7361879130789027,0.7144302929598157,0.7228201829240986,0.7070913968604332,0.6965527023453608,0.7379412827037847,0.7049346055804984,0.7260515661162212,0.7035913565870054,0.7147405206297985,0.7482258435200572,0.7463319049684963,0.7086397243157563,0.7151257398449941,0.7220866359919219,0.7252156130967087,0.7113049676100173,0.71473512846254,0.6872636940655695,0.7283012094075497,0.7368500673693343,0.7314276254164144,0.7152163147169246,0.7389333803938083,0.7232730667931603,0.6869685321658372,0.710290813020815,0.7266857401154867,0.7343750316343114,0.7098127373169796,0.7388945728231585,0.7276623604590275,0.7295139843604846,0.7157944153191343,0.7431902523647272,0.7203816772904444,0.7150767306758159,0.7162246084758516,0.732623178394402,0.6922530992228864,0.6972062339103582,0.7015896151349552
