,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0010770131143762896,0.0016592687819056778,0.0011368302574235316,0.0013677096626538827,0.0011718765825564138,0.001217856678703857,0.0011481996961044273,0.00130715988415049,0.0010973959123893122,0.0011099213981987774,0.0010610466418164751,0.0010586836200979918,0.001212272448972387,0.0014016635286415082,0.0012323316301869917,0.0011810393637754113,0.0011682059746053331,0.0012055189900928482,0.0012068011457260581,0.0013084947346620036,0.0011434885567201156,0.0011793396189267854,0.0012963277277376008,0.0011514886424390362,0.001343504261453923,0.0013696047257913894,0.0012788937924243697,0.0011309621251255322,0.001247280918876677,0.0012090879992938878,0.001184859167061863,0.0012847086023300737,0.0013246723248597804,0.0013058617014604895,0.0011652928550520021,0.0011013153267542754,0.001099598247965243,0.001114626744013598,0.0011377652658802562,0.0011308287043306842,0.0012702983354051058,0.0011565790992575152,0.0011087624897178345,0.0011803245734923924,0.0011845056098864482,0.0013406687290630484,0.0013595495090514226,0.0010649612271907275,0.001224386199538662,0.0012584204882951215,0.001213698935301595,0.0012084352838136747,0.0011769395992312325,0.0012053869869557117,0.001391331032170548,0.001321413873849825,0.001415299385577424,0.0012475558927003308,0.001216731402450538,0.0011102521049279259,0.0013168908251518928,0.0013801967722834895,0.001205682278311383,0.0011861547482427514,0.001242331090390101,0.0012722872445057752,0.0012620389077678791,0.0010835336389257476,0.0014880075173579145,0.0013212104791838796,0.0012921749826034393,0.0013903378414105649,0.0012094482084509738,0.0012465668454888631,0.0011299169792576308,0.0011908043801187752,0.0011925108747199169,0.001220925888877919,0.001319065955184729,0.0012170661311951977,0.0013864420630490212,0.0012536392586713736,0.0013596684154247225,0.0012351357232011782,0.0011620192474690596,0.0012795749241056057,0.0011861355864740252,0.0010975880208601314,0.001459774308948189,0.0014050201154917512,0.001058176121423595,0.0012129804546355503,0.0014167371139681333,0.001155573759384145,0.0012131893037422353,0.0012038461570303706,0.001274020146217114,0.001213342793876946,0.0011395845079989345,0.0012436070752075588
HR@10,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.017786561264822136,0.015810276679841896,0.015810276679841896,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372
HR@2,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474
HR@5,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.007905138339920948,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186
Lin's AUC,0.8439818540120756,0.8570398260167433,0.8255615871411996,0.843648565440662,0.8206160548556514,0.823730685889251,0.8349686420870334,0.8263583267906274,0.8369486074484638,0.8426403021231286,0.8111749567300288,0.8420270364227546,0.8434854873461686,0.8415698411352435,0.822956710412643,0.8104656190345598,0.8473393856678674,0.8250332363318925,0.8409923283983881,0.8412559351707363,0.8450522220905146,0.8295213812364507,0.8175752355161768,0.8318871596624684,0.8362659738020538,0.8452020286822646,0.8413446842250882,0.8386990349938422,0.8173433109979665,0.8206905385236956,0.826670640862008,0.8159813268851329,0.8263479127855201,0.8457353471889621,0.8124258794303958,0.8386257963910065,0.8168001918053904,0.8304829631595501,0.8361620285288844,0.8219845127072763,0.8346145582800663,0.8169960644718417,0.8301908299181319,0.8313076049548658,0.809993815577764,0.8440815987979485,0.8427869402617287,0.8292831867779028,0.8501969625800231,0.8254731231278101,0.8165397226154546,0.8323398380659828,0.8358459503866061,0.8345033271724712,0.8457122518697112,0.8358772933644736,0.8301850999254783,0.8210447364780544,0.837254754345299,0.8316578764946991,0.8260161280217914,0.8445051940331444,0.830044439874475,0.825884520815934,0.8351006341339337,0.8177430209504543,0.8125928567928542,0.8403777096885446,0.837056279903101,0.851421337713175,0.8270306618469792,0.8372000660031167,0.8256727734204274,0.840256764813372,0.8199570105050118,0.821621843176955,0.8289793873119935,0.8564585832776613,0.8402908704140145,0.8337850702689532,0.8292360694304608,0.852038007233663,0.8547060888603046,0.8126030941649012,0.8503525587144464,0.8274066523357185,0.8182596273178703,0.8061078352377067,0.8246717749753448,0.8453404598455119,0.8405974836257062,0.8551576961418058,0.8099045327625339,0.8268656677677086,0.8093248555072203,0.8373251227986355,0.8447434351795693,0.8231202056271447,0.8343714271497162,0.8414285414962452
NDCGk,0.23094236338626822,0.22461691171261616,0.22211397832100585,0.21727783885620588,0.2152387166690925,0.22025789901399212,0.2302311733507895,0.23316220661174758,0.21472325222420585,0.2177145469810565,0.21907559006961327,0.22681508238847758,0.20621591147054064,0.21954147379664335,0.2242266382980318,0.22665324514821297,0.218526865400131,0.222975750945378,0.22675966327570118,0.24098219097743742,0.21731174355128427,0.2277046987068198,0.22613345098652196,0.22239956934297514,0.2284474733653487,0.22517772782172776,0.2323565241332022,0.2397686549424394,0.22806904033044267,0.21730454560637208,0.23719760324154004,0.21892324163844265,0.23321128499487082,0.22704135197807204,0.219671274407797,0.2284645006139159,0.2232948963126457,0.22536030119263578,0.22030714477287652,0.23890848574236642,0.22980392264064958,0.2221309615023175,0.21360229301150688,0.2263422023750151,0.22765498513428417,0.23062525993691452,0.22075079621765625,0.2176238486606279,0.22356747241960542,0.22770700873325628,0.22277224269423798,0.22366510207881862,0.22502490347861365,0.23396008691624573,0.23613447767785659,0.22837832811966394,0.22683353689854957,0.24023233567358968,0.23360847342074922,0.22401459466406295,0.2222717636134635,0.2201443750676181,0.2188839954574831,0.24292405238427478,0.2155825407173966,0.23777205590302694,0.23749117181952487,0.2225411948639832,0.23038353371984788,0.22969128242516906,0.24093022922514964,0.24221699125496635,0.21942226027418724,0.2145810071103765,0.24562889809174535,0.2378766295071503,0.22630922217817628,0.22800159736146938,0.22996072462786565,0.21712636481300818,0.21650558955707983,0.2258631969170915,0.2307805499237788,0.22352270804750007,0.23140701561214086,0.2215789399494513,0.22903228162915157,0.22397144067597527,0.213753130868167,0.23172753743864566,0.23656418268495227,0.24321247942717347,0.23332387197925608,0.21994124653711064,0.22240594847422956,0.22993927130820188,0.23138895640872417,0.21813894871675096,0.22247872576621358,0.21431320285607602
global AUC,0.9734561777634911,0.9754539439407547,0.9702952439681667,0.9710651421911279,0.9690852359644847,0.9698449154626326,0.9726068334273963,0.9709656054589706,0.9719748131470207,0.9742727338296511,0.9695842302798654,0.9735017001928217,0.9715417604563549,0.9743612632537298,0.969603145325688,0.9685010746564483,0.9732687943159152,0.9691968350999229,0.9734460503098891,0.9718835309832101,0.9744582845513048,0.9699262235084762,0.9691880183009147,0.9713476010340546,0.9716705806439346,0.9717018574626111,0.9741764061932819,0.9713917543952163,0.9692517876708014,0.9703961388159477,0.9697761517320655,0.968352674968628,0.9703684325270562,0.9717074213556497,0.9677013745575848,0.9711691475617888,0.9691237816224262,0.9707677440763414,0.970321099276894,0.9689872617954641,0.9723423440605434,0.9692798919021742,0.9701644559732722,0.9714755669230969,0.9676153131070586,0.9737443209774553,0.9703764242343146,0.9696212571848515,0.973746190211862,0.9690047785663303,0.9689568137193861,0.9718433972061925,0.9716153433068768,0.9731226216456497,0.9737340219339762,0.9714290222562001,0.9726768384464367,0.9702558659167785,0.972425937537517,0.9705927844660429,0.9703833608463707,0.9738539304004881,0.9710775404724662,0.9697943110522588,0.9729537954607481,0.9694170031665853,0.9691033989355265,0.9730697208516004,0.9723244110929542,0.9752935840734102,0.9695804735568099,0.973031532976807,0.9722399560157462,0.9723360463469661,0.9682315580712789,0.9699553134689306,0.9695412050308749,0.9751295879610089,0.9720725682651341,0.9725701350987707,0.9722273350326525,0.974371788649813,0.9749456728194609,0.9692182108176012,0.9731962848148377,0.9720466874004678,0.9697795981330029,0.9672126902382285,0.9710336025113632,0.9725999588797637,0.9737002004739297,0.9740551834213278,0.9715423226870162,0.9700343908463708,0.9675512151608112,0.9725804633490375,0.9731866721308672,0.9697157666986924,0.9710766861739287,0.9742735370163104
global NDCG,0.8300268072116466,0.847492590316725,0.8441619887071203,0.8256970407761236,0.8302178243853403,0.8283139456780075,0.8356355831583792,0.830536213573152,0.8345182949392305,0.8346231285890119,0.8125520889710937,0.8389932161924025,0.8352173014088432,0.8411298331821131,0.8246669032184479,0.8261830263529631,0.8357904392539196,0.8227568763959677,0.8356261232805251,0.8377658946178563,0.842247525802232,0.8280404723371086,0.8239931594552328,0.834786186400612,0.8352634630891052,0.8296209314536723,0.8324147271097374,0.8352089332792231,0.8329802527249951,0.8265564836660055,0.8305685951210613,0.8213945080473712,0.8329954083410388,0.8300678923224517,0.8303828717051945,0.8276741784314325,0.8269438217906895,0.835593434369842,0.8320271206579642,0.8226415817449562,0.841133726018003,0.8334401475741029,0.8287090997667881,0.8382573455632107,0.8196519079058641,0.8335164364092618,0.8274557828097486,0.8212606788018262,0.8430586548576517,0.8304684280809554,0.8297368364627722,0.8306909238973611,0.8311780326108759,0.8358352823961691,0.8345809638034698,0.834047278594323,0.832698621214983,0.8244712424820118,0.8284409465606294,0.8344035636647846,0.8308307907836278,0.846742925321783,0.8358587172872091,0.8384466195207938,0.8331057919529591,0.8398895229200167,0.8299850829623069,0.8371057064158772,0.8437762177505921,0.8485450737400857,0.8292079918327107,0.8449049543101045,0.8331808489542215,0.8312623822078299,0.821521260852163,0.821274837274546,0.8291792404173133,0.843184056649339,0.8315148287354648,0.826606246082176,0.8315224744765557,0.8364701858080837,0.8417952542130254,0.8243019048621356,0.8310002740795742,0.8381498992746864,0.8217926816899085,0.8195709236197629,0.84338525963631,0.830591294802325,0.838557541738596,0.8265082619799605,0.8420356644034585,0.8333875932826966,0.8128070867009725,0.832033798690983,0.8324350861443336,0.8313568851734162,0.8251464992426266,0.8362840906307674
