,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.6106719367588933,0.5810276679841897,0.6264822134387352,0.5434782608695652,0.6146245059288538,0.5810276679841897,0.5355731225296443,0.5513833992094862,0.6007905138339921,0.6027667984189723,0.5711462450592886,0.642292490118577,0.616600790513834,0.5711462450592886,0.6324110671936759,0.6067193675889329,0.5909090909090909,0.6225296442687747,0.6047430830039525,0.6383399209486166,0.5889328063241107,0.5830039525691699,0.5573122529644269,0.6778656126482213,0.6561264822134387,0.6027667984189723,0.6403162055335968,0.5612648221343873,0.6047430830039525,0.6185770750988142,0.5335968379446641,0.5849802371541502,0.6185770750988142,0.5434782608695652,0.5474308300395256,0.6146245059288538,0.6245059288537549,0.5948616600790514,0.541501976284585,0.5355731225296443,0.6383399209486166,0.5810276679841897,0.5988142292490118,0.5948616600790514,0.6343873517786561,0.5830039525691699,0.5711462450592886,0.5889328063241107,0.5533596837944664,0.5691699604743083,0.5790513833992095,0.5731225296442688,0.6146245059288538,0.541501976284585,0.5731225296442688,0.658102766798419,0.5573122529644269,0.616600790513834,0.6146245059288538,0.5968379446640316,0.5395256916996047,0.6086956521739131,0.5474308300395256,0.5355731225296443,0.5909090909090909,0.6383399209486166,0.6185770750988142,0.5770750988142292,0.5632411067193676,0.575098814229249,0.6047430830039525,0.6086956521739131,0.5355731225296443,0.66600790513834,0.6106719367588933,0.5711462450592886,0.5909090909090909,0.5849802371541502,0.6047430830039525,0.5711462450592886,0.6561264822134387,0.6007905138339921,0.5968379446640316,0.5079051383399209,0.5711462450592886,0.6363636363636364,0.5830039525691699,0.5909090909090909,0.5869565217391305,0.5612648221343873,0.5988142292490118,0.6146245059288538,0.5830039525691699,0.5652173913043478,0.5652173913043478,0.6284584980237155,0.5948616600790514,0.5237154150197628,0.5632411067193676,0.6324110671936759
AUC,0.5388870340188966,0.5316170417498202,0.5350262488885886,0.5201949894862207,0.5650816107890421,0.52566660797127,0.5158883867353923,0.5121170724195772,0.5404966059295553,0.5465960686011272,0.5480187905752916,0.5490436670617546,0.5476302472071474,0.5161815413915503,0.5568581745704906,0.531071783753975,0.5457560714647578,0.561821786691241,0.55942330880595,0.5411563179835394,0.5282318640479478,0.5380244396525989,0.5500352576091216,0.5554181775247394,0.5368653004767967,0.5435285877047894,0.5408728464536372,0.5468441550890033,0.5455397452781086,0.5294166086250851,0.516286891691135,0.5454087616402579,0.5323021812746032,0.516242783318644,0.5253486312216996,0.5486400840246611,0.5449484436185281,0.5539654923180737,0.5189009718425283,0.5298711634825457,0.5544850354109653,0.5373933729218363,0.5419533713035488,0.5525866519195174,0.5428034998583345,0.540785670182447,0.5420126850025697,0.5491467949130323,0.5309193563779028,0.5564114847993861,0.5401375751820807,0.5329352625706394,0.5556972897051757,0.5315536254540693,0.557050207975732,0.5297807210492335,0.5333039446398399,0.540386735705958,0.5543393437937193,0.5315407342978016,0.5466029580315356,0.5405289320380265,0.5043711842136815,0.5544297236312657,0.5494904391208426,0.5445095568596643,0.540511799202828,0.5334574609105386,0.5494939496196679,0.5482208809341151,0.5402014079271801,0.5422198938223782,0.5096371221871405,0.5648130931150734,0.5291918058911568,0.5360361380301549,0.5226909156674248,0.5415470171723353,0.5371488224656267,0.5404328785196438,0.5452706721574965,0.5283184517680083,0.5381054498397729,0.5188018826836339,0.5158753085355997,0.5724882950212241,0.5362747513837973,0.5415132850678579,0.5256674154858709,0.5323929950934584,0.5512832850262068,0.5278949241124427,0.5386089614846374,0.542486858269193,0.5480658440231303,0.5485373232060079,0.5290654328115054,0.5108702714902847,0.5350447939231435,0.5698997597947814
Fscore,0.001215016120852329,0.001743117610785117,0.0013303405787260234,0.001442590189753796,0.0013258416085267213,0.0012923812524771074,0.0011840436659910382,0.0013088984616457808,0.0013282549690955166,0.0012930472927248022,0.0011481061759894612,0.0012514728495782775,0.001373560916602109,0.0016452256962046692,0.001372792570899644,0.0012846542985207043,0.0013416552094449685,0.001511236160663431,0.0013195515014315404,0.0014645873039193305,0.0011425435633649686,0.0012462047929981009,0.00124016808729156,0.0014299813944521924,0.0016444576509613178,0.0015476511883713026,0.001504074029896503,0.0012401071276652736,0.0014641840563303268,0.0013533977225610445,0.0012778335874615745,0.0014577389434897543,0.001407551349371518,0.0013877770520585603,0.001264585558658012,0.001275716668946481,0.00133253208797939,0.0013994899807700982,0.0011302591173619212,0.0012037758543919053,0.001499564826810497,0.001257293326808666,0.001231765821647585,0.0013802013724540131,0.0013500109711806687,0.00142813977696064,0.00139054343052315,0.0011243528925024508,0.0013092585341210863,0.00121865243238474,0.0012953497404652296,0.0012117020147849513,0.0013484861197786294,0.0010617178562769467,0.0016120440184530826,0.0014309363291655566,0.0015572868022960728,0.0014743210790305568,0.0015025117551326446,0.001293615312770921,0.0014027508984454297,0.001453662025607531,0.0012591475083517326,0.0011950655851499605,0.0015146373567663195,0.0013590920190254224,0.0014058476318558235,0.0012026008778535182,0.0016296685403129033,0.0013955712312507312,0.0014351022958762813,0.0014062870794844967,0.001144457932849183,0.001343056977863683,0.001229751155893067,0.0013743698294370152,0.001316961868872534,0.0012866148226762448,0.0014572088273081686,0.0013424116080709455,0.0013744266807747458,0.0015214199320366993,0.0015637798882047842,0.001144560250115341,0.0011751421255810583,0.0015623824984064899,0.0013248914328623247,0.0012379767784637256,0.0016348151553561838,0.0016020249105532613,0.0012160740513330877,0.0014873479321936061,0.0016167508015677158,0.0011891165980996866,0.0013207663475724735,0.0013733216765656252,0.001317338024405879,0.0012326974065105512,0.0012189858079369076,0.0014361954286600976
HR@10,0.01383399209486166,0.001976284584980237,0.005928853754940711,0.003952569169960474,0.015810276679841896,0.01383399209486166,0.01383399209486166,0.009881422924901186,0.011857707509881422,0.003952569169960474,0.0,0.001976284584980237,0.011857707509881422,0.015810276679841896,0.011857707509881422,0.005928853754940711,0.011857707509881422,0.011857707509881422,0.005928853754940711,0.007905138339920948,0.005928853754940711,0.009881422924901186,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.005928853754940711,0.001976284584980237,0.01383399209486166,0.005928853754940711,0.003952569169960474,0.011857707509881422,0.001976284584980237,0.007905138339920948,0.017786561264822136,0.001976284584980237,0.005928853754940711,0.009881422924901186,0.007905138339920948,0.007905138339920948,0.011857707509881422,0.011857707509881422,0.005928853754940711,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.003952569169960474,0.009881422924901186,0.001976284584980237,0.009881422924901186,0.0,0.003952569169960474,0.003952569169960474,0.007905138339920948,0.0,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.011857707509881422,0.009881422924901186,0.003952569169960474,0.019762845849802372,0.003952569169960474,0.003952569169960474,0.007905138339920948,0.015810276679841896,0.019762845849802372,0.017786561264822136,0.015810276679841896,0.003952569169960474,0.007905138339920948,0.01383399209486166,0.009881422924901186,0.007905138339920948,0.001976284584980237,0.009881422924901186,0.001976284584980237,0.005928853754940711,0.001976284584980237,0.0,0.001976284584980237,0.007905138339920948,0.009881422924901186,0.007905138339920948,0.003952569169960474,0.007905138339920948,0.01383399209486166,0.0,0.005928853754940711,0.009881422924901186,0.007905138339920948,0.003952569169960474,0.005928853754940711,0.007905138339920948,0.005928853754940711,0.001976284584980237,0.019762845849802372,0.005928853754940711,0.009881422924901186,0.005928853754940711,0.007905138339920948
HR@2,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.0,0.0,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.0,0.0,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.0,0.0,0.001976284584980237,0.001976284584980237,0.0,0.001976284584980237,0.0,0.0,0.003952569169960474,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.001976284584980237,0.0,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.0,0.001976284584980237,0.0,0.001976284584980237,0.0,0.001976284584980237,0.0,0.003952569169960474,0.0,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.0,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.0,0.0,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.003952569169960474,0.0,0.001976284584980237,0.001976284584980237,0.0,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.003952569169960474,0.0,0.001976284584980237,0.0,0.001976284584980237,0.003952569169960474,0.0,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.001976284584980237,0.0,0.001976284584980237,0.0,0.0,0.003952569169960474,0.0,0.001976284584980237,0.001976284584980237,0.003952569169960474
HR@5,0.007905138339920948,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.005928853754940711,0.009881422924901186,0.001976284584980237,0.0,0.001976284584980237,0.007905138339920948,0.009881422924901186,0.007905138339920948,0.005928853754940711,0.007905138339920948,0.005928853754940711,0.001976284584980237,0.005928853754940711,0.003952569169960474,0.007905138339920948,0.0,0.0,0.003952569169960474,0.005928853754940711,0.001976284584980237,0.005928853754940711,0.001976284584980237,0.0,0.007905138339920948,0.0,0.003952569169960474,0.007905138339920948,0.0,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.005928853754940711,0.005928853754940711,0.005928853754940711,0.003952569169960474,0.005928853754940711,0.003952569169960474,0.001976284584980237,0.0,0.005928853754940711,0.001976284584980237,0.007905138339920948,0.0,0.003952569169960474,0.001976284584980237,0.005928853754940711,0.0,0.003952569169960474,0.007905138339920948,0.007905138339920948,0.007905138339920948,0.005928853754940711,0.003952569169960474,0.009881422924901186,0.0,0.0,0.003952569169960474,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.001976284584980237,0.007905138339920948,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.003952569169960474,0.0,0.003952569169960474,0.0,0.0,0.001976284584980237,0.007905138339920948,0.005928853754940711,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.007905138339920948,0.0,0.003952569169960474,0.007905138339920948,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.005928853754940711,0.005928853754940711,0.0,0.009881422924901186,0.003952569169960474,0.005928853754940711,0.003952569169960474,0.005928853754940711
Lin's AUC,0.553724762164751,0.49042166113565255,0.5876824541980545,0.5366793777860588,0.5374717123971755,0.5451974132222933,0.5220139196328692,0.4903015146291356,0.5643435326043043,0.5740089006399187,0.5443374318726908,0.590835298034238,0.5436049679179784,0.5483314388623673,0.5574164971995009,0.5522796890129851,0.5555163758312017,0.5625893993439561,0.5385278824177544,0.5907326389156541,0.5658253761671332,0.5612294530478994,0.5187460768625146,0.5902608702878974,0.5767635764949504,0.5358639340259989,0.5558885480065142,0.5275652031447408,0.5704128578617234,0.5542182022417589,0.5297664484544518,0.528500779484543,0.5656479819568558,0.53981539338982,0.5148717313338509,0.5745139552404154,0.5482561138062515,0.5319607516340095,0.4910881296051448,0.511468228000119,0.5777083988102517,0.5490596911870976,0.5525019566255522,0.5732904171715546,0.5662316476064139,0.5481299196285769,0.5445596112347505,0.5225636972781128,0.535509749912327,0.5239759033611643,0.5341734718264334,0.5498994119074889,0.5594709459760236,0.4941588788749809,0.5358229113490288,0.5781652259757796,0.5014187980499253,0.579350455308624,0.5761355445026668,0.5379532363609569,0.5143232138525209,0.5513917612359883,0.5264133342979285,0.47731473928817014,0.5578665471524868,0.5765046087471184,0.5692301937587372,0.5398371413732913,0.5143615363366991,0.5200998360110788,0.5522970418357931,0.5554336587176634,0.5079931896815723,0.5960598055569173,0.5407901054237989,0.524013703002934,0.5422241266939917,0.5659688239895022,0.538195179179805,0.5327370714974178,0.5618748172751906,0.5552868865837957,0.5527691676701051,0.4697453731443679,0.5405669218660275,0.5720278698848534,0.5394818063829356,0.5578974627315635,0.5627113265866406,0.524606638432496,0.567329537244908,0.5775785245470018,0.51117301648046,0.52119831550222,0.5274230299910843,0.5552781768336625,0.5571239799877702,0.5259944804532865,0.5067249887067754,0.5500201416201638
NDCGk,0.22500730678598466,0.23804709102224514,0.22757640926733927,0.2250057155697618,0.2432286300991844,0.2260945745759371,0.23494151905403923,0.24631447622643046,0.22037922805278715,0.21795012630361918,0.2289933760276588,0.23267276602009496,0.2233424470308922,0.22319491781547182,0.24810832926013246,0.23388290141121887,0.22936929755080304,0.23975347988028517,0.22712917965065194,0.24292045631025538,0.2208154759298746,0.2281233279654703,0.24170254865922022,0.23672691716048178,0.2336947634866,0.23888962920239015,0.2313088054435033,0.2394188779772293,0.23571210079240063,0.22660532342109813,0.22044499323806638,0.2309354915152592,0.23436940756718289,0.21952162729484007,0.22486538965732084,0.23613038950967652,0.2389109423801602,0.25208516793743285,0.23630251334249922,0.24213194725694437,0.23764414097400743,0.23442753625139892,0.22826226717440984,0.24418565647215817,0.22967524192530037,0.22981501675959234,0.2386351553532003,0.23364650310461066,0.22505162660783393,0.23434825937827403,0.23585510236692092,0.22340748214145545,0.22350733122621239,0.23399550645742795,0.23656895320167373,0.23629072004355664,0.24006653969240596,0.2474263163514802,0.23712237341783485,0.21725488052338013,0.24146103524178117,0.2336829011326712,0.22708688158333037,0.23879887889195675,0.22487454492101192,0.22932437024118207,0.23352477783470432,0.23016413145644496,0.24699877413717844,0.24182489767129153,0.2466490891482256,0.2309694785360728,0.2200581118689525,0.23246646683680658,0.23966965798791157,0.24286459282924466,0.23357762996000872,0.23809089046092274,0.2265444524563575,0.22945884155585775,0.23133746850128262,0.23073810241298656,0.23719727403474197,0.23049462949800564,0.23243226249807455,0.2397633432202394,0.24163836955831056,0.226200238082184,0.22905379472172102,0.2405204075953157,0.22648305701933272,0.233864549042136,0.233927581845923,0.22537896976561494,0.23463830162104413,0.24155916726268895,0.24536557224631061,0.2137880327726859,0.2410098319232172,0.23402590618364674
global AUC,0.6167388509988423,0.5812544477373961,0.6284724369630998,0.5555339830977106,0.6138900428409542,0.586187974330096,0.5451584543435043,0.5569227804517161,0.6057312070422004,0.6084972176080771,0.5806093829755066,0.640811129152955,0.6176937377127958,0.5808120233187576,0.6329530356461688,0.6105615752610798,0.5983826916604531,0.6302359574020754,0.6110813429041445,0.6411693211961412,0.5904240647398823,0.5902477178071724,0.5643726141796646,0.6735417960010154,0.6520090553308425,0.6048343286592786,0.6412412684665573,0.5725232355694045,0.6108570201719453,0.6210282912570372,0.5433754237704085,0.5895994110918589,0.618684636395866,0.5557295882559974,0.5559950852570225,0.6201253707199296,0.6259430451870039,0.6003453658824094,0.5489986942083364,0.5467021060853904,0.641035101403703,0.586020845789724,0.6029565549180412,0.6052430119365365,0.6344110348325552,0.5907481176992067,0.5764045912894874,0.5911583781429954,0.5603885783469084,0.5759514443289496,0.5832500270564379,0.5774022367404944,0.6156918095682984,0.5467645246413504,0.5804726148908499,0.6571615561627615,0.5633797367367341,0.6192012971668992,0.6208304882879833,0.6011075827202305,0.5488888620835481,0.6087419011220854,0.5564410363952643,0.5449116496865462,0.5985592101830399,0.6419336591769121,0.6233092537486147,0.5841942240861281,0.5706637051178747,0.581222783928784,0.6090828611605845,0.6141165998924052,0.5431815308600452,0.6656425136220093,0.6124259248325644,0.5774926244464347,0.5938494806003625,0.5924887327150032,0.6103149714007866,0.5792990861648863,0.6546332267835647,0.6075266066898469,0.6014701484798605,0.5186544774669853,0.5793780613185701,0.6356893100514153,0.5889655398313187,0.5954661018502311,0.5937597756030827,0.5688757933604005,0.6013060428420056,0.6166918499758891,0.5868107762181336,0.5740485490995234,0.5722250415696557,0.6291065455287891,0.6009192062418761,0.5371289388985679,0.5666117781073309,0.6316061208255889
global NDCG,0.6094677601242948,0.5372069041480846,0.5559388632440553,0.5644954625270473,0.5922786139631755,0.5959441490879763,0.5837298624073636,0.551338673453501,0.6191591937773726,0.5603339614259779,0.5349761524794777,0.5628693904667956,0.5728121666454069,0.624388292296255,0.6000763374756057,0.5566366179031389,0.6049045854008518,0.6308897630793359,0.5678754989805934,0.6052658503957596,0.550197531070703,0.5962754748400937,0.5179434504861531,0.5491203050106782,0.5665285673211864,0.5789251518276223,0.5689115650619372,0.6100747993027987,0.5840437413343237,0.5575255616912647,0.5683680816498289,0.5355346780913544,0.5605035215435866,0.5700494802078293,0.5266047453783562,0.5762865666846507,0.5959400318610261,0.5670619710038362,0.5510738956128037,0.5594102592441674,0.6247524927625281,0.5519237687327876,0.5701909547026042,0.5916896900241004,0.5880385544608113,0.5644127754077034,0.557700067687081,0.5279948600684596,0.5698494551637813,0.5306914358140358,0.5395795124728022,0.5305895235741666,0.5713439136326935,0.5010840307894292,0.5653717802332566,0.5793577151254007,0.5564965469737753,0.5957365749739837,0.5905363801550128,0.5580619221395084,0.5872538515029281,0.5466392176517851,0.5478280028834066,0.5345059394021564,0.592498689201264,0.61116446304177,0.6381296705346415,0.6010332407205672,0.537192831371573,0.550531314173743,0.581721338541361,0.5946991528781564,0.5321976257671468,0.583406258793051,0.569009548640664,0.5424824660535338,0.5408660095809762,0.5650220083584692,0.548221866956428,0.538007620272515,0.5760013982007591,0.5740756828406777,0.5619734122138587,0.5292011925982512,0.571256009158323,0.6026399695949829,0.5392184034274667,0.5503948213014865,0.5723233678438889,0.5642129805369319,0.544917333968663,0.5444340869856573,0.576958163575183,0.5556261974932594,0.5393126195444478,0.6013117076813697,0.5632027181429441,0.5644267503255149,0.5440721354498207,0.5880524922416593
