,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0010770131143762896,0.0016592687819056778,0.0011368302574235316,0.0013677096626538827,0.0011718765825564138,0.001217856678703857,0.0011481996961044273,0.00130715988415049,0.0010973959123893122,0.0011099213981987774,0.0010610466418164751,0.0010586836200979918,0.001212272448972387,0.0014016635286415082,0.0012323316301869917,0.0011810393637754113,0.0011682059746053331,0.0012055189900928482,0.0012068011457260581,0.0013084947346620036,0.0011434885567201156,0.0011793396189267854,0.0012963277277376008,0.0011514886424390362,0.001343504261453923,0.0013696047257913894,0.0012788937924243697,0.0011309621251255322,0.001247280918876677,0.0012090879992938878,0.001184859167061863,0.0012847086023300737,0.0013246723248597804,0.0013058617014604895,0.0011652928550520021,0.0011013153267542754,0.001099598247965243,0.001114626744013598,0.0011377652658802562,0.0011308287043306842,0.0012702983354051058,0.0011565790992575152,0.0011087624897178345,0.0011803245734923924,0.0011845056098864482,0.0013406687290630484,0.0013595495090514226,0.0010649612271907275,0.001224386199538662,0.0012584204882951215,0.001213698935301595,0.0012084352838136747,0.0011769395992312325,0.0012053869869557117,0.001391331032170548,0.001321413873849825,0.001415299385577424,0.0012475558927003308,0.001216731402450538,0.0011102521049279259,0.0013168908251518928,0.0013801967722834895,0.001205682278311383,0.0011861547482427514,0.001242331090390101,0.0012722872445057752,0.0012620389077678791,0.0010835336389257476,0.0014880075173579145,0.0013212104791838796,0.0012921749826034393,0.0013903378414105649,0.0012094482084509738,0.0012465668454888631,0.0011299169792576308,0.0011908043801187752,0.0011925108747199169,0.001220925888877919,0.001319065955184729,0.0012170661311951977,0.0013864420630490212,0.0012536392586713736,0.0013596684154247225,0.0012351357232011782,0.0011620192474690596,0.0012795749241056057,0.0011861355864740252,0.0010975880208601314,0.001459774308948189,0.0014050201154917512,0.001058176121423595,0.0012129804546355503,0.0014167371139681333,0.001155573759384145,0.0012131893037422353,0.0012038461570303706,0.001274020146217114,0.001213342793876946,0.0011395845079989345,0.0012436070752075588
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003952569169960474,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003952569169960474,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5594145083160224,0.5208122357497357,0.5068492152539007,0.5954177150044185,0.5200848563723279,0.414663344216529,0.6050551784591762,0.43253884917015156,0.40899922950794254,0.38783241503622473,0.555273935843473,0.5772344391890003,0.598918983755003,0.43698939714701995,0.4031526250604421,0.5032952140468908,0.48991924436929934,0.45811376871194626,0.346019145021141,0.4090963235115941,0.4366970206407416,0.55883197498853,0.43328571692796153,0.44155281549384506,0.519441674653253,0.46512215814899566,0.4082699286207525,0.4620545522662561,0.47613650365645904,0.5188201137854123,0.5391634550032995,0.5528932496501765,0.4441664295366705,0.47789179322679165,0.3760617376783441,0.4314561821185199,0.5594294255602266,0.49533759456911325,0.5042655659927463,0.5417155887098366,0.5155833118446393,0.6004172494614861,0.43104318367290734,0.4107369956837732,0.4291966674522611,0.4183041153917411,0.5611757191697089,0.39826525425697656,0.42815798010151707,0.4017907093979801,0.6384711109277753,0.43213925594718994,0.47083202957914355,0.5260784889565631,0.4015594650714603,0.4935502741349108,0.5651580406157347,0.5509162732456333,0.4594097544975604,0.390357598011331,0.4964080970276141,0.48296673908779253,0.3550122399602605,0.449626977348077,0.37991555713736447,0.5673460046152681,0.3446608448751135,0.39648695885374713,0.5329923536989026,0.5376212527468659,0.4527432660775604,0.43705244566659385,0.4791934058060243,0.6150428027640392,0.43877348548762696,0.5448027125083013,0.50863513296109,0.4951935249989628,0.5818317478710006,0.4443474282932323,0.47509713599135134,0.41084208644170833,0.5173734681422346,0.4833557775010309,0.4812703802505739,0.49069943936338695,0.42045119916014373,0.4119667772176493,0.38298556862543476,0.5474037485984948,0.4112874708623427,0.5089378798776616,0.5009142784528886,0.5454166655152073,0.49709711435825427,0.5582774356108132,0.5204186037717718,0.36087670588110965,0.5065138490506519,0.45323346892212446
NDCGk,0.23094236338626822,0.22461691171261616,0.22211397832100585,0.21727783885620588,0.2152387166690925,0.22025789901399212,0.2302311733507895,0.23316220661174758,0.21472325222420585,0.2177145469810565,0.21907559006961327,0.22681508238847758,0.20621591147054064,0.21954147379664335,0.2242266382980318,0.22665324514821297,0.218526865400131,0.222975750945378,0.22675966327570118,0.24098219097743742,0.21731174355128427,0.2277046987068198,0.22613345098652196,0.22239956934297514,0.2284474733653487,0.22517772782172776,0.2323565241332022,0.2397686549424394,0.22806904033044267,0.21730454560637208,0.23719760324154004,0.21892324163844265,0.23321128499487082,0.22704135197807204,0.219671274407797,0.2284645006139159,0.2232948963126457,0.22536030119263578,0.22030714477287652,0.23890848574236642,0.22980392264064958,0.2221309615023175,0.21360229301150688,0.2263422023750151,0.22765498513428417,0.23062525993691452,0.22075079621765625,0.2176238486606279,0.22356747241960542,0.22770700873325628,0.22277224269423798,0.22366510207881862,0.22502490347861365,0.23396008691624573,0.23613447767785659,0.22837832811966394,0.22683353689854957,0.24023233567358968,0.23360847342074922,0.22401459466406295,0.2222717636134635,0.2201443750676181,0.2188839954574831,0.24292405238427478,0.2155825407173966,0.23777205590302694,0.23749117181952487,0.2225411948639832,0.23038353371984788,0.22969128242516906,0.24093022922514964,0.24221699125496635,0.21942226027418724,0.2145810071103765,0.24562889809174535,0.2378766295071503,0.22630922217817628,0.22800159736146938,0.22996072462786565,0.21712636481300818,0.21650558955707983,0.2258631969170915,0.2307805499237788,0.22352270804750007,0.23140701561214086,0.2215789399494513,0.22903228162915157,0.22397144067597527,0.213753130868167,0.23172753743864566,0.23656418268495227,0.24321247942717347,0.23332387197925608,0.21994124653711064,0.22240594847422956,0.22993927130820188,0.23138895640872417,0.21813894871675096,0.22247872576621358,0.21431320285607602
global AUC,0.9171919373552958,0.9032754251329052,0.9051414796506162,0.9199182997069989,0.9084471184751288,0.887322761712641,0.9199087746433913,0.891184965081752,0.8847056911601554,0.8787954165729798,0.9126587262952053,0.9186141509251696,0.9175782007722189,0.8926400143825906,0.8839999931071981,0.9042958117189108,0.8988507830040388,0.8956308697519947,0.8742439147621515,0.8834657279449362,0.8911658492392647,0.9136449117329258,0.8908792649375888,0.8878588961093098,0.9050182087526814,0.8949306589242587,0.8845148321048544,0.8927992899479451,0.9004077238342852,0.9035832245149276,0.9065363337622011,0.9131895560090754,0.8907620252412944,0.8977793466041479,0.8826655203781378,0.8877167612774306,0.9117793902390887,0.8992090006031639,0.9044529259819829,0.9051404975723829,0.9071885833938412,0.9161880160958022,0.8877180281218431,0.8884812562446848,0.889770104320658,0.8878144324260296,0.9088533702873187,0.8826021160930962,0.8893144893865673,0.883551227164801,0.925518569799688,0.8939837201073824,0.8991353921967028,0.9039244729704543,0.8864717233828651,0.8978038218921609,0.9113000630443114,0.9081845640579548,0.8919261165240131,0.8870182553959212,0.899135943474819,0.8992836421997368,0.8725894670714865,0.8943910562215618,0.8818484166847104,0.9199517049703221,0.8753632174360785,0.8770518370682414,0.9075078172332112,0.9072765980482885,0.897760175998934,0.8904584644943233,0.902888811234531,0.925378315154761,0.8894975611821232,0.910531993896424,0.9058377329586317,0.9033767361774094,0.9145962863306699,0.8908301135648983,0.8956283762225029,0.8863394933028326,0.9021946790694653,0.9018430110924605,0.8962581256751423,0.8942544195674496,0.8869420767921505,0.887349157346939,0.8815871437153425,0.911911448729244,0.8867952360166187,0.9066917576824404,0.8987729067557387,0.910535520616027,0.9015478801545617,0.9120446827926006,0.900922486164124,0.8775964487350125,0.9017629735418781,0.8918249259575078
global NDCG,0.5125728032850558,0.49815018619703694,0.5015336232332287,0.517562440769101,0.5101746081482245,0.48522842669755795,0.5124687266298918,0.4910069305780352,0.48288638906231257,0.47776077826937546,0.5057468580636159,0.5205633111844964,0.5061593656392186,0.4900438031489093,0.4833184492037349,0.5063817152425205,0.4938006384343072,0.4914213404458986,0.47613104263870165,0.48349188568007,0.48791874408070796,0.509736803725017,0.5074468562174089,0.4856005867092813,0.4998878602164076,0.5097488809950304,0.48086688367666097,0.4920970122535009,0.49567304829353515,0.4972655817137289,0.5033424361343068,0.5085335105827097,0.48634627565345423,0.49570842950848193,0.4832928639351903,0.48549117579300677,0.5043162130831135,0.4950669070418995,0.4993882766385742,0.4942729543780922,0.4994046847293782,0.5128739466490368,0.4888194030892935,0.4889517382954005,0.4885426070458507,0.4856894348255648,0.499246812826774,0.480624685983733,0.4920006168451541,0.48173070701695864,0.5234838271417485,0.4917600991395324,0.4960752170862343,0.5010499010163901,0.4846276969835169,0.49433731928709906,0.5091438790940042,0.5038424811916009,0.4902954048401571,0.4834992323189833,0.5112406837854697,0.49613057324972293,0.4774737718091892,0.5035908845258815,0.47984861947907725,0.5160899550117501,0.47956556194621985,0.48053823169898563,0.507370968642586,0.498139160501293,0.49395821390503136,0.4874087497674393,0.5018956203896119,0.5192461648977278,0.49067449164594473,0.5024926904210416,0.5044017717485674,0.49576801233334855,0.5085546528289538,0.4893254407073967,0.4959885560163731,0.48564740904612175,0.496188458625618,0.4963028558750748,0.49042137503582856,0.49224687878587087,0.4950835181917423,0.4885923229674771,0.48382726393726666,0.501841149936647,0.484966175012293,0.504900691306884,0.49528630563395143,0.5028625816152473,0.4973223116567028,0.5066141008815414,0.5030326547359384,0.4769392020946379,0.4964754855122652,0.49344258772131
