,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0010770131143762896,0.0016592687819056778,0.0011368302574235316,0.0013677096626538827,0.0011718765825564138,0.001217856678703857,0.0011481996961044273,0.00130715988415049,0.0010973959123893122,0.0011099213981987774,0.0010610466418164751,0.0010586836200979918,0.001212272448972387,0.0014016635286415082,0.0012323316301869917,0.0011810393637754113,0.0011682059746053331,0.0012055189900928482,0.0012068011457260581,0.0013084947346620036,0.0011434885567201156,0.0011793396189267854,0.0012963277277376008,0.0011514886424390362,0.001343504261453923,0.0013696047257913894,0.0012788937924243697,0.0011309621251255322,0.001247280918876677,0.0012090879992938878,0.001184859167061863,0.0012847086023300737,0.0013246723248597804,0.0013058617014604895,0.0011652928550520021,0.0011013153267542754,0.001099598247965243,0.001114626744013598,0.0011377652658802562,0.0011308287043306842,0.0012702983354051058,0.0011565790992575152,0.0011087624897178345,0.0011803245734923924,0.0011845056098864482,0.0013406687290630484,0.0013595495090514226,0.0010649612271907275,0.001224386199538662,0.0012584204882951215,0.001213698935301595,0.0012084352838136747,0.0011769395992312325,0.0012053869869557117,0.001391331032170548,0.001321413873849825,0.001415299385577424,0.0012475558927003308,0.001216731402450538,0.0011102521049279259,0.0013168908251518928,0.0013801967722834895,0.001205682278311383,0.0011861547482427514,0.001242331090390101,0.0012722872445057752,0.0012620389077678791,0.0010835336389257476,0.0014880075173579145,0.0013212104791838796,0.0012921749826034393,0.0013903378414105649,0.0012094482084509738,0.0012465668454888631,0.0011299169792576308,0.0011908043801187752,0.0011925108747199169,0.001220925888877919,0.001319065955184729,0.0012170661311951977,0.0013864420630490212,0.0012536392586713736,0.0013596684154247225,0.0012351357232011782,0.0011620192474690596,0.0012795749241056057,0.0011861355864740252,0.0010975880208601314,0.001459774308948189,0.0014050201154917512,0.001058176121423595,0.0012129804546355503,0.0014167371139681333,0.001155573759384145,0.0012131893037422353,0.0012038461570303706,0.001274020146217114,0.001213342793876946,0.0011395845079989345,0.0012436070752075588
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6685501628249587,0.7315736236907155,0.6786882358556593,0.7074193528279308,0.7062974736640586,0.6965306762369667,0.6590273673766952,0.657776316880477,0.6785959482489329,0.6887476406367815,0.6812165263675026,0.6823720462249503,0.7185755623455374,0.6973298802554498,0.6646252281099077,0.7019842650093737,0.6894620122667559,0.7161537404208053,0.6743303753389992,0.6827336249161898,0.6820203917323474,0.6848797156598887,0.6832388880289064,0.7065392920244049,0.7041446861544806,0.6866742513383863,0.7132238644563281,0.6979404034060451,0.6943466423775569,0.6736024728764333,0.7061540903357878,0.6879480700402294,0.6990142473767471,0.6575869316127314,0.6877335096730476,0.6643243681431723,0.6624526601630664,0.7037504241073932,0.6944493149941624,0.6939045660487574,0.6884825185059441,0.6764281033646024,0.6812764224039511,0.6796906647191715,0.6588325239835477,0.7236319667130161,0.726092932799891,0.7058138442161838,0.6797033214690006,0.7075289156010844,0.6802611977839211,0.6724107613006068,0.6910921985038174,0.7030598967926568,0.6933253080964303,0.6970681035529459,0.7244787413414655,0.6634049597228289,0.6918388513691436,0.6777009939299307,0.6645731948572451,0.701927940165843,0.6671638688033691,0.6879619680671868,0.6893645922031317,0.6608407219592988,0.6828763070034221,0.716508658576636,0.7109207200321294,0.7131848355103617,0.6877941210091364,0.6948878500220698,0.6677326877617109,0.6936144679277356,0.6918670738936005,0.6817891120479838,0.6809569900066015,0.6907199210818858,0.6970881614374204,0.6632198101383722,0.69990761507011,0.6957347090394964,0.7074774283657834,0.6677078421639611,0.6911912761500933,0.6680684192081353,0.6872765978495271,0.7078378664262853,0.7035184553098188,0.7038914486721708,0.6715140766902108,0.6970411847431758,0.6917757445032957,0.6741421412036743,0.6699583497663721,0.6582302540045075,0.6870774134374061,0.6898367999619711,0.6945928443450579,0.6875262779578364
NDCGk,0.23094236338626822,0.22461691171261616,0.22211397832100585,0.21727783885620588,0.2152387166690925,0.22025789901399212,0.2302311733507895,0.23316220661174758,0.21472325222420585,0.2177145469810565,0.21907559006961327,0.22681508238847758,0.20621591147054064,0.21954147379664335,0.2242266382980318,0.22665324514821297,0.218526865400131,0.222975750945378,0.22675966327570118,0.24098219097743742,0.21731174355128427,0.2277046987068198,0.22613345098652196,0.22239956934297514,0.2284474733653487,0.22517772782172776,0.2323565241332022,0.2397686549424394,0.22806904033044267,0.21730454560637208,0.23719760324154004,0.21892324163844265,0.23321128499487082,0.22704135197807204,0.219671274407797,0.2284645006139159,0.2232948963126457,0.22536030119263578,0.22030714477287652,0.23890848574236642,0.22980392264064958,0.2221309615023175,0.21360229301150688,0.2263422023750151,0.22765498513428417,0.23062525993691452,0.22075079621765625,0.2176238486606279,0.22356747241960542,0.22770700873325628,0.22277224269423798,0.22366510207881862,0.22502490347861365,0.23396008691624573,0.23613447767785659,0.22837832811966394,0.22683353689854957,0.24023233567358968,0.23360847342074922,0.22401459466406295,0.2222717636134635,0.2201443750676181,0.2188839954574831,0.24292405238427478,0.2155825407173966,0.23777205590302694,0.23749117181952487,0.2225411948639832,0.23038353371984788,0.22969128242516906,0.24093022922514964,0.24221699125496635,0.21942226027418724,0.2145810071103765,0.24562889809174535,0.2378766295071503,0.22630922217817628,0.22800159736146938,0.22996072462786565,0.21712636481300818,0.21650558955707983,0.2258631969170915,0.2307805499237788,0.22352270804750007,0.23140701561214086,0.2215789399494513,0.22903228162915157,0.22397144067597527,0.213753130868167,0.23172753743864566,0.23656418268495227,0.24321247942717347,0.23332387197925608,0.21994124653711064,0.22240594847422956,0.22993927130820188,0.23138895640872417,0.21813894871675096,0.22247872576621358,0.21431320285607602
global AUC,0.9297227700482582,0.9416341924913935,0.9285179937104058,0.937220714657089,0.9345343108416778,0.936540904770495,0.929861531496169,0.9256904846023789,0.9298976128314064,0.9339525152834373,0.9308006647990581,0.9325051948287689,0.938879422887896,0.9318529561496738,0.9302215453127318,0.9370978891626651,0.9344608484691546,0.9385446364341271,0.93118440913055,0.931450610745326,0.9289318173822824,0.9315549556448928,0.9331925984801401,0.9364255124035167,0.9357004100910443,0.9348714922520309,0.9371149203706872,0.9365761062512558,0.9381907195344766,0.9298708265563242,0.9333512680046521,0.9332813140974899,0.9363753680000476,0.9316675624145034,0.9319717803141958,0.9293881551843662,0.9328352862914306,0.9364818267408671,0.9325257235496066,0.9317635249660279,0.9355097189747722,0.9297831696850252,0.933991433327921,0.9312986405277212,0.9280844919653808,0.9428546820809773,0.9390619653104265,0.9402310217470382,0.9301730036317326,0.9360385954847211,0.9311192378348583,0.9297962579767206,0.9346043888776873,0.9329877931837579,0.9319961095682707,0.9329999322548562,0.9361995467895147,0.9327644671331856,0.9342382416357272,0.9327936264597606,0.9225646902233915,0.9365400176143215,0.9300259876154751,0.930226536022564,0.9320679035030519,0.9282270758516191,0.931350281779055,0.9421351290581499,0.9381947573728627,0.9353731261308412,0.9298558653793736,0.9343747030491142,0.9296310862911181,0.9323860092302503,0.9344175348031366,0.9346243991780451,0.9308169877424806,0.9309048563629901,0.9369815439242413,0.9253146115001465,0.9363427111606569,0.9352106524222438,0.9379433343926149,0.9285015466381359,0.9328627078141433,0.9298381441609943,0.9323122328847604,0.9377618434144381,0.940063363833641,0.9358917510583408,0.929676634276388,0.9355819729164583,0.9333678319040724,0.9318795525806366,0.9306862508594644,0.9277603769416326,0.931954077350059,0.931616125610683,0.9327928780358284,0.9341638629002429
global NDCG,0.5251052773116864,0.5337874446965566,0.5316512512924434,0.5313849323324746,0.5286020839405617,0.5357144156834418,0.5201366196463614,0.5192616069732965,0.5208654731540152,0.5307263866868217,0.5222135041019259,0.5190299825991125,0.5314766716378878,0.5258161463011902,0.5238563273815373,0.5313348465496471,0.531896050204974,0.5340009557759472,0.5192238368793541,0.5247563580406112,0.5210392665396363,0.5212903447321666,0.5211298013118558,0.5274609914809718,0.5308728698867848,0.5302930539959136,0.5316021439290927,0.5310243327106764,0.5253078655917254,0.5253585959525556,0.5256484718369829,0.5214402060695934,0.52581210306559,0.5296441104270165,0.5288004503838316,0.5184816513841749,0.5286553544095904,0.5305497853492458,0.52397597019556,0.5272256084349786,0.5276472542264138,0.5191719761008046,0.5283534029492495,0.5297600545938117,0.5241156098209668,0.5403060324390732,0.5295906295927857,0.5408274094969553,0.5241509680422272,0.5306323119851108,0.5380474408309377,0.5231415178562479,0.532482002948374,0.5321663491322738,0.5242677052313377,0.5238721105964868,0.5311729245323166,0.5211604009703388,0.5299139584947326,0.5221894448079213,0.5157137360003619,0.5267170380629086,0.5285940874886632,0.5228782048397671,0.5292517259641355,0.5180509824404419,0.5254363943954792,0.5396511204046848,0.5274435784905891,0.5240509002894976,0.5267475538924797,0.5242836439297652,0.5341199169226207,0.5244474611105353,0.5316550205546641,0.5208812826853088,0.5298539463191323,0.5254128727540546,0.5277227937421209,0.5180030962525127,0.5271844774820424,0.5298117949545712,0.526558108374329,0.526529239458494,0.5233564762897875,0.5291169267057516,0.5267161659627266,0.535427530991806,0.5321657982380243,0.5289556051899478,0.5268888765712448,0.5357173329156436,0.5200249876044004,0.5300076568045816,0.5222043838908427,0.5200653123152835,0.5213453112388927,0.526467689935646,0.5315220062238568,0.5274511336223092
