,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.0019762845849802,0.0039525691699604,0.0019762845849802,0.0,0.0098814229249011,0.0019762845849802,0.0019762845849802,0.0039525691699604,0.0098814229249011,0.0059288537549407,0.0039525691699604,0.0059288537549407,0.0059288537549407,0.0079051383399209,0.9960474308300395,0.0059288537549407,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0019762845849802,0.0079051383399209,0.0019762845849802,0.0019762845849802,0.0019762845849802,0.0,0.0019762845849802,0.0059288537549407,0.0059288537549407,0.0019762845849802,0.9960474308300395,0.0079051383399209,0.0039525691699604,0.0,0.0039525691699604,0.0,0.0,0.9960474308300395,0.0039525691699604,0.0059288537549407,0.0,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0059288537549407,0.0059288537549407,0.0019762845849802,0.0059288537549407,0.0039525691699604,0.0019762845849802,0.0039525691699604,0.0,0.0118577075098814,0.0059288537549407,1.0,0.9980237154150198,0.0019762845849802,0.0059288537549407,0.0079051383399209,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0059288537549407,0.0039525691699604,0.0079051383399209,0.0,0.9901185770750988,0.9940711462450592,0.0019762845849802,0.0059288537549407,0.0059288537549407,0.0019762845849802,0.0039525691699604,0.0079051383399209,0.9980237154150198,0.0059288537549407,0.0059288537549407,0.0019762845849802,0.0039525691699604,0.0019762845849802,0.0059288537549407,0.9980237154150198,0.0019762845849802,0.0,0.9940711462450592,0.0,0.0059288537549407,0.0019762845849802,0.0019762845849802,0.0039525691699604,0.0,0.0079051383399209,0.0019762845849802,0.001976284584980237,0.009881422924901186,0.9980237154150198,0.001976284584980237,0.005928853754940711,0.007905138339920948,0.005928853754940711,0.007905138339920948
AUC,0.4981476113346594,0.500680137960034,0.4979123394329724,0.4972412554516217,0.5058765061762179,0.4999295830845192,0.5004402093238851,0.4979843107514731,0.5037862078864285,0.5033768667840424,0.5004145630820889,0.5030491275786579,0.5049545830409008,0.5034342418677363,0.50191133862286,0.4989720210599815,0.5007283134574984,0.5001179765125632,0.5000108770897793,0.5001887902384973,0.5049047816926432,0.5000918760202079,0.4978424130505579,0.4982132804630916,0.4974550136858524,0.5000338802812895,0.5008991284866564,0.5029331971304809,0.5002174968258057,0.5013534509006559,0.5023586126342808,0.5003544983770682,0.4979202347740233,0.5012020012405808,0.4977701795694681,0.4976348566039523,0.4981687191997702,0.4998579961079706,0.4995291769745913,0.4974777589283056,0.50082489726598,0.4983851327825111,0.4997266410625059,0.5035630892601621,0.5026614689981839,0.4980693598200876,0.5050217981075945,0.4992379263890381,0.4976845109587912,0.5006232902509118,0.4974932052177756,0.5038207267381032,0.4995011821749144,0.5023925089996318,0.5020705934949014,0.4999753688650386,0.5039255517522332,0.5030601357196249,0.4984566456954351,0.4988848116001412,0.4982010975948577,0.5016121178699072,0.5019805272513094,0.5035445663194897,0.4975611704091887,0.4954741164379132,0.4955985852510142,0.4982372314859432,0.5011358623132989,0.4994120338595922,0.498244523854945,0.5003934026012788,0.5019756262264914,0.4999017990519439,0.5027957758776818,0.5006824387690921,0.500270970536329,0.4990076594570858,0.4990543055397159,0.5046419803231356,0.4999211166167689,0.4985782826793918,0.49783357492319,0.4973800535651074,0.497555168186809,0.5036629872905048,0.4978964774241045,0.4974864720381268,0.5001372680590088,0.4974212652686384,0.506789511990485,0.498000622230705,0.4980570558252365,0.503961352075127,0.5002040666705612,0.49793148137300464,0.5010331289704344,0.5032911816571207,0.5023604812505602,0.5023754457322767
Fscore,5.3711462025996354e-05,0.0001001018775291,5.921335063679024e-05,0.0,0.0001634025951832,2.0708435581234017e-05,2.611204679278785e-05,9.707712358499912e-05,0.0002020407404913,0.0001041135044545,7.166104607706387e-05,8.209325047856235e-05,6.580956017984769e-05,0.000166111682964,0.0012312173072534,0.0001487455894091,7.558578987150416e-05,3.875968992248062e-05,3.3775796264396935e-05,3.871467286101432e-05,0.0001574229190003,3.4385530568736674e-05,5.511785494277471e-05,3.3575073865162504e-05,0.0,1.9201228878648237e-05,0.0001301740717208,0.0001207096963278,3.35345405767941e-05,0.0012062889613378,0.0001882366969344,9.79128957282108e-05,0.0,7.314034947373232e-05,0.0,0.0,0.0011039250936594,9.895223738049984e-05,0.0001443247024533,0.0,7.049338365907344e-05,5.362828892240658e-05,2.185075931388616e-05,8.890355166796779e-05,6.804079184992675e-05,6.0518034374243536e-05,8.897726048873938e-05,8.608639855713368e-05,6.41101511026946e-05,9.612358778659788e-05,0.0,0.0002373957721748,0.0001661511328117,0.0012107172977035,0.0013951033807493,3.756009615384616e-05,0.0001084617500216,0.0001696159993547,0.0001235402765005,3.219056816352809e-05,4.091513519042587e-05,0.000144435890453,7.210998877665544e-05,0.0001839092906337,0.0,0.00127455541006,0.0012670189963117,4.831968302287937e-05,0.0001509378929381,0.0001539030494084,4.823461315840247e-05,0.0001003236638505,0.0001606519331444,0.0012500791841717,9.583253122314818e-05,0.0001364684771448,3.59040643400833e-05,0.0001097627327135,2.748574177145606e-05,8.823557696931229e-05,0.0013927306468728,5.531585352361987e-05,0.0,0.001234611952484,0.0,0.000120471540416,5.548311926096486e-05,5.0021080312417376e-05,8.474129855733666e-05,0.0,0.0001231551813778,6.387531538436971e-05,5.5820011474113466e-05,0.0002013810779530838,0.0012194372500970334,6.553079947575362e-05,0.00012564019620716637,0.00015606782145157093,0.00011618542465027401,0.0001685432707766871
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019762845849802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019762845849802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019762845849802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019762845849802,0.0,0.0,0.0,0.0,0.0,0.0019762845849802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019762845849802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019762845849802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019762845849802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5105888809328837,0.522578730401003,0.4707261325395153,0.518459577190648,0.5005459575228313,0.4637414512312879,0.5144772536686275,0.5088238671978079,0.5013531288643605,0.494087500703574,0.4886777216375815,0.4824103749841987,0.519943479430014,0.5012394165389467,0.4659532529924425,0.4933935421604571,0.4600114787250587,0.5148363288767414,0.5287217057865673,0.479966688476509,0.517417578489408,0.4953431932174442,0.5308211189956495,0.4913157253962167,0.5083815472062734,0.4889479427708121,0.4916596477340348,0.4957237649276694,0.4966567678132979,0.511288889188102,0.4910383684786212,0.4855378398357624,0.4812463754048494,0.4822760826781795,0.4943741643820593,0.5127553232500742,0.5128331296960126,0.4927236750576566,0.5066889994242536,0.4687227472723047,0.5133328167556327,0.5429836410139561,0.4772222629313907,0.5168152525875295,0.52944694575381,0.4824716669460326,0.4888011840515124,0.5101302477877275,0.4895420135518957,0.5069100875971637,0.5094573878032539,0.5070977595162499,0.50055982401443,0.5082387065285401,0.5391539765149765,0.5105646166836769,0.4865412464067797,0.4857605287233305,0.5113573858504353,0.4968273954938046,0.4841716057385083,0.4837457932539863,0.5091770822799638,0.4795364809016254,0.4641938057493251,0.4712165080735466,0.49284298581884,0.4815978383813478,0.4876550993799862,0.484041490935257,0.5271220848302312,0.4719364751634085,0.5017165526754073,0.4924416271139135,0.5046823401311125,0.454004352492568,0.513910830765317,0.5123866126385037,0.4863242204971211,0.5028249838157787,0.493635115520792,0.5224741986229697,0.5000513839836281,0.4842558529007223,0.5104173348509917,0.5077722050361493,0.5083266787714489,0.4754867385442224,0.471296800685301,0.5026220375939783,0.4888598800311414,0.4748595370454183,0.49549484612573946,0.4927840009975703,0.5237665296214011,0.5168730945350507,0.5091989521415333,0.5342465618941563,0.4963307813899814,0.49478819344930103
NDCGk,0.2293446804220764,0.2272299102353188,0.2193471136745282,0.2173616583980773,0.2284244587579716,0.2178454144495082,0.2273277387408077,0.2243949638838531,0.2246794790639227,0.2248783435311269,0.2185154660094861,0.2281266777961052,0.215350402051618,0.2268895358395967,0.2260218990468436,0.226635599714322,0.2169962116022635,0.2222949714732617,0.227975047176202,0.2383096509817351,0.2268668916540558,0.229845044451156,0.2249123432749675,0.2186521198665351,0.2192487999655404,0.2225864490511313,0.2321148600438007,0.2443369124689767,0.2272440062631678,0.2160536566474371,0.2404049764577168,0.2180802816190696,0.230614376797057,0.2310456226988925,0.2177844530298018,0.2276088737240529,0.2210279597979224,0.2247417114571767,0.217062675211152,0.2339098916348023,0.2296197252269128,0.2123518920240357,0.2126518687153052,0.2313547152578638,0.2343023251146837,0.2290422887997058,0.228531889618521,0.2137125876974097,0.2208588326705727,0.2301004263201868,0.2191471463012213,0.230509388330529,0.2243569196913712,0.2342667248238238,0.2375245683743514,0.2274520775876956,0.233713802308045,0.2399825717301678,0.2287009873887805,0.2195289480550618,0.2144363495617532,0.2224588272129389,0.2229658797161563,0.244651749485744,0.2127407169659833,0.2380488688279637,0.2387318594143305,0.2222080343757027,0.2328557485051111,0.2270681400873571,0.2352301622153387,0.2385663734367477,0.2255711542685512,0.2145032369040899,0.2470289191522427,0.2368375366620292,0.2277012985250825,0.2256146307748352,0.2231448708517533,0.2254016960165673,0.2164696565391295,0.2216455988927628,0.2238187102800105,0.2238216033186183,0.2211371913113648,0.2278631950285106,0.2228364302453986,0.21480892273952,0.2152517362344244,0.2302985493472806,0.2425183996344792,0.2376703259846134,0.22821050720617153,0.22542323812242235,0.22125492688098655,0.2261740688627501,0.23306036295596605,0.22851693341203846,0.22839179506457888,0.2189430754373773
global AUC,0.1023098874336817,0.1074473942310139,0.0963369861921844,0.1036858447536862,0.1091830404420692,0.0963828700555117,0.1055953078594749,0.103868504003367,0.107485344800658,0.1008434474856774,0.1001257673481053,0.1036103269534854,0.1084858160083658,0.1023664135202425,0.8914639957779837,0.1028034237306288,0.0959877095209147,0.1047102910831692,0.1038195570781897,0.0964524880846163,0.1096309776418682,0.0992622467674767,0.1065281617030291,0.0998305852983282,0.1004919876070342,0.0986324352504138,0.1031046625379854,0.1044556553562846,0.0984617909429839,0.9000745912148642,0.1047766890639404,0.1006406830135791,0.0977317453817095,0.0985713456032897,0.0993288930059425,0.099568271837152,0.8979088677546303,0.101868368425459,0.1058781975025188,0.0941133712280693,0.1059896213972313,0.1057236534367561,0.0958927765086536,0.1050752152908982,0.1082733840895703,0.0979167740320348,0.1023954523688187,0.1016851725010559,0.1005744274158974,0.1031215258069788,0.1001751669784905,0.1089162912000255,0.1024567756702435,0.90311970914479,0.9043857503704918,0.1038826291360224,0.1020083456059037,0.1040600676724189,0.1054392194848176,0.1008286250409679,0.0975759125664438,0.1045746365072899,0.1023315004565093,0.1039163447214638,0.0924313596316019,0.8900220603247799,0.8952195140536712,0.0971965309988503,0.1041404447519075,0.1019964219348641,0.1055843808700623,0.0998258245919486,0.1053518473796977,0.8986623043019275,0.1056141644917224,0.0975565849747462,0.1026631398789142,0.1023637995127519,0.0978962599145908,0.1066645500994469,0.8994232396919427,0.1061003881392228,0.098917588419497,0.8964097344587507,0.1024771364520526,0.1049528790101667,0.1032658876564127,0.0967544826176022,0.0992254644693368,0.1010912670785047,0.1033704077967052,0.0973873937049997,0.101010977619379,0.10743943173054321,0.9023869802099043,0.1048149426540059,0.10540066652517924,0.1109903747133007,0.10565210045797266,0.1059699287206888
global NDCG,0.3932927122433968,0.3950800641147112,0.3930766523550276,0.3923019812973749,0.4009811402125233,0.3941898663401473,0.3936800516526402,0.39413978434446,0.399378914586124,0.3960265962901686,0.3948120986543338,0.3966967944598666,0.3975658080970111,0.396150460278656,0.4942744671120138,0.3967714097247146,0.3943994361414626,0.3934170565867581,0.3933060309394524,0.3945245088332917,0.3985178423229901,0.3933255760125368,0.3933168126305064,0.3931852740421768,0.3921820497806798,0.3933284750117513,0.39594486947193,0.3963143803780617,0.3934473243500812,0.4983802641658992,0.4034906920417275,0.3947842482442027,0.3920843183389393,0.3951686338006673,0.3921424190723744,0.3921481294823079,0.4966099906491351,0.3940912067121944,0.3959172836419156,0.391962354240623,0.3954534106854857,0.3934053216578381,0.3935826067921134,0.3962072977459331,0.3959706856030284,0.3931561171639935,0.3959707775163901,0.3942788805125304,0.3932384708734224,0.3958511918456627,0.3921649166433187,0.4010655572262019,0.3958887175936565,0.4996852622224435,0.5027690010694875,0.3941001800036742,0.397088460641901,0.399224914644094,0.394271458951639,0.3932854402771014,0.393142767018987,0.3986434428872666,0.3958693385055644,0.3972131771980947,0.3918996791089644,0.4948581361596042,0.4949726940292623,0.3934918295994434,0.3960186067642924,0.3959964162787152,0.3974942709700504,0.3948865123509081,0.397607846813468,0.4961768697178104,0.3957084628629244,0.3953901193263039,0.3937503984142143,0.3941460961243218,0.3931474134639211,0.3966618041355662,0.5023151771162152,0.3934175933764344,0.3921227605724022,0.497603131471987,0.3922500568338574,0.3983555078514192,0.3932706529235081,0.3949557789731228,0.395588925049161,0.3922006253882106,0.3988233613109727,0.3972082539081041,0.393245378952511,0.39803508532187826,0.5027669106572032,0.393422119795312,0.3968756511717948,0.39766626897509955,0.3960751483500109,0.39717387133891113
