,1_LibMF,2_LibMF,3_LibMF,4_LibMF,5_LibMF,6_LibMF,7_LibMF,8_LibMF,9_LibMF,10_LibMF,11_LibMF,12_LibMF,13_LibMF,14_LibMF,15_LibMF,16_LibMF,17_LibMF,18_LibMF,19_LibMF,20_LibMF,21_LibMF,22_LibMF,23_LibMF,24_LibMF,25_LibMF,26_LibMF,27_LibMF,28_LibMF,29_LibMF,30_LibMF,31_LibMF,32_LibMF,33_LibMF,34_LibMF,35_LibMF,36_LibMF,37_LibMF,38_LibMF,39_LibMF,40_LibMF,41_LibMF,42_LibMF,43_LibMF,44_LibMF,45_LibMF,46_LibMF,47_LibMF,48_LibMF,49_LibMF,50_LibMF,51_LibMF,52_LibMF,53_LibMF,54_LibMF,55_LibMF,56_LibMF,57_LibMF,58_LibMF,59_LibMF,60_LibMF,61_LibMF,62_LibMF,63_LibMF,64_LibMF,65_LibMF,66_LibMF,67_LibMF,68_LibMF,69_LibMF,70_LibMF,71_LibMF,72_LibMF,73_LibMF,74_LibMF,75_LibMF,76_LibMF,77_LibMF,78_LibMF,79_LibMF,80_LibMF,81_LibMF,82_LibMF,83_LibMF,84_LibMF,85_LibMF,86_LibMF,87_LibMF,88_LibMF,89_LibMF,90_LibMF,91_LibMF,92_LibMF,93_LibMF,94_LibMF,95_LibMF,96_LibMF,97_LibMF,98_LibMF,99_LibMF,100_LibMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0010770131143762896,0.0016592687819056778,0.0011368302574235316,0.0013677096626538827,0.0011718765825564138,0.001217856678703857,0.0011481996961044273,0.00130715988415049,0.0010973959123893122,0.0011099213981987774,0.0010610466418164751,0.0010586836200979918,0.001212272448972387,0.0014016635286415082,0.0012323316301869917,0.0011810393637754113,0.0011682059746053331,0.0012055189900928482,0.0012068011457260581,0.0013084947346620036,0.0011434885567201156,0.0011793396189267854,0.0012963277277376008,0.0011514886424390362,0.001343504261453923,0.0013696047257913894,0.0012788937924243697,0.0011309621251255322,0.001247280918876677,0.0012090879992938878,0.001184859167061863,0.0012847086023300737,0.0013246723248597804,0.0013058617014604895,0.0011652928550520021,0.0011013153267542754,0.001099598247965243,0.001114626744013598,0.0011377652658802562,0.0011308287043306842,0.0012702983354051058,0.0011565790992575152,0.0011087624897178345,0.0011803245734923924,0.0011845056098864482,0.0013406687290630484,0.0013595495090514226,0.0010649612271907275,0.001224386199538662,0.0012584204882951215,0.001213698935301595,0.0012084352838136747,0.0011769395992312325,0.0012053869869557117,0.001391331032170548,0.001321413873849825,0.001415299385577424,0.0012475558927003308,0.001216731402450538,0.0011102521049279259,0.0013168908251518928,0.0013801967722834895,0.001205682278311383,0.0011861547482427514,0.001242331090390101,0.0012722872445057752,0.0012620389077678791,0.0010835336389257476,0.0014880075173579145,0.0013212104791838796,0.0012921749826034393,0.0013903378414105649,0.0012094482084509738,0.0012465668454888631,0.0011299169792576308,0.0011908043801187752,0.0011925108747199169,0.001220925888877919,0.001319065955184729,0.0012170661311951977,0.0013864420630490212,0.0012536392586713736,0.0013596684154247225,0.0012351357232011782,0.0011620192474690596,0.0012795749241056057,0.0011861355864740252,0.0010975880208601314,0.001459774308948189,0.0014050201154917512,0.001058176121423595,0.0012129804546355503,0.0014167371139681333,0.001155573759384145,0.0012131893037422353,0.0012038461570303706,0.001274020146217114,0.001213342793876946,0.0011395845079989345,0.0012436070752075588
HR@10,0.001976284584980237,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.003952569169960474,0.001976284584980237,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.1953161752627451,0.20272185169283766,0.2063031409177084,0.189224747166369,0.17337458116358917,0.17387251475595197,0.2094202416906254,0.18561131887249546,0.21912186144422133,0.17791665700715908,0.21617791982462242,0.21317783233692336,0.19124504364553482,0.20506635809970264,0.19068684140304062,0.19634744504117668,0.175758958684775,0.1836993517142285,0.20133538984214203,0.21241813048922958,0.1967976439076081,0.18327693694066693,0.20357804336651197,0.19902398644520014,0.17968336184084727,0.1840720618996033,0.19503159034919348,0.19171336984034454,0.19145597602593417,0.18856427813928406,0.20147053548079033,0.17775758015745002,0.19846507859831813,0.19770101163762913,0.20167762190608152,0.19563297024263693,0.19460516056291222,0.19844709248157893,0.19707863253917915,0.19739673704683922,0.18966994149129743,0.19251324686530788,0.19825184799639659,0.18669816418029,0.20208986936994897,0.20605875213712257,0.2045266800492145,0.2040026251475055,0.18983178424817354,0.19844409526469137,0.20704367506328283,0.19626894798101782,0.19007706593560633,0.19924916408026142,0.19517521953346023,0.18290219030006846,0.20610154200370415,0.20898061726107636,0.1971634833939686,0.17915664633905723,0.19355783462154297,0.18710040754598606,0.180474100810076,0.20445442446750395,0.2197022396276281,0.20826285084648116,0.18115406974371404,0.18552902288597453,0.19419106829726407,0.1741581604789631,0.2167066798668216,0.20337858641421494,0.19937376336741008,0.17228939103116309,0.19876416108816053,0.22534524548009024,0.2010356956786247,0.18606255333908375,0.17202162311857883,0.18963573970154618,0.21368962742753198,0.20438380105485193,0.18568563920594808,0.19713882126043905,0.19644554435461292,0.19808468099357948,0.2030365946872382,0.1783889810383779,0.18669294962157135,0.17955752287900714,0.19731493744667913,0.20896781074804446,0.1837779183237277,0.19180670930071053,0.20903277331320025,0.1985054398040993,0.19368539916407987,0.20349137407716278,0.18626919698713676,0.19531736095258936
NDCGk,0.23094236338626822,0.22461691171261616,0.22211397832100585,0.21727783885620588,0.2152387166690925,0.22025789901399212,0.2302311733507895,0.23316220661174758,0.21472325222420585,0.2177145469810565,0.21907559006961327,0.22681508238847758,0.20621591147054064,0.21954147379664335,0.2242266382980318,0.22665324514821297,0.218526865400131,0.222975750945378,0.22675966327570118,0.24098219097743742,0.21731174355128427,0.2277046987068198,0.22613345098652196,0.22239956934297514,0.2284474733653487,0.22517772782172776,0.2323565241332022,0.2397686549424394,0.22806904033044267,0.21730454560637208,0.23719760324154004,0.21892324163844265,0.23321128499487082,0.22704135197807204,0.219671274407797,0.2284645006139159,0.2232948963126457,0.22536030119263578,0.22030714477287652,0.23890848574236642,0.22980392264064958,0.2221309615023175,0.21360229301150688,0.2263422023750151,0.22765498513428417,0.23062525993691452,0.22075079621765625,0.2176238486606279,0.22356747241960542,0.22770700873325628,0.22277224269423798,0.22366510207881862,0.22502490347861365,0.23396008691624573,0.23613447767785659,0.22837832811966394,0.22683353689854957,0.24023233567358968,0.23360847342074922,0.22401459466406295,0.2222717636134635,0.2201443750676181,0.2188839954574831,0.24292405238427478,0.2155825407173966,0.23777205590302694,0.23749117181952487,0.2225411948639832,0.23038353371984788,0.22969128242516906,0.24093022922514964,0.24221699125496635,0.21942226027418724,0.2145810071103765,0.24562889809174535,0.2378766295071503,0.22630922217817628,0.22800159736146938,0.22996072462786565,0.21712636481300818,0.21650558955707983,0.2258631969170915,0.2307805499237788,0.22352270804750007,0.23140701561214086,0.2215789399494513,0.22903228162915157,0.22397144067597527,0.213753130868167,0.23172753743864566,0.23656418268495227,0.24321247942717347,0.23332387197925608,0.21994124653711064,0.22240594847422956,0.22993927130820188,0.23138895640872417,0.21813894871675096,0.22247872576621358,0.21431320285607602
global AUC,0.9018221720495044,0.9025698366054014,0.9037578372946231,0.899879453365179,0.8981753760406762,0.8983800937166956,0.9034840966777966,0.8991210407114435,0.9046961126481264,0.8987823076904992,0.9055324490111918,0.904962463947689,0.902082981361119,0.9027844626841157,0.9017017597659064,0.9022631799389441,0.8997073158607329,0.8982245821760935,0.9035176844835422,0.9040386313506563,0.9029791040184115,0.8980114675486377,0.9033917302119961,0.9012688129498457,0.8988971779861491,0.9004605224045779,0.9035724326069074,0.9015093016389841,0.9002086138614859,0.8994240027192687,0.9011798052646198,0.8975921237939039,0.9035808295583438,0.9004173620741948,0.9014619428328828,0.9008931333425811,0.9041091657427222,0.9035694097043904,0.9029418215540339,0.901235896900215,0.8997091631900489,0.8992016514452329,0.9028716230400256,0.902345973880107,0.9041941428912584,0.9026551496319952,0.9038723717122157,0.9037553182091922,0.9017556681941281,0.9017556681941281,0.9039388755675919,0.9013892252334437,0.8998277281443309,0.901718721607808,0.9023201112696828,0.8981861241385147,0.9037334861354576,0.9046662195010129,0.9016312253738407,0.8997084914339339,0.9011487365443052,0.8993596820712659,0.8992370865802946,0.9023980349790127,0.9038006617469488,0.9047869676626683,0.8991505979804996,0.9008081561940449,0.9014930115531975,0.8958566418710289,0.9056938384177994,0.9038742190415316,0.9012931641090113,0.8967166576371449,0.9018354392327739,0.9060085561576356,0.9019702942728425,0.8988395748992953,0.8974923680108394,0.9015225688222537,0.9035798219241715,0.901111789957985,0.8999829038068755,0.9025380961289717,0.9006991637644004,0.9003681559387775,0.9022514242069332,0.8987742466171202,0.9011480647881902,0.8983416356791168,0.9012466449980536,0.9044112880554037,0.897513024511373,0.9002012245442219,0.9046218835974287,0.9035484173257994,0.9037670739412031,0.904376524676457,0.8983055287879403,0.9012004617651534
global NDCG,0.4973479253210515,0.4963924266204179,0.49958921748722374,0.49612659453254504,0.49705333658016726,0.49663743197668625,0.49792886783583434,0.4985048281279898,0.4981294262941024,0.4913239244512766,0.5023967468428393,0.5049764170029238,0.5019466827324863,0.4996597789816394,0.4979832172892701,0.5013580635929773,0.49885857656309157,0.4979293854956564,0.5005778372712822,0.49785231735177216,0.5021147913358999,0.49475407527401943,0.4969438370641608,0.5018339473695181,0.495005936866638,0.5018702697003613,0.49827424133519294,0.5047885972967939,0.49837034430322597,0.4975902054761935,0.5013780759497111,0.4963962391910412,0.4993178140746218,0.4953180659343685,0.49695403802090365,0.49525212231284393,0.5006821289874055,0.5005619430456368,0.4991155045124006,0.5045381403291952,0.4972568392591912,0.4961264980550372,0.5032480667797015,0.5049384794391144,0.5002823529952554,0.4978524557403196,0.5005779033577609,0.5101821582512415,0.4978934976830919,0.49656466389075254,0.5008457816990189,0.5017977139898975,0.4956674259598864,0.49347602613590225,0.5006551029090578,0.4983006473845465,0.4997652938365519,0.503663069173838,0.5021503303037866,0.4957798464345165,0.49489678242041163,0.4958787606535039,0.5019894929557429,0.4962103511101514,0.5016372304895328,0.5037485078035945,0.5027359530572726,0.4998436477264259,0.5036778590257203,0.4946711513348665,0.49876397445576565,0.5011519520958185,0.4988939380913008,0.4990468164201306,0.5013314888587501,0.5046901569087744,0.4993720729059606,0.4937529862423383,0.4982660849846674,0.5017110144142763,0.5018933468483529,0.5021417315208185,0.5026865591639417,0.502626964368864,0.5001289233638119,0.49701112751010407,0.5018640281325177,0.4953475024233994,0.5039799824355883,0.49727082886054036,0.4978232008820612,0.5034859067775151,0.49530959051268414,0.49659419044339476,0.49864943625669667,0.5026369841492685,0.5041090694582345,0.5084461677908145,0.4974335627003435,0.4995728717139351
