,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0010770131143762896,0.0016592687819056778,0.0011368302574235316,0.0013677096626538827,0.0011718765825564138,0.001217856678703857,0.0011481996961044273,0.00130715988415049,0.0010973959123893122,0.0011099213981987774,0.0010610466418164751,0.0010586836200979918,0.001212272448972387,0.0014016635286415082,0.0012323316301869917,0.0011810393637754113,0.0011682059746053331,0.0012055189900928482,0.0012068011457260581,0.0013084947346620036,0.0011434885567201156,0.0011793396189267854,0.0012963277277376008,0.0011514886424390362,0.001343504261453923,0.0013696047257913894,0.0012788937924243697,0.0011309621251255322,0.001247280918876677,0.0012090879992938878,0.001184859167061863,0.0012847086023300737,0.0013246723248597804,0.0013058617014604895,0.0011652928550520021,0.0011013153267542754,0.001099598247965243,0.001114626744013598,0.0011377652658802562,0.0011308287043306842,0.0012702983354051058,0.0011565790992575152,0.0011087624897178345,0.0011803245734923924,0.0011845056098864482,0.0013406687290630484,0.0013595495090514226,0.0010649612271907275,0.001224386199538662,0.0012584204882951215,0.001213698935301595,0.0012084352838136747,0.0011769395992312325,0.0012053869869557117,0.001391331032170548,0.001321413873849825,0.001415299385577424,0.0012475558927003308,0.001216731402450538,0.0011102521049279259,0.0013168908251518928,0.0013801967722834895,0.001205682278311383,0.0011861547482427514,0.001242331090390101,0.0012722872445057752,0.0012620389077678791,0.0010835336389257476,0.0014880075173579145,0.0013212104791838796,0.0012921749826034393,0.0013903378414105649,0.0012094482084509738,0.0012465668454888631,0.0011299169792576308,0.0011908043801187752,0.0011925108747199169,0.001220925888877919,0.001319065955184729,0.0012170661311951977,0.0013864420630490212,0.0012536392586713736,0.0013596684154247225,0.0012351357232011782,0.0011620192474690596,0.0012795749241056057,0.0011861355864740252,0.0010975880208601314,0.001459774308948189,0.0014050201154917512,0.001058176121423595,0.0012129804546355503,0.0014167371139681333,0.001155573759384145,0.0012131893037422353,0.0012038461570303706,0.001274020146217114,0.001213342793876946,0.0011395845079989345,0.0012436070752075588
HR@10,0.0,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.0,0.0,0.001976284584980237,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.001976284584980237,0.003952569169960474,0.001976284584980237,0.003952569169960474,0.0,0.0,0.001976284584980237,0.0,0.003952569169960474,0.0,0.0,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.0,0.0,0.001976284584980237,0.0,0.0,0.001976284584980237,0.009881422924901186,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.001976284584980237,0.0,0.007905138339920948,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.0,0.003952569169960474,0.0,0.001976284584980237,0.0,0.0,0.0,0.003952569169960474,0.0,0.001976284584980237,0.0,0.001976284584980237,0.001976284584980237,0.0,0.001976284584980237,0.0,0.001976284584980237,0.0,0.0,0.001976284584980237,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.001976284584980237,0.0,0.001976284584980237,0.007905138339920948
HR@2,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237
HR@5,0.0,0.003952569169960474,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.007905138339920948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.003952569169960474,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.005928853754940711
Lin's AUC,0.8029865765138544,0.8356509204676426,0.8281870398815505,0.8115867543304097,0.8398316567509269,0.8015793788596245,0.8242266845857164,0.8102620165667159,0.8236027194041349,0.7831990749852644,0.824493866879802,0.812808284181659,0.8479895941545545,0.8125832005811977,0.8264935784214162,0.8367360052801769,0.8276482212238835,0.8127601810523857,0.8286332535946229,0.8219355658169702,0.8305497789885922,0.815813669340565,0.8274658228984336,0.8122518897057854,0.8295059616205113,0.8225385414884802,0.8272903907610315,0.8092178857294341,0.7981752630971278,0.8004330230582638,0.8202962281613833,0.8293183480249141,0.8401478236178401,0.8165228274227786,0.8285054439664207,0.8191107692573923,0.8220908380183589,0.8229408399239387,0.8196749909535248,0.82238130871924,0.8141176077144526,0.8470354415751395,0.8046906409226476,0.8318478636706094,0.803840708241968,0.8137820909571462,0.8199371415571282,0.7951218547491126,0.8100054351304118,0.823773966742159,0.8266938522412142,0.8164926936626776,0.8044999863234522,0.8201522266694347,0.8154863247619691,0.8327502368000437,0.8414069192037494,0.815541931923256,0.8357713592099433,0.8226470706800505,0.8115770746790857,0.8596919843488587,0.8096970779715926,0.82312563492094,0.8100460102007597,0.8232415963718992,0.8117939034348995,0.805782254326786,0.8305095153242694,0.8420108470208405,0.8075924142540948,0.8211598423964158,0.8128177093179325,0.8227031413446166,0.8225575215495178,0.7946262421796538,0.8197229778921095,0.8296122980386315,0.8224717258293925,0.8293670982508924,0.8267803831581994,0.8316517158316362,0.8282432265484145,0.8084090706902428,0.8347721914043499,0.8047318701910596,0.8109283798387663,0.8196475845950413,0.8213718482716083,0.8099773675452615,0.8230743421218121,0.8364710036881784,0.826499906512484,0.8305226326465032,0.7982392844404971,0.8157705076675515,0.8403344823474523,0.8630332108064975,0.8222986401006973,0.8135409894471287
NDCGk,0.23094236338626822,0.22461691171261616,0.22211397832100585,0.21727783885620588,0.2152387166690925,0.22025789901399212,0.2302311733507895,0.23316220661174758,0.21472325222420585,0.2177145469810565,0.21907559006961327,0.22681508238847758,0.20621591147054064,0.21954147379664335,0.2242266382980318,0.22665324514821297,0.218526865400131,0.222975750945378,0.22675966327570118,0.24098219097743742,0.21731174355128427,0.2277046987068198,0.22613345098652196,0.22239956934297514,0.2284474733653487,0.22517772782172776,0.2323565241332022,0.2397686549424394,0.22806904033044267,0.21730454560637208,0.23719760324154004,0.21892324163844265,0.23321128499487082,0.22704135197807204,0.219671274407797,0.2284645006139159,0.2232948963126457,0.22536030119263578,0.22030714477287652,0.23890848574236642,0.22980392264064958,0.2221309615023175,0.21360229301150688,0.2263422023750151,0.22765498513428417,0.23062525993691452,0.22075079621765625,0.2176238486606279,0.22356747241960542,0.22770700873325628,0.22277224269423798,0.22366510207881862,0.22502490347861365,0.23396008691624573,0.23613447767785659,0.22837832811966394,0.22683353689854957,0.24023233567358968,0.23360847342074922,0.22401459466406295,0.2222717636134635,0.2201443750676181,0.2188839954574831,0.24292405238427478,0.2155825407173966,0.23777205590302694,0.23749117181952487,0.2225411948639832,0.23038353371984788,0.22969128242516906,0.24093022922514964,0.24221699125496635,0.21942226027418724,0.2145810071103765,0.24562889809174535,0.2378766295071503,0.22630922217817628,0.22800159736146938,0.22996072462786565,0.21712636481300818,0.21650558955707983,0.2258631969170915,0.2307805499237788,0.22352270804750007,0.23140701561214086,0.2215789399494513,0.22903228162915157,0.22397144067597527,0.213753130868167,0.23172753743864566,0.23656418268495227,0.24321247942717347,0.23332387197925608,0.21994124653711064,0.22240594847422956,0.22993927130820188,0.23138895640872417,0.21813894871675096,0.22247872576621358,0.21431320285607602
global AUC,0.9648439430956562,0.9661163221942686,0.9666300330797536,0.9643988170491643,0.9692969267610448,0.9646671252034965,0.9682060386406092,0.966495703761862,0.9673276737101805,0.9599457019532317,0.9642831800753398,0.9643203311091733,0.9682064110271512,0.9661058296558215,0.968469045762991,0.9697582406695667,0.9671710523116493,0.9628480607561932,0.9655606192499046,0.965173256927598,0.9684197301021202,0.9643273991517736,0.9668963770776192,0.9629832516743192,0.9673818669045813,0.9674902898018675,0.9666443882158614,0.9651394062607642,0.9640784697010173,0.9663596658468954,0.9630883888079999,0.9654443762352373,0.9688357369813702,0.9660670211367915,0.9655487758975306,0.9639246229473085,0.9666917908321442,0.9665942401615439,0.9658316509371808,0.9653582965304688,0.9666805170121286,0.9675329025049828,0.9607347379237708,0.9684759458665626,0.9637874021574442,0.9649794917969307,0.9634088091731159,0.9608347054560454,0.9653208680321531,0.9647005669753039,0.9671426341073098,0.9642520310363593,0.963860733099423,0.9677510918117851,0.9656817178930114,0.9700140775255917,0.971170330436687,0.9667107022271183,0.9689806610614655,0.9678135505270782,0.9633494171705215,0.9713210666675156,0.9649028312811645,0.9669586970606712,0.9636190177252051,0.967870248203516,0.9645740942832781,0.9659478209348793,0.9681825563833749,0.9661656962687145,0.9644908403352104,0.9684517334396382,0.9663540508419783,0.966472645003048,0.964736571642724,0.9603235939746574,0.9648559251802712,0.9671559524024577,0.967632680193138,0.9690746119954935,0.9663049031201363,0.9692304083022747,0.9679607746416974,0.9634245662350287,0.9659861694470043,0.9641674846879401,0.9630791959716012,0.968083939665027,0.9657642635764796,0.962614654713049,0.9668537424694131,0.9687862095712891,0.9676716493494999,0.9671603480239922,0.9623079542364101,0.9670671272596543,0.9665131329123653,0.9700503450540999,0.9653685335095242,0.9649593683202707
global NDCG,0.6163247905297753,0.647194254578314,0.6395544825159862,0.6274093170522342,0.6300830570194118,0.6359739315517463,0.6355689923512312,0.6293258299699692,0.6274148819190037,0.6105140273105618,0.615712577264077,0.618411345778478,0.6230099947557045,0.6259197200849791,0.6314197718434961,0.6413830491179253,0.6332146102708506,0.6315316796806627,0.6202409039080328,0.6202651736698834,0.6289404697664884,0.6108602647040832,0.6361886395713079,0.6183200600594089,0.6267464128940058,0.62980133313189,0.6173168890201679,0.6223588895009661,0.623732007879985,0.6360340310222234,0.6136985876271963,0.6314872446217343,0.6469055182334852,0.6477702780547958,0.6291062649274061,0.62237794826842,0.6332658564002701,0.6347604571318575,0.6430035363488664,0.6230259214630117,0.6251185614893786,0.641516252675848,0.630749498480098,0.6466484113275154,0.61899149815832,0.6097319026409554,0.6192727845815871,0.6145186237172438,0.6250239886430818,0.6521510969402369,0.6563438112440902,0.6150087401498695,0.6031975581478726,0.6187340769616999,0.6325486482101739,0.6292705903674649,0.6323510074441927,0.6221306987475607,0.6269274395622466,0.6402847513954878,0.618899194470546,0.67403431346613,0.6364900503550555,0.6197663042079965,0.63272938363927,0.6399058180698012,0.6289017538175041,0.6317559602918168,0.6501561826389848,0.6252060494947452,0.6227555108186664,0.6302805611222518,0.6399256503929189,0.6331725257134808,0.630089488905461,0.6195104048580351,0.6277719521090309,0.6246452468495761,0.6246858361529664,0.6342084059128289,0.626066154826359,0.6380786609873087,0.6249512029787253,0.6156135300940462,0.6339576565998206,0.6249783680802978,0.6265790138752415,0.6325201860581553,0.6315891768478058,0.6119304337508504,0.6260615897049252,0.6366428699516077,0.6314306098187678,0.6217535741823567,0.612620340500867,0.6278864770027134,0.6400424556735288,0.643549162354154,0.6414297326706238,0.6493823817660835
