,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0010770131143762896,0.0016592687819056778,0.0011368302574235316,0.0013677096626538827,0.0011718765825564138,0.001217856678703857,0.0011481996961044273,0.00130715988415049,0.0010973959123893122,0.0011099213981987774,0.0010610466418164751,0.0010586836200979918,0.001212272448972387,0.0014016635286415082,0.0012323316301869917,0.0011810393637754113,0.0011682059746053331,0.0012055189900928482,0.0012068011457260581,0.0013084947346620036,0.0011434885567201156,0.0011793396189267854,0.0012963277277376008,0.0011514886424390362,0.001343504261453923,0.0013696047257913894,0.0012788937924243697,0.0011309621251255322,0.001247280918876677,0.0012090879992938878,0.001184859167061863,0.0012847086023300737,0.0013246723248597804,0.0013058617014604895,0.0011652928550520021,0.0011013153267542754,0.001099598247965243,0.001114626744013598,0.0011377652658802562,0.0011308287043306842,0.0012702983354051058,0.0011565790992575152,0.0011087624897178345,0.0011803245734923924,0.0011845056098864482,0.0013406687290630484,0.0013595495090514226,0.0010649612271907275,0.001224386199538662,0.0012584204882951215,0.001213698935301595,0.0012084352838136747,0.0011769395992312325,0.0012053869869557117,0.001391331032170548,0.001321413873849825,0.001415299385577424,0.0012475558927003308,0.001216731402450538,0.0011102521049279259,0.0013168908251518928,0.0013801967722834895,0.001205682278311383,0.0011861547482427514,0.001242331090390101,0.0012722872445057752,0.0012620389077678791,0.0010835336389257476,0.0014880075173579145,0.0013212104791838796,0.0012921749826034393,0.0013903378414105649,0.0012094482084509738,0.0012465668454888631,0.0011299169792576308,0.0011908043801187752,0.0011925108747199169,0.001220925888877919,0.001319065955184729,0.0012170661311951977,0.0013864420630490212,0.0012536392586713736,0.0013596684154247225,0.0012351357232011782,0.0011620192474690596,0.0012795749241056057,0.0011861355864740252,0.0010975880208601314,0.001459774308948189,0.0014050201154917512,0.001058176121423595,0.0012129804546355503,0.0014167371139681333,0.001155573759384145,0.0012131893037422353,0.0012038461570303706,0.001274020146217114,0.001213342793876946,0.0011395845079989345,0.0012436070752075588
HR@10,0.017786561264822136,0.019762845849802372,0.015810276679841896,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.015810276679841896,0.017786561264822136,0.015810276679841896,0.017786561264822136,0.017786561264822136,0.019762845849802372,0.017786561264822136,0.01383399209486166,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.015810276679841896,0.017786561264822136,0.017786561264822136,0.017786561264822136,0.015810276679841896,0.017786561264822136,0.017786561264822136,0.01383399209486166,0.019762845849802372,0.015810276679841896,0.019762845849802372,0.015810276679841896,0.019762845849802372,0.019762845849802372,0.015810276679841896,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.017786561264822136,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.015810276679841896,0.015810276679841896,0.015810276679841896,0.015810276679841896,0.019762845849802372,0.019762845849802372,0.007905138339920948,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.015810276679841896,0.019762845849802372,0.015810276679841896,0.019762845849802372,0.017786561264822136,0.017786561264822136,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.017786561264822136,0.019762845849802372,0.015810276679841896,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.011857707509881422,0.019762845849802372,0.015810276679841896,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.015810276679841896,0.01383399209486166,0.015810276679841896,0.019762845849802372,0.01383399209486166,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.01383399209486166,0.017786561264822136,0.017786561264822136,0.017786561264822136,0.017786561264822136,0.019762845849802372,0.019762845849802372,0.017786561264822136,0.019762845849802372
HR@2,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.001976284584980237,0.003952569169960474,0.001976284584980237,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474
HR@5,0.007905138339920948,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.005928853754940711,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.007905138339920948,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.005928853754940711,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.005928853754940711,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.005928853754940711,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.005928853754940711,0.009881422924901186,0.005928853754940711,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.005928853754940711,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.007905138339920948,0.009881422924901186,0.009881422924901186,0.009881422924901186,0.007905138339920948,0.009881422924901186
Lin's AUC,0.8669838791049232,0.9095407243793229,0.8642390438812569,0.8930599932136938,0.8701984842340097,0.8704757410049405,0.8684263416836252,0.8840561984933322,0.8866643845171227,0.8707863820361862,0.8676173799178891,0.8834624579110422,0.8730376247992856,0.8854031403188564,0.8785786447358414,0.8820145011618723,0.8953514308531053,0.8856238738564478,0.8832808688264469,0.8861939873781843,0.8809581117442062,0.9063073913179129,0.8840010475095518,0.8681416198742393,0.8837149973053039,0.8752209220494466,0.9022218933224471,0.8657401345922514,0.8743502408987603,0.8727156082638556,0.8784032776889118,0.8679327618789564,0.8835546013384205,0.8886531252244537,0.882396451061908,0.8905504719960358,0.8626252997895414,0.8574035287196841,0.8891096278891869,0.8851899612202774,0.8864154290810529,0.8696037538303265,0.8778942911085209,0.873977674296046,0.8698168876821233,0.8909095498255559,0.8835512726222086,0.846645768684103,0.8752387864180089,0.8746452855190032,0.8683416823567274,0.8697788045691547,0.8701620122701568,0.8971010083143718,0.8944863393779894,0.8883514934620143,0.8793768424168306,0.8645457301292958,0.8842082421488222,0.8630027047443034,0.8856988642881437,0.8863975858213241,0.8824629915663792,0.8807618028406822,0.8889478931055185,0.8762631922890822,0.8814699868116312,0.8603178096450979,0.8860549034979105,0.9008848288332141,0.8793463135881918,0.8917823398380034,0.894712469647091,0.8897850325586616,0.8834251482848637,0.8859958063918159,0.8753578662075764,0.8954027847864081,0.8880536933393332,0.8931014842511086,0.8726422398922118,0.902140866304195,0.8938232936019733,0.859440140097955,0.8718090911189273,0.8711537303284056,0.8831963819538728,0.8836477634507733,0.8871417746660359,0.877640089826966,0.8742720587800461,0.8809758544259607,0.8861070224668008,0.8581404855236203,0.8537345883883711,0.8887618476302114,0.8897034478117248,0.8910026451591163,0.8821207976396669,0.8924801910618078
NDCGk,0.23094236338626822,0.22461691171261616,0.22211397832100585,0.21727783885620588,0.2152387166690925,0.22025789901399212,0.2302311733507895,0.23316220661174758,0.21472325222420585,0.2177145469810565,0.21907559006961327,0.22681508238847758,0.20621591147054064,0.21954147379664335,0.2242266382980318,0.22665324514821297,0.218526865400131,0.222975750945378,0.22675966327570118,0.24098219097743742,0.21731174355128427,0.2277046987068198,0.22613345098652196,0.22239956934297514,0.2284474733653487,0.22517772782172776,0.2323565241332022,0.2397686549424394,0.22806904033044267,0.21730454560637208,0.23719760324154004,0.21892324163844265,0.23321128499487082,0.22704135197807204,0.219671274407797,0.2284645006139159,0.2232948963126457,0.22536030119263578,0.22030714477287652,0.23890848574236642,0.22980392264064958,0.2221309615023175,0.21360229301150688,0.2263422023750151,0.22765498513428417,0.23062525993691452,0.22075079621765625,0.2176238486606279,0.22356747241960542,0.22770700873325628,0.22277224269423798,0.22366510207881862,0.22502490347861365,0.23396008691624573,0.23613447767785659,0.22837832811966394,0.22683353689854957,0.24023233567358968,0.23360847342074922,0.22401459466406295,0.2222717636134635,0.2201443750676181,0.2188839954574831,0.24292405238427478,0.2155825407173966,0.23777205590302694,0.23749117181952487,0.2225411948639832,0.23038353371984788,0.22969128242516906,0.24093022922514964,0.24221699125496635,0.21942226027418724,0.2145810071103765,0.24562889809174535,0.2378766295071503,0.22630922217817628,0.22800159736146938,0.22996072462786565,0.21712636481300818,0.21650558955707983,0.2258631969170915,0.2307805499237788,0.22352270804750007,0.23140701561214086,0.2215789399494513,0.22903228162915157,0.22397144067597527,0.213753130868167,0.23172753743864566,0.23656418268495227,0.24321247942717347,0.23332387197925608,0.21994124653711064,0.22240594847422956,0.22993927130820188,0.23138895640872417,0.21813894871675096,0.22247872576621358,0.21431320285607602
global AUC,0.9779582361337525,0.9826819521168443,0.9736974112257135,0.9778520840642029,0.9755238430851901,0.9759104898412001,0.9753385917331093,0.9803549378229112,0.9797818714433161,0.9758260019063563,0.9769315080239881,0.9794623418852219,0.9752391280179209,0.9807605908959551,0.9782026020239457,0.9779213114525233,0.9807158460973445,0.9772831942552352,0.9772369161002753,0.9776127344397808,0.9798329249080494,0.9819996669550008,0.9780451336285739,0.9742215051241923,0.9778293830885368,0.9782928582993416,0.9804400610053856,0.9751741940273784,0.9760356847362686,0.9764754294321443,0.9761722045632305,0.9759912393072309,0.978098720782132,0.9778156851051502,0.9766955463869282,0.9797725325729795,0.9736926213125463,0.9726166578605768,0.9764911718906631,0.9768619374559132,0.9780461120559587,0.9753731506645427,0.9761796815008574,0.9775255886872649,0.9757145707099469,0.9793708005111713,0.9773494352495229,0.9700346245006717,0.9774591432454637,0.9759119647839742,0.9749470747452661,0.9770448011531072,0.9750606818473521,0.9798839272609043,0.9804236029805702,0.9800408407273115,0.9775924868342738,0.9749140272650911,0.9780166497089624,0.9750426028458247,0.9782688576216273,0.9799027510355156,0.9775085100182129,0.9777204052622862,0.9797375428414288,0.9785072215169676,0.9771393946364626,0.9739687860927441,0.9795166592084702,0.9821308054313468,0.9777551394344453,0.9805361878450901,0.9806893263341994,0.9776665917561241,0.9774709719944438,0.9777114022700071,0.9767640874157401,0.979547340938849,0.9792173553507924,0.9793999415835041,0.9768124173475292,0.9807567502033852,0.9807938574270372,0.9725694012782322,0.9741677427299086,0.9778381159180307,0.9768461292821221,0.9789330856870342,0.9789104431249435,0.976683586207404,0.9774855242763679,0.9762334073866565,0.978820223358032,0.9740865916705485,0.9726101739537285,0.9792828223652086,0.9783195313981218,0.9789334945820606,0.9766844843161231,0.9805829187052578
global NDCG,0.7717014381294394,0.8098903069824076,0.7531185911788798,0.7755288198472158,0.7998137848368181,0.7423036400641098,0.7481094659508745,0.8181882353882466,0.7964379082986791,0.7598059172051946,0.7824646215081487,0.7910112491194162,0.8030150671871207,0.7971567982337574,0.8095829306525405,0.795445832339597,0.8114531640321793,0.787730485399675,0.7862318473930757,0.7949243958102031,0.7988465696386637,0.8070228788591262,0.778240084899667,0.7523897256194539,0.7788108931526705,0.7891376850991273,0.780382491392893,0.7374525992750627,0.7728857868365994,0.7574814731661322,0.7812296049389061,0.7905709839317091,0.783571131441172,0.7854807798856815,0.7611472263508798,0.803781456167074,0.7530539379697199,0.7583256735781577,0.7759406744637838,0.7725767708361828,0.7669736623784648,0.7921512379466739,0.7488348482014062,0.8007493687025223,0.7743532264781298,0.7885772820402267,0.7639356229001886,0.7399729552896369,0.7639348885463066,0.7546193244055852,0.7758047819600545,0.7787116400295087,0.7163609201398566,0.8131868535666633,0.7809504382214525,0.8357283662169946,0.7918519093503792,0.7555061995140435,0.7827629080446719,0.7607884551272787,0.7770660016896556,0.809126061224025,0.7858111753240372,0.773654124292109,0.7777044660186964,0.8204341336907229,0.7817364466522453,0.7522945095645563,0.8216126604466996,0.8120070236061431,0.7934677345739223,0.8069715324737813,0.8149353029495031,0.7577776866511713,0.8013264969196213,0.7877409652824513,0.790118337733776,0.7711224879504825,0.8027344789712706,0.7736000144424985,0.7689087264092325,0.7735657529351648,0.8020396383480134,0.7316287533569196,0.7618600874533547,0.8066763127294868,0.7632129531871387,0.7827269208084265,0.7851293088981137,0.7972432302614003,0.8062901151345165,0.748866410335046,0.7872068930615085,0.762857293158583,0.7284321196673298,0.7976167138618961,0.7746300700735363,0.7842191995034706,0.7570836940692139,0.8249655009189855
