,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0010770131143762,0.0016592687819056,0.0011368302574235,0.0013677096626538,0.0011718765825564,0.0012178566787038,0.0011481996961044,0.0013071598841504,0.0010973959123893,0.0011099213981987,0.0010610466418164,0.0010586836200979,0.0012122724489723,0.0014016635286415,0.0012323316301869,0.0011810393637754,0.0011682059746053,0.0012055189900928,0.001206801145726,0.001308494734662,0.0011434885567201,0.0011793396189267,0.0012963277277376,0.001151488642439,0.0013435042614539,0.0013696047257913,0.0012788937924243,0.0011309621251255,0.0012472809188766,0.0012090879992938,0.0011848591670618,0.00128470860233,0.0013246723248597,0.0013058617014604,0.001165292855052,0.0011013153267542,0.0010995982479652,0.0011146267440135,0.0011377652658802,0.0011308287043306,0.0012702983354051,0.0011565790992575,0.0011087624897178,0.0011803245734923,0.0011845056098864,0.001340668729063,0.0013595495090514,0.0010649612271907,0.0012243861995386,0.0012584204882951,0.0012136989353015,0.0012084352838136,0.0011769395992312,0.0012053869869557,0.0013913310321705,0.0013214138738498,0.0014152993855774,0.0012475558927003,0.0012167314024505,0.0011102521049279,0.0013168908251518,0.0013801967722834,0.0012056822783113,0.0011861547482427,0.0012423310903901,0.0012722872445057,0.0012620389077678,0.0010835336389257,0.0014880075173579,0.0013212104791838,0.0012921749826034,0.0013903378414105,0.0012094482084509,0.0012465668454888,0.0011299169792576,0.0011908043801187,0.0011925108747199,0.0012209258888779,0.0013190659551847,0.0012170661311951,0.001386442063049,0.0012536392586713,0.0013596684154247225,0.0012351357232011782,0.0011620192474690596,0.0012795749241056057,0.0011861355864740252,0.0010975880208601314,0.001459774308948189,0.0014050201154917512,0.001058176121423595,0.0012129804546355503,0.0014167371139681333,0.001155573759384145,0.0012131893037422353,0.0012038461570303706,0.001274020146217114,0.001213342793876946,0.0011395845079989345,0.0012436070752075588
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5476934110146374,0.6069664405924484,0.5837093105403534,0.5783615151211486,0.5949706593019335,0.5785481529275899,0.5959490348373817,0.5645884999108146,0.5815577774896618,0.5576783941248198,0.5790561043537795,0.5666676224274948,0.5777761310927058,0.5777633407661409,0.582766318595812,0.5504016122141241,0.584579326587662,0.5781629438946619,0.55053005542959,0.5647849016664445,0.5828959060845198,0.5732784840999289,0.5930702133901683,0.5893611248479635,0.572226658191783,0.5556260272252485,0.5754544542037381,0.5935236287439778,0.5729026770489586,0.5601752661347763,0.6078632494330928,0.5899879364295704,0.5978778045199943,0.5596908057393747,0.5731861232112697,0.5841378554135764,0.5775133683226051,0.5903649027796691,0.5534424063009554,0.5761401681069512,0.5942436491012992,0.5525944997079111,0.5639049950964243,0.5682255330011908,0.5844813615361641,0.5626162259655229,0.5876365874921752,0.5579183287537957,0.5973494340693389,0.5957258644923533,0.5864667714904117,0.6032566663704632,0.5668466653920182,0.585683946003647,0.5938411577585258,0.5942037904951466,0.5634477699875275,0.5778874596783995,0.5633248232885314,0.5789893100470204,0.5643431960264479,0.5681617405804763,0.5736933519358015,0.5928153806207496,0.5684929135534934,0.5805864354401633,0.5556825574195748,0.5640870664355679,0.5736508071935927,0.5651875695336176,0.5878644868328374,0.5904860937961008,0.5682203971559063,0.5637750496319819,0.5684986358348221,0.5802206512172433,0.5708168116715016,0.5730766465584294,0.5760389684377898,0.5736693481467481,0.5838640688661927,0.579798473672958,0.5694697565016122,0.5714802247933936,0.5786617916814919,0.569660048178275,0.5719850514160371,0.574020839765692,0.5706516811888466,0.5674263464446504,0.5825845424863422,0.5790416424659932,0.5849114183053763,0.5840867706856815,0.5666069957098847,0.5724064748085762,0.591642039306565,0.5927968398144363,0.5827670398176955,0.5667659916118671
NDCGk,0.2309423633862682,0.2246169117126161,0.2221139783210058,0.2172778388562058,0.2152387166690925,0.2202578990139921,0.2302311733507895,0.2331622066117475,0.2147232522242058,0.2177145469810565,0.2190755900696132,0.2268150823884775,0.2062159114705406,0.2195414737966433,0.2242266382980318,0.2266532451482129,0.218526865400131,0.222975750945378,0.2267596632757011,0.2409821909774374,0.2173117435512842,0.2277046987068198,0.2261334509865219,0.2223995693429751,0.2284474733653487,0.2251777278217277,0.2323565241332022,0.2397686549424394,0.2280690403304426,0.217304545606372,0.23719760324154,0.2189232416384426,0.2332112849948708,0.227041351978072,0.219671274407797,0.2284645006139159,0.2232948963126457,0.2253603011926357,0.2203071447728765,0.2389084857423664,0.2298039226406495,0.2221309615023175,0.2136022930115068,0.2263422023750151,0.2276549851342841,0.2306252599369145,0.2207507962176562,0.2176238486606279,0.2235674724196054,0.2277070087332562,0.2227722426942379,0.2236651020788186,0.2250249034786136,0.2339600869162457,0.2361344776778565,0.2283783281196639,0.2268335368985495,0.2402323356735896,0.2336084734207492,0.2240145946640629,0.2222717636134635,0.2201443750676181,0.2188839954574831,0.2429240523842747,0.2155825407173966,0.2377720559030269,0.2374911718195248,0.2225411948639832,0.2303835337198478,0.229691282425169,0.2409302292251496,0.2422169912549663,0.2194222602741872,0.2145810071103765,0.2456288980917453,0.2378766295071503,0.2263092221781762,0.2280015973614693,0.2299607246278656,0.2171263648130081,0.2165055895570798,0.2258631969170915,0.2307805499237788,0.22352270804750007,0.23140701561214086,0.2215789399494513,0.22903228162915157,0.22397144067597527,0.213753130868167,0.23172753743864566,0.23656418268495227,0.24321247942717347,0.23332387197925608,0.21994124653711064,0.22240594847422956,0.22993927130820188,0.23138895640872417,0.21813894871675096,0.22247872576621358,0.21431320285607602
global AUC,0.9033990428614428,0.908871117061637,0.904997019228274,0.9116005534277356,0.9118829830638746,0.9092472238181702,0.9119812127922864,0.9085991507571574,0.9125221444038196,0.9087044266230792,0.9105645193052704,0.9076719885863378,0.90942642206352,0.91011908293666,0.9112656720519066,0.911561576969677,0.9109158623567633,0.9051558311358756,0.906178700298828,0.9098902696608668,0.911731973019412,0.9078332100539168,0.9093966201876176,0.9111702461751046,0.909272630072538,0.9067546216419112,0.911467166028744,0.9118886783874576,0.9147135990439332,0.9131201533800292,0.91089687794482,0.9114522340585812,0.9100402866745508,0.908556490593012,0.9087135939035388,0.9090993206457392,0.9130182728031664,0.9105876766369928,0.9064122450742133,0.911109233195798,0.9095836677571362,0.9051719897911176,0.9089704128377968,0.9119824759858506,0.91410417021377,0.9092050127083844,0.9108995467150374,0.9103922138617956,0.9117198558534044,0.913445067939588,0.912015534418571,0.9154260840241604,0.9093531495351164,0.9088790247993812,0.912492842694155,0.9101332445778,0.9097432901530936,0.909378303880941,0.9091998686629176,0.9100348870696924,0.9051758925481116,0.9133309314644767,0.9107680979165732,0.91125944370445,0.9115738657255616,0.9097868557276548,0.9083263630117764,0.9113283498181068,0.9099126785686564,0.908876180788438,0.9084068350133246,0.9091554049796376,0.911087583664486,0.9058042838851272,0.9116566998260576,0.9087484156960608,0.9094224827980418,0.90715378350641,0.9125483647973918,0.9089017695852284,0.9131043488570868,0.9111974997587884,0.9106344805141295,0.9084321609490266,0.909992705166694,0.9081671422091486,0.9097458493978576,0.9093056008848955,0.91262219225476,0.9087068617389957,0.9113505688817772,0.9107806057233649,0.9106286282040631,0.9091499506120524,0.9072462667993609,0.9088496026117177,0.9117743703224691,0.9135259816937988,0.9109260555256372,0.9047127459136673
global NDCG,0.5116953307025015,0.5147420522228698,0.508089474057574,0.5177537288413319,0.5153388482170917,0.508373923377746,0.5163564518808121,0.5096065239334756,0.5143064518501356,0.5115515052596848,0.5108487111469738,0.5108498674443265,0.5205681036168406,0.5174362247939672,0.5094496890488502,0.5154973540382278,0.512232040158077,0.5105568022880238,0.5075439613858174,0.5108066769537906,0.5240501053058584,0.5102919367991091,0.5078117503155958,0.512818116102411,0.5150914630811707,0.5107135784145831,0.5128884168572769,0.5182696109968028,0.5146308070438673,0.5168648214747515,0.5137125583723806,0.5131205446967171,0.5113750467162052,0.5094673961115632,0.5096632787512093,0.5148504831889305,0.5171191251466747,0.5174528647941982,0.512655649609113,0.5091550139928956,0.5153567431238558,0.5049748250528324,0.509709364370285,0.5200070733426315,0.5134905032039246,0.5094759331754283,0.5132627691063437,0.5165824766983484,0.5164008721397166,0.5216628838982517,0.5192366876795926,0.5221334608744147,0.5135018142180472,0.5126096494780099,0.5138174353800606,0.5118772828440764,0.5111103465371918,0.5125117689232144,0.5138456514383059,0.5129910852837334,0.5052672063743459,0.5185730116273969,0.5145799067710919,0.5157930992942074,0.5132315880402853,0.5150419900595445,0.5091577496796411,0.5134239602575321,0.5115775443991734,0.510960657731763,0.5117483070306393,0.5138924670548509,0.5131723495649702,0.5048767392185527,0.5128481953057714,0.5064863063513022,0.5137178338893337,0.5088885367542118,0.5173637897426365,0.5088950172140548,0.5144073092665442,0.5143479030438882,0.5112610293601514,0.5109695412352998,0.5088840706522124,0.5084588486222836,0.5132050122623384,0.5153701608973967,0.5187278063796369,0.5111907631456104,0.5137614481856623,0.5232126408139617,0.518955378903939,0.5126729353573761,0.5033951896682799,0.5117061896487843,0.516737378020708,0.5151609821961375,0.5140215900273609,0.5122052551339983
