,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.6363636363636364,0.616600790513834,0.6482213438735178,0.6126482213438735,0.6264822134387352,0.6521739130434783,0.5988142292490118,0.650197628458498,0.5928853754940712,0.6363636363636364,0.616600790513834,0.6245059288537549,0.6324110671936759,0.6245059288537549,0.6185770750988142,0.650197628458498,0.6106719367588933,0.6640316205533597,0.6185770750988142,0.6541501976284585,0.642292490118577,0.5928853754940712,0.6324110671936759,0.6284584980237155,0.6106719367588933,0.5869565217391305,0.6067193675889329,0.642292490118577,0.6067193675889329,0.5968379446640316,0.5909090909090909,0.6126482213438735,0.6245059288537549,0.6403162055335968,0.5909090909090909,0.6541501976284585,0.6541501976284585,0.6086956521739131,0.6403162055335968,0.616600790513834,0.5849802371541502,0.6442687747035574,0.5948616600790514,0.6541501976284585,0.5988142292490118,0.6403162055335968,0.6343873517786561,0.6324110671936759,0.6403162055335968,0.6383399209486166,0.6205533596837944,0.6146245059288538,0.6225296442687747,0.6442687747035574,0.66600790513834,0.6086956521739131,0.6284584980237155,0.6106719367588933,0.6067193675889329,0.6225296442687747,0.6047430830039525,0.616600790513834,0.6086956521739131,0.66600790513834,0.650197628458498,0.6778656126482213,0.6561264822134387,0.6284584980237155,0.66600790513834,0.6521739130434783,0.6304347826086957,0.6521739130434783,0.642292490118577,0.6007905138339921,0.6027667984189723,0.6245059288537549,0.6205533596837944,0.6383399209486166,0.6363636363636364,0.642292490118577,0.6106719367588933,0.6284584980237155,0.6383399209486166,0.6185770750988142,0.6245059288537549,0.5790513833992095,0.6383399209486166,0.6343873517786561,0.6284584980237155,0.6343873517786561,0.6541501976284585,0.6086956521739131,0.6699604743083004,0.6086956521739131,0.6185770750988142,0.616600790513834,0.6007905138339921,0.567193675889328,0.6106719367588933,0.6027667984189723
AUC,0.5689314465349206,0.5526927583633774,0.5577077571182244,0.5576260492013535,0.5672739674161625,0.5636952289117662,0.5500849331725638,0.5674270820201733,0.5509864518608063,0.5661920667007662,0.558678928859594,0.5589401172467661,0.5694602824426936,0.5710240319013615,0.5678882168979446,0.5756109247701846,0.5402728212217063,0.5798179356977037,0.5575928356157615,0.5723777607454805,0.5613244536235512,0.5561656349196387,0.5552579948609146,0.5583732973225851,0.5516062477853205,0.5380294460536542,0.5632892732650601,0.5810069726471219,0.5617038984751819,0.5541650223529743,0.5536649374242201,0.5699524609708065,0.5633402736724851,0.5469815566224037,0.5565808434496023,0.578370871661818,0.5756483982610598,0.5477713570597141,0.5597665936527937,0.5679288565306075,0.5475366865374999,0.5777362371598671,0.5603004255532041,0.5852750656481254,0.5567574170245045,0.5803866181534032,0.5622665992035838,0.5700037456922434,0.5649192606541166,0.5640110012615485,0.5665707727761651,0.5668983972727178,0.5602956006829436,0.567000848163008,0.570903747409288,0.536762549342418,0.567267474303146,0.5651607765833705,0.5496117881691686,0.5554075546168937,0.5422355203867886,0.5640947514235803,0.5550076827976339,0.5783414203153718,0.5729719944262316,0.5992854012306491,0.5816313117525259,0.5631834509539754,0.5701549253410813,0.5827247459517246,0.5557356468262682,0.5968243973044253,0.5771638170132515,0.5473095943131447,0.5458819304230573,0.5669427897075264,0.5615345718506106,0.5543491880426122,0.5536753898728651,0.571239169214137,0.5543175823166624,0.5665017846369498,0.5717253998983453,0.5548260241598547,0.5614477810397909,0.550968581324641,0.5609038460485144,0.5722338794288541,0.570499936108154,0.5730329740349326,0.5766839178226132,0.5366948460385499,0.5841019272915805,0.5511601817621211,0.5785146694878457,0.5706784514492219,0.5562695031883874,0.5274816443491008,0.5557870172537835,0.5422232916898273
Fscore,0.0013352154754118443,0.0019328217844085775,0.0014805752308304702,0.0016217005638492117,0.0013360659446674447,0.0015355859309537784,0.0013235882297468469,0.0016636761409020502,0.0012998614762716797,0.0013892483154840833,0.0012782776678526902,0.0012649505204601476,0.0014585320342977335,0.0016476161543727207,0.0014363950277103941,0.0014539864810653791,0.001465434606442253,0.0014894579777178492,0.0013885117980230986,0.0016565795388936396,0.001445781649041099,0.0012857026759625252,0.0016427861896715534,0.0013865096116869966,0.0016135043972837794,0.0015290786501335645,0.001432107225653576,0.0013392915058075031,0.001425712192578827,0.0013648798669912761,0.0013091053688741097,0.001512484805127791,0.0015566103035598792,0.001614084612861764,0.0012692408953252942,0.0013681228667925534,0.00145513452848252,0.001352705246640077,0.0014556190768039803,0.0013718422910378386,0.0014288674252327881,0.0014022330249738497,0.0012150249723878808,0.0014745762100256937,0.0013609783161565312,0.0015329713693589759,0.0016819158671258852,0.0012961508186397387,0.0015432265158841084,0.001559514042404345,0.0013694156372908695,0.0013648407346413035,0.0013657389435827764,0.0014806467595676013,0.0017954626058508817,0.001612797008049258,0.0017150474868401068,0.0014670158554855985,0.0014229194249770465,0.001403765910371549,0.0015527191112463675,0.001599104007065556,0.0013906205024311006,0.0015443258808695908,0.0015854449591620684,0.0015842911797612435,0.0015761277506388977,0.0013093745155239673,0.0019297336541336293,0.0016455974974657135,0.0015894189936286108,0.0015943026065673939,0.0014614021517763386,0.001383826827411965,0.001357708738319833,0.0014361786959285097,0.0013987641677454103,0.0015901362766436496,0.0016725478223195646,0.001530061749094521,0.0016875436184119962,0.0015058668992757552,0.0016648307898417848,0.001446506497633749,0.001346274540426899,0.0013359830335501952,0.00140979332542613,0.001375077620161827,0.0016097440718128345,0.0017213407966460879,0.0012989779314315838,0.0015118490974675464,0.0018543418815264868,0.0013103709928900752,0.001361433079669131,0.0013503020787991797,0.0014087300123481082,0.0013419096015574675,0.0013181880265316478,0.0014522214366119235
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5661232467005224,0.5652026897909039,0.6043860715350126,0.5705803102952799,0.5647739018322278,0.5985073564220165,0.554803423256844,0.5746125430232857,0.5616052642617035,0.5671729020939552,0.583960981965674,0.5807087504258293,0.5695008269825053,0.589815042797572,0.573550715871303,0.570014721725991,0.5753209161315663,0.5966555310367807,0.5784910146057644,0.595378124702566,0.5772755933135443,0.576867849628749,0.572355359857853,0.5599740937902584,0.576346973580342,0.5584688439099283,0.5579567567283977,0.5901437678576968,0.5723031643138253,0.5783526526200061,0.5577231273317761,0.5848859601565458,0.5849499871989019,0.5706201303506919,0.5420265666736043,0.5879886082167692,0.5821369315515702,0.5570145292312937,0.5702058383393966,0.568574145698276,0.5749762744844171,0.5931990188952619,0.5610705297755774,0.5797636527464276,0.5758807975681436,0.5943850944837208,0.5731154838544015,0.5621630011133927,0.5641083185875448,0.5646418890341238,0.5752334536059306,0.5888348090053673,0.5827894601853805,0.5718730873207274,0.5752544447452038,0.5683478327531447,0.5841723035451746,0.5768628396255489,0.5615282489180844,0.5592918720925306,0.5566798268782333,0.5703399719575659,0.5611945574675263,0.6006325183818874,0.5950729412147286,0.5994172886002476,0.5955731682380996,0.5818807350569402,0.5810484202284045,0.5894520110226853,0.5822320446160216,0.6024040633347514,0.5791521380755881,0.5632041930488263,0.5656872062829919,0.5801881769674228,0.5771945033192464,0.5848589485530951,0.5706221792155112,0.5731639525803462,0.5606124747116632,0.5674383296941623,0.5837758230389752,0.5685114812883432,0.5728742455732156,0.5399728905300297,0.5767109835051454,0.5763079246187972,0.5804299236596578,0.5591793985027087,0.5926623107708449,0.5658372116450412,0.5972279798807039,0.5666586377028509,0.5716201955513504,0.566762020805468,0.5506711303922733,0.5353933879268392,0.5421396397545262,0.5434885849488177
NDCGk,0.24809344802380123,0.23219361804871397,0.23016730559033496,0.24663315235011204,0.24402855104068466,0.2507435605946151,0.2241410962218111,0.2503844241546427,0.24480387843090462,0.2375413908751466,0.2351550540724124,0.24171039201848096,0.23898498195957205,0.25215165423525887,0.23918234818110656,0.24665864713249747,0.22913762464125076,0.2554761702428742,0.23759623815689315,0.24687017693843982,0.2436192117026952,0.23751835044980243,0.24466269531844737,0.23800560631438233,0.23587617054326598,0.2230634589680012,0.24404916696700119,0.24939635033629667,0.24110473994928347,0.23051271427908926,0.21951748002179136,0.2400595553319351,0.23799798696847296,0.2323102932929566,0.2391501426081075,0.24577040544849593,0.2459607272927522,0.2349018952724808,0.2441794870101492,0.24275762277930213,0.22444930397262,0.24480120679593897,0.23526528532806143,0.23795449689599493,0.23241835240305353,0.2371035790362368,0.23129507775152655,0.23727103156156412,0.23325488366109456,0.23099513180800754,0.22368506485014836,0.2299875739730489,0.23504917327992553,0.2309942919504578,0.2523039591135875,0.2299412495325893,0.25211180541062944,0.2516046020323353,0.23387448907603578,0.2319216405914465,0.24250796787363904,0.24002539724692287,0.23764695849231318,0.24706325257981085,0.25406079109672314,0.2405058494267056,0.2483201563302302,0.24784798977157774,0.24957578005297298,0.2434320067927588,0.24284978639893598,0.26607825100738036,0.24987095585227426,0.22961271394092872,0.2500359929365781,0.23478340976225615,0.23685124866171092,0.25742815459746876,0.22952591969955144,0.2401160697687072,0.24020884157814387,0.23705426739851396,0.2610823406453973,0.25216412070251215,0.24442076016910236,0.2437187342205734,0.2403646435072334,0.24037895563531805,0.24192124535174017,0.24129701491089914,0.24087987644574016,0.24867263207792195,0.2313626857911109,0.23458429433585626,0.25108437078236856,0.2458770894313786,0.24219541193830965,0.24083056841541753,0.2452857901193436,0.23707387643142822
global AUC,0.6286385724726933,0.6098561327675142,0.6395830640528364,0.6065939828497452,0.6182755296201877,0.642571086363843,0.5945653353137094,0.6415932066063476,0.5906835853019937,0.6264723196394341,0.6110067779753893,0.61779815928018,0.6231992828915852,0.6182215846834815,0.6135514047420695,0.640337694427577,0.6050523098677192,0.6532031310318862,0.6124504110731227,0.6450832570877975,0.632880872975694,0.5906266320661642,0.6236679715139777,0.619060659182885,0.6048907160135983,0.5824788729416098,0.5995766505343463,0.6348335438728956,0.6025654249201338,0.5934755570512028,0.5865161344939274,0.6064744467697752,0.6178840929510104,0.6285333623220436,0.5859390594827335,0.6450631847230158,0.6426155756030623,0.6044986440967907,0.6316325383649775,0.6093879917723896,0.5854464212945053,0.6376345697262621,0.5897882658313603,0.6428754137889887,0.5949667534025506,0.6333130531135802,0.624461812001078,0.6240538077816316,0.6307889733219797,0.6286033855953264,0.6149405452758291,0.6111410780864933,0.6167456196718696,0.6356080567682987,0.6530479042574632,0.6042447786989291,0.6239102710239474,0.6055344993276817,0.6017685980390008,0.6139037700311284,0.5991787664668051,0.6108709079994514,0.603726548063062,0.6548728392690751,0.6405820603177701,0.6663299683852587,0.6469943375194497,0.6223705256899034,0.6529158019571264,0.6434112999279628,0.6228705093852139,0.6447378284107945,0.6313273785463849,0.5968251885995453,0.5954107695911136,0.6178201446895496,0.6134663034646857,0.6306425669974135,0.6272721694230841,0.632847153739404,0.6039081777734798,0.62052634340526,0.6311852802229904,0.6110222794779104,0.6181351691006558,0.5757382457319792,0.6304196169842318,0.6257627626396645,0.6202157730292637,0.6235061513072527,0.6441721367450698,0.6024524092554967,0.6595084967875381,0.603071359498419,0.6117375464046568,0.6093528341018103,0.595475046428935,0.5651839203257526,0.6036733917096213,0.5954968931060635
global NDCG,0.4903832483057391,0.4879668318118863,0.49035398254832113,0.4793601756695999,0.48541695135210167,0.49023907790270477,0.4791584807746061,0.4998295077437288,0.4826723504900667,0.4874983391010374,0.48600363988409856,0.48533719052774843,0.4863022396287121,0.4882214969328052,0.4897256836072915,0.4930542112509664,0.4851448368154461,0.4909351799178856,0.4861212439819901,0.49098685892558236,0.4860018781813342,0.48082259001282623,0.48253339947339957,0.48263253012371754,0.4828670712566185,0.4750820074818555,0.48094927283377503,0.49056730829596173,0.48657598630517046,0.47875036988770675,0.48412440981319405,0.4797046278108054,0.48783081400533357,0.4853256937015454,0.47857430989996874,0.4931070524319872,0.4901351624919827,0.4885815443823351,0.48781626050745247,0.48594188720670406,0.4839591241954841,0.4899627491344012,0.47992247660100307,0.4921284801350637,0.4857855063184227,0.487917775335642,0.48345900155719285,0.48480858935453636,0.4886647479743451,0.4870396661095258,0.4866704515387536,0.4877639454642894,0.4890219313741732,0.4909009348577253,0.4887764883508544,0.48218477030647044,0.48817168684241175,0.4864298263172771,0.48809733219310036,0.48474825285342493,0.484513974020711,0.48786840432359885,0.48768562405824306,0.49016064374480783,0.49203732763209096,0.4997009756588448,0.4944679812188962,0.4893707818118366,0.48911005616180564,0.49127144024170766,0.48912651813163815,0.4920829788117872,0.4878334302663561,0.48665301841336683,0.4807587033104014,0.4871992529053028,0.4837256081306679,0.4877198361892801,0.48404476220462733,0.48696475568617675,0.48484241735106925,0.48682853697936385,0.4933707929496311,0.4839961986238036,0.4877018953893976,0.4786638200058329,0.48957703512948963,0.4867766653143934,0.48626270044054126,0.48388704780544173,0.4894095032030338,0.48216017465120714,0.4900038090134969,0.48049250590063536,0.48236732873352045,0.4780395449897127,0.4835726723683086,0.47691905539614643,0.4848764518662926,0.47722302793778254
