,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.5039525691699605,0.5790513833992095,0.525691699604743,0.5217391304347826,0.4980237154150198,0.5909090909090909,0.5731225296442688,0.567193675889328,0.567193675889328,0.48616600790513836,0.5217391304347826,0.5395256916996047,0.5138339920948617,0.5928853754940712,0.5810276679841897,0.5889328063241107,0.525691699604743,0.5059288537549407,0.5711462450592886,0.5928853754940712,0.5079051383399209,0.5731225296442688,0.466403162055336,0.5,0.5612648221343873,0.541501976284585,0.4901185770750988,0.5296442687747036,0.5790513833992095,0.5474308300395256,0.5810276679841897,0.5731225296442688,0.6047430830039525,0.5592885375494071,0.5434782608695652,0.575098814229249,0.525691699604743,0.5434782608695652,0.4901185770750988,0.5434782608695652,0.5573122529644269,0.4743083003952569,0.5019762845849802,0.5454545454545454,0.5612648221343873,0.5454545454545454,0.5849802371541502,0.5869565217391305,0.5790513833992095,0.5948616600790514,0.5434782608695652,0.5375494071146245,0.5434782608695652,0.5276679841897233,0.5474308300395256,0.5375494071146245,0.5553359683794467,0.5098814229249012,0.5632411067193676,0.5335968379446641,0.5039525691699605,0.5632411067193676,0.525691699604743,0.5533596837944664,0.5395256916996047,0.5691699604743083,0.4723320158102767,0.5296442687747036,0.5237154150197628,0.5177865612648221,0.5177865612648221,0.5553359683794467,0.5652173913043478,0.5691699604743083,0.5691699604743083,0.5395256916996047,0.541501976284585,0.616600790513834,0.5059288537549407,0.5276679841897233,0.5375494071146245,0.6245059288537549,0.5355731225296443,0.5039525691699605,0.5355731225296443,0.567193675889328,0.5395256916996047,0.5711462450592886,0.5711462450592886,0.5652173913043478,0.5691699604743083,0.5217391304347826,0.5217391304347826,0.5454545454545454,0.5889328063241107,0.541501976284585,0.5533596837944664,0.525691699604743,0.5158102766798419,0.5810276679841897
AUC,0.5038946729992725,0.5435048868006593,0.49448655645197803,0.507212663485423,0.49051467640188967,0.5132120204437662,0.5346096737431709,0.5011608597295752,0.5475498652715717,0.48929104295024045,0.49515668234410676,0.5163149044650002,0.5098122246525029,0.5376471991129284,0.539461811559562,0.538351672714609,0.5096081612290682,0.4908967871340033,0.5375882442973506,0.5230662922045759,0.4926089734491343,0.5336813157905668,0.48657779462252815,0.48187387464726567,0.5200574790364875,0.5003109770674394,0.47974482415530223,0.5169369953281377,0.5189578246420515,0.5234553111878174,0.5255879650660594,0.529199654220013,0.5196156698597426,0.5367386128406674,0.5231587731740595,0.5276781928834047,0.4867487888786717,0.5284451505979787,0.4844693914515202,0.5037302466528709,0.5102370793759873,0.5045449194163739,0.5177030525850929,0.5272669637132843,0.5335893488101154,0.5134038479642171,0.5253533068546422,0.5101387615416474,0.525843269835762,0.5336980325061103,0.5200722358497758,0.4989117823544143,0.49859425894998205,0.5262423521250753,0.5185926990765566,0.4948147444769479,0.5220964222585383,0.5121985839802663,0.5167034557240564,0.5051278151674903,0.4938795171967487,0.5233250395027587,0.5229038563037507,0.5328285247643968,0.5286051420960445,0.5089238141071059,0.48346366522282236,0.5033802952644584,0.4952574003676186,0.5186997420788043,0.5100485650147323,0.527498163003632,0.5514083568069018,0.5303417529685167,0.5006133763387263,0.5156057120112859,0.5390144895208578,0.5406917175675456,0.4948662961957036,0.5212965005352106,0.5049747698488976,0.5411479547669193,0.5202847353975918,0.5034399680103873,0.5232266327711764,0.5402906696644962,0.5140892433256736,0.5231195903046245,0.5233339255651724,0.5341124690495717,0.5327143256443738,0.5075395201172006,0.5147887751334331,0.5068341072044044,0.5333754124147466,0.516940189435082,0.5056312505425458,0.5096360465635607,0.48520420293515176,0.5164041382690341
Fscore,0.0010697309122285452,0.0018612672527318086,0.0011483421374906852,0.001269670951429434,0.001143736702715432,0.0011830181121104766,0.0012196478884092849,0.00128380901770674,0.0011079451127356736,0.001043771789120406,0.0010282116441203651,0.0009941828613401656,0.001080627876180974,0.0014287172363108413,0.0012228298496596865,0.0012768155539592955,0.0012094200355376936,0.0010866354330102503,0.0012764417156899662,0.0014489609865597664,0.0011260098278735725,0.001327097069859368,0.0012100878110599584,0.0010202262226984837,0.0013211648209070284,0.0012861972610307812,0.0011974205597901355,0.001146113989852686,0.0013099810809811634,0.001190519276919233,0.0012679341875343037,0.001363328614770269,0.0013579734041005464,0.0013148327103419415,0.0010672666259656804,0.0011427859054821653,0.00102141707480214,0.0011882967346792,0.0011351316816927213,0.001133256337726301,0.0013631931109941244,0.0009479691214926199,0.0009607806899373025,0.001253766246060333,0.0012376911223176558,0.0013888757161385043,0.001491981838662715,0.0010736076801060293,0.001288724374584295,0.0012870350698147032,0.001134637367812737,0.0011616965704620466,0.0012511150689306974,0.001225360156692436,0.001420933434823281,0.0014002512172954047,0.0014744096322912648,0.0011482099141971248,0.0012732089361792425,0.0010455092547465943,0.0012864814984393496,0.0013973078385709843,0.001139921811410383,0.0011601048999427533,0.0012533307178254271,0.0013664854172366551,0.0011298298411365703,0.001053860843760024,0.0014644269821992642,0.0012174188001068116,0.001242478034809915,0.0014012990182351631,0.0012689460117812552,0.0012137138535599364,0.0012582042542729063,0.0012658346796164007,0.001206932168578339,0.0013790614608716735,0.0013570280664681057,0.0011746387672764234,0.0013603101712412393,0.00133824787573269,0.0012971696762924584,0.001140889214729649,0.0011362531414404863,0.0013563478193004217,0.0012199003364855463,0.001150445754897062,0.001451881856422418,0.0013893466552175355,0.0011449676228465155,0.001227785365684631,0.0013216739048355958,0.0012212990881579839,0.0011360836295437788,0.0011810867080043782,0.001214709090011401,0.0010952382767091893,0.001105636407612386,0.0013410632287939222
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4941729140563425,0.5428328623351878,0.5106754640180144,0.5218841936924861,0.5073821568725527,0.5093495078367354,0.5428490136444885,0.5239568389151693,0.543641062133767,0.4950398883580492,0.5077706386457356,0.5141076599977573,0.5103605617238025,0.5257465544567334,0.541237619561781,0.5439195150956223,0.5172392639475855,0.5078162972625188,0.5581023862922148,0.5496812246979408,0.5146064673766608,0.5581203098559144,0.4812282820196123,0.5079730545913481,0.5103574856462157,0.5144647946852043,0.4809927004556058,0.5264450351909723,0.5303200440369228,0.49928008515649747,0.5498435900198715,0.5438401600069336,0.5605001767865365,0.503708045967269,0.5172856396455221,0.5246719991054809,0.5027810861894343,0.5265971241492002,0.49931461459923937,0.5243491489390146,0.5202936870931967,0.47821467685268126,0.5142659571887179,0.5365696372545239,0.5279771949136252,0.5037545829387897,0.5428517693282476,0.5259799385567343,0.5342250569859052,0.5592085265818427,0.5240959719716891,0.5403795935054019,0.49757535613499215,0.5195511355939824,0.5212874291773547,0.5243228691191042,0.5314090530045721,0.5177361912830403,0.5407720768267383,0.500270041417455,0.5035412271780603,0.5363017015917372,0.5012647625415209,0.5316804977813493,0.5466576150940441,0.5560896210098558,0.465658343798232,0.5203232478016184,0.48933975842246846,0.532875580832226,0.5018898570564136,0.5424534537119449,0.5453819140001682,0.532000674567614,0.5431138560649149,0.5266699732301127,0.5368506776919951,0.5697855761553868,0.5253388257508789,0.512924180167005,0.5463771197194662,0.5510281514671131,0.5076442235054849,0.5284163195695406,0.5151408779754623,0.5293445760033699,0.5223055244430421,0.5490309328950631,0.5505451251711426,0.5297996681346452,0.5237170970334876,0.5066954705733323,0.51529584358748,0.5227007854468924,0.5284519417993554,0.5123789558939713,0.5135763332671646,0.4809730941455189,0.5168734885175826,0.5426619944103364
NDCGk,0.24821186507492718,0.2385213790429467,0.22778485835566187,0.22551272071027934,0.22710169950933906,0.21512974474297047,0.239795165872988,0.2244210005969365,0.2264006333751235,0.21237196899307687,0.22814327790464284,0.22279354089757247,0.22149425092504266,0.23953526766309124,0.2330490708407591,0.23187292829284178,0.23455734504817605,0.22821398689903355,0.23092095813303257,0.24590613006843856,0.2298299109585963,0.23044852667925317,0.2272730529715493,0.21424704956431745,0.23314589546355893,0.21610228942948026,0.23281661072754778,0.23071621328027556,0.22072278811429075,0.2329911355622331,0.22750269991640404,0.21795264800112446,0.23329908535253527,0.2236445717677629,0.22022312949463155,0.23125423187670577,0.22563607319005005,0.22908540954987142,0.2253310285205815,0.23306896931655588,0.22327420053727517,0.2141323683029136,0.22289516396817194,0.2296773201168871,0.2298505654981307,0.23586912455848502,0.22731671183557806,0.22103259522021662,0.23504900832107406,0.2210679614312029,0.2354863918973711,0.21028478613786694,0.2313936974843549,0.22776480642653255,0.2267437796588584,0.2267543403432201,0.2295958625804633,0.24859342243500976,0.21896242965280452,0.22687496347545563,0.22394173253801503,0.21879614177943618,0.218631032541674,0.22926793780578944,0.23809659462452143,0.23345623960502174,0.2202712452054539,0.2195863803884283,0.24265166815699354,0.22917645843000323,0.2340072559094202,0.2322707175353346,0.2344049796846429,0.22779260096928294,0.22536227432658543,0.2367662200200179,0.22583717192006922,0.22953247421856285,0.22533686801344052,0.24033093976422598,0.22871973862409348,0.23675635257552935,0.2316396964411604,0.22410503689609318,0.24031472056206318,0.2429233851337138,0.22838386384595213,0.24268414247851058,0.2255941196343044,0.22927544248046472,0.22191987994510276,0.22685296469785285,0.2204533935494001,0.2199523953376865,0.2303989317800083,0.23875052350127696,0.24120695752877166,0.23475466098271217,0.21625857543220214,0.22735861879942007
global AUC,0.5027936073293148,0.5780429314367885,0.5232483911842641,0.5186679929079493,0.49819879550331725,0.5759164290414598,0.5676110481858986,0.5547891369968174,0.5630526134138626,0.4913445757949946,0.5177951772671655,0.5338671175571594,0.5118147297219209,0.5808883808141022,0.5744472838147535,0.5809647054518106,0.525340977197487,0.5049633503736928,0.5678627887899619,0.5858511251469523,0.5087374441662968,0.5683702713279902,0.4685178941152601,0.5004093769384637,0.5531973743740493,0.5364009670192136,0.4917798299472761,0.530501225129818,0.5691832641660621,0.5425243525829962,0.5711986128294639,0.5666202079164036,0.5945533313240038,0.5541616948803991,0.5354690587454081,0.5679271240413585,0.5201391607046972,0.5426552939135258,0.49110998687695223,0.53845838806016,0.5528644827106258,0.4775377825210899,0.5058570123591296,0.5457500378264407,0.5596407787096187,0.5407334142721567,0.5773523369438714,0.5742233042623087,0.5706174050578242,0.5894934963274582,0.5378516170476689,0.5360822260443846,0.5357200253695998,0.5268984291465165,0.5402337810582971,0.536103714938365,0.5504016714577237,0.5081931464724926,0.5573931776711829,0.5290741230738689,0.5042416141434919,0.5580794787663221,0.5215855903523439,0.5503441778963237,0.5396785381208379,0.5675752041558104,0.4730519558230398,0.5278079869261073,0.5195373694494928,0.5181439136128646,0.5161800346109195,0.5523342991969317,0.5615600297401036,0.5630742045315996,0.5662469086623287,0.5394447085792733,0.5427362186202821,0.6076722682413292,0.5126930581438651,0.5245957952185363,0.5378536031092261,0.6124509440969964,0.5323958621400489,0.5073913836442544,0.5350193983451405,0.5621796444374438,0.5372062711704487,0.5655514439375785,0.5656804503184292,0.558821608635968,0.5613853074349544,0.5207270203222143,0.5219896078452819,0.5420623742200564,0.5773435237957119,0.5375102408124464,0.5481089970443169,0.5218167328694487,0.5147025143378676,0.5746653855011927
global NDCG,0.460685724994502,0.488931204077799,0.46720914998942303,0.4638586919477501,0.4637395154877571,0.47636910449662084,0.48132546980898844,0.4665349444936651,0.4770405529106392,0.466176472016254,0.46967131410893,0.46673326191172454,0.46649107425327757,0.47366209490182276,0.4778205021113919,0.47847021297686615,0.47268128632336426,0.4656572370975317,0.4774096918528008,0.47942615108156084,0.467750080662187,0.47865949207256847,0.4566350975393288,0.4694156902479957,0.47679739811981625,0.4718019671682592,0.46548372482075556,0.47469744067358244,0.4735713876181819,0.4669427006470862,0.4766896613514884,0.476645133405966,0.4762298882585669,0.4698011421294794,0.46396704428047214,0.4745914870218261,0.46842296674579353,0.47113659566064675,0.46149337765856124,0.4698832492160398,0.47684821507091846,0.4741961323385897,0.46854304926946555,0.48025646941836536,0.4739736597304469,0.4698647533172147,0.47602636693072603,0.48494289837319476,0.4778186388270706,0.4844859466959304,0.47322847112362676,0.4707534692579336,0.4678025174344045,0.4692416376253506,0.46811010133457626,0.47667479296697524,0.47553428358395833,0.4689389363226605,0.47844888105017863,0.4683628639907989,0.4660985055333645,0.4735508234671721,0.46747292878359803,0.47251961790497515,0.4758225507027777,0.4817990041401056,0.4739482443125618,0.4705201312866796,0.464966240864262,0.4666257708553849,0.4659511849720411,0.47351491865240786,0.47795868202397374,0.482817064729178,0.4778471857411834,0.4753059969386577,0.471599335154195,0.4868610896917912,0.47617199700878193,0.4687108104619565,0.4707159989853325,0.4845351490100251,0.4839588145471882,0.47037850000118014,0.47586169171498455,0.48374381505690867,0.47088910135428813,0.47976884811152615,0.47310973080936425,0.46903436244175584,0.4744527945871829,0.468564947437287,0.4676501626208764,0.47452427897195526,0.4733192312730074,0.4691821650412791,0.4702606868886057,0.4648652601439214,0.470105428249417,0.47268280041533983
