,1_SimpleBinaryClassifier,2_SimpleBinaryClassifier,3_SimpleBinaryClassifier,4_SimpleBinaryClassifier,5_SimpleBinaryClassifier,6_SimpleBinaryClassifier,7_SimpleBinaryClassifier,8_SimpleBinaryClassifier,9_SimpleBinaryClassifier,10_SimpleBinaryClassifier,11_SimpleBinaryClassifier,12_SimpleBinaryClassifier,13_SimpleBinaryClassifier,14_SimpleBinaryClassifier,15_SimpleBinaryClassifier,16_SimpleBinaryClassifier,17_SimpleBinaryClassifier,18_SimpleBinaryClassifier,19_SimpleBinaryClassifier,20_SimpleBinaryClassifier,21_SimpleBinaryClassifier,22_SimpleBinaryClassifier,23_SimpleBinaryClassifier,24_SimpleBinaryClassifier,25_SimpleBinaryClassifier,26_SimpleBinaryClassifier,27_SimpleBinaryClassifier,28_SimpleBinaryClassifier,29_SimpleBinaryClassifier,30_SimpleBinaryClassifier,31_SimpleBinaryClassifier,32_SimpleBinaryClassifier,33_SimpleBinaryClassifier,34_SimpleBinaryClassifier,35_SimpleBinaryClassifier,36_SimpleBinaryClassifier,37_SimpleBinaryClassifier,38_SimpleBinaryClassifier,39_SimpleBinaryClassifier,40_SimpleBinaryClassifier,41_SimpleBinaryClassifier,42_SimpleBinaryClassifier,43_SimpleBinaryClassifier,44_SimpleBinaryClassifier,45_SimpleBinaryClassifier,46_SimpleBinaryClassifier,47_SimpleBinaryClassifier,48_SimpleBinaryClassifier,49_SimpleBinaryClassifier,50_SimpleBinaryClassifier,51_SimpleBinaryClassifier,52_SimpleBinaryClassifier,53_SimpleBinaryClassifier,54_SimpleBinaryClassifier,55_SimpleBinaryClassifier,56_SimpleBinaryClassifier,57_SimpleBinaryClassifier,58_SimpleBinaryClassifier,59_SimpleBinaryClassifier,60_SimpleBinaryClassifier,61_SimpleBinaryClassifier,62_SimpleBinaryClassifier,63_SimpleBinaryClassifier,64_SimpleBinaryClassifier,65_SimpleBinaryClassifier,66_SimpleBinaryClassifier,67_SimpleBinaryClassifier,68_SimpleBinaryClassifier,69_SimpleBinaryClassifier,70_SimpleBinaryClassifier,71_SimpleBinaryClassifier,72_SimpleBinaryClassifier,73_SimpleBinaryClassifier,74_SimpleBinaryClassifier,75_SimpleBinaryClassifier,76_SimpleBinaryClassifier,77_SimpleBinaryClassifier,78_SimpleBinaryClassifier,79_SimpleBinaryClassifier,80_SimpleBinaryClassifier,81_SimpleBinaryClassifier,82_SimpleBinaryClassifier,83_SimpleBinaryClassifier,84_SimpleBinaryClassifier,85_SimpleBinaryClassifier,86_SimpleBinaryClassifier,87_SimpleBinaryClassifier,88_SimpleBinaryClassifier,89_SimpleBinaryClassifier,90_SimpleBinaryClassifier,91_SimpleBinaryClassifier,92_SimpleBinaryClassifier,93_SimpleBinaryClassifier,94_SimpleBinaryClassifier,95_SimpleBinaryClassifier,96_SimpleBinaryClassifier,97_SimpleBinaryClassifier,98_SimpleBinaryClassifier,99_SimpleBinaryClassifier,100_SimpleBinaryClassifier
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0010770131143762,0.0016592687819056,0.0011368302574235,0.0013677096626538,0.0011718765825564,0.0012178566787038,0.0011481996961044,0.0013071598841504,0.0010973959123893,0.0011099213981987,0.0010610466418164,0.0010586836200979,0.0012122724489723,0.0014016635286415,0.0012323316301869,0.0011810393637754,0.0011682059746053,0.0012055189900928,0.001206801145726,0.001308494734662,0.0011434885567201,0.0011793396189267,0.0012963277277376,0.001151488642439,0.0013435042614539,0.0013696047257913,0.0012788937924243,0.0011309621251255,0.0012472809188766,0.0012090879992938,0.0011848591670618,0.00128470860233,0.0013246723248597,0.0013058617014604,0.001165292855052,0.0011013153267542,0.0010995982479652,0.0011146267440135,0.0011377652658802,0.0011308287043306,0.0012702983354051,0.0011565790992575,0.0011087624897178,0.0011803245734923,0.0011845056098864,0.001340668729063,0.0013595495090514,0.0010649612271907,0.0012243861995386,0.0012584204882951,0.0012136989353015,0.0012084352838136,0.0011769395992312,0.0012053869869557,0.001391331032170548,0.001321413873849825,0.001415299385577424,0.0012475558927003308,0.001216731402450538,0.0011102521049279259,0.0013168908251518928,0.0013801967722834895,0.001205682278311383,0.0011861547482427514,0.001242331090390101,0.0012722872445057752,0.0012620389077678791,0.0010835336389257476,0.0014880075173579145,0.0013212104791838796,0.0012921749826034393,0.0013903378414105649,0.0012094482084509738,0.0012465668454888631,0.0011299169792576308,0.0011908043801187752,0.0011925108747199169,0.001220925888877919,0.001319065955184729,0.0012170661311951977,0.0013864420630490212,0.0012536392586713736,0.0013596684154247225,0.0012351357232011782,0.0011620192474690596,0.0012795749241056057,0.0011861355864740252,0.0010975880208601314,0.001459774308948189,0.0014050201154917512,0.001058176121423595,0.0012129804546355503,0.0014167371139681333,0.001155573759384145,0.0012131893037422353,0.0012038461570303706,0.001274020146217114,0.001213342793876946,0.0011395845079989345,0.0012436070752075588
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019762845849802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019762845849802,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4723188455285733,0.4883187964301658,0.49639002346371,0.4865743638142518,0.471101645203893,0.4932647603453318,0.494055703529113,0.48591248767755,0.4825167678169936,0.4628255617102921,0.4844510568001499,0.4585016883519262,0.4866484438198946,0.4614054418437702,0.4775227082847862,0.4619305470123817,0.4811074153580312,0.4853548202876862,0.5055549232501472,0.4747750679208332,0.4800246057508623,0.4913519678760811,0.4950537713127205,0.4660017766980291,0.4458694125312106,0.4783768709889935,0.4885028006853597,0.4846875124926174,0.4586634284726467,0.4841212641788949,0.4725609022740226,0.5113595604315122,0.466711579441391,0.4642275536862492,0.4806902587283846,0.4763427833893743,0.4912702030720139,0.4622001808055936,0.4760766432505913,0.4915312702342184,0.4829914176929205,0.4738405923214968,0.4838968077880306,0.4780899370809856,0.4786319129585582,0.4789864612824265,0.4937792314682359,0.4751390854748865,0.4770744144565912,0.5025121316970419,0.4933398518018604,0.5018682926500698,0.5034194314434888,0.4553151000030663,0.48801579814084173,0.4888153736426682,0.4948986095442735,0.4785621396506346,0.48787770886071624,0.4718218540824909,0.46701886257413056,0.49727472535611983,0.4782655380578163,0.4650442699861495,0.4941215043961331,0.4531859695360444,0.48156603685022736,0.4864813539371233,0.4843098387553213,0.46703653289408054,0.4988088592377207,0.4778534164662753,0.49843244620097577,0.4735371628283019,0.46999698407628776,0.45545817272822153,0.4694562350675123,0.47276386310477864,0.4678672895619028,0.4770752074399628,0.46706184638252873,0.4902183303566143,0.483064494644921,0.494004988720334,0.48318946403179364,0.48511029784268667,0.4659754668092166,0.4764416522954723,0.4940782782927224,0.47053661269044744,0.46325895492957114,0.4946294746105054,0.48327248701051295,0.5053317586074989,0.48484171485818806,0.4835120717146877,0.48087368675820696,0.4766433664603414,0.4776673130402807,0.4607327405076309
NDCGk,0.2309423633862682,0.2246169117126161,0.2221139783210058,0.2172778388562058,0.2152387166690925,0.2202578990139921,0.2302311733507895,0.2331622066117475,0.2147232522242058,0.2177145469810565,0.2190755900696132,0.2268150823884775,0.2062159114705406,0.2195414737966433,0.2242266382980318,0.2266532451482129,0.218526865400131,0.222975750945378,0.2267596632757011,0.2409821909774374,0.2173117435512842,0.2277046987068198,0.2261334509865219,0.2223995693429751,0.2284474733653487,0.2251777278217277,0.2323565241332022,0.2397686549424394,0.2280690403304426,0.217304545606372,0.23719760324154,0.2189232416384426,0.2332112849948708,0.227041351978072,0.219671274407797,0.2284645006139159,0.2232948963126457,0.2253603011926357,0.2203071447728765,0.2389084857423664,0.2298039226406495,0.2221309615023175,0.2136022930115068,0.2263422023750151,0.2276549851342841,0.2306252599369145,0.2207507962176562,0.2176238486606279,0.2235674724196054,0.2277070087332562,0.2227722426942379,0.2236651020788186,0.2250249034786136,0.2339600869162457,0.23613447767785659,0.22837832811966394,0.22683353689854957,0.24023233567358968,0.23360847342074922,0.22401459466406295,0.2222717636134635,0.2201443750676181,0.2188839954574831,0.24292405238427478,0.2155825407173966,0.23777205590302694,0.23749117181952487,0.2225411948639832,0.23038353371984788,0.22969128242516906,0.24093022922514964,0.24221699125496635,0.21942226027418724,0.2145810071103765,0.24562889809174535,0.2378766295071503,0.22630922217817628,0.22800159736146938,0.22996072462786565,0.21712636481300818,0.21650558955707983,0.2258631969170915,0.2307805499237788,0.22352270804750007,0.23140701561214086,0.2215789399494513,0.22903228162915157,0.22397144067597527,0.213753130868167,0.23172753743864566,0.23656418268495227,0.24321247942717347,0.23332387197925608,0.21994124653711064,0.22240594847422956,0.22993927130820188,0.23138895640872417,0.21813894871675096,0.22247872576621358,0.21431320285607602
global AUC,0.8982431649947072,0.9005110063369531,0.8971542848409194,0.8976516399253458,0.8954550266363712,0.8988035373742393,0.9017885513861228,0.8959102728347682,0.8974775711220692,0.8928489852970548,0.8969512867145201,0.8980396557495247,0.8969389979586355,0.8959368108521557,0.8986110573422265,0.8917296059553106,0.8952840391491871,0.8968741041274259,0.9010898593113422,0.8964053789965492,0.8997086265153266,0.9004565174238276,0.8985528518653785,0.8964021406939734,0.8901073916056157,0.8957840484004369,0.8958998533132903,0.9007023144466133,0.8975915214039094,0.89855383759446,0.892774683229388,0.900906411478396,0.8947569223481913,0.8961701219732403,0.8977599423446331,0.8958600517634818,0.8994051789446573,0.8916649713343412,0.8989237123526879,0.8978236934602777,0.8985396394448357,0.8939569958967237,0.8987185967341874,0.8958755788219422,0.8965155214434556,0.9002143055342205,0.8993663813781728,0.8924247348020036,0.8984494853931964,0.9029767127126764,0.9038350198817175,0.9021969316429592,0.9010032356301546,0.8912654224799066,0.9006310571865542,0.8994644285641623,0.8975069020385215,0.8977100535005553,0.8965918935421939,0.8965497627510738,0.896152554090496,0.9021687726488598,0.8952868685567362,0.8945716381384744,0.8988602606066165,0.8907403465031947,0.8976127474368014,0.8994042735342417,0.8969552770918767,0.8939381794238094,0.8989250120547365,0.8961907456161379,0.9011247249140456,0.8955711309187975,0.8927082706452232,0.8954766031507144,0.8966677727763913,0.8935888041796315,0.8952412512053459,0.8942739077964788,0.8937830986833244,0.8952209050269306,0.8990381408956756,0.9007458873228713,0.898733192826293,0.8963713311838987,0.8924173710406785,0.8952265309843932,0.8962973138824112,0.8984866327761813,0.8926165467287499,0.9021848290803456,0.8992621058447265,0.8994210783896598,0.899140667672714,0.8998107772549746,0.9001682902403488,0.8962064041051424,0.8938457435918884,0.895940538368424
global NDCG,0.4886314675894161,0.4878327518075995,0.489717064121819,0.4912807100696618,0.4876933911478156,0.4906663137078836,0.4906276872599168,0.4863808675608715,0.4865465862669181,0.4840666030002307,0.4929079150557565,0.4902097456209885,0.4889181312101582,0.4861880738662249,0.4896904059818249,0.4830582396649003,0.4862868177871237,0.4879183193793966,0.4934886496191102,0.4880339912814376,0.4898578699407304,0.4897642047311456,0.4875061990540508,0.4879292851362835,0.4827996003462304,0.4855278798362483,0.4860213656938176,0.4895847600388952,0.4906928192577158,0.4929105597741922,0.4852896130005505,0.4927083763947332,0.4866252400477613,0.4862751312093139,0.487148117739007,0.4863841284248899,0.4911295860072282,0.4824730760743929,0.4903112306005177,0.4889993129268357,0.4871128042554862,0.4846513883632792,0.4891901374550205,0.4862781224850418,0.4885159041889009,0.4897121754896055,0.4896825391731689,0.4848301350600361,0.4889209581737512,0.4963394554815444,0.4958828974391239,0.4917285559844258,0.4895728421735662,0.4827294390877268,0.49144303294385716,0.49161594731752695,0.4895708027700275,0.4881790012701211,0.48720826150738317,0.48618405231139117,0.4855050633538786,0.4923666365262455,0.4864683397711728,0.4859249760685789,0.4883646837344511,0.4832617594487853,0.48782755738240274,0.48861865894194534,0.48795609892219405,0.4850130458072217,0.4887470247184324,0.4878143871334773,0.48822395145987196,0.48807601279012464,0.4877274567635338,0.4876586954673913,0.48914307509171434,0.48578867511376284,0.4904691826730102,0.4836536991518643,0.4869372589816484,0.488085580607475,0.490035268095379,0.49054675648104556,0.4870621366339637,0.491108765087189,0.48465998014518014,0.4868974464062612,0.4885725693032422,0.4904952456492476,0.48708727393591245,0.49079998732224955,0.489872943050493,0.4911743910603687,0.488994619478502,0.4904058249959131,0.4892318703672843,0.48731852258476227,0.4866606436808978,0.48885006686282895
