,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.21940928270042195,0.20675105485232068,0.21308016877637131,0.20253164556962025,0.1940928270042194,0.22151898734177214,0.21729957805907174,0.1877637130801688,0.2320675105485232,0.22151898734177214,0.22784810126582278,0.21940928270042195,0.21518987341772153,0.21729957805907174,0.22151898734177214,0.21729957805907174,0.21940928270042195,0.229957805907173,0.22573839662447256,0.21940928270042195,0.21729957805907174,0.2088607594936709,0.229957805907173,0.2109704641350211,0.21729957805907174,0.2088607594936709,0.19198312236286919,0.2109704641350211,0.21940928270042195,0.2109704641350211,0.20675105485232068,0.21518987341772153,0.2109704641350211,0.19831223628691982,0.22362869198312235,0.22362869198312235,0.22362869198312235,0.21729957805907174,0.21308016877637131,0.21308016877637131,0.21308016877637131,0.20253164556962025,0.2088607594936709,0.2088607594936709,0.22151898734177214,0.2088607594936709,0.2109704641350211,0.21729957805907174,0.21940928270042195,0.22362869198312235,0.22573839662447256,0.21308016877637131,0.21940928270042195,0.20675105485232068,0.21940928270042195,0.23417721518987342,0.2109704641350211,0.22784810126582278,0.2088607594936709,0.1877637130801688,0.20464135021097046,0.21729957805907174,0.21518987341772153,0.20042194092827004,0.2088607594936709,0.20042194092827004,0.229957805907173,0.20253164556962025,0.21308016877637131,0.19831223628691982,0.21308016877637131,0.19831223628691982,0.2109704641350211,0.21308016877637131,0.23628691983122363,0.22784810126582278,0.2088607594936709,0.2320675105485232,0.22362869198312235,0.20675105485232068,0.21729957805907174,0.22573839662447256,0.2109704641350211,0.22151898734177214,0.22151898734177214,0.21518987341772153,0.18143459915611815,0.21729957805907174,0.22573839662447256,0.21518987341772153,0.2109704641350211,0.22151898734177214,0.21729957805907174,0.20464135021097046,0.21729957805907174,0.2109704641350211,0.21729957805907174,0.2088607594936709,0.20464135021097046,0.2088607594936709
AUC,0.5023533511044821,0.49615013274477315,0.5012476143688676,0.5002283956432452,0.4971465937238229,0.5069518579462262,0.5084465861983619,0.49531924054221826,0.5175485327527846,0.511407728019292,0.5166135465056438,0.5130141295718353,0.5129745710071233,0.5065410043808339,0.515095931148893,0.5120652351254453,0.5055181644255864,0.5154683741418334,0.5154816187599167,0.509926860122005,0.5129592966758437,0.5086673026261257,0.5138322861022245,0.5030523742633842,0.5024512764681273,0.5077734801038236,0.49830811483229587,0.5005472490284721,0.5095351181672122,0.5045941475154083,0.505048437575074,0.5099129774340675,0.5140704707501542,0.5011502519687474,0.5120123034918459,0.5149888627513302,0.5122401009428712,0.5137169871294245,0.5027163792560919,0.5074987684914345,0.5125078980031249,0.5084246460535722,0.5009696630916759,0.5007869459963569,0.5122313278473133,0.5074876851279139,0.508403181491764,0.5091696951804123,0.5059330815662748,0.5116589582400165,0.5170256037114278,0.507885326700749,0.5170786967524198,0.5040520472549092,0.5122996222951394,0.5138268392157872,0.5087649176690735,0.5080738690772192,0.5042882015377137,0.49629963275659095,0.4947591175653956,0.5122585053048311,0.5074866535137473,0.4997904756469751,0.4988249623773902,0.5000414407560345,0.5226798429109523,0.49503943211544205,0.5042166345680048,0.5033833405406928,0.5078204520530825,0.4974853427712603,0.500823623630499,0.5089927161423474,0.520516467774063,0.5131864152293966,0.4993042051092434,0.5153919878539847,0.5085088489030625,0.49901913298449024,0.5083418038788576,0.5116255278830106,0.4978559868260007,0.5066583136891698,0.5038607554674822,0.503964490739213,0.49938388175867693,0.5098884398685684,0.5205516419140074,0.5130947106578233,0.5016863704010102,0.5088604180699107,0.5078027135467332,0.49740639968938305,0.5053769465561178,0.5003495561637816,0.510511235145918,0.505536155716803,0.5054540278896682,0.5044432874309149
Fscore,0.0015232058726846987,0.0013437766662012863,0.0014292678028420952,0.0013490591004016602,0.0012886596827845732,0.0014939738586928506,0.0014546644266825723,0.0012610847913700478,0.0015744905739423576,0.0014051735564021646,0.001429124667554753,0.00138397341836926,0.0013803788573177565,0.0014060616341141845,0.001374348369017876,0.0013321273795891466,0.001444937307897751,0.0014571320624349854,0.001400109545069404,0.0014285988695163596,0.001375542774545128,0.001362609074974295,0.0014999897207924066,0.001376144391006298,0.0014321222560021707,0.001311519969282653,0.0012203098492110265,0.00141801232965225,0.0013748146278407358,0.0013637796192414644,0.0013412494737330433,0.0014194385596430893,0.0013999723461050756,0.0013067811012740728,0.0015131972032357552,0.0014101657229353937,0.0014138565566074002,0.0014013210879149105,0.0013998459661263146,0.0013655396717659573,0.001360361302668554,0.0013126256795668251,0.0014121067501283542,0.001342010542312174,0.001432194381963609,0.001314601583546117,0.0013263759854220537,0.0013447152192479395,0.0014712032489502336,0.0014080733514107453,0.0014724192546030372,0.001384854968600221,0.0013984287030393812,0.0013408651292155652,0.0014179258646986473,0.0015108793911698777,0.0013190035464976792,0.0015609134348470854,0.0014103121155711752,0.0011935215113137465,0.0014473486150491323,0.001377297063008696,0.0014071011142468089,0.0012410534329159659,0.0013928396144628438,0.0012619205084470145,0.0014642480263796496,0.001349528972257944,0.0014172211930046754,0.001288398608898849,0.0013670906936160334,0.001315307865513543,0.0014448069096910528,0.0014089002339657693,0.001509741156098073,0.0014668802073541272,0.0013248081785288386,0.0014736950637933197,0.0015020411610333977,0.001379649813159676,0.0013397330279436876,0.001446607741989993,0.0014512832509726047,0.0014770654352626957,0.0014403717300923915,0.001408096538516308,0.001123002144237781,0.001419511367957402,0.0014378057209319466,0.0013450288408285466,0.0014359099843916376,0.0014914844653312563,0.0014034796077139519,0.0013598010718497945,0.0014816290125522459,0.0014084312982039508,0.0013952597305735524,0.0013434632384528578,0.0012792260982470252,0.0014044793362403703
HR@10,0.0,0.002109704641350211,0.0,0.0,0.004219409282700422,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.002109704641350211,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.002109704641350211,0.004219409282700422,0.0,0.002109704641350211,0.0,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.004219409282700422,0.002109704641350211,0.0,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.002109704641350211,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0
Lin's AUC,0.246096512434599,0.23863527452781017,0.2439341321998698,0.24492461406973018,0.22712425432160369,0.2521104797956301,0.24620551125272505,0.229471454864927,0.2500957850953424,0.2536156486198808,0.2534815912394898,0.24875843616120294,0.24530891996136464,0.2418277515869932,0.24465087682927142,0.23907492749997974,0.24036920838753698,0.2508025117877854,0.24516647212683737,0.25261175067465563,0.2505703571044197,0.2441986840425772,0.23963265445448162,0.2326528751057696,0.2523358892876349,0.23538828902605485,0.22960218163017615,0.23473131405877545,0.2465531503508714,0.24559266185860965,0.22480176484566927,0.24071852186573273,0.24909023070278438,0.22898769060979832,0.2487193033724308,0.24983414996582579,0.2530761531632273,0.24693111204933677,0.24141463505062863,0.24751436778031222,0.23996827474111498,0.2353626705583525,0.24266601528722484,0.2454939856917488,0.254142722074947,0.24702106787223388,0.24132632837842066,0.23451069274802036,0.24513828644186453,0.25183132449875517,0.2487862586516101,0.24407041858949813,0.25169009583332014,0.2349731455946844,0.24051065254942852,0.2513132810761732,0.24830011042863748,0.25772864885049007,0.2358436534739037,0.22038291492505946,0.24738098448353268,0.24597556861681524,0.23416863021248338,0.23362783696554368,0.24355956036316684,0.2376203072250012,0.25595863544072367,0.24043762299860533,0.24943810111648976,0.23124789038092408,0.243228559718499,0.24161231090728416,0.24752394231204392,0.23800215651657972,0.2552498199773416,0.2517586591584835,0.2343197402817148,0.2425703757497388,0.24970803357345575,0.2340650599914232,0.23850149218372635,0.24864875369800202,0.24356882830591367,0.2517007489990476,0.24898746411472403,0.22684452324492616,0.23240501024782761,0.24194034445594345,0.25054637032244376,0.24491754661310372,0.2472252435975011,0.24194735400732462,0.24273509946665467,0.26102700860633266,0.25019839120258025,0.2486651655948029,0.25159888233070854,0.2440929098694873,0.23614584747850437,0.2446106101624865
NDCGk,0.24883297179377245,0.23862359058419216,0.24699704791203747,0.24581790088950972,0.24547353956364631,0.24984734589051713,0.24765957476104775,0.23904324948747444,0.24527984695105465,0.24562919014821366,0.24125605481499335,0.2513460025797297,0.2588378549039593,0.2408565878630386,0.24706694680476948,0.25819008243855673,0.2413327057246154,0.24937984287833945,0.2507246434242725,0.24258142183033346,0.24078627633171346,0.24394101824583309,0.2538484735725776,0.2502693897678206,0.24493651615289383,0.2476792605351712,0.23875656381609292,0.23845527892839735,0.24534790908931062,0.23803959607326353,0.24281538051475574,0.25170879150665315,0.24722192031225707,0.24182502926711774,0.2590970619547636,0.25071132680829816,0.24083293134599415,0.25081552622470143,0.25213579852208334,0.24796571586711397,0.25321792445857366,0.249238788723666,0.24484388045307137,0.24130628349330718,0.2411210089603605,0.2558288158215122,0.252187512465094,0.254743433498777,0.24162208863250853,0.25139329671358973,0.24954529845719298,0.25779455616050123,0.2559712661516337,0.24387107906200167,0.25330134509697033,0.253753120480321,0.24476785463767767,0.24905250548128777,0.24164886319705278,0.2537094178637749,0.24342157777106332,0.2496393874507208,0.23831994955708422,0.24171227562680817,0.23772325479356687,0.2403954606380204,0.2634571793805899,0.23274381193252291,0.251646394398941,0.24060902845391124,0.24838388472580208,0.23623669633080022,0.23251906100139613,0.24608244725162934,0.24761655142171005,0.2561541137668397,0.24473527638590603,0.24462794926556508,0.24960710911411138,0.25024780010139597,0.2467476693685563,0.24930135903177356,0.24547261233720785,0.25265445980345774,0.23418919526782753,0.24606214444641214,0.24516156634371913,0.25552354635438773,0.25177211022420204,0.25397017524296567,0.24091429319528393,0.2479522601190702,0.24671405373311514,0.25986214897401416,0.2550902670823138,0.24581931390013184,0.24681228310434436,0.2422915969253057,0.24573855257327712,0.24659047495546121
global AUC,0.27730076332755615,0.26615178098670045,0.2720977090197358,0.26383007555182514,0.2550263356712457,0.2792115450325412,0.2744975152928705,0.2507005889135218,0.288048076977483,0.28035332067914265,0.284744975004848,0.27781326257137073,0.27333359379935623,0.2746382776159724,0.2786424945780279,0.2758230239213647,0.2770340272593982,0.286368745286847,0.2818424311184665,0.2772454240398542,0.2761760091589268,0.26818186501497226,0.2857342120219301,0.27010731449538933,0.2768587699447648,0.2677991974061388,0.25410180598972404,0.26914454883816646,0.27695829181425435,0.27076389228889797,0.2654486201465621,0.27298111125654184,0.27056303261385334,0.25890232260716795,0.28028216014588964,0.280440618103486,0.2816342609368569,0.27619250845785864,0.27191700389690526,0.2722782426807918,0.27237039169398014,0.26248910418876276,0.2680779124173568,0.26720102183112104,0.27862666164190136,0.269176966804112,0.26968309858112116,0.2752031116695777,0.2769078002185389,0.280920714968789,0.2816685065294436,0.27234868619207886,0.27827513772628065,0.26624627980557053,0.2770721736073535,0.2889648090451261,0.26972711359799273,0.2853860316109109,0.26763232223416067,0.24887139183830423,0.2651356322647477,0.2756947237517781,0.27316932172886277,0.26185965242734305,0.26828821807743003,0.26143487926230785,0.28643663635581,0.26236371107562473,0.2715382565277329,0.25935692622409795,0.2717225740384022,0.2599548952656146,0.2705324695525585,0.2716345868701026,0.2912357968664924,0.28352721841101663,0.2674018152595711,0.28677725296446105,0.28067842779092345,0.26595950219409503,0.2748071635669417,0.28178766077210704,0.27009315720842214,0.27980122935286533,0.27830464084206064,0.2728007022949582,0.24591048859887532,0.2753948994580109,0.28256030649633895,0.2735805688980094,0.2697398680158962,0.2784634300326302,0.27541652702274194,0.2658664763877418,0.2754842076613454,0.2694170834317875,0.27591705511721354,0.26820719459528786,0.2648149363968003,0.2693379694103154
global NDCG,0.45083837028626933,0.4507477639536777,0.45110126789600385,0.45074380358466626,0.4445485610694019,0.4608088254790689,0.44991020749946153,0.4419573468644893,0.4492647057939489,0.45405145206955766,0.44960804843189595,0.46803953740273163,0.4614359278555646,0.4526746046205742,0.44854063538614525,0.4510592749715134,0.45161349785530686,0.4475087440836792,0.45766644095341735,0.46760868784005855,0.4592158494235126,0.4496768226060824,0.45031056095327615,0.4523342290368647,0.45604209896548903,0.4526030565084177,0.452441853664648,0.44963485482213505,0.4501677034205788,0.4534327398017397,0.4459972089231813,0.46412381759739496,0.4474456569424029,0.4459027766084373,0.452994866237941,0.4564159853300232,0.4574848875533168,0.4475568399281488,0.45679928637753153,0.451928241519727,0.4641942726766134,0.4497774193449742,0.447129130034872,0.448391828950331,0.4509421065016653,0.45007533592473514,0.44764512800371264,0.4560712631627772,0.4596575822122167,0.44976901339641573,0.4515033836491114,0.4514815247718202,0.4570943566151925,0.4458618053081269,0.4495121583274738,0.44930562667170265,0.4636911392930943,0.45204356852784255,0.4469843212092566,0.4456051653582192,0.44408893481801787,0.4641940695776088,0.44837821693674723,0.4494732826631032,0.4425262296856247,0.4567275019871621,0.45817241124228375,0.4496424606947094,0.45633359252223094,0.44735018813598953,0.45571718804379097,0.460024859671713,0.45018559789263163,0.45519033981390666,0.45272998167415973,0.450224241330323,0.44766272713064925,0.45777379547722624,0.46409086575364017,0.4493027343061274,0.4583239293510947,0.44941032336294495,0.4535207708647213,0.45415426779222134,0.4558288015337409,0.45510336490497666,0.44335063015641857,0.4448882279630487,0.45118301112981013,0.4537018712925921,0.44512820095929556,0.4495448076010058,0.46098171115927156,0.46554358476095864,0.45146292767362073,0.459522285559691,0.45760535359471727,0.45379249427743595,0.44745761061890377,0.44408174689840846
