,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703
HR@10,0.0021097046413502,0.0042194092827004,0.0,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.0,0.0021097046413502,0.0042194092827004,0.0,0.0,0.0,0.0,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.0,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0,0.0021097046413502,0.0063291139240506,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0,0.0,0.0,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0,0.0,0.0042194092827004,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0042194092827004,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0,0.0,0.0,0.0042194092827004,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0021097046413502,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.002109704641350211,0.004219409282700422
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0042194092827004,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5720097039860566,0.599698047388559,0.5811053007207074,0.5641367317444156,0.5786846447553962,0.562643401966841,0.5772283913310455,0.5750079153111889,0.5855459552740989,0.5999625289007908,0.5876015407261468,0.592929448449327,0.5716888590472041,0.5756963788687575,0.5941425634982311,0.5863886379867739,0.5853811368458363,0.5717099814847024,0.571762458454161,0.561689264267794,0.5923295802732731,0.5958373665518345,0.5661552007187335,0.5673900333250622,0.5880304694404991,0.5929473997791309,0.5817399095507939,0.6288524845917376,0.5652345856596457,0.5887054715256848,0.5746401313842868,0.5803161795675149,0.579525822183821,0.5675078525255408,0.5796740313761896,0.5735948351612465,0.5972454934696177,0.5802854749112804,0.569505656569378,0.5819446722704992,0.565595304391289,0.6126736763288876,0.566097822513976,0.5657299777832621,0.5729243849043384,0.5827806602162857,0.5756245617590983,0.5910059231336358,0.5766650253353288,0.5891937543945737,0.5867123017955009,0.5496285285658569,0.5963910121133082,0.5993024022687212,0.5547837160656884,0.5784070758004211,0.5787283459879411,0.5795294705957901,0.57405332708438,0.5808922682167884,0.5871091402127904,0.5923284346410421,0.5903667496196568,0.5856188638857803,0.5577052400221982,0.5740817781267632,0.5757203545599541,0.5730721009816079,0.5740321869149799,0.5838470093709088,0.6062222798287458,0.5480284655243709,0.5779732940199569,0.582630961284273,0.5541731037644209,0.5879112717776661,0.5932002768963712,0.5669820231417508,0.575363064221232,0.5712835051859132,0.5669816522873261,0.5613240346285323,0.6026304079562395,0.5704954582493793,0.5855679964399682,0.5935949373969179,0.5719205203380959,0.5921111354680734,0.5590935845441056,0.5742030945072862,0.5782918068347167,0.587679800525588,0.5899378336239381,0.5585565264887586,0.5900490289537573,0.5955858135166087,0.6040731725307207,0.5696971807042494,0.5470952233058718,0.5803848321064936
NDCGk,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525
global AUC,0.9250040188301816,0.927417160153138,0.9266881397599264,0.9237856738107152,0.9239669907403316,0.9242631831619674,0.9261187931441665,0.9253086713316429,0.9272851969365516,0.9285394554040473,0.9275021623278188,0.9277861186137328,0.9254129980276752,0.9253601020702592,0.9255075514025644,0.9273794658407696,0.9261588177779236,0.9257070471771304,0.9248078081073392,0.9232531486110171,0.9255546488345174,0.92431420473044,0.9238806207683136,0.9242840079738456,0.9257927624769188,0.9269808094214692,0.9249509163392644,0.9298868955522362,0.9250103434315434,0.9257893839005904,0.9252165924619076,0.9251553338461288,0.9248620289966488,0.9247499436553228,0.9264356817813496,0.9253873177300936,0.9268645661321128,0.926704592296556,0.9261573915277092,0.9266515833302432,0.9268908114741784,0.9295584449358538,0.9250015053564424,0.9241270658942096,0.9272102369662514,0.9268330015781808,0.9243380651950976,0.9263736437938688,0.9250328127177128,0.9260334246647856,0.926469713046718,0.923356197137458,0.9263278167377896,0.9284305265181144,0.9246550200788752,0.9269587415117264,0.9244129978873884,0.9253781601125948,0.9252833846167708,0.9262757001520756,0.9285738490772574,0.9271510943446436,0.9281565812617129,0.927283930457536,0.925281011429938,0.9259472962979954,0.926179743908123,0.9249315957147712,0.925236762601556,0.9268498788723882,0.9267209045462792,0.9237157213036,0.9231735318947972,0.9254771481124686,0.9253545061814386,0.926960830227888,0.9287642924495048,0.9245560086978508,0.9243448885943488,0.9253035274784096,0.9262851071685192,0.9248241359444968,0.9278691333905736,0.9247721635425472,0.9236269664541742,0.9260607455398,0.9240145830733154,0.926288076574704,0.9248366916226162,0.9251975991735294,0.9272739506028916,0.928484120013204,0.9255361231691605,0.9245279045542759,0.9266078410934672,0.9266073267081437,0.9267745720816805,0.9245703647246019,0.9243503480931214,0.9253470865628354
global NDCG,0.5528061592245158,0.5516476471811865,0.5560557989238295,0.5472365201244249,0.5504874130953963,0.5520119116996439,0.553237005427917,0.5602333287579495,0.5545815393978607,0.5536053478418788,0.5518474122568113,0.546239869258766,0.5494401590910819,0.54952799004034,0.5486798060224796,0.5486818967227002,0.5562201861387555,0.5557884949601706,0.5564914461996563,0.5492370753563446,0.5543712455760914,0.5543388544129111,0.5394063803602553,0.5510384147454059,0.5537564273945978,0.5556685122126513,0.5581328107848021,0.5566553545516375,0.5530092541129901,0.554773697441567,0.5484610708019396,0.5433773099836041,0.5479675090194086,0.5501097108779115,0.5488590836277694,0.5445134644060644,0.5536328722890873,0.551286766634376,0.5466067679298028,0.5525546864023221,0.5573812542211074,0.5620123628405241,0.5497938916229683,0.5492279375282566,0.556755278321334,0.5566780688542758,0.5537940128153704,0.5632472416077032,0.5497458806374984,0.547912117440914,0.5474184505904983,0.5454243507510261,0.5567147040613818,0.5548530236121495,0.5498669327721906,0.5556260874678184,0.5500743008126907,0.5597456998029929,0.5438247851017989,0.5521234300155304,0.5568586443346271,0.5619634001174131,0.5598623146300202,0.5515201074222327,0.547561079732867,0.551135028332854,0.5503411805897219,0.5447502048284301,0.5546848357747228,0.5579359085846209,0.5530372855057519,0.5545321881721167,0.5438778956958705,0.5553148491458452,0.5503401535822265,0.5626193006565609,0.5573604375061386,0.5480553903116652,0.5495608356907463,0.562661277792231,0.5541588387506596,0.5480342019186543,0.5610411229193476,0.5472183800979843,0.5425957704422212,0.5578774372279034,0.5471281289453384,0.551986193646568,0.5493921315069689,0.5566072071089627,0.5612056011498217,0.5504371350040848,0.5539650818583991,0.5478266957005352,0.5516389571517512,0.557233270489685,0.5545547156133892,0.5501518503553396,0.5546087988514964,0.5567685610695621
