,1_DRRS,2_DRRS,3_DRRS,4_DRRS,5_DRRS,6_DRRS,7_DRRS,8_DRRS,9_DRRS,10_DRRS,11_DRRS,12_DRRS,13_DRRS,14_DRRS,15_DRRS,16_DRRS,17_DRRS,18_DRRS,19_DRRS,20_DRRS,21_DRRS,22_DRRS,23_DRRS,24_DRRS,25_DRRS,26_DRRS,27_DRRS,28_DRRS,29_DRRS,30_DRRS,31_DRRS,32_DRRS,33_DRRS,34_DRRS,35_DRRS,36_DRRS,37_DRRS,38_DRRS,39_DRRS,40_DRRS,41_DRRS,42_DRRS,43_DRRS,44_DRRS,45_DRRS,46_DRRS,47_DRRS,48_DRRS,49_DRRS,50_DRRS,51_DRRS,52_DRRS,53_DRRS,54_DRRS,55_DRRS,56_DRRS,57_DRRS,58_DRRS,59_DRRS,60_DRRS,61_DRRS,62_DRRS,63_DRRS,64_DRRS,65_DRRS,66_DRRS,67_DRRS,68_DRRS,69_DRRS,70_DRRS,71_DRRS,72_DRRS,73_DRRS,74_DRRS,75_DRRS,76_DRRS,77_DRRS,78_DRRS,79_DRRS,80_DRRS,81_DRRS,82_DRRS,83_DRRS,84_DRRS,85_DRRS,86_DRRS,87_DRRS,88_DRRS,89_DRRS,90_DRRS,91_DRRS,92_DRRS,93_DRRS,94_DRRS,95_DRRS,96_DRRS,97_DRRS,98_DRRS,99_DRRS,100_DRRS
ACC,0.7426160337552743,0.7742616033755274,0.729957805907173,0.7194092827004219,0.7426160337552743,0.7236286919831224,0.7383966244725738,0.7552742616033755,0.7383966244725738,0.7742616033755274,0.7320675105485233,0.7426160337552743,0.7489451476793249,0.7531645569620253,0.7658227848101266,0.7679324894514767,0.7236286919831224,0.7278481012658228,0.7426160337552743,0.7383966244725738,0.7447257383966245,0.7531645569620253,0.740506329113924,0.7468354430379747,0.7426160337552743,0.7172995780590717,0.7489451476793249,0.7468354430379747,0.7278481012658228,0.729957805907173,0.7257383966244726,0.7257383966244726,0.729957805907173,0.7616033755274262,0.7552742616033755,0.7468354430379747,0.7616033755274262,0.7383966244725738,0.7278481012658228,0.7383966244725738,0.740506329113924,0.7383966244725738,0.740506329113924,0.7194092827004219,0.7447257383966245,0.7341772151898734,0.7510548523206751,0.7257383966244726,0.7172995780590717,0.7679324894514767,0.7236286919831224,0.7489451476793249,0.7447257383966245,0.7257383966244726,0.7616033755274262,0.7320675105485233,0.7468354430379747,0.7320675105485233,0.7426160337552743,0.7679324894514767,0.7848101265822784,0.7510548523206751,0.7784810126582279,0.770042194092827,0.7468354430379747,0.7616033755274262,0.740506329113924,0.759493670886076,0.7637130801687764,0.7573839662447257,0.7637130801687764,0.7341772151898734,0.7088607594936709,0.7341772151898734,0.7257383966244726,0.7637130801687764,0.7151898734177216,0.7130801687763713,0.7362869198312236,0.7531645569620253,0.7468354430379747,0.7278481012658228,0.759493670886076,0.740506329113924,0.7383966244725738,0.7383966244725738,0.7531645569620253,0.7362869198312236,0.759493670886076,0.729957805907173,0.7362869198312236,0.7341772151898734,0.7616033755274262,0.7552742616033755,0.7194092827004219,0.7320675105485233,0.7468354430379747,0.7531645569620253,0.7573839662447257,0.7172995780590717
AUC,0.5478965792210924,0.5722200374917068,0.5530657207592173,0.534632522475662,0.543330144213651,0.5470134138945468,0.5348954818497533,0.5536850680460068,0.53727458551604,0.5845027357329269,0.5385073742482839,0.5573292684686013,0.5481898595338877,0.5399253176566603,0.5495129211141212,0.5770743862345599,0.52086238892703,0.5503629372785706,0.5395092772721343,0.5415291851120461,0.5486577152339538,0.5432998381967173,0.5421075620861967,0.5576655516217528,0.5365799853099349,0.5419054607534203,0.5458541128766198,0.5441698129374601,0.5396453981248152,0.5243940599646675,0.5304937342103041,0.5419888745875507,0.5443437849542115,0.5728764669433286,0.550333482785955,0.5515731407418876,0.5684164995982055,0.5210761737138371,0.5612670222794646,0.5319212048329939,0.530802760460987,0.5366397168227184,0.5382900208024164,0.5114151400225342,0.5480715703805681,0.5373700325964006,0.5669935553610538,0.5269658108755394,0.5164188657877364,0.5690856792908277,0.5406060337713887,0.5446252135774777,0.5487510627348037,0.5444243579489441,0.5686317008744841,0.5305533607201509,0.5501097562114661,0.5403250030621727,0.5433831851073232,0.5743241588419657,0.5819548898383018,0.555766231642907,0.5748443878184565,0.5690278234459015,0.5486885570063169,0.5539085810063847,0.5385039711381812,0.5661713504138752,0.559884382847567,0.5663024357175365,0.5713104078374875,0.5524849210639056,0.5207406883342819,0.5329708640162535,0.5232411668202458,0.5691441538493212,0.508793121664701,0.5281475395113978,0.554573626321087,0.535019554131799,0.5553161892716617,0.529213004555435,0.5522106835590176,0.5374101034111309,0.5286124881583958,0.5607123418837147,0.5489386296999824,0.5428040648291629,0.5618543608007851,0.5410968223775372,0.542112315554732,0.5321906459456546,0.5696922951503024,0.5569754747323479,0.5443271524263601,0.5376363713216548,0.5637529460194648,0.5490856747354396,0.5636637728232273,0.5248817973356373
Fscore,0.0020453436085293,0.0021261042484415,0.0019780842457764,0.0019808110273238,0.0020313285650035,0.0019616232499834,0.0020401037627423,0.0020906910494124,0.0020068075236331,0.0021003036392776,0.0020643287796691,0.002023813475565,0.0020714924930869,0.0020268451354151,0.002046879672601,0.0020582215000845,0.0019804792739922,0.0019705463615991,0.0019971759418747,0.0020562582676633,0.002086214956956,0.0020142761243876,0.002034203012046,0.0020520578235372,0.0020208033142725,0.0019763220525047,0.002059360913916,0.0020492373454956,0.0019361545605526,0.0019624775754774,0.0019893429470931,0.0019821289359234,0.0019537990304177,0.002086532312448,0.0020323177957732,0.0020440069542436,0.0020932414301331,0.0020341212110146,0.0019253158934079,0.0020783569853339,0.0020610181330445,0.0020299640755143,0.0020188459064381,0.0019579527870462,0.0020364405218127,0.0020435698690523,0.002056066933242,0.0019489629397319,0.0020055621799336,0.0020524080597847,0.0019594508011605,0.0019835961732727,0.0020161964479245,0.0019412861620629,0.0020487913245554,0.002019721056971,0.0020054509167737,0.0020000701552314,0.0020415054248688,0.0020911829061089,0.0021583986555374,0.0020832405815253,0.0020728460008487,0.0020972662317197,0.0020731500234851,0.0020621855023856,0.0020556343142747,0.0020671013585159,0.0020290210351379,0.0020652893501808,0.0020577218648613,0.0019815507286723,0.0019575651782926,0.0020135944349428,0.0019568980195771,0.0021014088977807,0.0019525113912617,0.0019457049001139,0.0019710654278196,0.0020565738102624,0.0020313151392987,0.0019952507622122,0.0020638303154827,0.0020514032839714,0.0020149808294557,0.0019483564336037,0.0020338092645542,0.0021032455909931,0.0020721688741811,0.0020074452841962,0.0020122196583924,0.0020232813769104,0.0021047533274941048,0.002018079601494676,0.0019327627072397038,0.0019704705279101464,0.0020338643631078856,0.002042263470433984,0.0020955999337227377,0.002002186717142065
HR@10,0.010548523206751,0.010548523206751,0.010548523206751,0.0084388185654008,0.0126582278481012,0.0147679324894514,0.0084388185654008,0.0021097046413502,0.0168776371308016,0.0084388185654008,0.0189873417721519,0.0126582278481012,0.0126582278481012,0.0147679324894514,0.010548523206751,0.0084388185654008,0.0147679324894514,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.010548523206751,0.0084388185654008,0.010548523206751,0.010548523206751,0.010548523206751,0.0126582278481012,0.0126582278481012,0.0147679324894514,0.010548523206751,0.0126582278481012,0.0126582278481012,0.0084388185654008,0.010548523206751,0.0084388185654008,0.0189873417721519,0.010548523206751,0.0147679324894514,0.0126582278481012,0.0126582278481012,0.010548523206751,0.0168776371308016,0.0084388185654008,0.0084388185654008,0.0168776371308016,0.0126582278481012,0.010548523206751,0.010548523206751,0.0126582278481012,0.0126582278481012,0.0147679324894514,0.0084388185654008,0.0126582278481012,0.0168776371308016,0.0084388185654008,0.0147679324894514,0.0126582278481012,0.0063291139240506,0.010548523206751,0.010548523206751,0.010548523206751,0.0084388185654008,0.010548523206751,0.0126582278481012,0.0042194092827004,0.010548523206751,0.0168776371308016,0.0126582278481012,0.010548523206751,0.0147679324894514,0.010548523206751,0.0063291139240506,0.010548523206751,0.0126582278481012,0.0084388185654008,0.0189873417721519,0.0126582278481012,0.010548523206751,0.0126582278481012,0.010548523206751,0.010548523206751,0.0063291139240506,0.010548523206751,0.010548523206751,0.0147679324894514,0.0126582278481012,0.0126582278481012,0.0147679324894514,0.0084388185654008,0.0147679324894514,0.0168776371308016,0.0084388185654008,0.0126582278481012,0.008438818565400843,0.014767932489451477,0.014767932489451477,0.008438818565400843,0.008438818565400843,0.012658227848101266,0.008438818565400843,0.012658227848101266
HR@2,0.0,0.0021097046413502,0.0042194092827004,0.0,0.0021097046413502,0.0,0.0,0.0,0.0042194092827004,0.0021097046413502,0.0042194092827004,0.0,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0042194092827004,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.0042194092827004,0.0,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0,0.0021097046413502,0.0,0.0,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0,0.0,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0,0.0,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0,0.0,0.0,0.0,0.0042194092827004,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0,0.0,0.0,0.004219409282700422,0.004219409282700422,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0
HR@5,0.0042194092827004,0.0042194092827004,0.0063291139240506,0.0,0.0063291139240506,0.0063291139240506,0.0021097046413502,0.0,0.0084388185654008,0.0042194092827004,0.010548523206751,0.0042194092827004,0.0063291139240506,0.0084388185654008,0.0084388185654008,0.0021097046413502,0.0042194092827004,0.0063291139240506,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0021097046413502,0.0063291139240506,0.0021097046413502,0.0063291139240506,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0,0.0063291139240506,0.0042194092827004,0.010548523206751,0.0042194092827004,0.0063291139240506,0.0063291139240506,0.0063291139240506,0.0063291139240506,0.010548523206751,0.0021097046413502,0.0042194092827004,0.0063291139240506,0.010548523206751,0.0042194092827004,0.0063291139240506,0.0063291139240506,0.0063291139240506,0.0063291139240506,0.0042194092827004,0.0084388185654008,0.0084388185654008,0.0063291139240506,0.0084388185654008,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0084388185654008,0.0,0.0063291139240506,0.0063291139240506,0.0021097046413502,0.0063291139240506,0.0084388185654008,0.0084388185654008,0.0042194092827004,0.0063291139240506,0.0084388185654008,0.0021097046413502,0.0063291139240506,0.0042194092827004,0.0042194092827004,0.0084388185654008,0.0063291139240506,0.0042194092827004,0.0042194092827004,0.0063291139240506,0.0063291139240506,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0063291139240506,0.0084388185654008,0.0084388185654008,0.0042194092827004,0.010548523206751,0.010548523206751,0.0021097046413502,0.0021097046413502,0.002109704641350211,0.008438818565400843,0.010548523206751054,0.004219409282700422,0.002109704641350211,0.006329113924050633,0.002109704641350211,0.004219409282700422
Lin's AUC,0.7437843740881844,0.729934709134203,0.7368905419664361,0.7091606239226689,0.7458653178681979,0.7037858833714081,0.7221261475730533,0.7410158349433479,0.7242505396882587,0.735676629023509,0.7203850896021846,0.7199591222695824,0.7420353818344141,0.7356175225535022,0.7323433137531612,0.7375037869861316,0.7071813725591656,0.7009211533114679,0.7121816673709913,0.7200542044717557,0.7306641834876765,0.7240047593157326,0.7221666637169348,0.7129263352595232,0.7317767301465272,0.7109953588556778,0.7439626770874471,0.7338358143837863,0.7274511229605682,0.7236697581350107,0.7350416527421526,0.7103786471259265,0.7155485360409419,0.7250260412022116,0.731228305375255,0.7405143947579094,0.7422152913071732,0.7319386326854865,0.7153808679685841,0.7182621745281985,0.7396381281723434,0.7257973997833999,0.7335438037211736,0.7312964930403327,0.7396927377909087,0.7292367594178589,0.7281643869953944,0.6890957532201681,0.727519252627458,0.7407827223461032,0.7220250658831923,0.7233749058910381,0.7221613640062063,0.6976802149216871,0.7448672076060037,0.736331873755537,0.7189646877347337,0.7311637158989817,0.7166649722646369,0.7144940871358456,0.7461272340341591,0.7394871495091339,0.737699592482682,0.7355918783355129,0.7444620717246652,0.7358611023250056,0.7464389289790511,0.7489420884822822,0.7490242346049135,0.7421842485341993,0.7337410913396705,0.7229597578193683,0.7038117577748543,0.7331088198674605,0.7207504250006663,0.7226707978743843,0.7156524091910392,0.7090039580026115,0.7239899910455958,0.7421707853035163,0.7281640949830923,0.7257061291873971,0.7484430401772424,0.7523459003793317,0.7418085071260891,0.691220529464643,0.7246449072396669,0.7324914012877317,0.7303594568402481,0.7202227948228781,0.727567395002787,0.7301699985556238,0.7302889325336748,0.7243372958419354,0.7228975660142288,0.7186165912879651,0.7335586760180602,0.734615481223715,0.750681644243919,0.7184783428990509
NDCGk,0.2716177145966981,0.2708350407338467,0.282402385208757,0.2502317155831566,0.2543864357334305,0.2679078240870733,0.2524361701824661,0.2640313812358987,0.2640239062660175,0.2796144684662673,0.2655816180403768,0.2668149010159169,0.2514512961832933,0.2568841096412015,0.2588142541817581,0.2716174099943761,0.2568516342770898,0.2610257035077931,0.2414650084420903,0.2615005795125186,0.2680444159678584,0.2549696504888929,0.2500849723461573,0.2582564412707647,0.2603523536437186,0.2728244340718595,0.2644852426726385,0.2470754778847581,0.2564752438760208,0.2381875652222701,0.2692899628546797,0.2566598928539972,0.262413163815105,0.2764090427831768,0.2580861636672785,0.2591607921963603,0.2761836969684541,0.2502275107947738,0.2775025815142571,0.2571205098543086,0.2539275045454073,0.2579840432755659,0.2671564250170524,0.2468351617669857,0.2588214720658304,0.2678093030562185,0.2628335605771939,0.2683836606959719,0.2538238260403471,0.2769810973360849,0.2548527947557285,0.264126757415927,0.260865837577956,0.270878093077379,0.2643712967678844,0.2623420881535204,0.2569792606542043,0.2526791537629582,0.2556980727195808,0.2745013286549299,0.2653551742115584,0.2683074566860302,0.2628177766255349,0.2696606947556531,0.2533762217056357,0.2675508600762202,0.2568311827915192,0.265061649327144,0.2535137785425762,0.2692855105157778,0.2771152516965652,0.2792536092717274,0.2499632696489698,0.2517658278137943,0.2539765518996529,0.2798520898815663,0.2526735982261927,0.2764329149351303,0.2709930310835577,0.2661607540364195,0.2888160355236944,0.2561933097312587,0.2523821767081106,0.2505771540553408,0.2617899850890662,0.2862256750963185,0.2644836981444697,0.2541223106503419,0.2639900113054466,0.2455860353978533,0.2748917354470141,0.260700799560399,0.28219590035115866,0.2737775115718824,0.2679420549518657,0.25543402947584953,0.27004651387299233,0.2675160227090903,0.2733370332667371,0.2550950747201181
global AUC,0.7337599941366308,0.7611477119649812,0.7240633670656318,0.7132907043510964,0.7355668427282931,0.7162515296533551,0.7295749785271408,0.7450062108910305,0.7300689209307302,0.7628712885871409,0.7250963619069237,0.7323262931284621,0.7392923251948377,0.7430206056057933,0.7557293718119118,0.7570239198995432,0.717062368487845,0.719178771828974,0.7320793686889695,0.7284654883532952,0.7353058934950225,0.7426990875007,0.7323289468891074,0.7361164439619821,0.7331716230576246,0.7103584664028681,0.7404490998498446,0.7366696653772271,0.7221629432105666,0.723624358676459,0.7200709030288428,0.7181163479122133,0.7233494469991468,0.7499189141681218,0.744946292794579,0.738197674258199,0.7507502270972234,0.7295345720012495,0.7215561321970906,0.7287538909547694,0.7330592415550518,0.7304811617987967,0.7325212373722885,0.7132482130059027,0.736841770133326,0.727021413907773,0.7398710086835883,0.7187083430696343,0.7124735759869719,0.7574872252015266,0.7191624323012412,0.7388232369548258,0.7354189569478345,0.7188015286471864,0.7512185632435429,0.7244956650644501,0.7380905963800585,0.7250025762131611,0.7332250606783737,0.7543458584444948,0.7696232506281226,0.7420664403153019,0.7668135727768954,0.7587507036362567,0.7378657983031862,0.7514373289834415,0.7328529535561026,0.7497516103417078,0.7534333973337789,0.7468326606809986,0.7525265243181662,0.7273219045643453,0.7038581556907517,0.7267469854409161,0.7181732888087635,0.7525199035555573,0.7095954069505707,0.7076771043086613,0.728576915125533,0.7430874834915435,0.737359191109439,0.7211154481587586,0.7495502791467833,0.7330117310560964,0.7309678755298497,0.7277361562114031,0.7418718935510437,0.728443743882809,0.7476936676719471,0.7223518551174192,0.7282245105198892,0.727010674165719,0.7508582597056991,0.7461328745203297,0.7134426506581224,0.7249212059106117,0.7366613611717423,0.7435939659858185,0.7490543649327877,0.7099288299584126
global NDCG,0.607836000638802,0.6236070862872175,0.6201224232028019,0.5993249003528417,0.6282420129441848,0.620126675908045,0.6006814100241257,0.5967604078588845,0.6335144246104845,0.6202429532379338,0.63567280503575,0.6055775776769058,0.6237258630136427,0.6338192116519373,0.6268957738217422,0.6125784575055606,0.6120268118539236,0.6184386660190312,0.6132405104828591,0.6075634609015583,0.6155956704835728,0.6026170284317999,0.60385750731858,0.6071244045741938,0.614715065341754,0.6138356360528388,0.6140623473521905,0.6112035533707586,0.6117190657498569,0.6172414845800867,0.6068677043682605,0.5943403481972364,0.6360231535401903,0.6138094802826523,0.6423503899368833,0.6215229556987858,0.6354797255884624,0.6191100554269683,0.6344621560546962,0.6193936632014918,0.6406905382383615,0.6007165200345506,0.618569038923615,0.6275582591153734,0.636947000417886,0.6110775857943485,0.6197842137340959,0.6134321816927986,0.6218949972868426,0.6417937972532087,0.6171398469267814,0.6274835683300123,0.6435593986897028,0.629180812776872,0.6309311861698115,0.6107382528278432,0.604352375626139,0.6065447080090794,0.6167136211764148,0.625113936873805,0.607060881883244,0.6205894696589698,0.6430289398054825,0.6072878490099086,0.6254231326495031,0.6385262493570067,0.6348985728447631,0.6178368443675825,0.6209607047814872,0.6211026418821228,0.609619898304677,0.6314987229414049,0.6118336370260059,0.6197427306089439,0.640783806521955,0.636223181838419,0.6157117960020063,0.6100696131632858,0.6369660808138742,0.6240521612653847,0.6139891330705143,0.6020509850084264,0.6131354295360413,0.6168466496705628,0.6166695133657147,0.6277712013549257,0.6208480194766425,0.6239285193039432,0.6355052637442551,0.6386301855933312,0.6006971011697818,0.6101923477677684,0.6114813748344963,0.639994416857992,0.641927691188006,0.6107968217738291,0.6071210516692853,0.6209151461206754,0.6075001711587629,0.5997059001460522
