,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6081166489035595,0.4552452577917067,0.47579473407947986,0.4794334555745614,0.4459350516934156,0.30454731391889317,0.5060504116248579,0.6454887698133793,0.47590683884676377,0.4073324090993723,0.3565992404400969,0.5607987695966097,0.43485605779434183,0.41488494289610406,0.5681235773069415,0.49425463161542704,0.4251437557097447,0.36120507809641855,0.47394917729737035,0.47270656685294,0.37169142148234063,0.659612584520382,0.3638802372355097,0.3936813434969016,0.6840498798074791,0.5789819928577042,0.4185834528674461,0.2875655767554132,0.5698079424424781,0.5846617844765949,0.33555901935248,0.38452234650555067,0.5913159854009815,0.5086397356791978,0.4108268500330403,0.3611465804040194,0.32282964351118776,0.31311133006685365,0.5718221566148328,0.6479420539054223,0.3091300230743543,0.34552139492213063,0.6695640589334557,0.49123497192331694,0.5639039684213945,0.7002168983756966,0.31605449597565477,0.4531454997178121,0.3990632981703395,0.6301022284165049,0.6681801555376944,0.43201672699211746,0.6580208350861293,0.5920785426450142,0.3049829774891011,0.4169711247026395,0.5335445554502571,0.5686215490372817,0.6742680841451839,0.320112224675976,0.4001477465386495,0.4156987355080825,0.3494620066094771,0.3397492949591223,0.6765199741165748,0.4215724208950941,0.38161765435635153,0.3853584676806967,0.593003402378925,0.4902130438018937,0.36889888455342046,0.5947797268592847,0.5326498189163363,0.5085186863931296,0.6636582941250067,0.45065911998013175,0.6277080521961536,0.6748007404709818,0.6491066405722122,0.3712247489772611,0.35807797107504147,0.5071837657037084,0.6746416017809582,0.39459443168943326,0.40915706967907367,0.35790791710213465,0.4435533396475573,0.6332149841376996,0.346599688755634,0.6086864369419447,0.41872062608775046,0.5910155065807108,0.5758115897913386,0.632160727785669,0.4594452397489375,0.5172527000983919,0.4311522004227108,0.6634309179937345,0.46358427070306973,0.5664849967288035
NDCGk,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525
global AUC,0.9166634517583959,0.8983204711283235,0.8999819357226906,0.9031176286537316,0.8896690243751774,0.8751829048994594,0.89834001777061,0.924198167974585,0.9042760244018787,0.8823045697010117,0.8770923032196735,0.9089512726056568,0.8922003145513014,0.886441770856583,0.9133698425330915,0.8972330605547965,0.8867586322157563,0.8818117885612582,0.8973009594174765,0.8975602096204365,0.8840236454515923,0.9239543493313248,0.8773181183766168,0.8858291379364929,0.9306429016906302,0.910645143475394,0.8961888583484294,0.8665504904032767,0.9104342454928271,0.9154340708356288,0.8749653199076894,0.8857715267802794,0.9125051608045678,0.9039555623454418,0.8858034186703262,0.880009896773621,0.8761607513991164,0.8734370811120655,0.9110257886146607,0.9240844888181282,0.8738552763799357,0.8804476386837777,0.928918167701493,0.8922188324229415,0.9113513945243309,0.9307874439664869,0.8764395482443631,0.8985853795698402,0.8941719534956387,0.9235932508343447,0.9293456219051832,0.8881258684051768,0.9231405917498112,0.9187199642810832,0.8721043087393083,0.8885769843337403,0.9087871836875134,0.9142972792710617,0.9254625270993386,0.872985965183502,0.8918201837973581,0.8866850751145197,0.8779950494621237,0.8779178916636237,0.9294809052452199,0.8890851970331938,0.8843158163152456,0.8903084053320809,0.9143559191979218,0.8914277077956545,0.8811893823200246,0.9146280290339652,0.9055465561505124,0.9042343591906886,0.9283564589284129,0.88765417706368,0.9232686736953213,0.9271229629230592,0.9194822833302634,0.878882364144874,0.8796868627905675,0.9000040542915939,0.9216092666422473,0.8901911254783609,0.8880121892487203,0.8738830531873957,0.8890512476018537,0.9248195454451718,0.8759771158386864,0.9213561890631673,0.8856316139723327,0.9160163550216422,0.9111379246151474,0.9212461106039741,0.9060228769599192,0.9019993549608045,0.8979223368880632,0.9301388040737635,0.89777522268559,0.906601046063346
global NDCG,0.49673462396881785,0.48503215947368045,0.4856065584290933,0.48844905903307806,0.480118337516394,0.4829593091118331,0.48411905164706626,0.5090980018756631,0.4877404954637228,0.4735812642811344,0.471813106134567,0.48726410970384054,0.4781053301396603,0.48452953690326495,0.4909559624275836,0.48503708426817005,0.4726666297059093,0.4768228426952464,0.4822944240246399,0.485888202007517,0.479270257104737,0.5114040400194835,0.47217106340843085,0.4763276432251392,0.5248715273706295,0.49255170213026206,0.47868783833760925,0.46981996759808364,0.48810960231422984,0.5013128366919507,0.468490239071731,0.47908906007679747,0.49671794429762595,0.4932360423372514,0.47604157315148066,0.4732480085532857,0.4707327656663095,0.4684751761476948,0.4915499269660018,0.5054468160292301,0.4707412816478159,0.4911699127400288,0.5130414108702591,0.4776887920221579,0.4937383819973646,0.516328604305783,0.4708134126569988,0.4836793973493804,0.4852138289687681,0.5033219061582628,0.5114247392972183,0.47600181748805864,0.5073222213635125,0.5001149615384721,0.47075948646027516,0.4764086434732259,0.49021174074244683,0.499617152020218,0.5131658545030753,0.48233604040263206,0.48355701797487255,0.4760410384446316,0.47216569087952487,0.4785120423027656,0.5349806722688774,0.47579299144764925,0.47692301380759344,0.4768506005883935,0.49280385861401543,0.539903641190856,0.48632084608017,0.4904158480903645,0.4972451473392401,0.4905973318170805,0.5137593523133921,0.4762828759683039,0.5050821586183475,0.5076409908923135,0.494072897471035,0.4720100205757468,0.47173672398507194,0.485512306643388,0.5036859606877233,0.48008409758271875,0.4771568798648763,0.4731336874660149,0.4767945314765747,0.5051342677567432,0.46965112342203946,0.5052246794281963,0.4869282739336913,0.5197085665269295,0.4932221340480209,0.504989158391697,0.5008279927775514,0.4869042013163223,0.48484041970503333,0.521402631538095,0.4850996823000697,0.48700179289721796
