,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004219409282700422,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.004219409282700422,0.0,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,0.004219409282700422,0.0,0.002109704641350211,0.002109704641350211,0.0,0.002109704641350211,0.004219409282700422
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211
Lin's AUC,0.7286438753637072,0.7473447940134381,0.7447409247358318,0.7247698270490378,0.7320079692496737,0.7507094100387001,0.7665621248115974,0.7464768837783553,0.7498278259472272,0.7327826175006998,0.7468428240611815,0.7375789548609764,0.7482242075444822,0.7645245067386737,0.7382925895680461,0.736155929525526,0.7208106181820566,0.738625040073097,0.7505466502602353,0.7687242514803647,0.7381274405771563,0.7611185663632333,0.7477774954477068,0.7519865196285463,0.7347639691476827,0.7376242895612548,0.7481121827725186,0.7311550393475207,0.7298667287283942,0.7578717409992561,0.7371788187210351,0.7402705335371108,0.7355742042555723,0.7346797406862712,0.7452452884408295,0.727331038572245,0.7442247681649956,0.7335623032208614,0.7437179953196106,0.7634945387066634,0.7406814312820642,0.7392354575962693,0.7225129367927761,0.7375613031686676,0.7321442389444603,0.7486853964832418,0.7455848253681396,0.7456991291993151,0.7596903976762047,0.7491888664869709,0.736733973014488,0.7777909325809754,0.7404475847084044,0.7430166117704573,0.7379477423433521,0.7434059707518106,0.7312069942690061,0.7398406581292032,0.7503765385058596,0.7362173505048666,0.752167868165512,0.7449373243548241,0.7153941473449016,0.7506705254855026,0.724303817689709,0.7445900468200795,0.7586428828158209,0.7584800422652728,0.7561670785142915,0.7463752044014359,0.7439215065911604,0.748711634556118,0.7538806588537491,0.745629609182147,0.7419101674046356,0.7148823113150431,0.7630056097958031,0.7479217813423922,0.7609116404973081,0.7384482276371719,0.7487062245727959,0.7232286608800185,0.7413098740232531,0.7285827936063735,0.755688987582922,0.7785198157128757,0.7332206208827317,0.7714210449063187,0.74043072702784,0.7356973633360037,0.7040353273448068,0.7314266952872864,0.7602836086500191,0.777835060156747,0.7474271723988883,0.7445029646541622,0.736292447844635,0.746063093855077,0.7510245212402975,0.7337737054891013
NDCGk,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525
global AUC,0.9424045481264443,0.9517280354076669,0.9413722625134011,0.9453402347944543,0.9449251336322412,0.9499423272734222,0.9521165755822754,0.9469290385650421,0.948456727903616,0.9446918131258072,0.9427547704913226,0.9450535546044415,0.949448700515372,0.9517369085544946,0.9499816582663647,0.9441506330033582,0.9399066384403176,0.9439579840091943,0.9525822813491005,0.9503879018691844,0.9470186468264818,0.9486568939378457,0.9490134993569638,0.9472921478410133,0.9506712775231805,0.9482339912648956,0.9491281605217649,0.9466485660706359,0.9417723373891992,0.9511205034753665,0.9479442676283865,0.9480782727988318,0.9443026026915352,0.950501779765425,0.9463984462071651,0.9431392501393634,0.949231933863889,0.9456206371454072,0.946870460987918,0.9505937066576784,0.9495895914348048,0.9438081497994809,0.9364687519255352,0.9486785059151429,0.9399889167108999,0.9501589770191499,0.950218626232364,0.942440145928934,0.9509955585009571,0.9489216192270126,0.9458148098112485,0.9580245560071392,0.9464516500164034,0.9446579533222129,0.9514196068503095,0.9428602311731815,0.9437704632808297,0.9441485131123288,0.9496985398050302,0.9444179146317077,0.9495049867396919,0.9454523591043654,0.9427026422150331,0.9469775466597758,0.9437266470037422,0.9487480336646801,0.9502509428799882,0.949152445744,0.945518925241435,0.9457679422939476,0.9507249996146007,0.9420224533558117,0.9459157579309526,0.9457813007249202,0.9426841399308271,0.941172217281785,0.9494854985502829,0.9479496803648569,0.9525968322187772,0.9462138130509563,0.9479462667168022,0.9471302723385038,0.947802180373391,0.9495602402965068,0.94394546729966,0.9538787622785531,0.9474596309229191,0.950687500145158,0.9445085438700771,0.9485684742182516,0.9373493406304971,0.9452731503752028,0.9492736458373813,0.9542043526007891,0.9467429596743262,0.9510014427573074,0.9466666163192548,0.9451669064247834,0.9506054284080768,0.9487990903048795
global NDCG,0.5453432513604741,0.5632846666957725,0.5397197454614768,0.5510843468392885,0.5601630560454116,0.5750442803213133,0.5563566126808944,0.5538722151729404,0.5590138224850977,0.5516384652477494,0.5362970895479083,0.5454760682619251,0.5617700321276332,0.5524412572195355,0.5864704762703615,0.5440355789412763,0.5444016716594406,0.5493577416596181,0.5598238550506931,0.5806767491270736,0.540945448752379,0.5818971502008632,0.5588966153251191,0.5590533769497709,0.548920436104389,0.5544539067585486,0.5473128538607475,0.5533256752805551,0.5460633295529734,0.5549371901734982,0.5558997869922687,0.5580529012047608,0.5643242260782643,0.5593609875441264,0.5340850285562979,0.5404949340630769,0.5506201444912534,0.5566639810467177,0.5435096690415292,0.5555012547845147,0.5531437670786689,0.5496986696300548,0.5512858804201581,0.5525652113882563,0.5547085565617436,0.6031445948782687,0.5456337514517342,0.5430309975805808,0.5599176134577866,0.5632181880595848,0.5559803451127383,0.6090525927973757,0.5427540190477552,0.5482110768667047,0.5653993049077496,0.598375223908379,0.5605470342593407,0.5734185870607831,0.5883936158785494,0.5524805254079631,0.5542581197869367,0.5543633041251019,0.5479835359905706,0.5392456027678265,0.5455483721347867,0.5887773386552645,0.5639067622396395,0.5586648104623763,0.564663644654109,0.556328416250061,0.5753134234969931,0.5766103098097561,0.5399071292770289,0.5463235751249742,0.5704088554552309,0.5390663262916289,0.5653649729428656,0.5530340868837731,0.589303149863821,0.5467497324178714,0.5923842956384416,0.559028384010746,0.5519770217103636,0.5639882764691886,0.5769472216561617,0.5671567235580873,0.5624681996877064,0.5608509229977542,0.5827891276786765,0.5668941763772415,0.543147671922723,0.5337423287211234,0.5515758602335094,0.6013966252999137,0.5435201947338848,0.5654437281978962,0.5673347101368996,0.5559915985341749,0.5724928177882723,0.5748525681383077
