,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.0,0.0021097046413502,0.0,1.0,0.0,0.0,0.0,0.0021097046413502,1.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0042194092827004,0.0,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,1.0,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0042194092827004,0.0,0.0,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0042194092827004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0,0.0,0.0,1.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUC,0.4997303684833645,0.5026391472285994,0.4997541633543557,0.500201997216833,0.4997959030631898,0.4996795992543834,0.499638970882416,0.5003905791298148,0.5002706722200655,0.4997316259424144,0.4998392605007198,0.4996851310255478,0.4997524021906915,0.4997982007674121,0.5025248107601459,0.4997777493370325,0.4997065374639648,0.499708026087187,0.4997089015781766,0.499799070383307,0.5055684746224173,0.4998221306613711,0.4999199052400627,0.500633881243542,0.5027266390039336,0.4998217919130399,0.499776882367609,0.4997280143542936,0.5027273706902473,0.4998427440795525,0.4999329132748167,0.4998405770274706,0.5026817223791774,0.4997539679484581,0.4996868950958255,0.4996877785121625,0.4997768878485852,0.4998196923190697,0.5006755958578893,0.4996632957567388,0.4998430858644889,0.4997924160576182,0.5001785574832034,0.4997538330514974,0.5000252038617905,0.499876821178703,0.5026609585651948,0.4997978235681843,0.4996593329228095,0.4995740073353251,0.4996617393410978,0.5027713944908951,0.4999092739625774,0.5031197359546249,0.4996157645138911,0.4997296776923185,0.499615396809765,0.5001905772578692,0.4997756152508861,0.5002369008890853,0.5006404548996849,0.4996398720259904,0.4997245516114564,0.4997992437271796,0.499843222069714,0.4996801454486296,0.4996660997541635,0.4998430854743552,0.4997974825635154,0.4996856758195605,0.4997305776276776,0.4998205428415796,0.4997720838089988,0.4997264098399031,0.4997310755293056,0.4995250879964052,0.4998205621269828,0.5027499030032179,0.5004800272145687,0.5036715251075504,0.499799062063841,0.4997753164757072,0.49972841309606,0.5001790938317432,0.4997973173470904,0.4998649406128319,0.5005032825123816,0.4996844483619496,0.49968569530307927,0.49979553418342787,0.4996198167540884,0.49961836784802,0.49988904668915324,0.49979644495058906,0.49968393819274154,0.4997080068596669,0.4997753166677256,0.4997309105770073,0.49977634318057945,0.49982126381795466
Fscore,0.0,4.404510218463707e-05,0.0,0.0018880680912692,0.0,0.0,0.0,5.872680291284942e-05,0.0018884379662578,0.0,0.0,0.0,0.0,0.0,2.936340145642471e-05,0.0,0.0,0.0,0.0,0.0,8.809020436927414e-05,0.0,0.0001675399819941,6.60676532769556e-05,4.404510218463707e-05,0.0,0.0,8.04301865980329e-05,4.404510218463707e-05,0.0,0.0,0.0,4.404510218463707e-05,0.0,0.0,0.0,0.0,0.0,6.60676532769556e-05,0.0,0.0,0.0,0.0018877793507102,0.0,8.345387782352286e-05,0.0,4.404510218463707e-05,0.0,0.0,0.0,0.0,4.404510218463707e-05,0.0,0.0001211240310077,0.0,0.0,0.0,7.707892882311487e-05,0.0,6.60676532769556e-05,0.0001539260413189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.936340145642471e-05,5.872680291284942e-05,0.0001101127554615,0.0,0.0,0.0,0.0018879045306157576,0.0,0.0,7.047216349541931e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@10,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5329857293580897,0.5528575263021239,0.438247061272247,0.4544662044328034,0.4889192593066669,0.4465737140463505,0.5166196185650381,0.5414129860021853,0.5064530442318135,0.5824559789147017,0.539544187615461,0.5040130312484975,0.5093013027346944,0.4996519273574755,0.4371564136205546,0.49428660245345,0.4655039962945766,0.4724446230088729,0.5053931260942196,0.4925502597947167,0.5219620582581912,0.5505664593613279,0.5126023727338804,0.5467984451338087,0.5049888562651232,0.4706294131672746,0.5107761771317243,0.5129552291668846,0.5025306288203822,0.4854363460409923,0.4877730268675293,0.4869756567350022,0.471673287214046,0.5454509942618588,0.4999066201398701,0.470008454660952,0.4627698642360836,0.5794072401398422,0.5461129926986678,0.452553238780338,0.4745823356963685,0.5639355244055857,0.5107997337722932,0.5480040408034719,0.5270211018975598,0.5159097423916862,0.5395312005450893,0.4693018464573599,0.5080408077918948,0.522316163657346,0.5107608671709748,0.5184040880837497,0.5277619394482015,0.4643445660001555,0.4606913722326597,0.486379400864265,0.5025433244771472,0.5549964651724164,0.4620031764051819,0.5034871469260747,0.4679433110455291,0.415060138350997,0.5247566631487159,0.4905932193740704,0.5269066021318841,0.4350310795139468,0.4586230660663646,0.4974974263638013,0.4876046602685738,0.4606120564548214,0.4519582290966489,0.5011483023406378,0.5309487316376554,0.5451479911725835,0.479364575102869,0.4665957960407623,0.5169863557139043,0.4764208952062202,0.4861118064304874,0.5479339564060752,0.4902074275518429,0.5141071216548418,0.4573203944735934,0.48240842203394274,0.5489480817361049,0.5291390247052381,0.49478409415829233,0.5035167335991058,0.5104269645145078,0.5296849382713817,0.4523240078350863,0.5128855530168516,0.4655122849596591,0.4919312790440186,0.45445014269781503,0.4635467888780069,0.5335816576289035,0.5167239618112109,0.5072035562283062,0.47926308910687443
NDCGk,0.2784775112228936,0.2817316139735932,0.2770818107316959,0.2789105489146237,0.2782433792846547,0.2744224348714483,0.27871129153379,0.2788942314109661,0.2789252872873203,0.2772637889026258,0.2783155561133025,0.2770605582074555,0.2788369030217039,0.2742521260458207,0.2811682116465463,0.27801014285626,0.277667956300658,0.2787292886298222,0.2788179237091562,0.2788634529196753,0.2881925837777698,0.2789061746439673,0.2790959980086626,0.2806156263203133,0.2837333775192808,0.2766734595419542,0.2775294451497244,0.2791794056647466,0.2831776989990204,0.2788477184736236,0.2789059880413383,0.2789559331054659,0.2831427651008442,0.2788450006793201,0.2776536151748081,0.2787758686802034,0.2788260291114995,0.2778874291882341,0.2806693364499639,0.2774949936214864,0.2788775441458665,0.2787642998706603,0.2789124065465527,0.2788358927997865,0.2795022217060218,0.2784028386870587,0.2831015237812842,0.2788136725828272,0.2763728303569076,0.2758522680410849,0.2740343907815903,0.2794586461603724,0.2784931576401666,0.2838165756197249,0.277532877724998,0.2787958377404493,0.2786469051384405,0.2799443186957754,0.2777054803794747,0.2786400228294161,0.2800964646601262,0.2759550400472211,0.2784214003457642,0.2789795324740954,0.278392506700391,0.2784473317700941,0.2780605052906872,0.278365981670907,0.27603431289076,0.2786976458270311,0.2781805380244007,0.2767127628238678,0.277532181460799,0.2766377709529417,0.2788245928215243,0.2781695626468094,0.2752950697043432,0.2837631709213356,0.2803873168829178,0.2844641620568705,0.2766370486145432,0.2775759977021056,0.2773291038944777,0.27893144406877146,0.2787489081030188,0.2788729015522794,0.27934689247230526,0.2776560475594419,0.2774506575866509,0.2781595391714626,0.274570267834957,0.2768519681794667,0.27887694945576114,0.27886265448924913,0.2778953004244239,0.27675888822541345,0.2773627631101848,0.27746880374752836,0.27875429195827633,0.2788753698777093
global AUC,0.1036206865887478,0.1056248954765126,0.0946687296947367,0.9006177705383499,0.1018055376884592,0.0933393475888834,0.0994426541497077,0.1057603814531918,0.9008389640211004,0.1077035031869522,0.1049328134051184,0.1022385488123848,0.0920723619814939,0.0953192790481302,0.0945127696234454,0.0977051072897893,0.1000047759897899,0.0951909399099585,0.1049599043654807,0.0995257507605771,0.1057511303110888,0.1047031949142691,0.1041681406533981,0.1067099133789144,0.1040603223721406,0.0949447597704413,0.0962980452063956,0.1036885542765598,0.1041414627600379,0.100015593669014,0.0945142114610942,0.0964262986136801,0.0914553645798724,0.1019937481607802,0.0968801735180687,0.1023092767943431,0.0962512361419722,0.1069206243122726,0.1013694714274618,0.0957828025741899,0.0964268831424566,0.1036814386129203,0.9019919509296354,0.1008246594328814,0.1027375415446034,0.0992207358512744,0.1032655113167031,0.0940741626106994,0.0981205435818343,0.1006307829282868,0.0976929179163696,0.1003950775444448,0.1021013482179611,0.1015197888476305,0.0989047785632753,0.0948503622698926,0.1011011103693051,0.1076961459180851,0.0949965100514555,0.1010260958429856,0.1011611999275309,0.089882537929176,0.0979839197224701,0.097738183824823,0.1002114108091466,0.090444558450937,0.0988627158725173,0.0925794757668475,0.1002438482593847,0.0953394413940615,0.0969943670598487,0.1013721368786827,0.1003904013142326,0.1016087463336991,0.0963660142125288,0.097184237593895,0.1010859515897008,0.0975456166646878,0.099205545896802,0.1066545234320518,0.1025710287804667,0.0993170428124931,0.0908193427150046,0.8999986454519817,0.10519269489915717,0.10568109596994532,0.09834633535762663,0.09805249663853087,0.09776843124057846,0.09982937059453326,0.09355287984780304,0.10026673840627309,0.09364876594830263,0.09716619513899322,0.09256531458302188,0.09543626274060354,0.10283370042519871,0.0970056757432451,0.09949860524419578,0.10030204394437463
global NDCG,0.3866791603150319,0.3902653455764386,0.3863712254763792,0.4955484213421586,0.3866182408332457,0.3863197476664275,0.3865388966836411,0.3900945711353087,0.4919874290293343,0.3868242942639548,0.3867269984905082,0.3866374612271892,0.3862859010727432,0.3863983318405015,0.3946879976451182,0.3864730643148852,0.386558119681373,0.3863911438804184,0.3867251513494452,0.3865386818254794,0.390925177261008,0.3867190874447976,0.3933603530921871,0.3894129917889501,0.3896503797024738,0.3863852614642795,0.386425463961907,0.38953849694936,0.3889978685026693,0.3865543649910176,0.3863650745174442,0.3864302945302858,0.3905788357999897,0.3866296364767215,0.3864433609017654,0.3866375803144422,0.3864293597662905,0.3868009352701856,0.3901099713846727,0.3864112162875908,0.3864357195035107,0.3866884050959771,0.4923695641763193,0.3865856543142667,0.3890965590846002,0.386533809283676,0.3893515416283653,0.386345974994097,0.38649206524197,0.3865829478903248,0.3864783054165792,0.3900796294343392,0.386632637419865,0.4030875615233225,0.3865211912090617,0.3863851657018965,0.3865918314197774,0.3900197433032263,0.3863864898167842,0.38928137371887,0.3924102512771224,0.3862067309084889,0.3864927458887236,0.3864808082005794,0.3865649552719286,0.3862274472335673,0.3865153752573987,0.3863017760218493,0.3865705414122043,0.3863956996199601,0.3864520594158629,0.3866015507550538,0.386575401933838,0.3866088668039775,0.3864343890912385,0.3864599742392086,0.3865934738425201,0.3889628604417336,0.3892942155873683,0.398456590752606,0.3866532140688902,0.3865373944439815,0.3862386386526696,0.4892056742005906,0.38674254407371245,0.38675558116861253,0.38944720507823916,0.38648856627060746,0.3864717869971992,0.3865537654034052,0.3863338712662499,0.3865650053383688,0.3863370740437521,0.3864535313474808,0.38629861680469496,0.38640354156507906,0.3866558896607068,0.38645127141994257,0.38654688459570963,0.38656323796262365
