,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703
HR@10,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.006329113924050633,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.004219409282700422,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.004219409282700422,0.004219409282700422,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.008438818565400843,0.0,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.004219409282700422,0.002109704641350211,0.002109704641350211
HR@2,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0
HR@5,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0
Lin's AUC,0.7411980349291085,0.7530357214625478,0.7293481602992029,0.7446766614186701,0.7256888807428996,0.73051588224482,0.7604781436031124,0.7466437215444794,0.7398799533469963,0.738300535433,0.7511118669582743,0.7401819555985976,0.7336129808106914,0.7502061837883458,0.7381109739938999,0.7451718890268975,0.7455738278183763,0.7582928965717803,0.777377659132376,0.7399555069367904,0.7580682921005735,0.7490244359337144,0.739238791366304,0.7364649942751313,0.7442782590356988,0.7283717411139613,0.7522034885688739,0.7504950839049997,0.7484406490299786,0.7530304582368103,0.7565944538105647,0.7587369952413107,0.735912568676876,0.7629313381806183,0.7532742713433238,0.7228130906208151,0.76057357464282,0.7472230677163979,0.7588146253617128,0.7551775477372107,0.7508078285891179,0.7437160298870041,0.7386502484159649,0.7473531855757082,0.7116019220932827,0.7421283642550435,0.7620758177035444,0.7294555193522264,0.7424645427252486,0.7519891618280602,0.7434431586942849,0.7512938909002701,0.7311204047957054,0.745124416804879,0.7527077710678758,0.749770011844882,0.7250109697680134,0.7576499838814281,0.7577837603019669,0.742903613115011,0.7612543350759164,0.7095074279994393,0.732925712375082,0.7717313153134121,0.7439528609449787,0.7639369621233919,0.7629156221876817,0.7367034986689303,0.7471699231213556,0.7450240220294931,0.7639343477731879,0.7458095965719453,0.7376579284854566,0.7300429416350422,0.744614408188465,0.7319374193729583,0.7729952570210641,0.7452532922322456,0.7390754719551288,0.7387451645087318,0.7411293523961008,0.7401880117271743,0.7279088941282044,0.742233304513949,0.7473183474230202,0.7546219407761836,0.7809453354189605,0.7677590176648109,0.7568253091733441,0.7265651577841553,0.7326902249552119,0.7425635251408794,0.7410042607607995,0.7089567922179194,0.7672255025712479,0.7569199100369686,0.7286881379398118,0.7618655635606189,0.7504264394591111,0.7331581951042553
NDCGk,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525
global AUC,0.9394850529055437,0.9401184638752098,0.928079501400383,0.9401523821316817,0.9381733781247602,0.9376635443321666,0.9432565105087908,0.9321868993820689,0.9428209586331167,0.9366920497118811,0.9371090993033493,0.9370246855543034,0.9367495127874711,0.936735172348154,0.9401542682112006,0.9409911653385472,0.9414552733933833,0.9422666227163377,0.9348529117506044,0.9372990165996976,0.9408633172045476,0.939869742983944,0.9384792737240863,0.9403238984621453,0.9394891757818474,0.9366266058700624,0.9409329150975382,0.9380101776903572,0.9400081204296378,0.9371571086001937,0.9400191095706363,0.9415983504504403,0.9362083560461733,0.9434182457243943,0.9393625590551372,0.9354711249720808,0.9434288373858246,0.9385667815787891,0.9389107650731929,0.9395685236148301,0.9390729523243834,0.9406224134114533,0.936263044558504,0.9401121587581405,0.937058868797154,0.9389842987932786,0.9432887687035375,0.9382382686126706,0.939100962943354,0.9364534450653075,0.9410760934729164,0.9398718706686905,0.9406948715985901,0.9403865599469878,0.9372702733713272,0.93224710584605,0.9321711560736882,0.9394668311951505,0.9372475390987791,0.9392136445040321,0.9417846904306764,0.9344449886017668,0.9368723105928415,0.9412088204737704,0.9351505927721909,0.9464911057088183,0.9394814522082804,0.9378826568924726,0.9319450681366489,0.9384407727620065,0.9402465224395687,0.9388211996771968,0.9392619031998212,0.935368162176527,0.9410177652947371,0.9381200924814931,0.9444948464124141,0.9391536017081085,0.9343784614332824,0.9362059711687651,0.9378990938416684,0.9347530274732734,0.9404077354761318,0.9380199821863686,0.9377873553207495,0.9390138759493704,0.9401370518903028,0.9434828712259258,0.9393179400251965,0.9356392042733388,0.9359917608564646,0.9364028482544124,0.9378896088880546,0.933663481421283,0.940443360556631,0.9406824562073769,0.9388328980464439,0.9415290876872816,0.9369238270623451,0.9379460042244129
global NDCG,0.5447206495213097,0.5814754693415282,0.551668699682205,0.5581619028686712,0.5485395861927437,0.5511148333464126,0.5751206871692601,0.5625529284483506,0.5879056065556557,0.5625475688218853,0.559920520532575,0.5491317645903294,0.5588861522701423,0.5586563102656006,0.569199847193286,0.5574938100062122,0.5564639004981031,0.5633098381008528,0.5771732422616432,0.5433507174350511,0.5671656587077367,0.5648393414147975,0.5538642613165509,0.5611513663813767,0.571186989897004,0.5682497864774975,0.5675056867755306,0.5622060864743058,0.572303579898887,0.5713390905611555,0.5533050844226803,0.564385638104203,0.5584025705703982,0.5680536347961873,0.5655510687085223,0.549509929927393,0.5681263787715193,0.548356974852895,0.5756107667676452,0.5872697884372527,0.5716600824916979,0.5566352891871883,0.5577262605144077,0.5584973563751376,0.535714221077584,0.556137290433606,0.5501327216563713,0.5618526156997997,0.5609645979869333,0.553048652564148,0.5523118571294006,0.5673351309706736,0.5590106784010072,0.5596962966688197,0.5866427620674365,0.559822365369639,0.5539172027385956,0.5721430280842779,0.5676068027441413,0.5761080612910607,0.5757693202595259,0.5643859702326534,0.548797357233332,0.5715460507198074,0.5487623771973468,0.5668363002215513,0.5652802304567782,0.5523040437827061,0.5515479236046589,0.549169858183123,0.5775899197564334,0.5763560045454026,0.5564652083839461,0.5362605436626461,0.560403451549685,0.5557527581267853,0.5874386016125616,0.5759936744396853,0.5572242407089093,0.5492545321889729,0.5420388798284473,0.5796437263258772,0.5552710765187433,0.5505034843701245,0.5531003875811965,0.5579893845973707,0.5765131891132667,0.5671915426934854,0.5719523145788189,0.5398123044994705,0.5610720002671737,0.5393981862355163,0.5529846575686865,0.5410514227158578,0.5750986652675969,0.5510884815314416,0.5704139525774838,0.5741314686547454,0.5756788863264021,0.5452032361005962
