,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703
HR@10,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0063291139240506,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0168776371308016,0.010548523206751,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0063291139240506,0.0042194092827004,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0063291139240506,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0063291139240506,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0147679324894514,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0042194092827004,0.0042194092827004,0.0063291139240506,0.0042194092827004,0.006329113924050633,0.004219409282700422,0.004219409282700422,0.006329113924050633,0.012658227848101266,0.002109704641350211,0.004219409282700422,0.004219409282700422,0.004219409282700422,0.004219409282700422,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.004219409282700422,0.006329113924050633,0.004219409282700422,0.002109704641350211,0.012658227848101266,0.004219409282700422,0.004219409282700422,0.004219409282700422,0.002109704641350211,0.004219409282700422,0.002109704641350211,0.004219409282700422,0.004219409282700422,0.002109704641350211,0.004219409282700422,0.004219409282700422,0.002109704641350211,0.006329113924050633,0.002109704641350211,0.004219409282700422,0.004219409282700422,0.004219409282700422,0.004219409282700422,0.004219409282700422,0.002109704641350211
HR@2,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.002109704641350211,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.0
HR@5,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0063291139240506,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0,0.0,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0042194092827004,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0,0.0042194092827004,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0084388185654008,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0021097046413502,0.0042194092827004,0.0021097046413502,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.004219409282700422,0.002109704641350211,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.006329113924050633,0.004219409282700422,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.002109704641350211
Lin's AUC,0.8040971374454744,0.7990982760863043,0.7970222805469542,0.7944662388661395,0.7927286009526704,0.7911565808379921,0.803177566009011,0.7951693723930507,0.802449183956749,0.7983784603516145,0.8040003870767793,0.7994457800881636,0.7907035571834692,0.8012502507661912,0.7845069415818212,0.7951738427748669,0.8009944261629312,0.8003292760253679,0.8038829433745196,0.800230465121579,0.8012739596489412,0.7935231815238026,0.7993081602405525,0.7983346797040798,0.7963796179445118,0.7916046954562114,0.8002694242301537,0.8006132019033977,0.7955904991696537,0.7958691145230382,0.8055244284671846,0.7902190793958501,0.791605923588399,0.7945379741087788,0.8012304841956126,0.795996208025609,0.7889998048276177,0.7970491743658938,0.800070217190121,0.7977623175784335,0.7966906871389445,0.7972318060679241,0.7893051112286611,0.800965923343906,0.8011194307142774,0.7945143073809181,0.7991274372429548,0.8037064899163472,0.7969491683657914,0.8087167752872242,0.7986363015684059,0.789477994791694,0.792932326641199,0.7946282545176977,0.8033308576900803,0.8073717960020651,0.7906410739783372,0.7895106092256445,0.8036630805237873,0.7958706125195568,0.8059424354371271,0.7946461099096949,0.8004621230703672,0.7970796196834958,0.7966874353841916,0.7997608457942467,0.8063668135401478,0.7901658401986766,0.8061329346169667,0.8059359165316233,0.8011052557187829,0.7979774524293386,0.79700155340362,0.8031607703254825,0.7936268996610345,0.7889624045811389,0.8017732503036952,0.7962859371013167,0.8024308843823027,0.7987126060682893,0.7988199710164515,0.7939228588319568,0.8002995012642984,0.7955581498609122,0.7995635577014342,0.8014214649245329,0.7900051680916835,0.8000753070007468,0.8024014797206938,0.7951975181075588,0.798630338987257,0.7976706458272032,0.7996127889082442,0.7913846979710227,0.7978461293719916,0.8002037489942138,0.7968026530837975,0.7889052919215505,0.7975670648889416,0.7950048770000121
NDCGk,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.2789098861598352,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525
global AUC,0.9552557484079656,0.9540486731033104,0.9541937453519246,0.954600842366758,0.9545305040706508,0.9545181042668714,0.9548445285168288,0.955176720117381,0.9553044513456248,0.9541786800969246,0.9552286496538864,0.9557057654224294,0.9545629103460208,0.9552386022305211,0.9536733588664856,0.9547650326032228,0.9579265227376004,0.9588783927784292,0.955446335963978,0.9561002833779922,0.9553876882434006,0.953630711646951,0.9546989340891744,0.9547321587048314,0.9546851937660676,0.9539028292767112,0.955781995768604,0.9542909641780346,0.954571919882896,0.954825792421112,0.955061061356801,0.9542271258419222,0.9542221066881612,0.9541968628387328,0.9555377640583418,0.9538599326582324,0.9545576262058808,0.9555326124113914,0.9552440344512844,0.9545504949548076,0.9550891187380736,0.9548802237407812,0.9526666444389856,0.95480759409187,0.9558365206128774,0.953864928430842,0.9548256755153568,0.9553587735532558,0.953854773217565,0.9553206077210078,0.9547021918628888,0.95460279858973,0.9535604045257118,0.9544033106088808,0.9575138142465124,0.9551080107081308,0.9532710160190344,0.9541546832422194,0.9557648495911596,0.954610841705695,0.9558752709739018,0.954663683107092,0.9550155460494031,0.955240753296419,0.9552958003197326,0.9563607805756754,0.9582534301980129,0.9547544877040944,0.9555176796495807,0.95567748981708,0.9545554985211345,0.9543393865418812,0.954392173387259,0.9560509491492543,0.9539941248778863,0.953403517002095,0.9566139049170577,0.9545895804456637,0.954354038729879,0.95740323698943,0.9533344568755788,0.9538572282384262,0.955615747990846,0.9545010983763333,0.9546875552623248,0.9553038590231314,0.9528650179183009,0.9553974459771101,0.9558677344495433,0.9552137090983588,0.9560299684630358,0.9552127504711653,0.9553022145488401,0.9532776484722187,0.9544428948976265,0.9544553258762738,0.9558601823377507,0.9539555381849191,0.955035965587996,0.9538633307188529
global NDCG,0.6119324951095529,0.6114249760541677,0.6047707310152833,0.6121782253753798,0.6136568408259954,0.6157193630707158,0.6118734592145448,0.6124002698750476,0.6046511737728433,0.6250587038871377,0.6079906481446523,0.6023653157457545,0.6105014323893185,0.6043408094170237,0.6131142439075434,0.6141148519834206,0.6722369525047835,0.6737299244831124,0.6061438087333458,0.6110857162036728,0.6123793718907321,0.6150598316736131,0.6054542587944368,0.6106667327145301,0.6118393894473529,0.6127559204173045,0.6065251388499913,0.6076719571019956,0.6116723902676259,0.6078937088713519,0.5964737666849813,0.6069286232658723,0.6125178085858485,0.6138837668881139,0.6047686652772869,0.598219111230153,0.6041472521610074,0.6059090021799195,0.61529524621466,0.6026940018124317,0.6051942546408244,0.6153348090269971,0.6141324516780045,0.6021444693572283,0.6141120863363545,0.6034174551014362,0.6135113067441816,0.6080168633652141,0.6036877432257197,0.6115039247831572,0.6090379838020635,0.6068851272844555,0.6109977948738731,0.6107738481587422,0.6733010003416005,0.6113488542998374,0.6090498201470539,0.6115860783137952,0.6034996111122748,0.6131135890602695,0.6180186272451506,0.6145705290636185,0.6121370459648339,0.6080756818744948,0.6080049301580839,0.6166499902189818,0.6578326431575993,0.6095007896700524,0.6128237554470127,0.6123673807538298,0.6113832940887075,0.6151634596845332,0.6025503972157347,0.6119780031508834,0.6058437397038136,0.6150381672873607,0.6178190637363874,0.6087240289243802,0.6079389195268153,0.6607883011862683,0.618558341240185,0.6135056401330259,0.616032102834968,0.6089208957361754,0.6115414015283466,0.6146511893017973,0.6066306872267571,0.6071608089226964,0.6128352122167826,0.6129801188091,0.6150716063404139,0.6134285283298806,0.6143069525491226,0.6079718126826632,0.5992253952881382,0.6106568178350628,0.6139997117844608,0.6147643021278147,0.6160097449046172,0.6048938447331168
