,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5184203120726752,0.4971172377146338,0.5066625474038721,0.4994271103813078,0.5098415989437743,0.5000489362205335,0.526934160914681,0.48845494801196265,0.4921445235367481,0.5150083584131148,0.5159777747279686,0.5140180719933803,0.49124464630767634,0.49120642586132546,0.508312926794562,0.5226854062833708,0.5127176889053559,0.5086915286249579,0.5091999242365624,0.5126806944890195,0.5237487526136023,0.5049280682005098,0.5164253689102504,0.4963052140382167,0.5051562370827823,0.4992729291640744,0.5000908370063837,0.5187272712296735,0.49253342849909665,0.5097644204732853,0.5021924355682749,0.5109515837059748,0.4978980133158985,0.49926241366721,0.5026868852843469,0.4950656498316688,0.5134344458832856,0.5126826306687225,0.5076865546493533,0.5061331120477087,0.49931844262330527,0.49817471507537364,0.49639590173485454,0.5181785385487937,0.5139747337040713,0.522078751032439,0.5100701373436858,0.5102530053360305,0.504576577858957,0.5011229432309465,0.5072611752169208,0.5166733320776632,0.5131760480934147,0.4987658715118651,0.5023740072823843,0.5068974371142239,0.5190527025841638,0.5126514528682409,0.4994232471225286,0.5122188814333103,0.514811066827204,0.5003757041650743,0.5093776423080747,0.5088342994578441,0.4994060991877047,0.4903707822604553,0.5033802300963988,0.5148512898932329,0.4968062349436027,0.5129289342359534,0.5183414973098994,0.501596536079659,0.5057117025274723,0.49777949567882684,0.4973549938969417,0.5101781607221659,0.5147761837562026,0.5218741632077356,0.5139481276962414,0.5055927035406812,0.5011282943468671,0.49062035619562655,0.5051339193811519,0.5090633606323213,0.5130386408989446,0.507476969175152,0.5225650477872581,0.5163388373066429,0.5106849911793002,0.49371813921065577,0.517772576835966,0.4982009092799253,0.5075460746369577,0.5151329485128538,0.5077787897674144,0.5091468171457808,0.49738174949651764,0.5163751225297245,0.5152657607780945,0.504205073400223
NDCGk,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525
global AUC,0.8953328977892513,0.8927349947137556,0.8949493728715456,0.892240050817529,0.8945784815691294,0.8930697270660564,0.8963716249094116,0.8917718198863891,0.8913914358366426,0.896102698806771,0.8963245703429022,0.8949916888581068,0.8921849375476207,0.8930874343911265,0.8927927851254603,0.8953903374836902,0.8958519125804949,0.8948310603503205,0.8940070813089349,0.8948704108275555,0.8955399456756101,0.8941012839665582,0.8953466264217824,0.8925392282327835,0.8946838799012523,0.8931385650716372,0.8927697624853828,0.8955147563822008,0.8925883754123128,0.894585191959484,0.8939926863135985,0.894753166045562,0.893976288332988,0.8940404695926494,0.8932514414752408,0.8928817543021045,0.8954861066784346,0.8954714622841535,0.8942065731866427,0.8942766309089372,0.8921372984523345,0.892592677544108,0.8912256089196038,0.895455598173159,0.8947207441827579,0.8959394477132072,0.894667727422728,0.8938977432528584,0.8943133276255267,0.8936264829319701,0.8952148268732538,0.8946862102226415,0.8959628990077211,0.8937693963209697,0.8943933301307391,0.8940867175094473,0.8953407967214515,0.8953556944115355,0.8935827874574964,0.8944645374262944,0.8959391866236871,0.8919037519281072,0.8942351683343895,0.8934262935165892,0.8928679243512522,0.8912526959831074,0.8942774336617901,0.8960872282784859,0.8925084430505538,0.8952054237536688,0.8952842026453092,0.8942445636602575,0.8932576218928381,0.8936207857248283,0.8938263917735383,0.8943481694374656,0.8957745755265036,0.8959711447603287,0.8951005437037282,0.8925597802645657,0.8932622630513236,0.8929738838310003,0.8946674195709057,0.8955929507450647,0.8951615801985717,0.894749109415853,0.8965104738749851,0.8953835647435997,0.8936502693563159,0.8918020478178519,0.8961427429248209,0.8930867095754434,0.8952625516994271,0.894889902913823,0.8927310510929435,0.8934280821746454,0.892503907107248,0.8959698081378596,0.8956748393297957,0.893146834205396
global NDCG,0.48317549685853023,0.4810813580456956,0.4819275690768613,0.48141092980315364,0.48205486948084536,0.4816848283441984,0.48412944759191034,0.48081049066755155,0.4810729568008856,0.48267680632091564,0.4832616989703016,0.4820855797362776,0.48049733446824316,0.4811782539702708,0.4815549246276531,0.4828236723202816,0.4833184447134543,0.48223747601826966,0.4818736975019525,0.48240427925535534,0.48323914725892,0.4818251621680618,0.4832573090445398,0.48041242725205663,0.48187503628575373,0.48055162938531204,0.4816162008872106,0.48263028393909096,0.480966273290554,0.4813184684308962,0.48159865129385643,0.48261126717741026,0.48217087174967505,0.48170935808702203,0.48166600841301854,0.48058455899997754,0.4829897666323214,0.48323203094222533,0.481573384497343,0.4815598414203714,0.4807728905937914,0.48161853767173496,0.48018117412931866,0.48204867398527296,0.4822479505932795,0.483425238436105,0.48240282034950194,0.48102850845700407,0.48248490416594747,0.48113574370284556,0.4819419098746958,0.4820315241999511,0.48338930288773496,0.48137125573102574,0.48179292116752026,0.4819432493831186,0.4827862139742766,0.48227422294127903,0.4814720246390389,0.48201023576201624,0.48270140471217743,0.4808507230382178,0.4819958792359,0.48169114692551324,0.48154342915657256,0.4797436218197609,0.4819898166803155,0.4826837643192038,0.4811472320783221,0.4831813657349171,0.48276329298805687,0.4826802997575241,0.48130728748423734,0.48163417864501856,0.48090796490268184,0.4820764591724916,0.4834063962523659,0.4832320973359267,0.4826089196979464,0.4813460532143686,0.4813084150417563,0.48094538658314934,0.48173165700957743,0.4831443341784317,0.48310405272064166,0.48208174252258074,0.4836695380292128,0.48243696382725676,0.48202096369358993,0.48099505410974003,0.48440091831689636,0.48157178647843596,0.4828755418223435,0.48221001943717556,0.4809750320068109,0.48218836391952097,0.48055889925967815,0.4828403792448346,0.48284919399636994,0.4811010237574951
