,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.5084388185654009,0.5379746835443038,0.569620253164557,0.5232067510548524,0.48945147679324896,0.5147679324894515,0.5232067510548524,0.510548523206751,0.4978902953586498,0.5126582278481012,0.5295358649789029,0.5274261603375527,0.5084388185654009,0.5042194092827004,0.5147679324894515,0.47890295358649787,0.5189873417721519,0.4767932489451477,0.49156118143459915,0.4978902953586498,0.48945147679324896,0.5464135021097046,0.5168776371308017,0.4978902953586498,0.5147679324894515,0.5316455696202531,0.5253164556962026,0.5210970464135021,0.5042194092827004,0.5337552742616034,0.48945147679324896,0.5063291139240507,0.5274261603375527,0.5147679324894515,0.5253164556962026,0.510548523206751,0.5210970464135021,0.510548523206751,0.5210970464135021,0.5232067510548524,0.5379746835443038,0.5189873417721519,0.5358649789029536,0.5168776371308017,0.5021097046413502,0.5295358649789029,0.4957805907172996,0.540084388185654,0.5295358649789029,0.5147679324894515,0.5337552742616034,0.5274261603375527,0.5126582278481012,0.4936708860759494,0.5168776371308017,0.5316455696202531,0.5738396624472574,0.510548523206751,0.510548523206751,0.5126582278481012,0.5358649789029536,0.4957805907172996,0.4936708860759494,0.5021097046413502,0.5569620253164557,0.5485232067510548,0.5421940928270043,0.47890295358649787,0.5168776371308017,0.5527426160337553,0.5443037974683544,0.5021097046413502,0.4978902953586498,0.5632911392405063,0.5548523206751055,0.4978902953586498,0.47890295358649787,0.5443037974683544,0.510548523206751,0.5274261603375527,0.5084388185654009,0.5337552742616034,0.540084388185654,0.5232067510548524,0.49156118143459915,0.5232067510548524,0.5232067510548524,0.4936708860759494,0.5232067510548524,0.5358649789029536,0.5042194092827004,0.48523206751054854,0.4704641350210971,0.510548523206751,0.5358649789029536,0.5168776371308017,0.5189873417721519,0.5189873417721519,0.5021097046413502,0.5210970464135021
AUC,0.5100972881844332,0.5040344041260758,0.5100048739561356,0.49386468835984515,0.4949124919944659,0.5010433595994546,0.5169243636454741,0.49952146704505007,0.4975958762625887,0.5085990296776862,0.5150987367376567,0.5075274641962122,0.5050597349552879,0.4990390838775973,0.5066858279996223,0.49507063438329374,0.509730084840485,0.4809192049151987,0.4930076869498189,0.49670747983530456,0.5159602983437325,0.5113036826144317,0.5079787819564477,0.49869691836135693,0.4961988393703459,0.5136358628865789,0.5118844149697512,0.505256970116024,0.4928830877204595,0.5117601860291205,0.4938498545557467,0.49500806481325693,0.5044765816996241,0.5031988541084562,0.5147202924805626,0.5010846392990974,0.4964499076373874,0.5004179650244989,0.5065462362392935,0.5016167267208795,0.5069131933036093,0.4991768117278199,0.5158042380336663,0.5048957190936858,0.4954503955519721,0.5135748743897763,0.4825612064017355,0.5035327292291852,0.5055337048524299,0.5007286549450868,0.5010585209538425,0.5085825076829039,0.4936404752165823,0.4855892713438218,0.506545952311989,0.5110503688797862,0.5285853862950273,0.5016348864132083,0.5031717067607862,0.5017227811888647,0.5122249480910387,0.511711371619724,0.4897528301471784,0.48864902369925983,0.51838310891943,0.5119047822025494,0.5089989477115939,0.4947146422614706,0.49303611084988724,0.5195751206601609,0.5052928378324161,0.504652877110504,0.4832940876922918,0.5315372733763916,0.5147695114908278,0.4859992399594854,0.4814858555121453,0.5101350120860574,0.49122256280014226,0.503542323466188,0.5047115168613876,0.5153640922176389,0.5186256534565673,0.5075372205161496,0.47626871671743404,0.4853675133863817,0.5000114396507048,0.48721670861362637,0.5073248219047539,0.5115240715538113,0.49874967633054973,0.48981741906921533,0.4862041668671754,0.4992568531541571,0.5098700393531813,0.5032681667279582,0.49952935124095765,0.49814326910179574,0.4902591509020462,0.519557566761326
Fscore,0.0018388161645249224,0.0019144772016431973,0.0021685051038435213,0.001828111129655368,0.0017504563962454703,0.001815282022794706,0.0017603630368580334,0.0018295914156733245,0.0017162894387307978,0.0017670316257277139,0.0018393402157210568,0.0019382366010803787,0.0017802299743639642,0.0017456963272877032,0.0018025040607529453,0.0016946468402238431,0.0018899048302566145,0.001649616939091573,0.0017952210390819756,0.0018437222103808127,0.0016728365815759979,0.002035442735697746,0.001788456201565046,0.0018093480348159916,0.001886043727783329,0.0018842284159919622,0.0018427119705303723,0.0018113380566300251,0.001810440781317932,0.0020076311902519875,0.0018170715439288028,0.0018964281470300966,0.0018957023771942589,0.0018164187030487464,0.0018141313680027147,0.0018414768604399798,0.001811974393764961,0.0018829091025334935,0.0019578782720153314,0.00186335014855037,0.001956534339351812,0.0019396945804121492,0.001954171963208458,0.0017895923832972624,0.001756486652151796,0.0018790081084336888,0.00186241367692417,0.001959986261203277,0.001937678235401752,0.0018945598507722921,0.001952557688682267,0.0018793203344796424,0.0019025185033969727,0.001938692231174477,0.0018427793893634695,0.0018958320820427774,0.0020225965208975935,0.0018670118485723116,0.0018050340456223586,0.00182134006931508,0.001962468684221738,0.0017251093911885146,0.0017438305338378776,0.0018972143016691596,0.0020018008406871104,0.0019417664034626855,0.001887519525047924,0.0017228069393398534,0.001840525396542674,0.0019278423840290264,0.0020173525340571197,0.0016722602965178104,0.0017965586181999257,0.0019515417365146882,0.0020126320184037892,0.0018498253441903225,0.0016626444925635128,0.0020944036090650184,0.001856908667802539,0.0019645456919898077,0.001864543596859063,0.001895832670077958,0.0019257739835882813,0.001888125588148009,0.0018100082492790994,0.001995411517783136,0.0018957618386290476,0.0017952591662560482,0.0019618204776455034,0.001934827749606443,0.0018316419883167361,0.0017156487673728757,0.001635306276655114,0.001875655410665191,0.0018479429165926622,0.0018043914752680892,0.0018626816137836935,0.001942532662054607,0.0019640500695464664,0.0018776243496284272
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5250399607278224,0.5517566136812205,0.5493728616070117,0.5226608501319455,0.5234568675484178,0.5287054700437317,0.5306544046271592,0.5130121851126366,0.5133066911163179,0.5352003357294025,0.5255012135912799,0.5375408448026564,0.5305726137611484,0.5255117893675078,0.5272716124425918,0.5241598987975752,0.5346319644814793,0.5195821286315052,0.5304721814580793,0.5348454254356315,0.5115744759470349,0.5405038391266652,0.5200247409026952,0.5233621652882191,0.5315630201312088,0.540735900944959,0.5211771341001641,0.5188069480039698,0.5256503129094587,0.5469352988266863,0.5405383442079967,0.5279862083355374,0.5329553034977039,0.525627768851568,0.5237664982958989,0.5407298685515305,0.5133631256239768,0.5298518035604916,0.5351154440402827,0.5184506332707938,0.5274259818646646,0.5508117763365656,0.5478546968448558,0.5339516064663147,0.5343332370492309,0.5307143315225483,0.509948274616011,0.5272445161008531,0.5383784746177814,0.5349243961372835,0.5312689855994854,0.5321952886521331,0.5332121847254014,0.5096855520579989,0.5204636840509078,0.5237724468318308,0.5435217862513533,0.5301738419908428,0.5242295602409881,0.53556812933608,0.5352738772456193,0.5171673973751417,0.5219392542652977,0.5292130260350814,0.5391423208248998,0.540723821557945,0.5367125482743382,0.5265668997604334,0.5199127623763181,0.5383686742631175,0.5315971694410653,0.5276684752588503,0.5256531612424307,0.5386139900470123,0.5420216303038875,0.5257744674289048,0.5137578130337955,0.5533522285361769,0.5231908062811352,0.5332097664992442,0.5255704890484543,0.5328119770573906,0.528347399548809,0.5444774047760053,0.5030755560261443,0.5257878934015128,0.557182697908129,0.5230424605039609,0.5336540288029221,0.5317490094064506,0.5222615687904996,0.5153505762147116,0.5275389498056606,0.5335421389565306,0.5340790726327055,0.5365497440899036,0.524293990873786,0.5213676088336631,0.5268197991715049,0.5478800906967134
NDCGk,0.25603990076886335,0.26212504513745705,0.2569797150064315,0.2512283834975374,0.2394872715633185,0.25051647932945453,0.2538028802851896,0.25278081718462847,0.24170912105804387,0.2431201706819299,0.26051963385090277,0.24356965757229238,0.24784127355416058,0.24844674902218566,0.250209472835605,0.25138398028304926,0.24180749070393487,0.24105444276977286,0.2403502185501498,0.2474799463615817,0.25529993575600957,0.2558567778092773,0.25548805309361106,0.2567935985276459,0.24432093899000762,0.2500689226725651,0.26078842185195894,0.2655237712709434,0.2479905203192122,0.25059656858651896,0.23849842706994587,0.2405664362987533,0.2579494183453793,0.2564230711000798,0.25633829422380805,0.26014157255848996,0.2473385565875362,0.2501893828672927,0.24657638653548697,0.2553713467405739,0.2526516659331792,0.24949945998768405,0.254957157104382,0.260476799435492,0.2528925218349282,0.2545675933706795,0.25134488870346794,0.24915206229815576,0.25002012161606807,0.244871337074778,0.2504002948762324,0.2505960795408212,0.23852239885217433,0.25230126692135374,0.24560505230031976,0.2566313512125451,0.2563684671244024,0.2607055328437522,0.2517570051076713,0.2534065702040645,0.25384865366601145,0.24820959989445257,0.2493150663128168,0.2628208006474717,0.2566133287011149,0.2653692518729008,0.24502836685115142,0.2454108459166551,0.23209578863885882,0.25430774624807845,0.24994391007885744,0.262339746529221,0.2510852390327529,0.26551651595691034,0.2493965698441451,0.2496767659519792,0.23952194211835257,0.25661921390160125,0.2414056861746216,0.2525574232996798,0.2510276028778328,0.2517138504248588,0.25817346734759,0.258123485343205,0.240162025243753,0.25023821535176827,0.2523513961957034,0.257059244260531,0.24450856132314158,0.2514149324437532,0.24677847747688875,0.24330858040069894,0.25509144876159356,0.25022658349103943,0.2571735442074208,0.24407291485748614,0.24480336815887047,0.23866693857969024,0.2505346833186418,0.26336781675208515
global AUC,0.5097404706260963,0.5384243108729163,0.5629572096410587,0.5224831901604136,0.4951162542784973,0.5155412172984791,0.5212596701128457,0.5104069503370791,0.49997163866376354,0.5136624716673056,0.5292196972605443,0.5257319465442666,0.5102741609864888,0.5062103065017945,0.5154017721135536,0.4853376879636063,0.5198728561062705,0.48325660185115427,0.4950415826757268,0.5014700742855019,0.4919861572362768,0.5430340840600079,0.5170562301563196,0.5008234451717698,0.515409667148895,0.5298405525520908,0.5241769830929806,0.5197878812095993,0.5053123533953118,0.533257489555523,0.49308185253099635,0.5082830689244692,0.5257837124127149,0.513980876182449,0.5247124504208538,0.5139103040748312,0.5195930071092261,0.5127397813030007,0.5205698949816896,0.5218392576727702,0.5359622678725169,0.5198483916285441,0.534404693526029,0.5180919294174176,0.5073496154369592,0.5294227235889206,0.4985694320660734,0.5371957404967195,0.5297179495896459,0.5158453047554564,0.5326648319321555,0.5268901786243563,0.5135342806097573,0.4963729054171181,0.5163135200991623,0.5295981289841772,0.5676370795190298,0.513056954410855,0.5104572042244253,0.5135622834350109,0.5328984174249679,0.49736695505446005,0.49733542946911347,0.5043690096809033,0.55131795573733,0.54541498667251,0.5393810675743167,0.4839807706555206,0.516832986925993,0.5493104033449636,0.5401813498191024,0.5055494226796323,0.5015461409636193,0.5580256572593542,0.5517023808293516,0.5007087450383834,0.48495859377402656,0.541954841301918,0.5113487820703856,0.5280595557197848,0.5080999789242305,0.5308203240998518,0.5367151799052536,0.5228365105278076,0.4950558373841567,0.5221878472539331,0.523929898882289,0.4961074124468249,0.5232295165022683,0.5337450099362878,0.5049267748331712,0.4895059003192011,0.4785507944829399,0.512109971030598,0.5346482160080422,0.5174642390360444,0.5192397646790023,0.5185196018451843,0.5040004525967348,0.5218516496828324
global NDCG,0.4552911471178927,0.45995505852115004,0.46015680532490405,0.4551500790660585,0.4527984035855709,0.4561098425284593,0.4554048953617776,0.45235641527321535,0.4527928342147401,0.45352276185759055,0.45729850514800596,0.45669172262892616,0.4535435419120089,0.4537685793722382,0.45447785528218954,0.4511848056802159,0.4546962677623085,0.45012084056101853,0.4500431166839686,0.45314588100082537,0.4519988945258915,0.4586596999307031,0.45750198604370274,0.45195365198157933,0.45362737686131605,0.4559880162533486,0.4545121742802711,0.45489119089371627,0.4520211017479654,0.45963810589274773,0.45247575666881235,0.4555284859603904,0.4592185113822124,0.45891262111269726,0.45487452909289283,0.45542952711636664,0.4543638731754797,0.4555228473828694,0.45372786384544583,0.45480442250765474,0.46067784104621956,0.4550225933225621,0.4594218445291425,0.4558577078452272,0.456770985129751,0.45562384614677054,0.4519957615248517,0.45833663884821474,0.4586583844753903,0.45809041731027456,0.4567068139026459,0.45766794210201,0.4556970890898132,0.4526210701455914,0.45607109774030535,0.4568717702808968,0.46211167711089157,0.4533457517682273,0.45225450315638194,0.45325378714331754,0.4572816461474823,0.4511571183623318,0.452802925800193,0.45408279187002326,0.4593365196866711,0.45932202747249584,0.456363674812417,0.4525062388961506,0.4534418236930122,0.46011021834170934,0.45693845877324724,0.4528697183300598,0.4542303505607575,0.4619091241459983,0.4625369318281858,0.4544652079649974,0.4506131388999603,0.4594283262280494,0.4519351684179208,0.4567542994286181,0.4521818578885862,0.4592418280416127,0.45727706818559477,0.4568512933001335,0.4526349769676484,0.4566986512539915,0.4563033186907669,0.4506047953629039,0.45528821261072433,0.4585073799091113,0.4518349981750373,0.452934881067049,0.44992527254079306,0.4545176824991652,0.457881802544324,0.45659160718859465,0.4536044384012189,0.4558722554171849,0.4531713932182274,0.454499232452643
