,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.6012658227848101,0.5189873417721519,0.4493670886075949,0.5590717299578059,0.6751054852320675,0.5126582278481012,0.3987341772151899,0.5379746835443038,0.5506329113924051,0.5042194092827004,0.4831223628691983,0.580168776371308,0.510548523206751,0.5632911392405063,0.6265822784810127,0.4915611814345991,0.6561181434599156,0.5864978902953587,0.5358649789029536,0.4789029535864978,0.6054852320675106,0.510548523206751,0.6371308016877637,0.6455696202531646,0.5,0.4810126582278481,0.5780590717299579,0.5970464135021097,0.4746835443037974,0.5506329113924051,0.4789029535864978,0.5126582278481012,0.6139240506329114,0.6244725738396625,0.5527426160337553,0.5379746835443038,0.5021097046413502,0.6814345991561181,0.5168776371308017,0.6075949367088608,0.4789029535864978,0.459915611814346,0.5232067510548524,0.5738396624472574,0.5759493670886076,0.5316455696202531,0.5358649789029536,0.4810126582278481,0.5274261603375527,0.5232067510548524,0.5,0.5063291139240507,0.5864978902953587,0.5443037974683544,0.540084388185654,0.4936708860759494,0.5232067510548524,0.4789029535864978,0.5421940928270043,0.4620253164556962,0.5316455696202531,0.5864978902953587,0.5759493670886076,0.609704641350211,0.4620253164556962,0.5,0.5970464135021097,0.4831223628691983,0.5210970464135021,0.4789029535864978,0.5907172995780591,0.4873417721518987,0.5569620253164557,0.5021097046413502,0.609704641350211,0.5126582278481012,0.4514767932489451,0.5126582278481012,0.5210970464135021,0.4746835443037974,0.5569620253164557,0.5232067510548524,0.5443037974683544,0.5611814345991561,0.569620253164557,0.5126582278481012,0.5274261603375527,0.5295358649789029,0.6033755274261603,0.4451476793248945,0.6329113924050633,0.5,0.6118143459915611,0.47257383966244726,0.5358649789029536,0.4810126582278481,0.5168776371308017,0.5632911392405063,0.5210970464135021,0.46624472573839665
AUC,0.5267331931676322,0.4950824943860795,0.4871960560102586,0.4923090491377743,0.5276046676088737,0.4978276932105901,0.4925694131118011,0.5151034008645691,0.5103561794011878,0.4865142607198635,0.4895873762657624,0.5104901368192457,0.5181965374534103,0.5084322478872368,0.5134675876940734,0.503338523187206,0.5358850174828542,0.4973332649013176,0.5083176420136979,0.4985964216108442,0.5242185772146224,0.4929846608315385,0.494433219720503,0.5200394349098083,0.5082089971320805,0.5059034699742994,0.5047296640184631,0.5377509689281511,0.4961267213513409,0.5169970132138463,0.4840408862056806,0.4960970821302649,0.5211759677588599,0.5274351679157215,0.4930854288537334,0.5105144114340553,0.4990645455963697,0.5098867644548738,0.4905719080908196,0.496627254821131,0.5074800835993307,0.4796080521679076,0.4852546168607065,0.5119889498452355,0.5151816411934129,0.5016604862898763,0.472105448587015,0.5260737700499135,0.5145876554479085,0.5212915547535559,0.4758526349953926,0.5292598577890881,0.517405119859276,0.5044080883689709,0.5090834771513798,0.4763689165499177,0.4983378889416355,0.4888779711722585,0.4869130565044075,0.5141872236735363,0.5330098017832383,0.5323091127921327,0.4982869379961604,0.5197687720082981,0.4767246967108174,0.5084347031609266,0.5023541650669081,0.4891323296844989,0.4705139891897079,0.5190746149013966,0.5017520578534095,0.4912500230196122,0.4799513872709448,0.4944407976606058,0.5361328735929828,0.5104627691048216,0.4855172992333452,0.5297508355497349,0.506808430959499,0.4957256395576975,0.5170325514575791,0.540337190802581,0.5451337703277165,0.4848854290074096,0.4921692304243352,0.49608174326068627,0.4851181485752466,0.48570801062946384,0.5218987731839764,0.4795960760241971,0.5060692647151007,0.5042113676521132,0.5122718715257907,0.508439344412937,0.5182743330842848,0.49242158475199627,0.5262521448871605,0.4974059008471108,0.4990496569075129,0.4782225063155112
Fscore,0.0018674215739075,0.0017257118153778,0.0017794465572501,0.0017862547341569,0.0018744061065163,0.0017053612465797,0.0014959334419117,0.0016506051816893,0.0018704540660984,0.0016325385063024,0.0014216589263556,0.001713983214076,0.001624938704372,0.001695601952578,0.0016952048054104,0.0016765070786792,0.0018829591432295,0.0016741825014685,0.001681733668398,0.0017774830443488,0.002043882479738,0.0017067479033496,0.0017378080466451,0.0017561148436808,0.0016772658306901,0.0016664842453169,0.0017888249321853,0.0019215764261198,0.0016121431367777,0.0018906548791785,0.0016756564822873,0.0017339678167889,0.0019549803660387,0.0017455141077704,0.0017276621166035,0.0018139672568784,0.0017790345886426,0.001773200424566,0.0016851490739824,0.0018180334366822,0.0015078085717106,0.0015942728888047,0.0017625439487922,0.0018722904513828,0.0017543071757672,0.0017979478161007,0.0017159655597014,0.0018001954597836,0.001818359340751,0.0017077793585258,0.0017281586703766,0.0018551300106683,0.0017586013008211,0.0017382299459221,0.0016941074738175,0.0017281109409723,0.0015004666179595,0.0017296528281502,0.0017875192941226,0.0015794631606362,0.0016338398923355,0.0017354317484683,0.0018542073444033,0.0018342568010562,0.0015965957035747,0.0018330822562451,0.0017119749947619,0.0017707911408535,0.0017608301644553,0.001750886530546,0.0017822264535396,0.0017720119307286,0.0018133610092359,0.00182484435019,0.0019719243659604,0.0017171601418235,0.0015901989217813,0.0015646834910561,0.0017042473825858,0.001736043096193,0.001818356648214,0.0019031837914523,0.0016792789706955,0.0017076514910885,0.0017687570784414622,0.00183380517020872,0.0017809227016803138,0.0018837660908568666,0.0019186521577437962,0.0016268234988862308,0.0019508460363507824,0.0015955639150608124,0.0018063437572591297,0.0016421727736876835,0.0017533340078615162,0.0016398372549678633,0.0016057548260989386,0.0017540651687632637,0.0017923440947746954,0.0016086828682596774
HR@10,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0
HR@2,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046413502,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,0.0,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0
Lin's AUC,0.5025734515487894,0.5015425972160908,0.485453298235007,0.6026359802027809,0.5997034465511012,0.4867084212269608,0.4804423485834945,0.5085019195470263,0.5322416903912892,0.4913412401653124,0.4359125730756301,0.566552446451402,0.4824113013959211,0.5546545226747535,0.5997932006292838,0.4919743152781972,0.5727463607329115,0.5410204159336804,0.482790542313279,0.5164788660342514,0.5666716354639997,0.4971889216704646,0.5523599065399052,0.5498508990244971,0.5096592795050734,0.4959084384748768,0.5340705890747095,0.5531512689854406,0.5136922552169951,0.529634249426839,0.4730440617149213,0.5112592587495424,0.5576054159110445,0.494423502960503,0.5492329677074959,0.5263594512901101,0.5181016570629271,0.5660546721675883,0.5034556998332861,0.5143278428455714,0.5039426784451866,0.4651233411927625,0.4871072334051397,0.4873853676945535,0.5526580375388956,0.5458239449233785,0.5142459440105387,0.445473036326808,0.4880418013103621,0.5508310983654635,0.4969034352405096,0.5378912863138494,0.5577558716700235,0.4619751932113298,0.4553933635102367,0.4989969642571416,0.5126914327755516,0.5172789939430225,0.5061573637062726,0.5246071048050153,0.5386285226906091,0.5090580988108329,0.5521262700148571,0.5494981024566492,0.4709163954948284,0.5520891321283095,0.5755605266174196,0.532858968694956,0.4960001156734453,0.5147313027538134,0.5727056053242734,0.5253124208708707,0.520063909453799,0.5061541852992427,0.5647165429331286,0.5341983762661431,0.5155054768272392,0.5000729339383109,0.5473132227605584,0.511122475881722,0.5182244562971277,0.5412984371130909,0.540178764380262,0.5307632662884417,0.46479322317427973,0.5613804228721406,0.5215365602929094,0.5392393776519303,0.552371488719096,0.5123422611458763,0.6046854677531034,0.502567553527198,0.5429397755810417,0.4822785171416855,0.4952111621446392,0.4741901875348299,0.5091325859279981,0.4965976335095294,0.5009023100287094,0.4729402803782226
NDCGk,0.2711895269428634,0.2596659355187279,0.2455907680671595,0.2497328450607071,0.2448943132917612,0.2445856400360367,0.2626534756189311,0.2494323800089928,0.2538148244863972,0.2443807674161424,0.2489340692629343,0.2615549961536582,0.2518657160601879,0.260033746043562,0.2741901848854793,0.2546708162526964,0.2632872109325005,0.2456778785488401,0.2647496885107301,0.2427466469757164,0.2696618194273832,0.2563572499108448,0.2566546834148185,0.2406392090189609,0.2393314984387714,0.2472806673668696,0.2661130091533124,0.2685961233007088,0.2773659548458966,0.2689032385496726,0.2479210915060175,0.2446079440110586,0.2376883465307792,0.2506563026991579,0.2557586860126402,0.2624176741056288,0.2505162427664238,0.2479222776536457,0.255944423234234,0.2613542574431039,0.2551429258027954,0.244612691944877,0.2332733104484319,0.266410813912189,0.2663767415234606,0.2565776537365133,0.2577115912572472,0.2580701629806665,0.2334367739348138,0.2555716346879951,0.2408153779010993,0.2563921439994072,0.2508834208112498,0.2592002932684557,0.2495459129858422,0.2457208500582092,0.2463288511435229,0.2459612035984078,0.2355437606930109,0.2480032895818404,0.254168106063526,0.26180820512819,0.2480580034087683,0.2427682406599957,0.2513931455023016,0.2439427682878996,0.2412028070831468,0.2478253411261216,0.242861518781181,0.2747996048732835,0.2606115258317355,0.2593904053320431,0.2442787941240336,0.232948681693565,0.2774700744627633,0.2446591258870482,0.2345651674703563,0.2482022317425911,0.2335430710118434,0.2431505334646203,0.2678504425508761,0.2621699502097844,0.2607682433441828,0.2542389649151551,0.257406117634444,0.26212712426671725,0.23345804045627494,0.23619400783432087,0.26579153350049617,0.2445268193746848,0.24818875531149442,0.2564398888402144,0.2572293260449944,0.25022527350697477,0.24789756715662897,0.24880676171839314,0.2546218080399969,0.24770609611578728,0.25011599322653216,0.2406449465086635
global AUC,0.588854468717041,0.5198157281605125,0.4576033640550748,0.5583216860129325,0.65686159392019,0.5125227886337241,0.4132548228573072,0.5341737111347011,0.5467439712987954,0.5024661269081181,0.479290683214536,0.5789225064637582,0.5025109953370034,0.5634565141219581,0.614778327749213,0.4938624166717209,0.6404333658939243,0.5770484136816458,0.5286590094643938,0.4863102892917087,0.5972326443703074,0.5099866117970283,0.6272971259998229,0.6373468824921489,0.5002123008516304,0.4850374973651391,0.5656143917282102,0.5909654904965674,0.4834059216755443,0.5541169912679663,0.4791044055840361,0.5113341376761046,0.6039964450674431,0.6090293235641273,0.5482297499240931,0.5353114925013296,0.5085285086608694,0.6575225478858054,0.5104699391580364,0.5978000269693785,0.4812581369328333,0.4666199542443343,0.5213000493607275,0.5644560817109503,0.5667377157497663,0.5321633140356223,0.5303388204686266,0.4863564125090343,0.522871410792624,0.5225911175537094,0.5023508422459554,0.5105364975013889,0.5779038598555004,0.5381819496547391,0.5261246485637636,0.4977459011634165,0.5217498325636805,0.4843405208394562,0.5351519161453411,0.470114586812741,0.5295282816922422,0.5783150018094673,0.5732999709247592,0.5971325496626171,0.4614898023655209,0.502428233855966,0.5887354508644254,0.4894797757797492,0.5185661693043802,0.4846502899161413,0.5865497652758451,0.492589149328413,0.5504505929701514,0.5007894723592786,0.5993974427972735,0.515977478402402,0.4545577898739382,0.5138636352973142,0.5227366886002127,0.4762854259315452,0.5532692998425466,0.5242763373975541,0.540708532425783,0.5520837040219991,0.5530156689095582,0.5115106030168761,0.5303476351625763,0.5300059897832787,0.5945456902841387,0.44824946179318065,0.6240136174317769,0.501074348303801,0.6059088127938417,0.4744084884427203,0.5337069298349271,0.48357835766461643,0.5186806668011239,0.5496734424774816,0.5192639252017649,0.4662464949121603
global NDCG,0.4707279653495834,0.4615100242816123,0.4646523001775099,0.4724337527518401,0.4847859111376504,0.4651317456463601,0.443125910276825,0.4578843690970468,0.4658675645595224,0.458986109650839,0.4494010296117948,0.4783954219691222,0.4484333684545157,0.4765500525124395,0.5052893066653477,0.4682942957102017,0.4741561804987281,0.4684914328963727,0.4609833949940668,0.4552032003914985,0.4804993032443855,0.4672217563265637,0.4883928284271381,0.4896322609755828,0.4624016936851314,0.4547709553656426,0.4681605919469806,0.4797716886328188,0.4571935043565068,0.4832433441882821,0.4531724837229982,0.4631252435545007,0.4736031104076455,0.4711060119720177,0.4632761426552715,0.4771527552456342,0.4605727121014748,0.4896600089065674,0.4522225597305686,0.469547981767536,0.4573792316249402,0.447548935902641,0.4649660761830635,0.4655251539305254,0.464136358785152,0.4671359613519888,0.4599159253231506,0.4588190619402893,0.4589090298472892,0.4628873518432014,0.4694290602708545,0.461673609853567,0.4701147031222069,0.4739897233555053,0.4549880027782586,0.4638615822243638,0.4711435985044172,0.4595797462772215,0.4616862221188249,0.4532994581718607,0.4611063944441455,0.4666153993696315,0.4691344137949084,0.4793236988932794,0.4608400640204823,0.4572778510669769,0.4783015926368239,0.4620799435455949,0.4550005465523097,0.4592481326330994,0.479503039605831,0.4641104718828391,0.4672114532546295,0.4628764144305518,0.4682931609991335,0.465904370212978,0.4478799398567252,0.4506688568624172,0.4579597514092249,0.446659795929035,0.4726729348484108,0.4765972213622595,0.4609323431154737,0.4635909566051441,0.4557449483566313,0.45742741622440636,0.46957565325215356,0.475901997364629,0.47483393881898905,0.44770362085520327,0.48743565760683233,0.46609231202603085,0.4978882932731408,0.4509590974172703,0.4615750470641181,0.45452986681462404,0.46465020959379927,0.4544753387823615,0.4598005558609126,0.44473237537254273
prediction time (sec),0.0129587650299072,0.0220999717712402,0.0216298103332519,0.0173120498657226,0.0121500492095947,0.0135509967803955,0.01373291015625,0.0179550647735595,0.0121593475341796,0.0194361209869384,0.0197393894195556,0.0200316905975341,0.0135416984558105,0.0223774909973144,0.0155870914459228,0.012305736541748,0.0152685642242431,0.0133423805236816,0.01442551612854,0.0399518013000488,0.0260398387908935,0.0125513076782226,0.0221564769744873,0.0233099460601806,0.0135550498962402,0.0128993988037109,0.021512746810913,0.0133311748504638,0.0256426334381103,0.0180132389068603,0.0230753421783447,0.0325677394866943,0.024172306060791,0.0125367641448974,0.0361027717590332,0.0142240524291992,0.0137441158294677,0.0159938335418701,0.0149509906768798,0.0129282474517822,0.037320852279663,0.0241179466247558,0.021094799041748,0.0132374763488769,0.0220110416412353,0.0128207206726074,0.0143089294433593,0.0162649154663085,0.0143401622772216,0.0144197940826416,0.0116767883300781,0.0310921669006347,0.0129435062408447,0.0122725963592529,0.0108387470245361,0.0227572917938232,0.0115261077880859,0.0173342227935791,0.0126857757568359,0.0106256008148193,0.0360167026519775,0.0120484828948974,0.0111598968505859,0.0133619308471679,0.0117990970611572,0.0138869285583496,0.0167417526245117,0.0111408233642578,0.0262682437896728,0.0216143131256103,0.0196144580841064,0.0230937004089355,0.0164508819580078,0.0117349624633789,0.0125443935394287,0.0241844654083251,0.0158221721649169,0.016845703125,0.0285844802856445,0.0117180347442626,0.0178642272949218,0.0228478908538818,0.0130078792572021,0.0212793350219726,0.014472246170043945,0.013626575469970703,0.013521432876586914,0.013419866561889648,0.021700382232666016,0.011012792587280273,0.021451234817504883,0.022290468215942383,0.013927221298217773,0.012632608413696289,0.021119356155395508,0.0217893123626709,0.020843505859375,0.011129617691040039,0.011883258819580078,0.022324085235595703
