,1_SimpleBinaryClassifier,2_SimpleBinaryClassifier,3_SimpleBinaryClassifier,4_SimpleBinaryClassifier,5_SimpleBinaryClassifier,6_SimpleBinaryClassifier,7_SimpleBinaryClassifier,8_SimpleBinaryClassifier,9_SimpleBinaryClassifier,10_SimpleBinaryClassifier,11_SimpleBinaryClassifier,12_SimpleBinaryClassifier,13_SimpleBinaryClassifier,14_SimpleBinaryClassifier,15_SimpleBinaryClassifier,16_SimpleBinaryClassifier,17_SimpleBinaryClassifier,18_SimpleBinaryClassifier,19_SimpleBinaryClassifier,20_SimpleBinaryClassifier,21_SimpleBinaryClassifier,22_SimpleBinaryClassifier,23_SimpleBinaryClassifier,24_SimpleBinaryClassifier,25_SimpleBinaryClassifier,26_SimpleBinaryClassifier,27_SimpleBinaryClassifier,28_SimpleBinaryClassifier,29_SimpleBinaryClassifier,30_SimpleBinaryClassifier,31_SimpleBinaryClassifier,32_SimpleBinaryClassifier,33_SimpleBinaryClassifier,34_SimpleBinaryClassifier,35_SimpleBinaryClassifier,36_SimpleBinaryClassifier,37_SimpleBinaryClassifier,38_SimpleBinaryClassifier,39_SimpleBinaryClassifier,40_SimpleBinaryClassifier,41_SimpleBinaryClassifier,42_SimpleBinaryClassifier,43_SimpleBinaryClassifier,44_SimpleBinaryClassifier,45_SimpleBinaryClassifier,46_SimpleBinaryClassifier,47_SimpleBinaryClassifier,48_SimpleBinaryClassifier,49_SimpleBinaryClassifier,50_SimpleBinaryClassifier,51_SimpleBinaryClassifier,52_SimpleBinaryClassifier,53_SimpleBinaryClassifier,54_SimpleBinaryClassifier,55_SimpleBinaryClassifier,56_SimpleBinaryClassifier,57_SimpleBinaryClassifier,58_SimpleBinaryClassifier,59_SimpleBinaryClassifier,60_SimpleBinaryClassifier,61_SimpleBinaryClassifier,62_SimpleBinaryClassifier,63_SimpleBinaryClassifier,64_SimpleBinaryClassifier,65_SimpleBinaryClassifier,66_SimpleBinaryClassifier,67_SimpleBinaryClassifier,68_SimpleBinaryClassifier,69_SimpleBinaryClassifier,70_SimpleBinaryClassifier,71_SimpleBinaryClassifier,72_SimpleBinaryClassifier,73_SimpleBinaryClassifier,74_SimpleBinaryClassifier,75_SimpleBinaryClassifier,76_SimpleBinaryClassifier,77_SimpleBinaryClassifier,78_SimpleBinaryClassifier,79_SimpleBinaryClassifier,80_SimpleBinaryClassifier,81_SimpleBinaryClassifier,82_SimpleBinaryClassifier,83_SimpleBinaryClassifier,84_SimpleBinaryClassifier,85_SimpleBinaryClassifier,86_SimpleBinaryClassifier,87_SimpleBinaryClassifier,88_SimpleBinaryClassifier,89_SimpleBinaryClassifier,90_SimpleBinaryClassifier,91_SimpleBinaryClassifier,92_SimpleBinaryClassifier,93_SimpleBinaryClassifier,94_SimpleBinaryClassifier,95_SimpleBinaryClassifier,96_SimpleBinaryClassifier,97_SimpleBinaryClassifier,98_SimpleBinaryClassifier,99_SimpleBinaryClassifier,100_SimpleBinaryClassifier
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703,0.0018876231996239703
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5323440728932809,0.5225176113064003,0.5142277694465973,0.5137527799015396,0.49513337879363467,0.5179471918976385,0.4920005597246946,0.5297270355488233,0.5204416128884534,0.5107191600338448,0.508989163391855,0.4741694092798925,0.5080167260185927,0.5026661877308385,0.49665236696178716,0.4675982267043069,0.5059890223383535,0.48911746825517916,0.4826081881741277,0.5133586422096709,0.4626897707111698,0.5163186047788774,0.5118383881442041,0.4991674938476212,0.46808222943626693,0.4772235914767306,0.4900042350007653,0.5163346204562461,0.4940296001655178,0.47229086797252245,0.46258225034400846,0.5011714050164795,0.5129297349932772,0.5207739533134274,0.48783489031375227,0.4974877831599641,0.47337056632289193,0.494234610209711,0.5058288994416639,0.5251476650630708,0.44592109020776227,0.4970395584309191,0.46287699122655607,0.5167336067998247,0.4781170808744111,0.49688015039052325,0.49425859493760804,0.47648724520600827,0.5208057757505173,0.512488969514674,0.5153720639789092,0.5197005343808295,0.4929804033176092,0.5108954241729775,0.5107914159611676,0.515601704501242,0.5065580526949803,0.4884862442876518,0.5188612640355535,0.524265058151385,0.5089140435603502,0.5064711601088567,0.4755675706710161,0.47043710056528804,0.49817320218930855,0.4837819833272265,0.5096135948226237,0.5373871671731709,0.4849208612897606,0.49764511002665734,0.4808570998449718,0.49535901232087953,0.5148925902411762,0.5081116271233981,0.5115965831590263,0.5264439239565378,0.46648511691745137,0.5157483204430405,0.5128868869407261,0.4511001602299488,0.49454495116460906,0.49998005233806087,0.4945378080143337,0.49471497866949327,0.4817269279424861,0.4677065900615188,0.4818158289373674,0.5226852423954792,0.47001995058494567,0.4717518571294865,0.48685707089842895,0.49806258416655835,0.5079316056639342,0.5009638753640501,0.4874946527702845,0.5112245546900717,0.5061053290588725,0.5078541342537042,0.4966479436170043,0.47856051844658704
NDCGk,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525,0.27890988615983525
global AUC,0.9004823975705674,0.8948827249004474,0.8973356921173771,0.8970018521456751,0.8939498208699873,0.8941548073181942,0.8891841811362088,0.8995204775316413,0.8968107502043396,0.8926411739482665,0.893366231236373,0.8874723535424572,0.8970173733331206,0.8945192765977856,0.891460636250065,0.8863009305963108,0.8929191407626503,0.8890396934163713,0.8890386334708565,0.8948028042292637,0.8869397387150134,0.8951242288097524,0.8934050751220017,0.8958489704523196,0.8871871151900932,0.8882960325257375,0.8966691890252433,0.8957503721382972,0.8900275236675312,0.8875508518602846,0.8928599318944479,0.8955097450221569,0.8965969334747488,0.8987550409956531,0.8948412623258999,0.891968646312876,0.888933624824585,0.8955060624908647,0.894410242496673,0.899138729581416,0.8914012091577859,0.8916656499762815,0.8867341170788695,0.8931491801142187,0.8911033956430099,0.8924572772983161,0.8895605280405391,0.8883367508003094,0.8974315938053107,0.8948391268474364,0.8948681506496197,0.8921973451451168,0.8902427315756102,0.8969369928326331,0.8942343967564047,0.8966320870353683,0.8955278225487853,0.89088688228733,0.8961217856197534,0.8984021453858364,0.8928735319306482,0.8964517599078135,0.8893351727128999,0.8875562529061795,0.8926724072692248,0.8882804411948385,0.8989407340973764,0.9007585484488858,0.890839999182595,0.8922628006775111,0.8913737713770162,0.8952746514451009,0.8983314797536145,0.8934908488746675,0.8936077390425365,0.8968665454244872,0.8874523704520173,0.896700157359823,0.8991419873551305,0.8935086185494736,0.8923806806474415,0.8969137207936106,0.8959345532589187,0.8903787085564616,0.8861757518103909,0.8865643426441598,0.8906165844904937,0.8981192958077395,0.8891746182454252,0.8887652259809293,0.8890230772116843,0.8946791101464361,0.8979467779846386,0.8918725186071488,0.8897563256963792,0.8933836501939132,0.895344689683103,0.8966256689094022,0.8900305047642916,0.8872671644576078
global NDCG,0.48779573597055487,0.4836466709413936,0.4841292108828896,0.4852281679701307,0.48290435404872084,0.4823766976017836,0.47896602311044384,0.48799946209357287,0.4846324301715952,0.4820308299916481,0.4826125838161663,0.4783849654394901,0.4851478061564128,0.4838375669794709,0.48118050038884363,0.47666097373001376,0.48051803944417826,0.4785634927409346,0.4782949010770347,0.48239964744468966,0.47822595146693103,0.4838336410348235,0.48236542696888374,0.4837535773984279,0.47822775496201314,0.47762975501377186,0.4855821043067138,0.48427488967721055,0.4791502162043494,0.4779896469281086,0.4780916128377743,0.4832868215839426,0.4843270635817963,0.48625631651164025,0.4841552010890578,0.48259785268770794,0.48055003568053245,0.4837466524391073,0.48110874984564483,0.4856572834019417,0.47956926758724233,0.48092556064715086,0.47672781007245874,0.48240607578071293,0.4816385796593956,0.4822196672839817,0.48031599584487084,0.47801706233452457,0.4853053998804618,0.48425024053217686,0.48241790134669,0.4830491511313849,0.4798531170510181,0.4866373473679605,0.48163967157881776,0.484849991657311,0.4823706261842878,0.4795238745344974,0.48365688184431394,0.48541047906870655,0.48223720720567753,0.4840763018937785,0.4789946800477202,0.4790397332967075,0.48322422848882696,0.4775386703253733,0.4856822170190144,0.48917001396746984,0.48110613477488906,0.4799443780986043,0.4793574915237123,0.482740580789005,0.4871077196656018,0.4827096831645503,0.4833878994465741,0.48422954974750126,0.47697283432807536,0.4835642373554396,0.487279809893215,0.4799549577234164,0.48164653209805286,0.48591250655792634,0.48417738498825424,0.47828397603944633,0.4765011368662055,0.47694940340216246,0.47987723725985887,0.48592890626089125,0.47954516667530384,0.47823888938960735,0.4787104241504373,0.4819378196682928,0.4865221390340666,0.4809586700195242,0.4784619067770862,0.48219064169216086,0.48395748286785545,0.48473612802017335,0.47929543983645845,0.47833558191508174
