,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.3613861386138614,0.36633663366336633,0.3118811881188119,0.25742574257425743,0.22277227722772278,0.32673267326732675,0.25742574257425743,0.29207920792079206,0.31683168316831684,0.3415841584158416,0.27722772277227725,0.27722772277227725,0.2871287128712871,0.297029702970297,0.25742574257425743,0.3069306930693069,0.3118811881188119,0.30198019801980197,0.3415841584158416,0.3316831683168317,0.27722772277227725,0.3217821782178218,0.297029702970297,0.30198019801980197,0.30198019801980197,0.29207920792079206,0.31683168316831684,0.297029702970297,0.3564356435643564,0.297029702970297,0.2871287128712871,0.22277227722772278,0.32673267326732675,0.32673267326732675,0.3118811881188119,0.32673267326732675,0.3217821782178218,0.2722772277227723,0.24752475247524752,0.297029702970297,0.3069306930693069,0.35148514851485146,0.3465346534653465,0.25742574257425743,0.25742574257425743,0.2871287128712871,0.3069306930693069,0.28217821782178215,0.3415841584158416,0.29207920792079206,0.3118811881188119,0.3465346534653465,0.2871287128712871,0.3465346534653465,0.27722772277227725,0.297029702970297,0.3613861386138614,0.2722772277227723,0.24752475247524752,0.27722772277227725,0.29207920792079206,0.297029702970297,0.24257425742574257,0.3465346534653465,0.33663366336633666,0.3465346534653465,0.3415841584158416,0.35148514851485146,0.3217821782178218,0.35148514851485146,0.297029702970297,0.297029702970297,0.24752475247524752,0.37623762376237624,0.2871287128712871,0.33663366336633666,0.3316831683168317,0.27722772277227725,0.2722772277227723,0.3217821782178218,0.25742574257425743,0.30198019801980197,0.33663366336633666,0.30198019801980197,0.3316831683168317,0.2524752475247525,0.31683168316831684,0.23267326732673269,0.24257425742574257,0.2722772277227723,0.24752475247524752,0.19801980198019803,0.30198019801980197,0.3613861386138614,0.3069306930693069,0.29207920792079206,0.31683168316831684,0.2623762376237624,0.2871287128712871,0.297029702970297
AUC,0.6104591013216354,0.6071181421602665,0.5831631284309265,0.561027027369038,0.545553467852685,0.5960487135139787,0.5688110010034745,0.5841945647197105,0.5976179309526178,0.5859453239745219,0.578120974017185,0.5601891374245089,0.5716110538520377,0.5733936646472667,0.5647777238009606,0.5698543814012229,0.5832244342579735,0.585950706682207,0.598538535421955,0.5930307750283728,0.5711563080374515,0.5986989105292252,0.5698846991096143,0.5685043857621643,0.5790021078532336,0.5685823359759118,0.5947128732269736,0.5710064088110057,0.596535547119706,0.5764339105508047,0.5861781896121985,0.5512537779804332,0.5747755759287995,0.5888952375904047,0.5775554468418816,0.5823096293348249,0.5855118562380509,0.5649561225005898,0.5538448288896726,0.5839368592934692,0.5791208174531789,0.6101170578466625,0.6050471730309296,0.5528210889987255,0.566171728430137,0.5860957034275178,0.5975585469622923,0.5684988524090894,0.5998079594418946,0.576504865949379,0.572765095984123,0.6053382286635971,0.5861816094896284,0.6064767728489088,0.5707060564715384,0.5742901920395692,0.5986546857635048,0.5633030495424753,0.5575476381313135,0.5640568556025444,0.569948722794007,0.5802415902030073,0.5612898848883582,0.588802546721344,0.5838965355381761,0.6052804349966492,0.5784847375487869,0.6016380331863204,0.5855183044264272,0.5990088023802983,0.5806258219105773,0.5751191350710815,0.5604239307031212,0.6101132316795648,0.5760223814667071,0.5993751577992253,0.5824300293087876,0.5615312275347888,0.574439060936985,0.5887308627369043,0.5671292797418579,0.5827417450561557,0.5890995786199552,0.5810586556870833,0.5829513704912965,0.5574376005621149,0.5844444674483654,0.5477512083231908,0.5613252545727645,0.5919925025663403,0.5514436184508821,0.54222657318612,0.575759959113734,0.5868102404410075,0.5789793951991111,0.5742195731795884,0.5792961382742398,0.5572780657747073,0.5802813142133959,0.5860996315393693
Fscore,0.00020176913220041609,0.00023123773179660267,0.00015749000356573298,0.0002196047054224935,0.00015866784495383152,0.000150714035818697,0.00012253230330460497,0.00011783547247960553,0.00018831064019095918,0.00018811440469118792,0.00013778616496802883,0.00018686359233522455,0.00017148714147912508,0.00020354806450164823,0.00013965072230577902,0.00014619318105305845,0.00016826634389163184,0.00015506321514040564,0.00015461395487061254,0.00017503868466104384,0.00018070945618293654,0.00018614980773613377,0.00016654568692194694,0.00015682778096542043,0.00012188660685129272,0.0001595826917699581,0.00014907375041649235,0.00016739830124688217,0.00018916118591891134,0.00014969294270987876,0.00012296950497117217,8.984280873700446e-05,0.00024108022635029093,0.0002570096856692322,0.00017009270130413604,0.00017336732063031934,0.00015761750093092584,0.000186920850747913,0.0001834508040662183,0.00016702746609651358,0.00017731191340624903,0.00011801514401541477,0.00019136615110562681,0.00016500895693208784,0.00018169495209008287,0.00015827305746066194,0.00018188299619446445,0.00023534520071441634,0.00014063195647597134,0.00016216210003671338,0.00018085283005411107,0.00022190955290357032,0.00013760718980972397,0.0002076068579204965,0.0001394475880845017,0.00021079050332123382,0.00019344028520509957,0.00017686199494308219,0.00011110575242072336,0.00014177695086212567,0.00015624330038013952,0.00017496048491266763,0.00012878602802602444,0.00017056777392831745,0.0001891692948618719,0.00021138926881943593,0.00018219987448481455,0.00016566288025887405,0.00013688805220871665,0.00021845708930090779,0.00016684074876083504,0.00016950149940871102,0.00013685606566674567,0.00019373582306400855,0.00015000065755262638,0.0002979383888282661,0.0002040916355682866,0.00014098294821252998,0.00012241970202445866,0.00017956384437301545,0.00015228886355604171,0.00015651893789290537,0.0001855861180933621,0.00013384150502377765,0.0002620883182416601,0.00016738964578290707,0.00020524600440392204,0.00016254052723291645,0.00011693098449072266,0.00014223090795475093,0.00016615696292399514,8.478930811367329e-05,0.00014013371569645077,0.0001776062834037597,0.0001872607187206974,0.00019249382796155038,0.0001787401885551278,0.00010936358016339927,0.00016492249779607537,0.0001303934463510368
HR@10,0.01485148514851485,0.0049504950495049506,0.0,0.039603960396039604,0.0049504950495049506,0.0049504950495049506,0.0,0.01485148514851485,0.034653465346534656,0.019801980198019802,0.009900990099009901,0.0049504950495049506,0.009900990099009901,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.009900990099009901,0.024752475247524754,0.0,0.01485148514851485,0.009900990099009901,0.0,0.01485148514851485,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.009900990099009901,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.01485148514851485,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.009900990099009901,0.01485148514851485,0.01485148514851485,0.009900990099009901,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.01485148514851485,0.009900990099009901,0.0297029702970297,0.0,0.0,0.009900990099009901,0.0049504950495049506,0.019801980198019802,0.01485148514851485,0.0,0.009900990099009901,0.024752475247524754,0.019801980198019802,0.0049504950495049506,0.0049504950495049506,0.024752475247524754,0.0,0.0049504950495049506,0.0,0.0,0.0,0.01485148514851485,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.024752475247524754,0.0049504950495049506,0.0049504950495049506
HR@2,0.0049504950495049506,0.0,0.0,0.009900990099009901,0.0049504950495049506,0.0049504950495049506,0.0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.009900990099009901,0.009900990099009901,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0
HR@5,0.009900990099009901,0.0049504950495049506,0.0,0.024752475247524754,0.0049504950495049506,0.0049504950495049506,0.0,0.009900990099009901,0.019801980198019802,0.01485148514851485,0.009900990099009901,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.01485148514851485,0.0,0.009900990099009901,0.009900990099009901,0.0,0.009900990099009901,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.009900990099009901,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0049504950495049506,0.009900990099009901,0.009900990099009901,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.009900990099009901,0.009900990099009901,0.0,0.0,0.0049504950495049506,0.0,0.01485148514851485,0.009900990099009901,0.0,0.009900990099009901,0.019801980198019802,0.009900990099009901,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.01485148514851485,0.0,0.0
Lin's AUC,0.3819456564472028,0.3925515223049093,0.3225518329903908,0.3205584912006161,0.26199950171331954,0.3661826721466378,0.3169679281046442,0.32752577273113403,0.33069785401079876,0.39610494266135493,0.3267177542202997,0.391251715822024,0.3314203837789635,0.32683247977290164,0.30893088781136174,0.385403659665236,0.321199499180958,0.35482080024900836,0.3640208943820606,0.3654935124914321,0.32337267245070084,0.36647529681477536,0.3403668622342658,0.37996581834469356,0.3477306820940555,0.4039472807612829,0.36838134982100595,0.36140865767270336,0.35956088128087094,0.3668013610960106,0.3349756861988589,0.32557673440264395,0.39296701646855253,0.3749990253810577,0.36798111009366274,0.3859972293782337,0.3410429201539213,0.3479839772453911,0.3181670036936561,0.32981973908375767,0.37529792943157964,0.4010881306213292,0.33693425979736374,0.290096107843091,0.3175719253566617,0.33358519484441196,0.3555555140702925,0.3464917717149171,0.37660086642874874,0.36823833482867957,0.39110585419413135,0.39720230552787433,0.33791811158539853,0.38672903881089526,0.3234509686440292,0.3221063906115774,0.3623889393886786,0.28844722625366376,0.2898649651884823,0.3715183621733015,0.3802425857650793,0.3249901141173738,0.35573557657502924,0.3837725900562224,0.3683987820024666,0.41930128274992784,0.34388685352535564,0.3525755596557347,0.3616810839600511,0.37400968268799506,0.30698624420527115,0.3726634300433752,0.2909876611940027,0.38084680482333566,0.35116140096119247,0.3520173178705539,0.3674415017823647,0.3124462160094494,0.34586636064469395,0.3883977739055564,0.36476686621087107,0.3397654521980003,0.34956041713887986,0.313806136805232,0.40471955327120346,0.3176998792885963,0.31163691007751526,0.29563606707584794,0.3367453450203891,0.3708598830977638,0.34193231513782457,0.30737040068640786,0.3874676099409864,0.38112535180931095,0.36586637304920133,0.3348194670318015,0.37100486848347997,0.3484315960287557,0.33308101908208204,0.33437625185183045
NDCGk,0.20026743657336418,0.19682901659126847,0.17505834141993543,0.1819695284431836,0.19155894122329994,0.19056981231831033,0.17572603378868576,0.1787647193110535,0.2024181019988983,0.1903010215106148,0.18456225378563532,0.1884576565308988,0.18156738308872683,0.18345774463314934,0.16912778425507874,0.1903186843116415,0.18059858703795098,0.19941341480391642,0.1918751659692668,0.19681502831601985,0.18182390595689762,0.19855957905976432,0.18025429454406053,0.1921050579126471,0.1738657031885363,0.1986652725475367,0.18368735581519316,0.171813297733336,0.19537386907667,0.19225074144224644,0.18777729654372027,0.17846500113063554,0.1845309777564534,0.201349916294973,0.19034335606571648,0.19978242294455445,0.19118073822028142,0.18717394348298258,0.18332384732301266,0.1857410328787012,0.18501041372274646,0.19312158053279205,0.21075096346471525,0.17793137042317192,0.1918070668676822,0.19453577613569947,0.20417009006173792,0.191659638072943,0.2015086768776701,0.17999630339621467,0.19453680849336616,0.19625042934804784,0.19257706483364556,0.19783300482321706,0.18973078794858497,0.19033938685362753,0.18907664741919658,0.18030348321336512,0.1728701614573872,0.18402094826950283,0.18789905439589,0.18898175474526246,0.18414138399354785,0.19556065962922617,0.1755005293959532,0.19756384629431015,0.18064281626959264,0.18770819489337498,0.20149093354956701,0.20115030107154555,0.18969880333349784,0.1855954920544575,0.19024421024941365,0.19260443833511312,0.17866667713548037,0.19993056908151124,0.19860862149724845,0.1699781712205399,0.17485688302971533,0.18404022713881563,0.19984855478685992,0.18733066710640472,0.18454140298896085,0.19555439353468437,0.17974212587920624,0.1825272643116266,0.18057387260926555,0.1758850845516798,0.17320248535994814,0.19142701112012908,0.19727853906216078,0.17558223884964808,0.18487701845506338,0.17703340326033623,0.18271555745411747,0.18809079394812556,0.17941804894198946,0.17906331036477277,0.19071758512830456,0.18557758571278649
global AUC,0.4302810959176681,0.4362410651190912,0.3832293293557808,0.3376728373042903,0.30930317679609026,0.39954678836494056,0.337617054605896,0.36683487346279153,0.3896941382682071,0.41441002540996497,0.3569104369580993,0.36328248255169676,0.3662570742142366,0.37278221671442435,0.3370626388576737,0.3861165716061131,0.3827778569248883,0.37873781785664895,0.41300116224954214,0.4055170012059493,0.3544671825056417,0.3960841424194894,0.3732492046946526,0.3812034324019362,0.3796447305377463,0.37609978710504727,0.3935355310707563,0.3752172276231243,0.42187468358792996,0.3776117973814182,0.36726418702440006,0.31174500649755615,0.403949377818121,0.4005380876530588,0.3910704716375905,0.4015035398319133,0.3931382966624475,0.3543949278023014,0.3324988980380621,0.36890964272324644,0.3826303619052336,0.42289916268903505,0.4139825493467306,0.3366416269628945,0.3395043979285714,0.3634383822410925,0.38124707179275585,0.360923860809646,0.41151880651149914,0.37167699767724605,0.39347151623249815,0.4193273123206824,0.3623650595270455,0.4174498973751088,0.35494091975167036,0.3709201793678581,0.42884639006239206,0.35004289291400276,0.32669499921657463,0.3583383082023052,0.3726864541715222,0.3732481662045804,0.3300346111267353,0.4164690955551803,0.40658682770687343,0.42519033444571674,0.41054343073782107,0.41754229098705764,0.3970567713262284,0.42190057520916674,0.37134620640084287,0.37427752286143007,0.32726809932514284,0.44123712718533803,0.3643143874270125,0.4084937735872806,0.40490988475360296,0.3534681866928014,0.35389051959992524,0.39806652873615395,0.34345541673022556,0.3767663421234243,0.4060472903614033,0.3786999745868273,0.4088776459428467,0.33409719385370795,0.38625144876906364,0.3158334043293166,0.33109610174914866,0.3572993112086395,0.3340368988920386,0.2918221604755408,0.381109587184665,0.4288670759900362,0.38370775985591526,0.36738134400783307,0.39306882414133043,0.34402439745805413,0.3662537575204744,0.3727708930157342
global NDCG,0.4048853735031328,0.3520436343603697,0.3352541207481919,0.46066149124790773,0.3370222480509583,0.3816569316537659,0.32790691650291925,0.4025459057114306,0.4608039215481682,0.4306487536389134,0.36354250747142064,0.35391992900545477,0.35770383661266436,0.35966287622772525,0.3385291070683607,0.361694574469534,0.36688443958681605,0.3964871356697364,0.37764370817739346,0.3978714190251588,0.3760862351036007,0.34447634176566083,0.38596050075660565,0.36723016509781203,0.3390920259109628,0.3299403741524031,0.3554815458917077,0.36506142398673125,0.38164961503774264,0.34735675758095974,0.35227216284293056,0.3155343868819508,0.3415599281853914,0.3426741344689912,0.3575119195370896,0.35184515326455806,0.37582266322626057,0.33369975254813217,0.31365398552305135,0.3525279836279136,0.3371735903487836,0.37376656949452286,0.33511700908889097,0.3204347424864707,0.3144139546910112,0.3534375081505034,0.329305355032938,0.33380782023167954,0.3649016625644835,0.3565476999312471,0.37410095876112925,0.38535211756390025,0.3428068093785934,0.393949992679168,0.35308293834752996,0.33610612575761123,0.3719195713659628,0.3506660650659401,0.3548984697303791,0.33001849213421713,0.3238986786727925,0.33670900789736813,0.3548376251308657,0.39742667843554674,0.4277739824553584,0.3707742769009689,0.3717295513460025,0.3875307096006292,0.35144578267173465,0.35197010446956517,0.3712469360188067,0.3799188331627107,0.344092512207311,0.4827271721809394,0.3196541058670331,0.3387197924521922,0.36790890442964774,0.33844461572733964,0.3814411198824338,0.39519698022567107,0.31792770023165334,0.3919746291557919,0.4535615911947359,0.3852692148093018,0.36673237098578854,0.3346832611575302,0.3967330797169321,0.3105456697797191,0.34287432256816736,0.33978428097707875,0.3233689853340695,0.2969953308683569,0.37432413346769294,0.3952984299652572,0.36015300002146944,0.33724186145754004,0.3478996723013684,0.42400258294335624,0.33664995874658205,0.3405978998081968
