,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,8.893172423619369e-05,9.614288147561844e-05,7.883733860968989e-05,0.00011218076659643386,8.946314515598954e-05,7.487323125570221e-05,0.00010108077321606019,7.065845857588443e-05,9.668659481642196e-05,8.222784998125945e-05,8.042152173416882e-05,0.00010721927569685345,9.331916530911863e-05,8.355222687778665e-05,8.910169108935032e-05,7.047202446685507e-05,0.00010112645338872045,7.361197362084058e-05,6.7196711754337e-05,8.811879547978846e-05,0.0001135226446663502,0.00010745520870022375,9.355494876557318e-05,7.861552823524961e-05,8.406210895378837e-05,8.963682830116532e-05,9.0306041966102e-05,8.134265746594544e-05,8.776441581210082e-05,7.556627726680355e-05,6.852127470596463e-05,6.516804913191059e-05,0.00011544979272851824,0.00011410788259916358,6.896551320332859e-05,8.923695944667866e-05,8.812045242586196e-05,0.00011138145781153362,9.487180085478968e-05,0.00010404392343139684,8.286452948890187e-05,6.510000132752363e-05,7.845732282068518e-05,8.288065254067063e-05,0.00011393315678778947,9.843346515468511e-05,9.62154507013574e-05,9.306692855491259e-05,7.280148540474896e-05,9.042229232498881e-05,9.967420123297219e-05,9.890821078429727e-05,8.759816345307089e-05,0.00010343568795247866,6.876095031235286e-05,8.750876437012774e-05,9.909440110070689e-05,8.457525827050682e-05,7.822998430782635e-05,7.484419573717963e-05,8.64254713108271e-05,9.114808232428753e-05,9.211372006886328e-05,7.628346058068148e-05,8.788780923062947e-05,9.473639328824593e-05,8.340367022618434e-05,8.844137653148967e-05,8.590441195561094e-05,8.34231143303056e-05,8.561413292422783e-05,9.509553735365003e-05,6.64633269081798e-05,8.673156789175602e-05,7.697768010097284e-05,0.0001362707798797088,9.13354043866239e-05,7.600239543956084e-05,6.614557247730255e-05,8.342555481107587e-05,9.881066351366695e-05,9.46722349610697e-05,9.974235524415992e-05,7.866263461691528e-05,0.00010618008971096434,8.444134881286614e-05,9.395743909664198e-05,8.298825388859733e-05,7.300234252643979e-05,8.478456593099398e-05,9.79119815110527e-05,8.518368746079487e-05,8.128994576924793e-05,7.604468879731773e-05,8.003376960530251e-05,8.96302104459883e-05,0.0001001622999599279,7.328129472420606e-05,9.386657358204769e-05,7.413553734148447e-05
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4980222441158781,0.652533882914558,0.11827859359036681,0.362548656074447,0.1063840754889141,0.41702374475416876,0.5169818764441306,0.25896684870851855,0.574913442334228,0.5424802234326229,0.5509803222720485,0.5816692532307163,0.17943742989331862,0.48042243728468625,0.3077000069622471,0.6175051678295411,0.6804144235028563,0.39930645914961477,0.5470354773436331,0.38526234912308444,0.09835248421498446,0.5957270169132376,0.6435381150738064,0.264600553349819,0.19261212692409405,0.21449420611082964,0.21168092740710906,0.1783458715541069,0.32846001221591,0.5526740775419333,0.3344651422248709,0.3975666524160199,0.686288416656816,0.1751532717513498,0.3098554346336129,0.12719592954356773,0.4974814859163587,0.4384998323953603,0.6345744413298463,0.4427101431541709,0.32803439112440447,0.3778206336993089,0.4331767299612356,0.5034362808814704,0.7162659881534085,0.6835034255672201,0.1731793978743105,0.6081829894427789,0.685244127811894,0.24644297360799003,0.11095467039497964,0.3720527950967143,0.5543418414683532,0.3846250494073559,0.3131547315018066,0.2360909218853703,0.32916876741057455,0.631459664377237,0.48501103393005734,0.18453140775795826,0.5307717542845639,0.6676148433865623,0.1299482720827683,0.37832304663673544,0.48687369863457014,0.19402015514948134,0.5842948390870732,0.5070870252140098,0.33161259292223405,0.4086147382033514,0.1703773964972101,0.14928052793693078,0.24242310453052254,0.3171261937827902,0.6781527667627009,0.31100860389872553,0.5029151067146062,0.6155103857095627,0.355988289622774,0.40974085559775186,0.6173068482382862,0.4108908648296263,0.10835197086898116,0.5793389426753657,0.28318996169309524,0.21755246871580855,0.4139526984073424,0.6487249066397102,0.20326474536554864,0.5605965486232651,0.47833325272284893,0.46589777750371064,0.5113097445663083,0.14761940613656405,0.39963262984674397,0.47633994763876625,0.5565304401496562,0.44021800994261856,0.6363948489212907,0.525032335127609
NDCGk,0.16852652324496267,0.17341277932956817,0.16195941063766447,0.16480984982310679,0.1588149446842435,0.15358200508011516,0.17256225325867128,0.15602692558618922,0.17875100302442154,0.16885134948701688,0.16883755894763372,0.16302329017889283,0.1602795233842176,0.16297694153626435,0.15436263410397882,0.1707150836221717,0.1563300212397866,0.17506082918250201,0.16656136174860828,0.1573110847083184,0.15652878900039993,0.16652761628297463,0.16801399093756778,0.16616333840732472,0.15801674903271012,0.17122927048875708,0.15788000247410258,0.1584973997909737,0.16180623525903126,0.16006591836931616,0.1581145229715041,0.1690509378512852,0.15987050521434376,0.16184520899161348,0.16096636801007272,0.16317617164192671,0.16466920837844654,0.15494432761638854,0.16573223623026884,0.15949208746983148,0.158993118360267,0.16465161334134423,0.16832468603152984,0.1568066549234537,0.16712274598422994,0.16755518499685226,0.1703624889499456,0.16524335050716452,0.17124594210561492,0.15882356562104105,0.1692340023204533,0.16105567589867378,0.16108687554076692,0.167435707724673,0.16706289633132052,0.1656011828800223,0.1629544536910617,0.1628616818172399,0.16359251676343442,0.16016040968554823,0.16314459299843967,0.16724683200941715,0.161665529868883,0.16581150260252392,0.1564532916000217,0.1596286967132537,0.1598908166973638,0.15799978836863277,0.16565460893207185,0.1599526630563003,0.16528158583316097,0.16604602458095433,0.17732149477458703,0.16302062502486525,0.16536447939709137,0.17121784309981677,0.1560345830115409,0.16015607259535217,0.16590283518668572,0.16205525122085396,0.16609308616248908,0.16320743995473597,0.16230078944326418,0.17429058380105175,0.15927041161887376,0.17258552894440288,0.16511455652281024,0.15936613278895156,0.1588814183533293,0.16652422597010239,0.1746233963812025,0.16299713678436578,0.16656393564164418,0.1647725546223849,0.1498692995494362,0.16034876701255965,0.16090100821855272,0.16365529008645333,0.16699096606509536,0.15829885178941114
global AUC,0.9433508911410224,0.9524073500653049,0.8369478641844452,0.8864792728167468,0.8355138160763349,0.9066612528287137,0.929639518369685,0.8681018850595273,0.9297112039819372,0.9466125394114525,0.936195267817268,0.9513592582823884,0.8541958706285664,0.9304800217626906,0.8866053222622822,0.952737261034679,0.9600062372236109,0.919950164307155,0.9254685798902313,0.9130632060535083,0.8364052551449963,0.9494266017715753,0.9572432484894721,0.8714744744555265,0.8539218122524194,0.8543453204963414,0.8558828206825927,0.847215504920024,0.8966087840724327,0.936618859567122,0.8789940997695446,0.9119941513386881,0.9695943585528831,0.8490793665217329,0.8740332753673166,0.839601229494552,0.9364464871370448,0.9110307044058075,0.9490226214082742,0.914294690842337,0.9065572092195647,0.8945093662151669,0.9068688437936974,0.9222570535724532,0.9643144086897565,0.9682850469710494,0.8469424125640432,0.949600874973244,0.9624531203215065,0.8593965678440937,0.8338942475843146,0.8825667248669415,0.9318299543821588,0.8981181523241141,0.8703168640908274,0.8696368532134844,0.8928956096624489,0.9682461041451433,0.91947474553859,0.842188820455945,0.93809355814227,0.9559115882187024,0.8386486412757878,0.8924420771733189,0.9275281782932375,0.8451023619247512,0.9506683070243345,0.9452814555891219,0.9012382775365727,0.9073251893659241,0.8520890071322426,0.8468048558539141,0.8675169153368361,0.8895976267469886,0.9634235707166594,0.8805602388118392,0.9075465326911129,0.9485590534925876,0.8851977690781782,0.8866427126871591,0.9499456172583252,0.9069069831968908,0.8396195154543493,0.9497361045533,0.8768663822301097,0.8716015329617308,0.8950328689501987,0.9610630014838394,0.8481956883546135,0.9234377921374104,0.9277195157665955,0.8953071366429775,0.922837151257413,0.8335938609281582,0.9110078524740737,0.9148683806425757,0.9433975882468546,0.9170782750087046,0.9503311928406125,0.9417334397267086
global NDCG,0.32689983400935324,0.34514692151714843,0.2849284748302447,0.3097050255886481,0.2829236082090285,0.31227547092232616,0.32604577664216194,0.30244242019052786,0.3210774485900826,0.3456251445348092,0.3293948600297842,0.33480812276645155,0.29582194853413696,0.31434850503421247,0.30877190003785343,0.3306397394753159,0.35404147613414705,0.3178062765845348,0.33074790741736837,0.3169263551362393,0.28343273901973887,0.3319160721674414,0.3500164226330162,0.30440316079403934,0.2904222844685056,0.2940031919454744,0.29637550666963725,0.3001335361473731,0.3076127130978691,0.3215852251756434,0.3039043737798513,0.315776548857393,0.3537288590002966,0.2933717420073976,0.30031490661181365,0.28927737435749806,0.32719064072352383,0.31371977460874223,0.33899209262800006,0.3403948603872602,0.31160431276836914,0.3109799758358353,0.3177357419040605,0.32088930468430726,0.3464246082614875,0.34541653032855246,0.2913780077513762,0.3228979433211252,0.34194085711609723,0.29923122708329786,0.2857413102097202,0.30849099527674156,0.3231028129820701,0.3134323996265748,0.3060090011820341,0.30581297037906524,0.3171139310179792,0.35281423610848434,0.31955001585929627,0.2881077129902753,0.3283740716162651,0.34248463853957994,0.2862951515574746,0.3093362181585748,0.32282346067155965,0.29262517514617764,0.33362135039567775,0.32937610288880265,0.3104516007787377,0.3108111021151793,0.29329475833094165,0.2912828805699174,0.29886013528055594,0.30829554583193397,0.3417808465498792,0.31042452225830025,0.3234470229548707,0.33575961383260255,0.30418518857724053,0.3167281730332905,0.34474015323545204,0.31385645150703584,0.2878873624639389,0.34869248669909053,0.30233176368057474,0.2990589451319393,0.3265246094463816,0.3308366500403738,0.297331283768905,0.3283580344541667,0.3201104217588858,0.3186852161054638,0.33614743288434007,0.28392601548516594,0.31239562727015774,0.31889661174073514,0.3324672618761995,0.33491942907545064,0.34725446120305675,0.3419129822836276
