,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,8.893172423619369e-05,9.614288147561844e-05,7.883733860968989e-05,0.00011218076659643386,8.946314515598954e-05,7.487323125570221e-05,0.00010108077321606019,7.065845857588443e-05,9.668659481642196e-05,8.222784998125945e-05,8.042152173416882e-05,0.00010721927569685345,9.331916530911863e-05,8.355222687778665e-05,8.910169108935032e-05,7.047202446685507e-05,0.00010112645338872045,7.361197362084058e-05,6.7196711754337e-05,8.811879547978846e-05,0.0001135226446663502,0.00010745520870022375,9.355494876557318e-05,7.861552823524961e-05,8.406210895378837e-05,8.963682830116532e-05,9.0306041966102e-05,8.134265746594544e-05,8.776441581210082e-05,7.556627726680355e-05,6.852127470596463e-05,6.516804913191059e-05,0.00011544979272851824,0.00011410788259916358,6.896551320332859e-05,8.923695944667866e-05,8.812045242586196e-05,0.00011138145781153362,9.487180085478968e-05,0.00010404392343139684,8.286452948890187e-05,6.510000132752363e-05,7.845732282068518e-05,8.288065254067063e-05,0.00011393315678778947,9.843346515468511e-05,9.62154507013574e-05,9.306692855491259e-05,7.280148540474896e-05,9.042229232498881e-05,9.967420123297219e-05,9.890821078429727e-05,8.759816345307089e-05,0.00010343568795247866,6.876095031235286e-05,8.750876437012774e-05,9.909440110070689e-05,8.457525827050682e-05,7.822998430782635e-05,7.484419573717963e-05,8.64254713108271e-05,9.114808232428753e-05,9.211372006886328e-05,7.628346058068148e-05,8.788780923062947e-05,9.473639328824593e-05,8.340367022618434e-05,8.844137653148967e-05,8.590441195561094e-05,8.34231143303056e-05,8.561413292422783e-05,9.509553735365003e-05,6.64633269081798e-05,8.673156789175602e-05,7.697768010097284e-05,0.0001362707798797088,9.13354043866239e-05,7.600239543956084e-05,6.614557247730255e-05,8.342555481107587e-05,9.881066351366695e-05,9.46722349610697e-05,9.974235524415992e-05,7.866263461691528e-05,0.00010618008971096434,8.444134881286614e-05,9.395743909664198e-05,8.298825388859733e-05,7.300234252643979e-05,8.478456593099398e-05,9.79119815110527e-05,8.518368746079487e-05,8.128994576924793e-05,7.604468879731773e-05,8.003376960530251e-05,8.96302104459883e-05,0.0001001622999599279,7.328129472420606e-05,9.386657358204769e-05,7.413553734148447e-05
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.7242887758987657,0.752679139651564,0.7422623926868889,0.7562888952760055,0.735981704814935,0.7673220368996573,0.7450418321399953,0.7496868971430461,0.7971950067035243,0.760827290633676,0.7326738304620265,0.7933984535286175,0.7560711966894192,0.7238382243342034,0.7339997244549423,0.7762768895595407,0.7753182390995059,0.7183929324013232,0.7516563386038194,0.7402829429254205,0.7181766539035365,0.7523689693445684,0.735264791121746,0.7168174055241906,0.7297455996113275,0.7700461281433701,0.7483604632637909,0.7730286823122927,0.8009941786921141,0.7410035506365735,0.7347293965953481,0.7154028123653385,0.7439104481524597,0.7513605289421205,0.6876975074109765,0.6986935772570481,0.7443391113001164,0.7284129806043976,0.7598949565943043,0.7595768564083031,0.7763444703908198,0.7249166902038376,0.7277087328139293,0.7077806542296561,0.7530824439893247,0.7652237656218905,0.7544053536973595,0.749357210763877,0.7615381149282127,0.7400544281375538,0.7603508038594088,0.7575495014062523,0.7863837860696352,0.7494859329993907,0.7273888286265974,0.716114834713653,0.7515915620522833,0.6990625187367575,0.758662614666357,0.74285428388745,0.7505173632875676,0.7378770155354156,0.7279582945758328,0.7160439639631406,0.719162115873203,0.770659456754669,0.732963354281607,0.7362289239509636,0.775314065238767,0.6813314372261006,0.7413775959558158,0.7210115617898158,0.7306966525812352,0.720188003818586,0.7591860072076245,0.7290539814175988,0.8096942882019709,0.7419822162154772,0.7051041676017809,0.7299831334352602,0.7375038179115766,0.7136499551006575,0.7702319671129636,0.7059390596427191,0.7336558853509427,0.7117762587238292,0.7462876672588038,0.7352836868568072,0.7472133068980997,0.7197594380977681,0.7324440679299256,0.7856823708598197,0.7809828330562048,0.7620726759928246,0.6986040962581499,0.7341582867082288,0.7693382173660197,0.744794769807032,0.7635397826120751,0.7278198952970769
NDCGk,0.16852652324496267,0.17341277932956817,0.16195941063766447,0.16480984982310679,0.1588149446842435,0.15358200508011516,0.17256225325867128,0.15602692558618922,0.17875100302442154,0.16885134948701688,0.16883755894763372,0.16302329017889283,0.1602795233842176,0.16297694153626435,0.15436263410397882,0.1707150836221717,0.1563300212397866,0.17506082918250201,0.16656136174860828,0.1573110847083184,0.15652878900039993,0.16652761628297463,0.16801399093756778,0.16616333840732472,0.15801674903271012,0.17122927048875708,0.15788000247410258,0.1584973997909737,0.16180623525903126,0.16006591836931616,0.1581145229715041,0.1690509378512852,0.15987050521434376,0.16184520899161348,0.16096636801007272,0.16317617164192671,0.16466920837844654,0.15494432761638854,0.16573223623026884,0.15949208746983148,0.158993118360267,0.16465161334134423,0.16832468603152984,0.1568066549234537,0.16712274598422994,0.16755518499685226,0.1703624889499456,0.16524335050716452,0.17124594210561492,0.15882356562104105,0.1692340023204533,0.16105567589867378,0.16108687554076692,0.167435707724673,0.16706289633132052,0.1656011828800223,0.1629544536910617,0.1628616818172399,0.16359251676343442,0.16016040968554823,0.16314459299843967,0.16724683200941715,0.161665529868883,0.16581150260252392,0.1564532916000217,0.1596286967132537,0.1598908166973638,0.15799978836863277,0.16565460893207185,0.1599526630563003,0.16528158583316097,0.16604602458095433,0.17732149477458703,0.16302062502486525,0.16536447939709137,0.17121784309981677,0.1560345830115409,0.16015607259535217,0.16590283518668572,0.16205525122085396,0.16609308616248908,0.16320743995473597,0.16230078944326418,0.17429058380105175,0.15927041161887376,0.17258552894440288,0.16511455652281024,0.15936613278895156,0.1588814183533293,0.16652422597010239,0.1746233963812025,0.16299713678436578,0.16656393564164418,0.1647725546223849,0.1498692995494362,0.16034876701255965,0.16090100821855272,0.16365529008645333,0.16699096606509536,0.15829885178941114
global AUC,0.9511426052683654,0.9639024272074083,0.9549202116784002,0.959331377595464,0.9613404188585157,0.9692653598950141,0.9666108049012753,0.9625982267772085,0.9717288102755492,0.9616415717827632,0.9565042202544344,0.9677475950666773,0.9670660343633783,0.9577779752310901,0.954132841969616,0.9637389041989312,0.9577414121403157,0.9554251757286328,0.9597304105081876,0.9598302898567568,0.9616825139687618,0.9614524753584737,0.9574011008197829,0.9599373069392513,0.9659761046369971,0.9625504198150009,0.9585707772398727,0.9653937603849561,0.958420626216562,0.9610186083324253,0.9591964382628989,0.9568180307650804,0.9657709283545621,0.9588690251141377,0.9572847873566245,0.9511834771916636,0.9597329112717408,0.9611312916786753,0.9681888028895341,0.956740231562141,0.9642259737004312,0.9592509886050263,0.9572615576249247,0.9508721026998833,0.9624982653941774,0.9670324910972596,0.9617435328937547,0.9631312815608464,0.9672548648194346,0.9598934059946088,0.9664649652855614,0.9664878657758107,0.967704571118256,0.957246488298918,0.9598513263621687,0.959806831679313,0.9585181655596938,0.9525895879671339,0.9672183304223289,0.9650868164898564,0.9639534603679626,0.9579627400150679,0.9575717957738666,0.958761615149108,0.9636066201342871,0.96681376294243,0.9576518191039671,0.9592850748436375,0.9645162914540847,0.9587391325563865,0.9608195471121473,0.9612669582853716,0.9583610500680705,0.9638528614704802,0.9684029731655137,0.9618909164495442,0.9713076243794225,0.9591453856053648,0.9566143653146417,0.9539579364036419,0.956058493178819,0.9597023098423587,0.9608467203839016,0.9421976896688188,0.960505725565475,0.964338160425499,0.9594781350406963,0.9658065850197116,0.9634397940431466,0.9618318906308961,0.9588347943035822,0.9635126686032961,0.9632620272034279,0.9683023231344431,0.9525893183202254,0.9510295430185468,0.9633984328560172,0.9509868472079732,0.9531777765308214,0.9665079612760495
global NDCG,0.35765443396236213,0.3631704433755086,0.3605313999821156,0.378238757836536,0.3643375246216422,0.3662942717991721,0.3691133425658374,0.3615345906206553,0.37961298081657374,0.3691516362668907,0.3630233331860866,0.3714896278889039,0.3683060813435422,0.37020381624227894,0.3563461633805578,0.3624269344194891,0.36828668553389127,0.3697913766489828,0.35799318209049497,0.37072638069575053,0.3791389466537524,0.3733980168199164,0.3694249518336585,0.3609760706427266,0.36822197797429274,0.375116396408316,0.3726000338904704,0.36925415162780173,0.3675141055451876,0.3553435965622945,0.3619316038030292,0.35127470190719656,0.3705748250544818,0.36549497984439866,0.3647839770173243,0.36335736079779773,0.368837995429094,0.3541405100221325,0.367579985839067,0.3640495261285241,0.36756081090700043,0.3597289507943596,0.3584016338352155,0.3565939000886758,0.3705915378126512,0.3710893874773405,0.36890478710825153,0.36266932856715245,0.3651674514435712,0.3688172139011632,0.3734989935157881,0.37982998913478366,0.3650875976372904,0.3629776387208934,0.3631589453498065,0.36223105022639657,0.3671266803196096,0.35556207832391795,0.3599800685327256,0.3595886218388306,0.3687235577075089,0.3660665179334425,0.36460888579451795,0.3535906366853553,0.36125830942920034,0.36609458946794904,0.36359853902315775,0.3618577503512257,0.3653300341007933,0.3656235980933697,0.36523082850190297,0.36198991710252293,0.3655499490600747,0.36053988249091135,0.38666527365217734,0.3660409063839002,0.38301800394720104,0.36550531539132936,0.36255427410142466,0.355396747609651,0.3574537379546899,0.37142327997691926,0.36839229874428947,0.35496963180279517,0.36370105248724127,0.3584061307998121,0.3625443449839451,0.369517715917069,0.3599746719138053,0.3612889688235648,0.36067398611658075,0.3688804309697564,0.3685841465330357,0.36659136126252073,0.3550586693198358,0.36177114720238523,0.36162032087522206,0.3542851696297785,0.3613817390207034,0.36962852694880516
