,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.9752475247524752,0.0297029702970297,0.01485148514851485,1.0,0.019801980198019802,0.0297029702970297,0.0049504950495049506,0.9900990099009901,0.9851485148514851,0.0049504950495049506,0.034653465346534656,0.009900990099009901,0.9801980198019802,0.9801980198019802,0.9900990099009901,0.9801980198019802,0.995049504950495,0.995049504950495,1.0,0.9801980198019802,0.9900990099009901,0.9900990099009901,0.9801980198019802,0.9851485148514851,0.9801980198019802,1.0,0.995049504950495,0.9900990099009901,1.0,1.0,0.9900990099009901,0.9851485148514851,0.0049504950495049506,0.019801980198019802,0.0,0.0049504950495049506,0.009900990099009901,0.034653465346534656,0.9851485148514851,0.9851485148514851,0.019801980198019802,0.0049504950495049506,0.9801980198019802,0.019801980198019802,0.9752475247524752,0.9801980198019802,0.9801980198019802,0.9653465346534653,0.995049504950495,0.9900990099009901,0.9752475247524752,0.9851485148514851,0.009900990099009901,0.9900990099009901,0.9851485148514851,0.0,0.9752475247524752,0.9801980198019802,0.9702970297029703,0.019801980198019802,0.039603960396039604,0.01485148514851485,0.009900990099009901,0.01485148514851485,0.0049504950495049506,0.9900990099009901,0.009900990099009901,0.9752475247524752,0.9851485148514851,0.009900990099009901,0.9801980198019802,0.01485148514851485,0.9801980198019802,0.995049504950495,0.9900990099009901,0.9900990099009901,0.995049504950495,0.9752475247524752,0.9900990099009901,0.9801980198019802,0.9900990099009901,0.009900990099009901,0.9851485148514851,0.9900990099009901,0.01485148514851485,0.01485148514851485,0.009900990099009901,0.0297029702970297,0.01485148514851485,0.01485148514851485,0.009900990099009901,0.019801980198019802,0.9851485148514851,0.009900990099009901,0.01485148514851485,0.9851485148514851,0.034653465346534656,0.9900990099009901,0.0297029702970297,0.9554455445544554
AUC,0.4921524689129814,0.5040214494819585,0.4968013435216603,0.511085283855748,0.4989369277100759,0.5038841531035448,0.4913122263378198,0.5057970244323664,0.5024747700885032,0.48978523643815164,0.5072780285404643,0.49185577458058255,0.4954866140781003,0.5056223552451594,0.5059663344634531,0.499645129634854,0.5073811526088066,0.5081242626508122,0.511635430969138,0.4977630897813597,0.5088411951481138,0.5080428363051878,0.5025168324312783,0.5064300394095164,0.5006633064921399,0.5104530784311753,0.5097289931559258,0.5101724095349657,0.5103512583490236,0.5115335894478686,0.5068408228210677,0.5047492112060691,0.4903414231979679,0.4977140243716111,0.4892796724214666,0.48918307035559067,0.49610310786508466,0.50533745692595,0.5021015757305024,0.49869192042548355,0.4992070079999621,0.4928617008388127,0.5047331018078505,0.49639106428598806,0.5017622162842119,0.5032885425984501,0.5006315015008977,0.4938815311055356,0.5065989006073116,0.5101514647452496,0.49383975348402703,0.5039842639255083,0.4918035024321666,0.5083724995375639,0.5056169135238283,0.4895063044406864,0.4977906114746983,0.5011671099685451,0.4999476421922691,0.5009362797639746,0.5097327695587079,0.4941543114571047,0.49338452667262656,0.49522843408189293,0.4903336137392405,0.5066913912823735,0.49708068754539353,0.49839019042052984,0.5081992565108501,0.49580557062367286,0.4998212873928535,0.4963946498305715,0.49954558861510734,0.5103258217979957,0.5076386362006451,0.5083092088385603,0.5104893110527865,0.4995455704193965,0.5069761701180502,0.49992197224940577,0.5028360131154355,0.49305840188644917,0.4999911880222817,0.5067413302554034,0.49455676693354145,0.49792697713619977,0.49508753256508087,0.5003355831267233,0.4948636052885935,0.495976363740701,0.4966573924272584,0.49836031318577645,0.49990583871369443,0.49662580899246533,0.4931075859440484,0.5020792125270205,0.5022589120539265,0.5078231722387783,0.5104974791901762,0.4901794325077974
Fscore,8.951838688503186e-05,5.301931853507538e-05,2.0916863844432144e-05,0.00011476580800776346,3.3210199744932436e-05,6.588081273897493e-05,1.4121900242896684e-05,7.165530104526893e-05,9.814867896837864e-05,7.560979298038681e-06,5.8437649528782244e-05,4.327529464429508e-05,9.536447772924507e-05,8.328886239573945e-05,9.077258023151554e-05,7.139697250990107e-05,0.00010298421467962412,7.563558688444827e-05,6.864256717144239e-05,8.871910323677185e-05,0.00011498945461939379,0.0001088012830024129,9.406931669634848e-05,7.87254767791752e-05,8.547820786261094e-05,9.15026808771951e-05,9.187606062335132e-05,8.130693709370886e-05,8.994211902586214e-05,7.721262877550209e-05,6.91226219647641e-05,6.58781278121123e-05,1.0595465140919687e-05,4.192293619600166e-05,0.0,3.4534361689881426e-05,1.0014144929474698e-05,5.850452307899639e-05,9.567616506121698e-05,0.00010554071004882313,4.87438871535196e-05,3.791929257767768e-06,7.884062025306935e-05,4.3855345039323454e-05,0.00011428930077770753,9.882219277589714e-05,9.661907526808016e-05,9.239567209359447e-05,7.404959193831113e-05,9.059041549814537e-05,0.00010071999043649163,0.00010095218197187506,2.2500845877071368e-05,0.00010353909527904168,6.876696636776432e-05,0.0,0.00010035767442878349,8.583379790043557e-05,7.664854868577016e-05,2.0170400511579503e-05,7.653529468021614e-05,2.1476292381054456e-05,4.5428434396462736e-05,3.345248624678086e-05,1.3061650992685476e-05,9.528123329660908e-05,2.377923179449897e-05,8.921053147887693e-05,8.649865187851423e-05,1.2218295800385353e-05,8.692527660629828e-05,2.1206409613794086e-05,6.718774256945149e-05,8.815717057570206e-05,7.75074972632504e-05,0.00013926716929225618,9.19617730625995e-05,7.604424245730153e-05,6.724784235202182e-05,8.291881468402049e-05,0.0001005388031511347,3.3678307889103364e-05,0.00010188617319890816,7.909483708176248e-05,3.9933222431058265e-05,2.5213136585306217e-05,1.6573919134010234e-05,7.043014344511116e-05,2.251732793495328e-05,3.4771129788083936e-05,7.358386602445171e-06,3.3830926711654706e-05,8.246617406954344e-05,9.286970044581728e-06,2.062717384787593e-05,9.10139705756576e-05,9.904359294478554e-05,7.424902400346955e-05,5.1164841355682484e-05,7.324697271867078e-05
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.515618050995584,0.5265823903875224,0.4940991589124561,0.516365476781618,0.5235959486655097,0.5233019736391766,0.48170354557124373,0.5101837621373969,0.4493276716402251,0.5390529190325173,0.5356437685901064,0.5380543440636025,0.5375975785369153,0.4971926928915564,0.469206124878632,0.4803092457396676,0.5181833998791066,0.4858554608909772,0.503452767305788,0.546356017510347,0.4898322368169133,0.49575198256345854,0.5100516762259674,0.5226058690165366,0.5107731476636737,0.4992844165180383,0.48472644087263134,0.47283166104975555,0.5003853607920496,0.5099291500667593,0.48230250114962053,0.47904732640313646,0.5215796618810747,0.5125918934215762,0.5059760295226504,0.47947589797237405,0.5077676769465336,0.5519960050311254,0.4854789905972779,0.5357622380512281,0.5549764217516471,0.5189086986149516,0.47490777461773276,0.5063257707958405,0.5006510336787079,0.5005428896945935,0.5371604602526258,0.4610814056039549,0.5048621052035666,0.49932350753478244,0.5010343211697542,0.5067446483270023,0.4901240368765022,0.511253024448398,0.533142982831742,0.5106653878068201,0.49414058507824926,0.47003440693843973,0.4698257511962892,0.5047714404049195,0.5306122809137821,0.473877570849351,0.4965139264773318,0.4912010061271279,0.5313409737590251,0.5077943890089166,0.49106235498869827,0.49777355723780825,0.556288002854441,0.5213238068094794,0.501963462676264,0.5685533663799801,0.49792891923646443,0.5470464175842997,0.5035399142710569,0.5058348964746294,0.5248948887583286,0.4958590023535858,0.5090422258740798,0.46683736893121286,0.5535466445078102,0.48444145734251215,0.5139237434790871,0.49768637863566845,0.4985543665148602,0.4811367816825755,0.5038169162452996,0.5238885187855975,0.49213932191788085,0.5181048032312446,0.4942245265530451,0.49086882176217295,0.4922156763703639,0.4627857147201951,0.4809076930121766,0.4776838676559906,0.5307173625501322,0.5763912014080935,0.49330209425072347,0.4711379592588636
NDCGk,0.18265004375308608,0.17310580426087854,0.16175396288344984,0.16678282212449733,0.16463273309235682,0.1623762415184419,0.16025176630027368,0.1565577023165085,0.18671090043215693,0.15930463043431023,0.16779431052050547,0.15916856736385823,0.16134781648156016,0.16969645636281705,0.1551882892611241,0.17831884043015253,0.1581895886902363,0.17102637770676224,0.16442320495649354,0.15978045570074337,0.15693138969615547,0.16634775250229467,0.1681724439208088,0.1727283859744194,0.15872759052986782,0.17176041516300194,0.15769956986838,0.15944147567137343,0.16048032207085766,0.16583878791130818,0.15773184610470967,0.16398646404083594,0.15667647843787777,0.1663039440367456,0.15203192445286257,0.1569352506106294,0.15676350215726564,0.16631812990928596,0.1600559974515839,0.15753138029011002,0.16676642548190493,0.16254491667427237,0.16362823869231224,0.15742791020933078,0.17044474764959994,0.16600503895792768,0.17107892519254314,0.17192459279405736,0.16975670694593697,0.16026483036601322,0.16536065317141657,0.16037541925988713,0.15742574995396214,0.17092561724634514,0.1628259552380196,0.153443296400237,0.1624575500182101,0.17271167717505337,0.16253774696318743,0.15796285518975745,0.1787676101973484,0.16279990600027125,0.16053747870523988,0.15968660805664542,0.15462252888543612,0.15775586523072307,0.16844484279134156,0.15887664519331657,0.16746270597479163,0.1582770368521977,0.16400848135745572,0.15459762411191133,0.167413963426973,0.16515393974301915,0.16956493642978537,0.1705434010409839,0.15654941630882807,0.16025007533946287,0.15939920945989158,0.16386319979269623,0.16631341737205427,0.16033139371785743,0.16522765131005349,0.16701690539985478,0.15699596911941519,0.16779656056422418,0.1636435590691279,0.1639096926137444,0.1526605287652105,0.16311733631275627,0.16240306045355804,0.16693006873401592,0.1670204560168808,0.16248859386519388,0.15006082481595417,0.16131323207746245,0.17074350810238628,0.16166953706179757,0.175963584911975,0.1583634917067383
global AUC,0.88517527103502,0.12595071062282773,0.10730732704238832,0.9041287669537018,0.11647799559535416,0.1263438712659719,0.09861326032000374,0.8936358316276615,0.8825194009148172,0.10447196662303063,0.14007720830466333,0.11494381357433528,0.8883585863267065,0.8848169533340218,0.8860087643441378,0.8807600056020636,0.9044101951881932,0.8931621455152214,0.8980204301508136,0.8881218142689221,0.891283358791582,0.8872080357080137,0.885313503149957,0.8931314756624763,0.8873707869303867,0.8986061797526947,0.8934043318474948,0.8896882854956075,0.9012805731072598,0.9022530714210214,0.8883565748269848,0.8858767716305871,0.10776523421233242,0.11631515130249287,0.09892222123283836,0.09961692437195718,0.10887785437659622,0.1347924916139223,0.8879831561633709,0.8926711122409517,0.12417329531850971,0.10914478090469865,0.8843929234539246,0.11072709508283259,0.8780446958122274,0.8826603394312637,0.8894175033477932,0.8649904062057855,0.8989457266444746,0.8876400998152367,0.8782029851691787,0.8892842863710617,0.10665963369651268,0.895105700837713,0.8988168633801072,0.09711002920253213,0.8788850884771027,0.880751777140875,0.8744956966398735,0.11653510408837128,0.1358445935209185,0.10720948236919611,0.10923561512613536,0.11013505421024122,0.10592209311781658,0.8906387963663598,0.10730870065979164,0.8778199132933849,0.8965507360457121,0.11312787591671229,0.8820460845092569,0.12315258060596608,0.8837375173971551,0.903052783085853,0.8924427076982867,0.8946503433577053,0.8965238949583486,0.878567146446088,0.8918031243602508,0.880083810614738,0.8984034626647804,0.10342968346860859,0.8887342261745413,0.8921129247468172,0.1108036188890024,0.10572841012100845,0.10809914059108469,0.12603771718248577,0.1110033643429093,0.11536942381339445,0.10761317947448967,0.11790312034048854,0.8860886390557512,0.10140958410723222,0.10931983692849744,0.885366512127082,0.1308985055245715,0.9036695814440479,0.12517246366122747,0.8590181575857969
global NDCG,0.29742624179306026,0.25414811397807563,0.2517468188233734,0.2982590397086405,0.2520967086396092,0.25402881562729673,0.2500459755387434,0.297356607946226,0.2955954658519849,0.2501243227808378,0.2552060400082866,0.2510440181818729,0.2982708905942984,0.2967077149455651,0.2953841255887727,0.2968450951643019,0.2984462927393942,0.2975582291397354,0.2965948400265544,0.29893529282215603,0.2961014030339683,0.29457885638779147,0.2966331958125015,0.2981434946272682,0.2966232061763184,0.2956777767821528,0.2966769012036095,0.2963567457804902,0.2976695115671204,0.29823404978313256,0.295654864018605,0.2970340788064611,0.25017406455855346,0.2525003496345645,0.24941967587225644,0.2501734142950444,0.25138145140000306,0.25474370721174644,0.29709009333633624,0.29906713984052863,0.25236611841589096,0.25031909269858477,0.2959114807627153,0.2524169927442165,0.295077843932027,0.29495502912234167,0.2982589712044289,0.29356718069282844,0.29793346645960855,0.29453036314943537,0.29713573086015405,0.2961086624974463,0.2507389458567252,0.2986918886411177,0.30058930811136175,0.2493900582999939,0.29541445749937,0.29594278276205116,0.2963970427628003,0.25261740557380846,0.255415167499528,0.2514659832994594,0.2508942227735949,0.2514400710433809,0.2505113388321659,0.296328929826589,0.25100015666012593,0.2952047597383647,0.30041116307391386,0.25085522669073973,0.2945055292646799,0.2519343597044048,0.2956932767079143,0.3000910006205839,0.29572330826715826,0.29642172459855776,0.29659322539237337,0.2958403915976639,0.29803903758200795,0.29603094825050813,0.2992768334305707,0.25066772654770053,0.297196997197644,0.2986559453704462,0.2517740741940457,0.2516748790778107,0.25088063208436345,0.25379596613566974,0.25184556356349347,0.25144438026364885,0.25080279198212474,0.25264568712584096,0.29711250265759115,0.2509953650039148,0.2515370889656593,0.2966355774702352,0.2552652215894511,0.30076888915936045,0.2536400652726483,0.2930158256962053
