,1_LibMF,2_LibMF,3_LibMF,4_LibMF,5_LibMF,6_LibMF,7_LibMF,8_LibMF,9_LibMF,10_LibMF,11_LibMF,12_LibMF,13_LibMF,14_LibMF,15_LibMF,16_LibMF,17_LibMF,18_LibMF,19_LibMF,20_LibMF,21_LibMF,22_LibMF,23_LibMF,24_LibMF,25_LibMF,26_LibMF,27_LibMF,28_LibMF,29_LibMF,30_LibMF,31_LibMF,32_LibMF,33_LibMF,34_LibMF,35_LibMF,36_LibMF,37_LibMF,38_LibMF,39_LibMF,40_LibMF,41_LibMF,42_LibMF,43_LibMF,44_LibMF,45_LibMF,46_LibMF,47_LibMF,48_LibMF,49_LibMF,50_LibMF,51_LibMF,52_LibMF,53_LibMF,54_LibMF,55_LibMF,56_LibMF,57_LibMF,58_LibMF,59_LibMF,60_LibMF,61_LibMF,62_LibMF,63_LibMF,64_LibMF,65_LibMF,66_LibMF,67_LibMF,68_LibMF,69_LibMF,70_LibMF,71_LibMF,72_LibMF,73_LibMF,74_LibMF,75_LibMF,76_LibMF,77_LibMF,78_LibMF,79_LibMF,80_LibMF,81_LibMF,82_LibMF,83_LibMF,84_LibMF,85_LibMF,86_LibMF,87_LibMF,88_LibMF,89_LibMF,90_LibMF,91_LibMF,92_LibMF,93_LibMF,94_LibMF,95_LibMF,96_LibMF,97_LibMF,98_LibMF,99_LibMF,100_LibMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,8.893172423619369e-05,9.614288147561844e-05,7.883733860968989e-05,0.00011218076659643386,8.946314515598954e-05,7.487323125570221e-05,0.00010108077321606019,7.065845857588443e-05,9.668659481642196e-05,8.222784998125945e-05,8.042152173416882e-05,0.00010721927569685345,9.331916530911863e-05,8.355222687778665e-05,8.910169108935032e-05,7.047202446685507e-05,0.00010112645338872045,7.361197362084058e-05,6.7196711754337e-05,8.811879547978846e-05,0.0001135226446663502,0.00010745520870022375,9.355494876557318e-05,7.861552823524961e-05,8.406210895378837e-05,8.963682830116532e-05,9.0306041966102e-05,8.134265746594544e-05,8.776441581210082e-05,7.556627726680355e-05,6.852127470596463e-05,6.516804913191059e-05,0.00011544979272851824,0.00011410788259916358,6.896551320332859e-05,8.923695944667866e-05,8.812045242586196e-05,0.00011138145781153362,9.487180085478968e-05,0.00010404392343139684,8.286452948890187e-05,6.510000132752363e-05,7.845732282068518e-05,8.288065254067063e-05,0.00011393315678778947,9.843346515468511e-05,9.62154507013574e-05,9.306692855491259e-05,7.280148540474896e-05,9.042229232498881e-05,9.967420123297219e-05,9.890821078429727e-05,8.759816345307089e-05,0.00010343568795247866,6.876095031235286e-05,8.750876437012774e-05,9.909440110070689e-05,8.457525827050682e-05,7.822998430782635e-05,7.484419573717963e-05,8.64254713108271e-05,9.114808232428753e-05,9.211372006886328e-05,7.628346058068148e-05,8.788780923062947e-05,9.473639328824593e-05,8.340367022618434e-05,8.844137653148967e-05,8.590441195561094e-05,8.34231143303056e-05,8.561413292422783e-05,9.509553735365003e-05,6.64633269081798e-05,8.673156789175602e-05,7.697768010097284e-05,0.0001362707798797088,9.13354043866239e-05,7.600239543956084e-05,6.614557247730255e-05,8.342555481107587e-05,9.881066351366695e-05,9.46722349610697e-05,9.974235524415992e-05,7.866263461691528e-05,0.00010618008971096434,8.444134881286614e-05,9.395743909664198e-05,8.298825388859733e-05,7.300234252643979e-05,8.478456593099398e-05,9.79119815110527e-05,8.518368746079487e-05,8.128994576924793e-05,7.604468879731773e-05,8.003376960530251e-05,8.96302104459883e-05,0.0001001622999599279,7.328129472420606e-05,9.386657358204769e-05,7.413553734148447e-05
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.2316212549073263,0.18702610026531122,0.19501900936253747,0.1644096890786066,0.2311366599503179,0.1849940012114396,0.21291815128847963,0.2355861037270114,0.2159018927939493,0.22378045467686056,0.20745320015353122,0.23153768157348392,0.16676514240369872,0.21565424395210556,0.1944221299587959,0.17089639027583142,0.1658233831851594,0.24053135530579225,0.24491533431865709,0.18515742322790185,0.23208797460006272,0.20205986498056325,0.19490884310712372,0.22775984432167534,0.2364938887825513,0.1969650758891707,0.25409516412703353,0.23418317789055104,0.1686615413283848,0.18471249362316738,0.2241482510445804,0.15136232420425869,0.24894163368064826,0.2152341607397469,0.21678363329010353,0.21893625439349668,0.2447381414479429,0.20168353187298083,0.2298333330258972,0.2366997634754198,0.2009682555510998,0.2202646110593421,0.19662859688798387,0.15837918291864006,0.2080136695865776,0.18900814212483147,0.19097744918444196,0.2307248798656281,0.20684845019173698,0.19091508948942432,0.2400898785441218,0.2068568557029323,0.20128230642167133,0.22845790342351352,0.2125689132652859,0.19164311416510033,0.17123187576108712,0.16883513387190327,0.2456960835177829,0.19855017793339907,0.22960641556126227,0.1926171891022949,0.19778958431026575,0.2059342651603398,0.19212340066439756,0.2168957739647239,0.20152161628515686,0.19745489076079392,0.19987491395173762,0.2160462357008998,0.22542441612774197,0.19705787438184896,0.20141068030202783,0.1667261839235559,0.21438021119085682,0.1865823569984936,0.2167903232449132,0.18420393453329165,0.23198026839244795,0.23411119693661345,0.22596591622074014,0.18073757319867742,0.1740090884541353,0.2680374501409699,0.23571587552930526,0.2273372551016161,0.24672844318136694,0.17330748272093346,0.17053382969424594,0.1858394663545691,0.21107626623055498,0.17397406866571377,0.21551872612565154,0.22197098764264922,0.23961152400249586,0.1968193505617177,0.20933305643659697,0.20553908818210645,0.22672154475006912,0.1883614168984758
NDCGk,0.16852652324496267,0.17341277932956817,0.16195941063766447,0.16480984982310679,0.1588149446842435,0.15358200508011516,0.17256225325867128,0.15602692558618922,0.17875100302442154,0.16885134948701688,0.16883755894763372,0.16302329017889283,0.1602795233842176,0.16297694153626435,0.15436263410397882,0.1707150836221717,0.1563300212397866,0.17506082918250201,0.16656136174860828,0.1573110847083184,0.15652878900039993,0.16652761628297463,0.16801399093756778,0.16616333840732472,0.15801674903271012,0.17122927048875708,0.15788000247410258,0.1584973997909737,0.16180623525903126,0.16006591836931616,0.1581145229715041,0.1690509378512852,0.15987050521434376,0.16184520899161348,0.16096636801007272,0.16317617164192671,0.16466920837844654,0.15494432761638854,0.16573223623026884,0.15949208746983148,0.158993118360267,0.16465161334134423,0.16832468603152984,0.1568066549234537,0.16712274598422994,0.16755518499685226,0.1703624889499456,0.16524335050716452,0.17124594210561492,0.15882356562104105,0.1692340023204533,0.16105567589867378,0.16108687554076692,0.167435707724673,0.16706289633132052,0.1656011828800223,0.1629544536910617,0.1628616818172399,0.16359251676343442,0.16016040968554823,0.16314459299843967,0.16724683200941715,0.161665529868883,0.16581150260252392,0.1564532916000217,0.1596286967132537,0.1598908166973638,0.15799978836863277,0.16565460893207185,0.1599526630563003,0.16528158583316097,0.16604602458095433,0.17732149477458703,0.16302062502486525,0.16536447939709137,0.17121784309981677,0.1560345830115409,0.16015607259535217,0.16590283518668572,0.16205525122085396,0.16609308616248908,0.16320743995473597,0.16230078944326418,0.17429058380105175,0.15927041161887376,0.17258552894440288,0.16511455652281024,0.15936613278895156,0.1588814183533293,0.16652422597010239,0.1746233963812025,0.16299713678436578,0.16656393564164418,0.1647725546223849,0.1498692995494362,0.16034876701255965,0.16090100821855272,0.16365529008645333,0.16699096606509536,0.15829885178941114
global AUC,0.9031438545818545,0.8986852286016755,0.8967337288117382,0.89524623212479,0.9026772506553407,0.8957295556311061,0.9021889484297058,0.9046457672620543,0.9021879824095395,0.9002083194162911,0.9002344762700258,0.9036686426460796,0.8932572804760962,0.9016394896966173,0.8977177641873644,0.893244870832421,0.8927470570236098,0.9055869262041436,0.9051044944087503,0.8957499163638428,0.9046530495679236,0.8982000473642704,0.8997094652780702,0.9036323054259765,0.9041168921894331,0.898197223613015,0.9046181242234482,0.9012032782507212,0.8951950330559741,0.895688611237902,0.9026348943865088,0.8947260512336661,0.9046545357527949,0.9016438739419876,0.9050781146272849,0.9002061644482278,0.9070947836238284,0.9006922373965556,0.9046291963007393,0.9046349924217374,0.9001718335777009,0.9007097000687934,0.8966936761294569,0.8918031486395086,0.8986968951529152,0.8971749189769531,0.8972629754305771,0.9031318164843971,0.8986980841008122,0.8962004694937469,0.9032050110893082,0.8991745711567203,0.899172564807144,0.9011953271616598,0.9012059533834895,0.8981613322483732,0.8952549263062871,0.8937786503151173,0.9046526780217057,0.896740416643659,0.9021791396095552,0.897192010102973,0.8981529353038504,0.9036560843839172,0.8996950492848186,0.90214421426508,0.8976881891084256,0.8986641247765033,0.8982209282617121,0.9006425988218545,0.8986657595798616,0.8972508630238761,0.8996758031907354,0.8931995421938466,0.9007090312856012,0.8976641872227542,0.9001762178230712,0.8982203337877636,0.9036509570461112,0.9036891519973035,0.9026146822722592,0.8962039620281943,0.8957331224747972,0.9081464404110984,0.9065922883326727,0.9026354888604573,0.9056039430209198,0.895694927523605,0.894217313966051,0.8967014786000311,0.9011785332726142,0.8972212136356938,0.9007024920721676,0.9020937582886995,0.9036248745016201,0.8981929136768882,0.9006660805428209,0.8996891045453335,0.9007311011309399,0.8972286445600504
global NDCG,0.3018929275281111,0.29954566422022616,0.29857617341457626,0.295376943285178,0.30179083226785464,0.29934181755208655,0.3013763595984452,0.3009108967271399,0.29929213471585603,0.2989290357275123,0.2999303784242427,0.30126615590867123,0.2965491350039015,0.2997161862404064,0.29759953965847175,0.29763965626478833,0.2970657924717089,0.30087702515541187,0.3007063852593949,0.2968406595894427,0.3021010742683658,0.29825389834813876,0.2989807983195652,0.30082820269951677,0.2996063157053895,0.2999660032356873,0.30111802167122226,0.29825968652846613,0.29675823309696175,0.2979038361601456,0.30141440598765296,0.296603943277524,0.3027079980371646,0.30102431928974266,0.29893808762293916,0.3005309686713697,0.3014023593562978,0.3009301539174352,0.30141560923822724,0.2988605255016891,0.3006133230308921,0.3009308146778857,0.2966136748768332,0.2948654924625283,0.2992643488014756,0.29733876145436233,0.2977017486581659,0.2977498481500423,0.29886186846830853,0.2979830426617327,0.3042578841581184,0.2999147110922444,0.29815928875918574,0.2972873008792255,0.3000511297870587,0.2994574201379848,0.2954256071647875,0.296168875416288,0.3016716137680594,0.2967938532826007,0.299024801203354,0.2964410514558119,0.2992469534738095,0.29983185112750366,0.29864582263811484,0.2991856200082921,0.29646614199282345,0.29751754893422616,0.29961836835675654,0.30038215571983934,0.29814111364082707,0.29793331668663453,0.29837834587778095,0.2967389066423365,0.3016854162011309,0.2965838345886983,0.30042107544842706,0.29612941132165216,0.29845491457663176,0.30237929981290484,0.30180895938951696,0.2987858019074201,0.2971992057125264,0.30242914459773934,0.3011860422117707,0.3006682332147748,0.3044395024230654,0.2966925136337515,0.2961090528597872,0.30193907827174615,0.2969826018745326,0.29681795244594955,0.3015373266273662,0.3016292734072226,0.29919015375019486,0.3031263184003728,0.2988127636865578,0.30520310387615657,0.30001145203662266,0.296611049757185
