,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,8.893172423619369e-05,9.614288147561844e-05,7.883733860968989e-05,0.00011218076659643386,8.946314515598954e-05,7.487323125570221e-05,0.00010108077321606019,7.065845857588443e-05,9.668659481642196e-05,8.222784998125945e-05,8.042152173416882e-05,0.00010721927569685345,9.331916530911863e-05,8.355222687778665e-05,8.910169108935032e-05,7.047202446685507e-05,0.00010112645338872045,7.361197362084058e-05,6.7196711754337e-05,8.811879547978846e-05,0.0001135226446663502,0.00010745520870022375,9.355494876557318e-05,7.861552823524961e-05,8.406210895378837e-05,8.963682830116532e-05,9.0306041966102e-05,8.134265746594544e-05,8.776441581210082e-05,7.556627726680355e-05,6.852127470596463e-05,6.516804913191059e-05,0.00011544979272851824,0.00011410788259916358,6.896551320332859e-05,8.923695944667866e-05,8.812045242586196e-05,0.00011138145781153362,9.487180085478968e-05,0.00010404392343139684,8.286452948890187e-05,6.510000132752363e-05,7.845732282068518e-05,8.288065254067063e-05,0.00011393315678778947,9.843346515468511e-05,9.62154507013574e-05,9.306692855491259e-05,7.280148540474896e-05,9.042229232498881e-05,9.967420123297219e-05,9.890821078429727e-05,8.759816345307089e-05,0.00010343568795247866,6.876095031235286e-05,8.750876437012774e-05,9.909440110070689e-05,8.457525827050682e-05,7.822998430782635e-05,7.484419573717963e-05,8.64254713108271e-05,9.114808232428753e-05,9.211372006886328e-05,7.628346058068148e-05,8.788780923062947e-05,9.473639328824593e-05,8.340367022618434e-05,8.844137653148967e-05,8.590441195561094e-05,8.34231143303056e-05,8.561413292422783e-05,9.509553735365003e-05,6.64633269081798e-05,8.673156789175602e-05,7.697768010097284e-05,0.0001362707798797088,9.13354043866239e-05,7.600239543956084e-05,6.614557247730255e-05,8.342555481107587e-05,9.881066351366695e-05,9.46722349610697e-05,9.974235524415992e-05,7.866263461691528e-05,0.00010618008971096434,8.444134881286614e-05,9.395743909664198e-05,8.298825388859733e-05,7.300234252643979e-05,8.478456593099398e-05,9.79119815110527e-05,8.518368746079487e-05,8.128994576924793e-05,7.604468879731773e-05,8.003376960530251e-05,8.96302104459883e-05,0.0001001622999599279,7.328129472420606e-05,9.386657358204769e-05,7.413553734148447e-05
HR@10,0.0049504950495049506,0.0,0.009900990099009901,0.009900990099009901,0.0049504950495049506,0.009900990099009901,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.009900990099009901,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.009900990099009901,0.009900990099009901,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.009900990099009901,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506
HR@2,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0049504950495049506,0.0,0.009900990099009901,0.009900990099009901,0.0049504950495049506,0.009900990099009901,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.7193695539044933,0.7952300679822955,0.7430867608343156,0.7303391803704825,0.7840049845884621,0.759580899676924,0.7517670981921579,0.7200962055810979,0.7567831451455752,0.7570165976344672,0.6883615086306323,0.7377043556671784,0.778587790469037,0.7864431967967049,0.7530250959942476,0.7734337380875651,0.7558732434583302,0.7405010970904427,0.7408847886560768,0.7293100391011875,0.7171279781918354,0.7029524621472747,0.7449218562236383,0.7206193805199294,0.7727495901934753,0.7164726493927308,0.7408378830746393,0.7821427964586589,0.764886701999224,0.7962689435108684,0.7438495223435481,0.7504259519236477,0.7085404226958598,0.7880535937171169,0.7209281129157723,0.6982257370549547,0.7955595015334708,0.7790070404978625,0.7236445034823038,0.7411464432575752,0.7628263596280992,0.6976008751290397,0.7580182303800607,0.7273414153581974,0.7782874659463975,0.7742533194066366,0.8132424102367449,0.6928216237678974,0.7929759615190315,0.7358274732692117,0.7361784552683439,0.7704720780391711,0.7642908932949302,0.7428929897687641,0.7606087665774695,0.7510103742553417,0.7481090136694721,0.7621628951678681,0.7875692909526053,0.7420206563344975,0.7530252693898161,0.772552695393467,0.7587785493620501,0.7403361782233191,0.7545224504941983,0.6753064966499823,0.7261259393268599,0.7032882986572292,0.768769524478341,0.6831543348259715,0.7628798138551949,0.8026249079355791,0.716490086723552,0.7329074260886839,0.726203954741197,0.76212654765733,0.8106449879456079,0.7574348130006362,0.7857551913411391,0.7545399543584707,0.7646556959218185,0.7031208070625793,0.8086319551959628,0.7078100211271867,0.7804799329080232,0.742989278684092,0.8213781538252386,0.7777356550053234,0.7454745593678032,0.7264843642129127,0.7678444179245002,0.7790313693632732,0.7608320927374992,0.7682440036049788,0.6859406903220333,0.7849690402233829,0.8052064045424833,0.7201052915476273,0.7600172368538827,0.6676217374953761
NDCGk,0.16852652324496267,0.17341277932956817,0.16195941063766447,0.16480984982310679,0.1588149446842435,0.15358200508011516,0.17256225325867128,0.15602692558618922,0.17875100302442154,0.16885134948701688,0.16883755894763372,0.16302329017889283,0.1602795233842176,0.16297694153626435,0.15436263410397882,0.1707150836221717,0.1563300212397866,0.17506082918250201,0.16656136174860828,0.1573110847083184,0.15652878900039993,0.16652761628297463,0.16801399093756778,0.16616333840732472,0.15801674903271012,0.17122927048875708,0.15788000247410258,0.1584973997909737,0.16180623525903126,0.16006591836931616,0.1581145229715041,0.1690509378512852,0.15987050521434376,0.16184520899161348,0.16096636801007272,0.16317617164192671,0.16466920837844654,0.15494432761638854,0.16573223623026884,0.15949208746983148,0.158993118360267,0.16465161334134423,0.16832468603152984,0.1568066549234537,0.16712274598422994,0.16755518499685226,0.1703624889499456,0.16524335050716452,0.17124594210561492,0.15882356562104105,0.1692340023204533,0.16105567589867378,0.16108687554076692,0.167435707724673,0.16706289633132052,0.1656011828800223,0.1629544536910617,0.1628616818172399,0.16359251676343442,0.16016040968554823,0.16314459299843967,0.16724683200941715,0.161665529868883,0.16581150260252392,0.1564532916000217,0.1596286967132537,0.1598908166973638,0.15799978836863277,0.16565460893207185,0.1599526630563003,0.16528158583316097,0.16604602458095433,0.17732149477458703,0.16302062502486525,0.16536447939709137,0.17121784309981677,0.1560345830115409,0.16015607259535217,0.16590283518668572,0.16205525122085396,0.16609308616248908,0.16320743995473597,0.16230078944326418,0.17429058380105175,0.15927041161887376,0.17258552894440288,0.16511455652281024,0.15936613278895156,0.1588814183533293,0.16652422597010239,0.1746233963812025,0.16299713678436578,0.16656393564164418,0.1647725546223849,0.1498692995494362,0.16034876701255965,0.16090100821855272,0.16365529008645333,0.16699096606509536,0.15829885178941114
global AUC,0.9545974244639844,0.9696431377890052,0.9552724849478093,0.9532064665204529,0.9626521874276653,0.9634675216912876,0.9564294062966016,0.9523419719099346,0.9525565873056404,0.962762268846788,0.9475675971250287,0.95710662321996,0.960467955501294,0.9644025063445453,0.9552454900918129,0.9651297061666245,0.9575546410067618,0.9581541311970866,0.9633000338064386,0.9527626387449591,0.953376495634285,0.9572447780827131,0.9585933245772814,0.9480636392837555,0.9591246224255368,0.9530712332617215,0.9518324275409314,0.9638657574350467,0.9635626397302555,0.9640811541814124,0.9580318211251198,0.9575989249015158,0.9531262736034152,0.9628442488643465,0.9475490963305863,0.949193084605806,0.9644568558309944,0.9571509365441174,0.9532129895477147,0.9534583101114495,0.9551877753530861,0.9501024377201795,0.956479949089722,0.9585673825581914,0.9579328412126917,0.9651364675720538,0.9639989777225861,0.9432240246616753,0.9649695329599886,0.9520093372492765,0.9503178182803734,0.9584630744522793,0.9537160145681315,0.9631050588588215,0.9578681391978645,0.953187291056938,0.9534367744097824,0.9584374627782425,0.9623137743036512,0.9531091464263762,0.9617056399618149,0.9596580759775906,0.9615242040112283,0.9556227014697889,0.9538838894496352,0.9447942334225915,0.9533725881452495,0.9485976490515335,0.9583953551878692,0.9462339522088679,0.9585110804308273,0.9642890037572784,0.9502122380884999,0.9590157740984163,0.9561287371181726,0.9555067930287947,0.9678212347913148,0.9598214150522965,0.9539772623249819,0.9486002248600653,0.9607739138792478,0.9539832622445985,0.966952328713228,0.9520818056836589,0.9622128005491434,0.9540149400544096,0.9690994258826641,0.9515661819356502,0.9605107671901435,0.9568302421281503,0.9640790426217192,0.964409122810163,0.9609544308967135,0.9620385049075546,0.9531737814893109,0.9582169879883214,0.9635074044187644,0.9540333422603504,0.9603450649343453,0.9438205873620977
global NDCG,0.4192271732035351,0.403882081869404,0.41651658016251125,0.4031774091207701,0.3954242322630564,0.4282396623962581,0.39315247702945566,0.3789417050596545,0.3931086257667497,0.41363763174848844,0.37183549273507677,0.39280119970747995,0.38132022403560173,0.4363102495962902,0.4003347966329135,0.397935651303262,0.3937809879093823,0.40633532393913074,0.40455541046443144,0.38060529896204015,0.410840467793726,0.40991991421189655,0.397669763349787,0.4074454478806248,0.3929071011787,0.39220402102319746,0.41783525654996057,0.40127308948852286,0.40195283827168204,0.4014706406052737,0.38532894802437645,0.3852717063615135,0.394121448196861,0.41489091285133195,0.4187928549131648,0.3967539753375405,0.3889228507538504,0.38693384073365306,0.3825223097993461,0.37347249086132217,0.39892204576244533,0.38402295411956366,0.3931600111181013,0.391841050842664,0.3796797885610498,0.39476217473480935,0.39383797798225667,0.3788450748500581,0.39486421210355077,0.38261919736902894,0.393083634828899,0.4176578189114436,0.380410565878655,0.41557994620555117,0.41852122555867394,0.3988678302646478,0.3853820086196979,0.38192993506867284,0.3971668535348173,0.39061327198363766,0.4045979170114288,0.38422808512977846,0.39732308588050624,0.3826236592992348,0.3928057678995533,0.39374669952340113,0.38649740233037183,0.3817048608971563,0.3927023566122534,0.36908963959951757,0.38954521206721165,0.4210370929651022,0.37488837791633717,0.38834523374793434,0.38272381927475746,0.3865730595405228,0.4427473109752614,0.4003921742583586,0.386192774137522,0.40738187341939436,0.38870943424260523,0.3929779865022926,0.39654574912515544,0.39028930323274447,0.3965487949718197,0.379905075606886,0.4167167801679468,0.392345941600156,0.39838342148023886,0.40507200172147395,0.3863069081229124,0.39503886561423407,0.40246707592931674,0.38854906386733296,0.3760926994054305,0.38484058468725174,0.3995326284780057,0.3883927508181712,0.38854430474684737,0.3797020670971247
