,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,8.893172423619369e-05,9.614288147561844e-05,7.883733860968989e-05,0.0001121807665964,8.946314515598954e-05,7.487323125570221e-05,0.000101080773216,7.065845857588443e-05,9.668659481642196e-05,8.222784998125945e-05,8.042152173416882e-05,0.0001072192756968,9.331916530911864e-05,8.355222687778665e-05,8.910169108935032e-05,7.047202446685507e-05,0.0001011264533887,7.361197362084058e-05,6.7196711754337e-05,8.811879547978846e-05,0.0001135226446663,0.0001074552087002,9.355494876557318e-05,7.861552823524961e-05,8.406210895378837e-05,8.963682830116532e-05,9.0306041966102e-05,8.134265746594544e-05,8.776441581210082e-05,7.556627726680355e-05,6.852127470596463e-05,6.516804913191059e-05,0.0001154497927285,0.0001141078825991,6.896551320332859e-05,8.923695944667866e-05,8.812045242586196e-05,0.0001113814578115,9.487180085478968e-05,0.0001040439234313,8.286452948890187e-05,6.510000132752363e-05,7.845732282068518e-05,8.288065254067063e-05,0.0001139331567877,9.843346515468513e-05,9.62154507013574e-05,9.30669285549126e-05,7.280148540474896e-05,9.04222923249888e-05,9.96742012329722e-05,9.890821078429728e-05,8.759816345307089e-05,0.0001034356879524,6.876095031235286e-05,8.750876437012774e-05,9.909440110070689e-05,8.457525827050682e-05,7.822998430782635e-05,7.484419573717963e-05,8.64254713108271e-05,9.114808232428753e-05,9.211372006886328e-05,7.628346058068148e-05,8.788780923062947e-05,9.473639328824592e-05,8.340367022618434e-05,8.844137653148967e-05,8.590441195561094e-05,8.34231143303056e-05,8.561413292422783e-05,9.509553735365004e-05,6.64633269081798e-05,8.673156789175602e-05,7.697768010097284e-05,0.0001362707798797088,9.13354043866239e-05,7.600239543956084e-05,6.614557247730255e-05,8.342555481107587e-05,9.881066351366695e-05,9.46722349610697e-05,9.974235524415992e-05,7.866263461691528e-05,0.00010618008971096434,8.444134881286614e-05,9.395743909664198e-05,8.298825388859733e-05,7.300234252643979e-05,8.478456593099398e-05,9.79119815110527e-05,8.518368746079487e-05,8.128994576924793e-05,7.604468879731773e-05,8.003376960530251e-05,8.96302104459883e-05,0.0001001622999599279,7.328129472420606e-05,9.386657358204769e-05,7.413553734148447e-05
HR@10,0.0148514851485148,0.0247524752475247,0.0198019801980198,0.0297029702970297,0.0099009900990099,0.0148514851485148,0.0049504950495049,0.0099009900990099,0.0049504950495049,0.0,0.0198019801980198,0.0148514851485148,0.0148514851485148,0.0099009900990099,0.0,0.0148514851485148,0.0099009900990099,0.0,0.0099009900990099,0.0198019801980198,0.0148514851485148,0.0247524752475247,0.0198019801980198,0.0198019801980198,0.0049504950495049,0.0049504950495049,0.0148514851485148,0.0198019801980198,0.0247524752475247,0.0148514851485148,0.0099009900990099,0.0049504950495049,0.0,0.0198019801980198,0.0099009900990099,0.0049504950495049,0.0148514851485148,0.0297029702970297,0.0247524752475247,0.0198019801980198,0.0148514851485148,0.0049504950495049,0.0198019801980198,0.0099009900990099,0.0148514851485148,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0049504950495049,0.0198019801980198,0.0148514851485148,0.0148514851485148,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0148514851485148,0.0049504950495049,0.0247524752475247,0.0049504950495049,0.0198019801980198,0.0049504950495049,0.0099009900990099,0.0297029702970297,0.0148514851485148,0.0198019801980198,0.0148514851485148,0.0099009900990099,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0148514851485148,0.0148514851485148,0.01485148514851485,0.024752475247524754,0.0198019801980198,0.0,0.01485148514851485,0.0198019801980198,0.009900990099009901,0.024752475247524754,0.0099009900990099,0.009900990099009901,0.024752475247524754,0.0099009900990099,0.0049504950495049506,0.01485148514851485,0.0198019801980198,0.01485148514851485,0.009900990099009901,0.0198019801980198,0.009900990099009901,0.01485148514851485,0.0099009900990099,0.01485148514851485,0.009900990099009901,0.0148514851485148,0.01485148514851485,0.009900990099009901
HR@2,0.0099009900990099,0.0099009900990099,0.0049504950495049,0.0099009900990099,0.0049504950495049,0.0049504950495049,0.0049504950495049,0.0049504950495049,0.0,0.0,0.0099009900990099,0.0049504950495049,0.0099009900990099,0.0,0.0,0.0099009900990099,0.0049504950495049,0.0,0.0,0.0049504950495049,0.0099009900990099,0.0,0.0099009900990099,0.0049504950495049,0.0,0.0,0.0,0.0099009900990099,0.0049504950495049,0.0099009900990099,0.0099009900990099,0.0049504950495049,0.0,0.0099009900990099,0.0049504950495049,0.0,0.0,0.0099009900990099,0.0099009900990099,0.0,0.0049504950495049,0.0,0.0099009900990099,0.0049504950495049,0.0,0.0099009900990099,0.0049504950495049,0.0049504950495049,0.0049504950495049,0.0099009900990099,0.0,0.0049504950495049,0.0049504950495049,0.0,0.0049504950495049,0.0049504950495049,0.0049504950495049,0.0049504950495049,0.0,0.0099009900990099,0.0,0.0099009900990099,0.0,0.0,0.0099009900990099,0.0099009900990099,0.0,0.0099009900990099,0.0,0.0049504950495049,0.0049504950495049,0.0049504950495049,0.0099009900990099,0.0099009900990099,0.0049504950495049506,0.009900990099009901,0.0,0.0,0.0049504950495049506,0.0049504950495049,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0049504950495049,0.0049504950495049506,0.0,0.0099009900990099,0.0049504950495049506,0.0,0.0099009900990099,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0099009900990099,0.0049504950495049506,0.0049504950495049506
HR@5,0.0099009900990099,0.0198019801980198,0.0198019801980198,0.0247524752475247,0.0049504950495049,0.0049504950495049,0.0049504950495049,0.0099009900990099,0.0049504950495049,0.0,0.0148514851485148,0.0148514851485148,0.0148514851485148,0.0049504950495049,0.0,0.0099009900990099,0.0049504950495049,0.0,0.0099009900990099,0.0148514851485148,0.0148514851485148,0.0049504950495049,0.0099009900990099,0.0099009900990099,0.0,0.0,0.0049504950495049,0.0148514851485148,0.0198019801980198,0.0148514851485148,0.0099009900990099,0.0049504950495049,0.0,0.0099009900990099,0.0049504950495049,0.0049504950495049,0.0049504950495049,0.0099009900990099,0.0148514851485148,0.0099009900990099,0.0099009900990099,0.0,0.0148514851485148,0.0099009900990099,0.0,0.0148514851485148,0.0049504950495049,0.0099009900990099,0.0049504950495049,0.0099009900990099,0.0148514851485148,0.0049504950495049,0.0049504950495049,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0049504950495049,0.0099009900990099,0.0049504950495049,0.0148514851485148,0.0,0.0148514851485148,0.0,0.0049504950495049,0.0247524752475247,0.0148514851485148,0.0099009900990099,0.0148514851485148,0.0049504950495049,0.0049504950495049,0.0049504950495049,0.0049504950495049,0.0148514851485148,0.0099009900990099,0.009900990099009901,0.019801980198019802,0.0,0.0,0.0049504950495049506,0.0099009900990099,0.0049504950495049506,0.009900990099009901,0.0,0.009900990099009901,0.0049504950495049506,0.0099009900990099,0.0049504950495049506,0.009900990099009901,0.0148514851485148,0.009900990099009901,0.0049504950495049506,0.0198019801980198,0.0049504950495049506,0.0049504950495049506,0.0099009900990099,0.009900990099009901,0.009900990099009901,0.0099009900990099,0.01485148514851485,0.0049504950495049506
Lin's AUC,0.9479429419090256,0.9558778034985688,0.939937622644358,0.943360958812382,0.9358904396336044,0.9369044584909292,0.941849435022053,0.9404243878299564,0.9520806067162724,0.9339008948415212,0.9376945532975866,0.955533173153878,0.9475671764851592,0.9408653799734658,0.9548487017027434,0.9406133944713618,0.957952850522648,0.9394728258112272,0.9224118926524802,0.9308637824654672,0.941809878364166,0.9542064168684165,0.942718714417572,0.9277188443493976,0.9248380525160644,0.9560190123472476,0.9360165090862552,0.9557182392318796,0.9551883411641487,0.9233441240957124,0.9485979908262268,0.9309411984489449,0.9479541184979876,0.94008339563012,0.9353759612408042,0.9395613943424416,0.9504833304364928,0.9463515974591116,0.9633025173496076,0.9551084078610548,0.9433872461202596,0.9305075973155842,0.9207271040865792,0.927050354767633,0.9378256090105,0.946958849320056,0.9301657075109072,0.9250620232107752,0.940130998877328,0.9272547828167668,0.9557911262142526,0.9582395172102244,0.9493063481923734,0.9320277707090592,0.9470289378326996,0.937867856087642,0.9454031112384086,0.9435311887262112,0.9397809157899908,0.9321815072577732,0.9438635187715642,0.937259669364708,0.9383656100380822,0.9328198648740292,0.9420483582379064,0.9374961416548014,0.943798987991539,0.9257770996365972,0.9307706318152992,0.930786730920996,0.941343229539644,0.9391732562026612,0.9270907408874922,0.9372449118702764,0.929041961023993,0.956667260918453,0.9477101336130324,0.9291224006632501,0.9297529924649005,0.9355310875283364,0.9405584748166734,0.9411711172345163,0.9456539923592876,0.9375693939124323,0.942832269317859,0.939544174893087,0.9503837665583209,0.9497017551672743,0.9439234401771016,0.914955096658461,0.9334482374642791,0.9489210303953386,0.9534815242992575,0.9254550394494739,0.9126796407202992,0.9405029183628172,0.9462997696263264,0.937297045337708,0.9618804812930741,0.9305674859806313
NDCGk,0.1685265232449626,0.1734127793295681,0.1619594106376644,0.1648098498231067,0.1588149446842435,0.1535820050801151,0.1725622532586712,0.1560269255861892,0.1787510030244215,0.1688513494870168,0.1688375589476337,0.1630232901788928,0.1602795233842176,0.1629769415362643,0.1543626341039788,0.1707150836221717,0.1563300212397866,0.175060829182502,0.1665613617486082,0.1573110847083184,0.1565287890003999,0.1665276162829746,0.1680139909375677,0.1661633384073247,0.1580167490327101,0.171229270488757,0.1578800024741025,0.1584973997909737,0.1618062352590312,0.1600659183693161,0.1581145229715041,0.1690509378512852,0.1598705052143437,0.1618452089916134,0.1609663680100727,0.1631761716419267,0.1646692083784465,0.1549443276163885,0.1657322362302688,0.1594920874698314,0.158993118360267,0.1646516133413442,0.1683246860315298,0.1568066549234537,0.1671227459842299,0.1675551849968522,0.1703624889499456,0.1652433505071645,0.1712459421056149,0.158823565621041,0.1692340023204533,0.1610556758986737,0.1610868755407669,0.167435707724673,0.1670628963313205,0.1656011828800223,0.1629544536910617,0.1628616818172399,0.1635925167634344,0.1601604096855482,0.1631445929984396,0.1672468320094171,0.161665529868883,0.1658115026025239,0.1564532916000217,0.1596286967132537,0.1598908166973638,0.1579997883686327,0.1656546089320718,0.1599526630563003,0.1652815858331609,0.1660460245809543,0.177321494774587,0.1630206250248652,0.16536447939709137,0.17121784309981677,0.1560345830115409,0.16015607259535217,0.16590283518668572,0.1620552512208539,0.16609308616248908,0.16320743995473597,0.1623007894432641,0.17429058380105175,0.15927041161887376,0.1725855289444028,0.16511455652281024,0.15936613278895156,0.1588814183533293,0.16652422597010239,0.1746233963812025,0.1629971367843657,0.16656393564164418,0.1647725546223849,0.1498692995494362,0.16034876701255965,0.16090100821855272,0.1636552900864533,0.16699096606509536,0.15829885178941114
global AUC,0.991354877686264,0.991631020767774,0.9915186313476902,0.990559514583651,0.9892934756286976,0.9878353057100968,0.990129240887757,0.9900213045042744,0.9889738612718348,0.9896842359361272,0.9885410099280711,0.9931192274390788,0.9919968216303195,0.991261046815827,0.9926645177738131,0.988820686009458,0.9934922929498518,0.9905026257075568,0.9888784195094296,0.9881543458257256,0.9886374923877536,0.9938041261724578,0.9913045272878684,0.9890803199313998,0.9866015809758024,0.9924729003532556,0.990382186977778,0.9926960495402098,0.9941212864849444,0.9878498603894118,0.9907168095946352,0.9896866233964776,0.9896955585312148,0.990390955100651,0.990383539258864,0.9900458975530864,0.9914468736333996,0.9920622858666948,0.9937991798254824,0.9908126435038408,0.9916636763695126,0.9901362458214996,0.9889438962533011,0.9905069624980142,0.9899150077064276,0.9916677648493788,0.9877758071816566,0.9870046173909898,0.9902714036673844,0.9883427833992467,0.9926570474876298,0.9919697215642062,0.9907072623283074,0.9871032702691728,0.9903379623096984,0.9904931122850428,0.9912787695704172,0.9901289348219616,0.9889397180137548,0.9873673910715292,0.990846273954567,0.9897264674978624,0.9898276152537178,0.9880966748632362,0.9892786770532018,0.99123168252499,0.9895843076611748,0.9888557743192544,0.9878204460685892,0.9887911234380156,0.9905746920627154,0.9892034290116688,0.9890500598830972,0.9887623631856834,0.9902610735789266,0.9924206282148185,0.9921508852928114,0.9861838868783882,0.9869538277587487,0.9902535841636309,0.9892170640221278,0.990306025889005,0.990167759930254,0.9917921971491979,0.9909227087367916,0.9894296252454772,0.9905497752904662,0.9920657224852759,0.9900265164516148,0.9883490312615869,0.9899691736269731,0.991885277937716,0.9917644511076797,0.9865229411955287,0.9872907760342088,0.9896310654651516,0.9917269988810559,0.9899122472283894,0.9929030419847023,0.989889098427549
global NDCG,0.5805976082993263,0.6286519689552663,0.5789787794167319,0.6289857127312514,0.5662491548049099,0.53412605080837,0.5520066592183909,0.5420273682229663,0.5365908596316165,0.5268209776746148,0.587103748218127,0.5936881796991643,0.6047051548527024,0.5329786207173878,0.5431983929842151,0.5691617387251894,0.5724268089796316,0.5222117973778123,0.531876974818473,0.5757139899166259,0.5977658326356885,0.575835902509598,0.6051918048736584,0.5561798912676381,0.5366786175082964,0.5421663872042236,0.5421354472976793,0.5908513814850418,0.6087012983791961,0.5832374976351984,0.555633979805497,0.5299237396388009,0.540664616863169,0.6043429169867796,0.5329537565036655,0.5305275135726494,0.5393938430450487,0.610011279267697,0.6050984301885886,0.5785582350301732,0.57383610474267,0.5286779725951893,0.584650772515038,0.5744691947928263,0.5579480029391567,0.6011041234782708,0.5779152326117984,0.5606743246797617,0.5305865511276862,0.5962636909693038,0.5608711304901388,0.5785249704693893,0.5439644803665471,0.5723065202928758,0.5419347864944571,0.5678780134383618,0.5660578800287639,0.5701153601991296,0.5454980202791085,0.5825350684454288,0.5466559378670006,0.6015914313379044,0.5303286590051295,0.5346480654730303,0.6322593263104599,0.5994458585454983,0.5705786431227323,0.5889574333999119,0.5352510121420505,0.5517702020668503,0.5743649477160694,0.5602417172369052,0.5743382596844337,0.5741313781816648,0.5662602071178839,0.642746368173871,0.5563376477917626,0.5185982908500234,0.5257426717505624,0.5640818044995047,0.5699579846980897,0.5813108751363738,0.5382248423434688,0.5689003877853566,0.5714750085033704,0.5621889936189097,0.5676114343204294,0.535306867484532,0.5874531490688786,0.5461326270428956,0.5581891905676608,0.6037434644538601,0.5690549457948628,0.5439026917871638,0.5403762226793235,0.5525883195308703,0.5619248304988623,0.5675679853049366,0.568901355892095,0.5556638956772286
