,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.5346534653465347,0.5643564356435643,0.5247524752475248,0.5792079207920792,0.5792079207920792,0.5099009900990099,0.5346534653465347,0.49504950495049505,0.5,0.5594059405940595,0.5346534653465347,0.5445544554455446,0.4900990099009901,0.5247524752475248,0.5346534653465347,0.504950495049505,0.5346534653465347,0.5594059405940595,0.46534653465346537,0.4900990099009901,0.5396039603960396,0.5594059405940595,0.5396039603960396,0.5247524752475248,0.5792079207920792,0.5792079207920792,0.5297029702970297,0.5247524752475248,0.5247524752475248,0.5643564356435643,0.5346534653465347,0.5544554455445545,0.5544554455445545,0.4801980198019802,0.5099009900990099,0.5544554455445545,0.5544554455445545,0.5297029702970297,0.5148514851485149,0.4405940594059406,0.5396039603960396,0.5346534653465347,0.5495049504950495,0.5099009900990099,0.5445544554455446,0.5445544554455446,0.5346534653465347,0.5099009900990099,0.5297029702970297,0.5445544554455446,0.5198019801980198,0.5297029702970297,0.5495049504950495,0.5346534653465347,0.5198019801980198,0.5445544554455446,0.4900990099009901,0.5396039603960396,0.5346534653465347,0.5742574257425742,0.4900990099009901,0.5198019801980198,0.46534653465346537,0.5247524752475248,0.5198019801980198,0.5792079207920792,0.5792079207920792,0.5643564356435643,0.5247524752475248,0.594059405940594,0.5148514851485149,0.4801980198019802,0.5297029702970297,0.48514851485148514,0.5693069306930693,0.599009900990099,0.5396039603960396,0.504950495049505,0.5346534653465347,0.5346534653465347,0.5643564356435643,0.5346534653465347,0.5742574257425742,0.5297029702970297,0.5594059405940595,0.49504950495049505,0.5544554455445545,0.5,0.42574257425742573,0.4306930693069307,0.5148514851485149,0.47029702970297027,0.5544554455445545,0.5346534653465347,0.5643564356435643,0.504950495049505,0.5198019801980198,0.5693069306930693,0.5297029702970297,0.5099009900990099
AUC,0.5077412576855208,0.5319506496883754,0.5071685708502837,0.545811700095737,0.5462216494217272,0.5004180583508494,0.5309682108427178,0.4894180406656658,0.5098203744573827,0.5069407636473455,0.5177526419031094,0.5073289128737937,0.512335927286278,0.5009000563449161,0.5258745436432971,0.4975226285890295,0.5263662070553905,0.525729570452626,0.4748934266038261,0.4767416367208842,0.5303002478975496,0.5265877717799641,0.5126853991155084,0.5038572047794164,0.5316632608999027,0.531867367968003,0.5153103145067307,0.5261153580446165,0.5010452301313857,0.5258405595238502,0.5154769346374273,0.5314582042811304,0.5204744851189899,0.4920822245660304,0.4815215440950568,0.5152680180189839,0.5128675260129185,0.5085217681242026,0.5054146619921719,0.4792129631186121,0.5032217487651629,0.5050580450856813,0.510257784872538,0.49853635281107955,0.5213385014311099,0.5099800833244107,0.5208799988578714,0.5015368779130939,0.5148329314787332,0.515592652684897,0.5021705300766747,0.5207916954045827,0.5247367308935101,0.523185123107934,0.517968605947648,0.5035313083028752,0.5039166051931409,0.5262579500181344,0.5215150124393275,0.5384843413418875,0.5005962959634661,0.4919950369467257,0.4765524101556039,0.5095996054182544,0.5005325405201221,0.5301842451132753,0.5316600257978255,0.5356304942902157,0.5133239221078447,0.5392098105544075,0.4993288219456255,0.48458893631877675,0.509950703397704,0.46028716776787654,0.537315731602243,0.558811052049335,0.5128920978865094,0.4966131563540198,0.519001855099193,0.5115323709080374,0.5314374703025735,0.49217384847004503,0.5401266191200296,0.49303895492204197,0.5168418931035652,0.47470958349690073,0.5245192188090192,0.5034425503861452,0.46699922242552694,0.4619508593650485,0.5044818429549771,0.47982980178241924,0.5232316595715905,0.5013219892891833,0.5225179195171473,0.49085963550724704,0.5104491847729978,0.5355821184306466,0.5205583422244467,0.5053662685308364
Fscore,0.00011040972169456367,0.00011147490165280112,7.983494057336845e-05,0.00011902526769271137,9.436656983001318e-05,7.412361934442868e-05,0.00010138075819118403,7.23242390347928e-05,9.799649675258911e-05,9.89860274071215e-05,8.366706327450575e-05,0.00012421383620706605,8.415400330716415e-05,8.782338490424482e-05,8.840543290328632e-05,7.45349860723142e-05,0.0001010206080361609,8.368690653130832e-05,6.788516224878143e-05,8.866355922553108e-05,0.00012264627165607062,0.00011844637938845678,0.00010106553915625763,8.339035991164804e-05,0.00010178052968185078,0.00010800507886430438,9.755945720606915e-05,7.655101193378377e-05,9.786889125768702e-05,8.590894056996598e-05,7.370113633415515e-05,6.918759986039564e-05,0.00013477400225560612,0.00010602903857838518,8.10007723276067e-05,0.00011122986142152033,0.00010284185971609226,0.00012052899889117302,0.00010167941854294486,8.508293651176776e-05,0.00010120965152447299,7.43473788993126e-05,9.335173527967063e-05,8.13091039312369e-05,0.0001278606210279729,0.00011446269053796618,9.70830779586656e-05,0.00010208080901961168,7.69066743646672e-05,9.741121750593101e-05,9.81629771743171e-05,9.835307856127409e-05,9.842160477760756e-05,0.00010813850896919264,7.17003460837048e-05,0.00010143901075194785,8.696133240718475e-05,8.296296706339365e-05,7.975064708151715e-05,8.431868912214131e-05,7.813842335085515e-05,9.950741194379268e-05,8.190660784389991e-05,7.515199815959392e-05,0.00010385814865481739,0.0001146679992347937,0.0001000788408188303,9.373869037925672e-05,8.564125096187646e-05,9.773709621662313e-05,8.739591473487357e-05,9.276859804567427e-05,7.12743585855657e-05,9.777426199298475e-05,8.833802307877315e-05,0.00016796673219877193,0.00010407085800598458,7.379230438849099e-05,7.057673121977632e-05,9.138084734834264e-05,0.0001111663135454791,0.00010368924377279529,0.00010819325215188758,9.440854726137562e-05,0.00011624341434580321,8.670011873976976e-05,9.949120883538555e-05,7.330433760615827e-05,6.322668686022205e-05,7.558474834871492e-05,0.00010383286649472973,8.371034527069522e-05,8.789098802130475e-05,8.910192153918089e-05,8.850239252850648e-05,0.00010071871633353125,0.00011020682316585298,7.551787915664519e-05,9.568982011305723e-05,7.639800588157758e-05
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5169869551279999,0.5332581654869543,0.5246166132971412,0.5452636057613542,0.5322743994626342,0.49542747859088226,0.4918134544295457,0.5000015731985519,0.49635487243985915,0.5177324973910254,0.522832839523026,0.5133251569251435,0.5099738061796907,0.5198050363949918,0.5164269210567425,0.5149530162448662,0.5441241202882124,0.5114352522843059,0.5004447273008847,0.49021948892122175,0.5223052618661247,0.5552574459883487,0.5196514530861593,0.5116344382646716,0.5273672651636103,0.5407604899469073,0.5073872443532518,0.5119882282897218,0.5382631904012787,0.5013074323271979,0.5239032133496418,0.5159727292864458,0.5327602926523352,0.4893082317127992,0.5136019635327149,0.5411553786166171,0.5195382528189233,0.5080979243681395,0.5199849787361382,0.4725580799747401,0.5091127372462388,0.5195927124137963,0.5223035471235562,0.5200611523385066,0.5216800462304725,0.5203572664911238,0.5150833502829655,0.5094720176344749,0.5128797374049933,0.524743698087284,0.5198813376345472,0.5103543290211979,0.5180149197479086,0.4929899004534313,0.5185095568082907,0.5076886787002467,0.5009439766235136,0.5208336227362776,0.4949087488842242,0.5455667562746884,0.494070467355105,0.5136128502190765,0.4730821586031843,0.5226986271412193,0.5307185930397785,0.5377226099216754,0.5146971304712621,0.5361087277261322,0.5148260965694199,0.5425414017357568,0.531607596685198,0.5087118551264855,0.5232482571085454,0.48348969347463194,0.5189110654352244,0.571894953356217,0.496996359727283,0.5182686162669011,0.5353094329320415,0.5164095308827569,0.5391456458485511,0.5290632816614839,0.5192652858919238,0.5124618333353513,0.5106057311483254,0.5070323232062746,0.5245558234960199,0.5005233536333135,0.4482367005655344,0.4568695306592427,0.5111483666867999,0.4750573741154816,0.5164000294218148,0.5166092793239799,0.5314758937026614,0.5133260232838931,0.4906485903087125,0.5254214094646793,0.5168536219258518,0.5124298097835659
NDCGk,0.16863303870978236,0.168811765734345,0.16040374814670516,0.1687775060421607,0.1643507077225537,0.1792367738552646,0.16874757658612852,0.16513648011799095,0.16413099533175102,0.15783592496683982,0.1676963038886767,0.16479790295262048,0.16972905829605037,0.15681836141833105,0.1647431801019569,0.16600004342874647,0.16509249502888576,0.17674160516614232,0.1649668730585089,0.16430090383160956,0.1648738469067097,0.1696415562457303,0.1636967927063615,0.16454434082033656,0.16546640136732466,0.17426023408267718,0.1879607402582038,0.164113096953238,0.1650844735109443,0.1614864659943338,0.1687955839275317,0.1702660684708659,0.16431650306315315,0.17033004272110142,0.16323154464488726,0.15744223459659695,0.16572424510724001,0.1651842241418229,0.16352947840475823,0.1787973578455054,0.16492174960467687,0.171493357518565,0.18594383001711878,0.16468947524295938,0.15894296198502558,0.16841234610735933,0.15848858562654045,0.16124973570886622,0.16925370446652718,0.16841729405224798,0.16504586975194027,0.1749241042742712,0.1643273134764867,0.16297528959454283,0.1678774752057642,0.1598328617547015,0.15935665503041704,0.17681823209951203,0.1680644527267565,0.16977930860038218,0.16563090327953792,0.17374595609226168,0.15695215001502064,0.16038192403991233,0.16255105336053416,0.17488281846363343,0.1720133264987029,0.17068825508333613,0.15946789359211583,0.17603662671773418,0.16686103610454806,0.15699725333885176,0.15966224511854707,0.15940321688833337,0.16710429367387014,0.16377827184278618,0.17317318497382198,0.16089839462714783,0.15787028993031796,0.16321100778382847,0.17797107478641572,0.17062445434900925,0.18120119209007943,0.16401971486239877,0.17233575579510682,0.15545921032831791,0.16292797922014995,0.16267873173145908,0.15638474460594032,0.15200437907278644,0.16703132190886288,0.1579441665901676,0.16803374086219963,0.16001443933116477,0.15856487268672012,0.16746884305309345,0.16386671788072976,0.17168044728847862,0.1686145205909404,0.16302752593538003
global AUC,0.5314931425119831,0.5604801336827118,0.525671110395728,0.574006583487028,0.5703336651900767,0.5081090771348459,0.5300210337243335,0.4966035915484981,0.5010098074399115,0.5511646187563966,0.5321082082140531,0.5386698291954802,0.49431787526747023,0.5228276899985165,0.5311330987764757,0.5061940337540954,0.5368079147166732,0.5509683408219443,0.47227785074324213,0.49060365059565303,0.5375691798089136,0.556095111376151,0.5349323104151433,0.5232020768895019,0.5708125029195807,0.5720363195094881,0.5259646164573715,0.52376242229464,0.5263835528434765,0.5569545036638562,0.5337874374640996,0.549335574713973,0.5509393756673909,0.4813430524075372,0.510583947963235,0.5514326286544113,0.5501391063153648,0.5256435159156377,0.517680420393377,0.4474949204776172,0.536020562665531,0.533368356138183,0.5446773644058707,0.5108545719280061,0.5415044994953285,0.5408861435859591,0.5341644163497887,0.509639945405043,0.5265206004249271,0.5412674103357225,0.5196456541501423,0.5272419621891085,0.5434252941172368,0.5299220184966215,0.5195644679907401,0.5379942654688574,0.4925949742542603,0.5377980140208682,0.5262954367953105,0.5683150707748164,0.4923090580357517,0.5170490228438946,0.4669402008560902,0.5268555614799233,0.5225775717062938,0.5726869396095311,0.5689447422897898,0.5605606738667095,0.5245063358106407,0.5859126231183873,0.5172433797740403,0.4849688593798037,0.5299795051574722,0.48629816051602387,0.5617083779263594,0.5928939787584865,0.5338323739558737,0.5073204066464317,0.5334262503962707,0.5317574178187074,0.5585219776974623,0.5317684111723445,0.5650511365754779,0.5263596767685046,0.5515175891347984,0.4953095718525344,0.550972824391551,0.49991872555238764,0.431146452809706,0.4395321280782115,0.5136713601866183,0.4732399155977659,0.5482948884725525,0.5335079545131726,0.5572178482656982,0.5060680891508096,0.5175951862195383,0.5601856593936967,0.5283893557685526,0.5116288948465315
global NDCG,0.2832964352141742,0.2874679515787713,0.285053299413164,0.28835043179947195,0.2868409499900644,0.2824758529625661,0.28394922403444955,0.2835445563795385,0.28199266198366263,0.28644360009469977,0.28303857634046303,0.28474799625074,0.2839966984028861,0.2827641345287732,0.28328633506637274,0.28189791302832895,0.2867013136081803,0.28632886788358264,0.2799760598359942,0.2812019272050849,0.28808050328108814,0.28553353636966955,0.2846764663471523,0.283874207756278,0.28728867316811646,0.28884696462526416,0.28427837101239184,0.28353582660669563,0.28536768233441656,0.2850749038257536,0.2864842149303838,0.28568512658597334,0.28681072317438105,0.2797780981028221,0.2821513763949663,0.2878059019777242,0.28840628834718957,0.28214443609415396,0.2838848279643211,0.27827063344783837,0.28279481848810545,0.28392004807644905,0.2833117677561596,0.28410230308683504,0.28399019456767494,0.2847339776168274,0.2871288187632396,0.28188432618159737,0.284846860467442,0.28413681998349194,0.28207880369863547,0.28572816136278756,0.2830386876215427,0.2842818787138456,0.2846080921651133,0.2827120018364257,0.28025268338562725,0.28514997669727654,0.2812234599159915,0.28619769393609906,0.28036046957659,0.2808062318024218,0.2779524932993224,0.2845138430095063,0.2842751560490205,0.2889346802775981,0.285924829530496,0.2889958696171945,0.28232106465151957,0.28905643015117827,0.2836034638950874,0.28315955185793745,0.28504169813753627,0.279767119940095,0.285713743712544,0.28909101595272146,0.2834830647521876,0.2841188353186545,0.2856699867376961,0.283491269060351,0.29027402484538956,0.28646500569560357,0.28646162626401694,0.2821683430648243,0.28366017884248357,0.2818302792622688,0.2868585574742931,0.28331847897579415,0.2765076149848783,0.2764769324414829,0.2823573540030736,0.28082578570703814,0.28516747723088315,0.283951969812292,0.28618666820445815,0.28346673109458365,0.2821411194596908,0.2854749233466166,0.28672566651335285,0.28683417220922713
