,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.5297029702970297,0.495049504950495,0.5495049504950495,0.4356435643564356,0.5198019801980198,0.7128712871287128,0.6039603960396039,0.6188118811881188,0.5346534653465347,0.5544554455445545,0.5346534653465347,0.693069306930693,0.5297029702970297,0.5247524752475248,0.5148514851485149,0.5445544554455446,0.7227722772277227,0.5841584158415841,0.5891089108910891,0.5445544554455446,0.594059405940594,0.5841584158415841,0.6435643564356436,0.5247524752475248,0.5594059405940595,0.5148514851485149,0.5693069306930693,0.5495049504950495,0.5742574257425742,0.5148514851485149,0.5,0.6237623762376238,0.6287128712871287,0.6534653465346535,0.5198019801980198,0.504950495049505,0.6237623762376238,0.5396039603960396,0.6287128712871287,0.5594059405940595,0.5544554455445545,0.6584158415841584,0.6534653465346535,0.4207920792079208,0.6138613861386139,0.6089108910891089,0.594059405940594,0.6039603960396039,0.6237623762376238,0.4504950495049505,0.6138613861386139,0.5693069306930693,0.4851485148514851,0.4653465346534653,0.6089108910891089,0.5,0.4405940594059406,0.5693069306930693,0.5396039603960396,0.5099009900990099,0.5594059405940595,0.504950495049505,0.6534653465346535,0.5643564356435643,0.6089108910891089,0.5792079207920792,0.5198019801980198,0.4752475247524752,0.5247524752475248,0.5297029702970297,0.6336633663366337,0.6237623762376238,0.5297029702970297,0.594059405940594,0.4851485148514851,0.4752475247524752,0.5891089108910891,0.5693069306930693,0.5544554455445545,0.5346534653465347,0.6831683168316832,0.5792079207920792,0.6089108910891089,0.504950495049505,0.6386138613861386,0.504950495049505,0.5198019801980198,0.5891089108910891,0.5841584158415841,0.5643564356435643,0.594059405940594,0.5841584158415841,0.6782178217821783,0.5396039603960396,0.594059405940594,0.5346534653465347,0.5346534653465347,0.6089108910891089,0.5792079207920792,0.5346534653465347
AUC,0.5355402011006092,0.5029586074661893,0.552055885213607,0.4847718211227483,0.522086407309945,0.5976923974671179,0.5368305657880572,0.5559612572485285,0.5184404673073929,0.5304640308043671,0.5189459672107591,0.5706623978104097,0.5231862612384601,0.5303949748735551,0.5137392816910764,0.5280274814492278,0.5880825135211679,0.5467427114202976,0.5757178985112162,0.5298885501676721,0.5159290917592388,0.5243802828184568,0.551405283678584,0.5156551661160503,0.5230408323646015,0.4890201725184773,0.5243759725532385,0.5221868513074875,0.5478902175042841,0.5186426589632727,0.4933500609630119,0.5362630582248702,0.5738168414603693,0.5840653975361657,0.5063059289223598,0.5155605931301561,0.5553460604525791,0.5448361817815175,0.5445213196587717,0.5549223281559683,0.5265358832361675,0.5669454052157067,0.5623270783652221,0.4730933604781942,0.5562730797330637,0.5502081263393169,0.555064231648713,0.5552702859914995,0.5696499291766856,0.5136337242759776,0.5561228923220535,0.569202018968246,0.4879284195487857,0.4727356710276685,0.557221676856821,0.5183956921882407,0.4545025865778563,0.5324590618574556,0.5103171603154233,0.5193497230375593,0.5346513042446022,0.5271229240595645,0.5635925153807191,0.5349963934243063,0.5392010388144288,0.5508394371787928,0.5080220270038632,0.4860500967922541,0.5011806121923278,0.5098047952953332,0.540961654271014,0.5667858492808777,0.5009861564970859,0.5146963824913132,0.5217909062113965,0.4761993372297853,0.5200877794572291,0.5503132394663488,0.5248122222025057,0.5443885840474884,0.5875506134104412,0.5479976752066336,0.5312607837171498,0.5355052041313185,0.5650636463406535,0.504584409823112,0.4953404287088491,0.555913149255715,0.5380514174688296,0.5139753035522906,0.5390892834168661,0.5238172352416305,0.5491239641883334,0.5279675418139667,0.5397980509823194,0.5085161411287825,0.48435859816747345,0.550492561201369,0.5147399228388994,0.5357415499260857
Fscore,7.799081212897754e-05,0.0001281442903935,7.689196269516747e-05,9.972548137433878e-05,8.251840972481309e-05,0.0001077603997245,0.000109675094073,7.595022690155618e-05,0.0001186766665859,9.758448505967426e-05,8.869295570954146e-05,0.000165009770136,9.745570863992408e-05,7.295297620911916e-05,8.425360015336171e-05,7.02049875683453e-05,0.0001471496286398,8.564497024146495e-05,7.576994394163468e-05,0.0001138230960147,0.0001439392500912,0.000131367778507,0.0001214322757325,8.430730052446334e-05,9.94889924351541e-05,8.342756338600571e-05,9.526018635710594e-05,8.591079564806411e-05,8.99646045909327e-05,9.145584387401488e-05,7.441273287730481e-05,8.188118588026e-05,0.0001448787206479,0.0001407358428813,7.952082459494552e-05,0.0001012117937816,9.949974506384984e-05,9.566218778766772e-05,0.0001029905653073,0.0001012560372839,9.191106268170735e-05,7.92069258090191e-05,8.52966669176995e-05,7.437057621944363e-05,0.0001080265609703,0.0001316897527067,9.880270334984663e-05,0.0001028191979959,9.173403454182018e-05,9.401233031779132e-05,0.0001399802837952,0.0001035748825512,9.090532404960042e-05,0.0001037225512882,8.632090848010695e-05,7.287055516640478e-05,8.158959080025802e-05,9.146141656930322e-05,9.263858326376112e-05,6.920778493386528e-05,0.0001047866990839,9.490215105537716e-05,0.0001145340632502,8.299181989027726e-05,0.0001143380555529,0.0001055560428972,8.904988038856956e-05,9.390421968723965e-05,8.777274233599226e-05,8.588943382555845e-05,0.0001229835319666,0.0001285884920588,7.09882007885103e-05,0.0001096524736594,7.229867000520007e-05,0.0001461803413534,0.0001001507941891,8.280256706039747e-05,7.575097897803937e-05,0.0001098531580082,0.0001157119017952,0.0001075792232721,0.0001277193016729,6.78885804613694e-05,0.0001488707023544,7.211802290170186e-05,9.404487131446656e-05,8.87129788900624e-05,8.445781802971394e-05,0.0001026237332856,0.0001294407898726,0.0001106829513062,0.0001007778165345,7.768851660436087e-05,8.382362000312377e-05,8.831891168837536e-05,0.00013155043828955233,8.106060887794404e-05,0.00011343095901970884,7.999345571471633e-05
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5041736697570205,0.5151889840009705,0.5262572941029142,0.4911811793504081,0.507442034398993,0.6057446923031807,0.5427857485855805,0.5646322211729744,0.4966466184878768,0.5704094674106914,0.5358044350364961,0.6257524580638524,0.5254672465342513,0.5399793096375429,0.514462289594173,0.5386631952997271,0.6508211951131906,0.5395895466122621,0.5416769752337717,0.5468210971423947,0.5766837115690122,0.5241569386943651,0.543737943924441,0.5220555187065347,0.5742448726324498,0.5221013281631147,0.5198493936584172,0.5412330181335908,0.5210026490529476,0.4859402291316095,0.5269066138716108,0.5372109463516961,0.5592414215868474,0.5984198357513175,0.52638889215528,0.5312308161045802,0.5354576127812607,0.5084879730686405,0.5300620114567143,0.5476336661086368,0.5464344583970905,0.6127672318017667,0.5797077129996996,0.4552299068684304,0.5439480729712394,0.5474219878055663,0.5470439063587949,0.53652257531123,0.5721662713454514,0.484948716287297,0.5633040934639907,0.5298562694831601,0.4778126144823324,0.4714432984659021,0.5555090881530051,0.5155732409108682,0.4636666434091547,0.514281042847652,0.5028892658934587,0.5134233102786105,0.4878156083294546,0.5338686244966305,0.5926879961470365,0.5147714936714797,0.5791696918105299,0.5319140778769976,0.5105511317721094,0.5220480107138116,0.5210649658193114,0.5057683241058142,0.5680269598106266,0.5532455263446284,0.4920126993499212,0.5712350268037756,0.5447175710064313,0.4785621318395997,0.5373242786317081,0.5525066538973589,0.5412469977688615,0.582456805279391,0.64008918721336,0.5216250859620621,0.5358865976897637,0.529095925315333,0.5628397080952949,0.5268121406388894,0.5181344294842369,0.5660182032788803,0.5427832467593967,0.5544056234633634,0.5253231925303157,0.5662835078623997,0.600450395996196,0.5088625658408558,0.5653257307972182,0.5156701507593702,0.5566346801186879,0.5816995747670748,0.5766354804236159,0.5037290240863593
NDCGk,0.1673571485523351,0.1689923122527905,0.1746960371520927,0.1629687328157607,0.1770395026239265,0.1758053664581033,0.1674195400366031,0.1599455475886919,0.1678380607778667,0.1680596918861771,0.1709224080946181,0.1829388011601488,0.1719990395611971,0.1656305927086343,0.1673471160400968,0.16819004184565,0.1779477397036701,0.1875554609550138,0.1757010285813091,0.1640878495041029,0.1650471043712703,0.1673455884653736,0.1658262450252063,0.1761227218623079,0.1705368583454658,0.1531988584809232,0.1647404962826055,0.1669005626636578,0.1691719247671262,0.1555121451849001,0.1584153323396414,0.1633513128214116,0.1709440831209978,0.1801495839527384,0.1711213696621424,0.1704226437569088,0.1650439394567374,0.1740401707239137,0.1616012658074422,0.16185014543087,0.1601354398621163,0.1666009175585671,0.1761668437475243,0.1678377713038629,0.1674065803637056,0.1889379334786696,0.1686323639456559,0.1786032247844263,0.1793298975828909,0.1644912048995286,0.1664963772868675,0.1744072950683837,0.1660434657224811,0.1627592665279011,0.1902012184805508,0.1773043563500821,0.16060545744317,0.1671677646796109,0.1754122937314965,0.1639700217124174,0.1703754454793973,0.1695474985130531,0.1722997848211907,0.163682342485095,0.1707264260355668,0.1682791428666434,0.1757868124732163,0.160781520520453,0.1674521694679979,0.1778744967056847,0.1696390781259994,0.171667864629998,0.1607955614197,0.1651861728042125,0.1687635674841588,0.167197398946902,0.1589553760736511,0.1760673501931444,0.1631280594913562,0.1778385841696679,0.1725437944227217,0.1670153678247831,0.1784942302787985,0.1645325245528302,0.1878014786631187,0.1593441700496374,0.162154898577601,0.1752135822058285,0.1699186351006565,0.1759541468292388,0.175216853901679,0.1641189459230132,0.1618962320120456,0.1786536421383591,0.16935333662170374,0.1627883547682448,0.16540288953917967,0.1722709485697643,0.17125825470959946,0.17282385563441377
global AUC,0.5234399621144696,0.4984283219761194,0.5421697283512152,0.441439441826161,0.5178856823889497,0.6928869270319925,0.5961314581313808,0.6049818972529533,0.527863643621061,0.5549893626097117,0.532018544915004,0.6761952735265722,0.5310557237248128,0.5214592499629903,0.5108120111248207,0.5398088133229052,0.7100938952766864,0.5745668413396912,0.586154871988143,0.5421046393397333,0.5895098541399603,0.574776649442353,0.6281538774273412,0.5242598027554862,0.5573576541179819,0.5168241704302189,0.5626739448798869,0.5488363431436534,0.5645563562024214,0.5107562401981878,0.5025330468730141,0.6061975118681353,0.621365915640162,0.6430171350729481,0.5175697864372059,0.509552480482427,0.6110553705131133,0.5362703351622639,0.6092179633699809,0.5580841079046851,0.5500044057288348,0.6445438295180089,0.633318665620585,0.4305486246449376,0.6003938981439931,0.6011335407178267,0.5859200871508226,0.5960532855428858,0.6151517632101727,0.4582366328508205,0.6049886410007405,0.5658944861596592,0.4839936631254864,0.4669985851137443,0.5973889515233246,0.5016387800065545,0.4426082931193533,0.5564437585751947,0.5320573711268988,0.5119846389462032,0.5496752562452734,0.5072228231591946,0.6387466475899781,0.5565386404432004,0.6024524716680265,0.5720702229179306,0.5180248157793657,0.482850996643962,0.5203011742458501,0.5277672615892174,0.6247649845097305,0.6130750854529079,0.5257899419122143,0.5852009553996832,0.4964354289945762,0.4765536406689681,0.5816647977474992,0.5705842801034816,0.5520687466801979,0.5435768702594069,0.6726503547409985,0.5735392717833626,0.5962012028744793,0.5124256017692769,0.6276024219092325,0.5059479156535288,0.518326946127673,0.5857196456915255,0.5790423509685962,0.5624792642263038,0.5834540686869738,0.5798640699412844,0.6592017582161501,0.5342573617630513,0.5864954422874258,0.5341083548077973,0.5321550693888092,0.5998902573133104,0.5748444047577821,0.5302115214236685
global NDCG,0.2863147477270745,0.2812337933303725,0.2883704174401874,0.2784477919191569,0.2832251052970371,0.2962673727306839,0.2912249210222625,0.2887537153506152,0.2853788252407601,0.2895970694857646,0.2814874665962704,0.2993757920916904,0.284197539255132,0.2868689006718074,0.2833333287318714,0.2852061961743739,0.3029955521886011,0.2919337586028165,0.2937802369019524,0.2895369426925915,0.2905663927551106,0.2861614709116507,0.2926203721857331,0.2848969848880034,0.2862242375690434,0.2850772658687316,0.2867787314451729,0.2893305119695404,0.2864943908898715,0.2904658424338153,0.2808308161545432,0.2848194653700783,0.2949287533786543,0.2959095796112037,0.2828825681413678,0.2873490342662356,0.2849141298061817,0.2842415628012777,0.2888355120591188,0.2883743071662102,0.287669310598857,0.2936324349294811,0.2931787895842686,0.2788741497003307,0.2902684369444226,0.2865004499605098,0.2877149563280444,0.2885569191701732,0.2950171402005126,0.2809819854352607,0.2880541716040242,0.2845357435161684,0.2789816071868524,0.276870080659155,0.2912433581924868,0.2810767357586268,0.2763713786275452,0.2833785659557326,0.2840578865983765,0.2869835193421012,0.2866378001846965,0.2848741707892064,0.2907305454050244,0.2840222762403728,0.2918903816460441,0.2844758770475938,0.2808758726684229,0.2783915045715345,0.2819592422254529,0.2831477302683254,0.2917015174546918,0.2895573872607718,0.2849046823537928,0.289473519305664,0.2850273288289386,0.2820166767792457,0.2912849406683489,0.2958253824099947,0.2858966356750781,0.2920174871410989,0.3116210223002195,0.2872225061119121,0.2840265616330178,0.2839081975284742,0.288854686039871,0.2859787073038466,0.2809245422821076,0.29432353741208,0.2902096448968273,0.2899127528430892,0.2853834912009958,0.2942574568202998,0.2933121118981647,0.288997672729111,0.29083055816892056,0.28316034691826975,0.2845861293737657,0.29474425811639227,0.29475920325986216,0.2889707167766237
