,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.40448936994199447,0.40287832666949464,0.19451962108907297,0.20041915947467798,0.42567912614585346,0.15733566355926754,0.3018104677128441,0.36212542408543497,0.07770861044072461,0.23129809557029382,0.15429963946387762,0.41239785493587067,0.11198148721775712,0.40209944961011523,0.2586165146619923,0.3546918689054778,0.30781405359344927,0.16473600209969425,0.3336424047741793,0.19210095829156557,0.13476051505906322,0.08414950493133315,0.21209435606343877,0.05875615215262321,0.4105886189467105,0.24598587330122532,0.12404758372313528,0.14843079257927522,0.19286123313342876,0.18508530647279395,0.33782380435441317,0.35755292548745166,0.24633711670203753,0.4500291365378646,0.04315770618094128,0.31054920781914647,0.27624455896815847,0.1514617247053074,0.12578264797699223,0.04892544956949163,0.051157745991242475,0.351921898919952,0.2058231368685971,0.32118339024441606,0.08592023635361279,0.26073537243173567,0.04406780337179611,0.2693375126041816,0.3412631284488521,0.39936932498858113,0.1910604017835965,0.19206793807846667,0.15301714174568543,0.31747611162256756,0.3399796549801105,0.4378230000359717,0.20379826600113723,0.39584603311920924,0.2606553984158979,0.10794407328035678,0.20743945608327563,0.23968595250328584,0.24987640501658834,0.38816968768450055,0.14422232586307804,0.3001805873279171,0.07472603198982752,0.10186654302948277,0.26185865459444035,0.05100122569705701,0.2868847546544257,0.294281484064453,0.2741768786662092,0.39803305410610046,0.33534321986117255,0.23032047632463115,0.2521021871878662,0.35988386858769855,0.13195578852516712,0.3686824129942784,0.4076009063668259,0.38818590907815914,0.33403452990330396,0.3636680571414769,0.10781287648601567,0.32865911329184827,0.4242640801738028,0.23430521000147972,0.3300322047059031,0.238363868475567,0.14504772118627215,0.3175165453600375,0.05730844060602729,0.306656807476503,0.20872159044428534,0.4195004920900528,0.347694732242146,0.045857361577627515,0.3407445216013414,0.41230510470801535
NDCGk,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375
global AUC,0.9323920875328497,0.929351494692189,0.910929100412507,0.8970463652189524,0.9354817376702298,0.8991420353614387,0.9135778346018685,0.9318299077046771,0.8837898602116342,0.9108702076675459,0.8830445251460773,0.9353134555496994,0.8753618406241837,0.9360358812175218,0.9207692264896262,0.9312986735551195,0.9163761395712025,0.8867021124471863,0.9293411794659839,0.9021341706278343,0.8857034546171532,0.8687235127833011,0.9054350430134352,0.8773388856653123,0.9281524096181027,0.910478588905228,0.8802478993996139,0.8974678501594685,0.900685960846448,0.8990453601018895,0.9238310495051509,0.9193841075103777,0.9071312980017044,0.9396361350520495,0.8631791986426025,0.9134342610464337,0.9176813755196076,0.8878172363777435,0.8831759843079459,0.867605390240475,0.8657847528152919,0.9253381520314983,0.9095880010613658,0.9164855289467718,0.8803367782672641,0.9023744194428182,0.8701646458397325,0.9195551483541955,0.9254952793143884,0.9288422103844396,0.8982705186916067,0.8876879362167087,0.8924185469321194,0.9222987586357448,0.9199082649349808,0.9391631939249991,0.8962915545386259,0.9230520100376917,0.9204225869113418,0.8778888311554278,0.8947187224313444,0.9029345602146479,0.9221526662460042,0.9310557859613389,0.907992739334313,0.9151531855434558,0.8725880043309637,0.8824033018984966,0.9076712880990873,0.8679427940929711,0.9190242740381102,0.9270492801366211,0.9083880763758443,0.9283240501843744,0.9151519860985482,0.9149138962843978,0.9145538229231488,0.9327077814325192,0.8969736788575544,0.919809910452561,0.9254129973937297,0.9342365939116932,0.9207591511524028,0.9236289430382273,0.8727447717803817,0.9213237298703906,0.9323962855900262,0.9044145552860844,0.9193315718234266,0.9065688782845502,0.8961582962093961,0.9283722678696582,0.8709104606832525,0.920444176919678,0.9012019620456797,0.9353410427825732,0.9212277742777859,0.8671126582724499,0.9327305708857628,0.9368234367438247
global NDCG,0.3212786116539975,0.3215857848898648,0.3082430222372722,0.3013685718535628,0.3274859144093996,0.30046282458751816,0.3142985067690888,0.32650483161060345,0.2925606358314434,0.3071638634995453,0.2991882433712849,0.3212336355717369,0.2897956200528353,0.32630386380507076,0.30837150574133604,0.32818923228344654,0.31432403033080103,0.30333696550993827,0.32048516904693114,0.3032506562753915,0.3023612023709341,0.2937730889323395,0.30619426468881067,0.288966987141791,0.31954815161453676,0.3065584423648923,0.29146854124344623,0.29894643816384253,0.31356826192997567,0.3023917855333218,0.31349623324993275,0.31455173792250724,0.31498450335496886,0.33726150522821796,0.2799127980160383,0.3105316256924596,0.3113078957563997,0.29611285374963786,0.2933643499302875,0.28066204848787984,0.2847820315090426,0.32098172376152495,0.30290211832021957,0.3093841604695063,0.28996083573808396,0.31170602728399116,0.2847416145954361,0.3121037290766349,0.3152478972134898,0.31527410155410013,0.30486245314894234,0.3006837265386286,0.30114969625420795,0.32150355603515257,0.31424820528317166,0.32758968343023626,0.3235751666055891,0.3196216651484475,0.30994217805924773,0.29483748590723385,0.3018644785436089,0.3027377180801586,0.3089679074070298,0.3236197999098111,0.3031232542777282,0.3133439622421539,0.2868038189136705,0.31246438425276324,0.3130284052298325,0.28426475532318685,0.3165125889045193,0.32176609555339225,0.3058147878121653,0.32450652325217777,0.3093272865587339,0.3073858669862678,0.3084853046926511,0.31371862990649024,0.29476471117271,0.32064862628524465,0.3153596022133504,0.3220946812376234,0.3162490082399598,0.3156052066068904,0.2897812095040237,0.31588786555557063,0.32350423662877403,0.3066845288888177,0.31028990734524364,0.30671933636200116,0.2966470144605746,0.3206085749319892,0.2853472833872598,0.3137656096451783,0.30086004128954963,0.32189080539622866,0.31856742787614933,0.281829710762561,0.33053587700511805,0.321154020358494
