,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4237155414608979,0.4119441033615036,0.2643820151440946,0.4431116816653787,0.4523325773933611,0.33111331862756926,0.3583269401808853,0.38715779436443615,0.32557898455567774,0.3029274197724655,0.4557626125968058,0.4098129763029074,0.44418209102708733,0.4574170436089319,0.3061050801230098,0.384600435025358,0.45854510991257946,0.45929274971050604,0.43249605955002013,0.3007008835059892,0.425926030072045,0.4453054813538657,0.43235378748893044,0.3217144099634857,0.43306273589250655,0.4238504460346548,0.38132504787201016,0.2895956326125696,0.40164955754725334,0.4120714659166085,0.43512280608682835,0.4402092739494385,0.4394176457822081,0.4633994008652997,0.43993152524062185,0.44264686002927645,0.3961259621178824,0.4222768487273093,0.3455099716390489,0.36625618816932215,0.4328306838992434,0.43236134385092384,0.31400310665401604,0.4076343374718603,0.39218682336476063,0.4345292922742034,0.4165653733816796,0.32735245342219416,0.41957842446373356,0.4134776427508706,0.36798546154875444,0.439804271221344,0.36422936343409473,0.38609396721565353,0.4486853992128496,0.4630217770383651,0.29826233309556777,0.4261984585547805,0.288083779277645,0.4400401218086145,0.3981267495666942,0.38196359945058456,0.25708227848595483,0.42734575915737605,0.24927580395059434,0.4168704447957413,0.4093430017108831,0.441939334797989,0.42035697492116453,0.4347097166998789,0.32350171774784764,0.3734542425574706,0.40277750817019925,0.40953369945758533,0.4013809710494227,0.32072284198299705,0.3401399423549923,0.3738566407394808,0.2806823679781692,0.4358476065977398,0.4412250531282094,0.399016335060764,0.430606499958287,0.3775171242916741,0.4428971637292088,0.44457327920089845,0.4348407989224944,0.35019750101041935,0.43284450573560584,0.422954215201371,0.27304335349955805,0.3368442579339216,0.40453717595671923,0.4353501820360529,0.38325165038249986,0.44483872494862786,0.44610107545033173,0.43499445032154394,0.3614212613339578,0.41615820996630265
NDCGk,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375
global AUC,0.9386521104498884,0.931638836130903,0.9284800979668477,0.9355063262908346,0.9393258386544641,0.9276638757072542,0.9335818169366571,0.935691400640071,0.9299357443066608,0.9265142077633594,0.9411648275867328,0.9325538926508794,0.9388368249656526,0.9414835200986711,0.9259457908216673,0.934744198996572,0.9416562401653596,0.941445737584083,0.940250490733701,0.9275782353408545,0.9340655530678754,0.9360746232880359,0.9364880719476714,0.9283254895182634,0.9378632355341872,0.9377177428669004,0.9346129797236851,0.9308939808433092,0.9378434446932125,0.9319632859783976,0.9396121461538983,0.9338075524682596,0.9345858722687743,0.9421477726884769,0.9381165582986635,0.9393161231507128,0.9374449890949215,0.9384288937525918,0.9331269874277108,0.9301681967297455,0.9373660656200042,0.9363772432382129,0.9273485416410568,0.9343906026378238,0.9356911607510895,0.9356118774426999,0.9369174732245773,0.9301361715507137,0.9368549821448935,0.9338214660291873,0.928849886831848,0.9351907523356561,0.9299225504126776,0.9340939799121846,0.939709061302429,0.942507846049726,0.9256604428781592,0.9392332415076006,0.9279016056879322,0.9352798710922877,0.9318368644851409,0.9313947490922149,0.9231801107538189,0.9381654956508919,0.923550979119236,0.9357836379534623,0.9380174841492992,0.9379096540521097,0.9389095113270505,0.9370041930913937,0.9281339381665263,0.9307075871046746,0.9384189383598591,0.9337245508806565,0.9328566325455472,0.9317512241187412,0.9336143218936519,0.9343790879667112,0.9264463191815915,0.9402372968397177,0.9355213193521792,0.9354864155053693,0.9356916405290525,0.9306178686255893,0.9345662013722904,0.9354536706593929,0.9367791772267358,0.9312469774796037,0.9370997888505262,0.9393132444829346,0.9259651018846791,0.9320917465279971,0.9347528349999065,0.9411000575617247,0.9315974552815922,0.9356303488942763,0.938930381668442,0.9362283921251849,0.9364144260303473,0.9332916712135186
global NDCG,0.3236298603992929,0.3269936413539004,0.31699344037338595,0.3300623922253229,0.31937431032638275,0.31716891127362506,0.3282251682994113,0.32150618936407466,0.31869028619004114,0.32298115296199614,0.3302706180586221,0.3225712551791505,0.3267766879764066,0.32674557221696227,0.32531514496999725,0.3228111413536566,0.32745816404430644,0.3229959225839449,0.3333269553035964,0.31567239259410734,0.32367049010084437,0.3316290843861821,0.31993880004644215,0.32106404187877274,0.3229271952334657,0.32205476539390443,0.31920538743443044,0.32134625482341606,0.3227030572497072,0.317802545224388,0.32707277478948593,0.3331426663374821,0.32274821974200407,0.3254124641814307,0.329811138367463,0.3234775494079866,0.3248592493973808,0.3272306182365824,0.3182611096685044,0.3213292140579328,0.31990413029085873,0.32363496714525514,0.31708725375346924,0.31844509103864255,0.33367140438217296,0.33468448806281054,0.3360048976854167,0.318273608428107,0.32394056244588504,0.3343698968747681,0.3160262357032871,0.3193997011627276,0.32012935449616164,0.31786788962573265,0.32423534640521506,0.3326759527411096,0.32309749971506985,0.3326120964861847,0.31605323472614183,0.31886713663485994,0.32341450754068995,0.3197528769755564,0.31376363563547455,0.3271538430165822,0.3155433045224881,0.32265998868865625,0.3277689916079979,0.3209713743356607,0.32672841268972236,0.31681252867457754,0.32033083317493455,0.3171982110907157,0.3261631507724305,0.32627624421654955,0.32564026276322,0.32103580052645747,0.31779922517699094,0.3268190360311008,0.3118759654418245,0.32861507167747905,0.31996819399809867,0.32385178861537023,0.3259809297851777,0.3167390650003384,0.3226576434758438,0.32613768904645124,0.32575347781889924,0.3174598320638977,0.3268820648668651,0.3247879523387834,0.32685001113651363,0.32847516895319495,0.339727463946162,0.3409705828608423,0.3200907401826196,0.3281080685886913,0.3243510953905778,0.32575608954468355,0.3235736949783087,0.32185918669294467
