,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,1.0,0.9945652173913044,0.0,0.0054347826086956,1.0,0.0,0.0,0.0,0.9945652173913044,0.0,1.0,0.0054347826086956,0.9945652173913044,1.0,0.0,0.9945652173913044,0.0,0.9945652173913044,0.0,0.9945652173913044,1.0,0.0054347826086956,0.0054347826086956,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.9945652173913043,0.005434782608695652,0.0,1.0,0.005434782608695652,1.0,0.005434782608695652,1.0,0.0,0.0,1.0,0.0,0.005434782608695652,0.0,0.9945652173913043,0.0,0.9945652173913043,1.0,0.9945652173913043,0.9945652173913043,0.005434782608695652,0.9945652173913043,0.9945652173913043,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9945652173913043,0.005434782608695652,1.0,1.0,0.0,0.005434782608695652,0.9945652173913043,0.005434782608695652,0.005434782608695652,0.9945652173913043,0.005434782608695652,0.0,1.0,0.005434782608695652,1.0,0.0,0.0,0.005434782608695652,0.0,1.0,0.0,0.0,0.005434782608695652,0.005434782608695652,1.0,1.0,0.005434782608695652,1.0,0.0,0.005434782608695652,0.0,1.0,0.0,1.0,1.0,0.0
AUC,0.5005941406626678,0.4974048354223918,0.4995953025277765,0.5026371065383692,0.5003813015993845,0.4994483335132597,0.4993617015443695,0.4995332919902019,0.4974686869306217,0.4995955908141886,0.50050886367862,0.502489313558651,0.4974902574901984,0.5005296806689472,0.4994701467106583,0.4975113429473612,0.4995329326809387,0.4973423198931378,0.4994279513739822,0.4974895705571057,0.500574128249279,0.5025724300759551,0.5026162920230975,0.499470971876215,0.5005739009615715,0.4994278033030561,0.500531380511362,0.4994487695542099,0.5006571766241374,0.5006573168090904,0.4994276456336873,0.5004663350955466,0.49940647024685136,0.4992995827196241,0.4974273229825757,0.5025522067965862,0.499363732589302,0.500402410540942,0.5026805013900366,0.5005304143833798,0.5026160622910053,0.5005937560213403,0.4995117454271317,0.49942802346190707,0.5006150804679474,0.4993621638353322,0.502531970052124,0.49936474793282953,0.4974058472971735,0.49959704915153136,0.49751075847852466,0.500550723009726,0.49740696958325065,0.49751017898506883,0.5024248365824494,0.4973845476552164,0.4973438481244973,0.49951224873168326,0.49940602629957187,0.5005941803154974,0.499384374244506,0.5005716177409415,0.5005301856706659,0.5006151123759064,0.4973835584252355,0.5027003736184724,0.5006993918361247,0.500550355748438,0.49938557059633604,0.5025518231340647,0.49757381976707327,0.5024882150728703,0.5025523583362582,0.4973422884872514,0.5026148993175582,0.4995124083788802,0.500572706612771,0.502488659061,0.5006134876137776,0.49934171211842593,0.4992787302916636,0.5026785366409936,0.4993625256904101,0.5006786432640589,0.4994069080849304,0.49938408796645517,0.5025947302034297,0.5025528043020782,0.500721534153602,0.5004881111101858,0.5024669967447274,0.5007651013582108,0.4994062241033488,0.5024243997231764,0.4994700305476913,0.5005517469782219,0.4995119366144417,0.5004667785612474,0.500594338517334,0.49938465339854565
Fscore,0.0002437710049814,0.0002430712572124,0.0,5.611672278338944e-05,0.000243548628757,0.0,0.0,0.0,0.0002431156804338,0.0,0.0002436373308484,5.611672278338944e-05,0.0002432180479625,0.0002435872749794,0.0,0.0002431252103026,0.0,0.0002432381843706,0.0,0.000243050569307,0.0002439150785462,5.611672278338944e-05,5.611672278338944e-05,0.0,0.0002438633295443,0.0,0.0002438338210664,0.0,0.0002436926965234,0.0002436876454721,0.0,0.0002435807804498,0.0,0.0,0.00024317305690569179,5.6116722783389444e-05,0.0,0.00024352808732259064,5.6116722783389444e-05,0.00024367875491467336,5.6116722783389444e-05,0.00024367082859572353,0.0,0.0,0.00024366378595224515,0.0,5.6116722783389444e-05,0.0,0.00024314707919919363,0.0,0.00024305971873623628,0.00024358154239753158,0.00024335319176564267,0.00024301186095129914,5.6116722783389444e-05,0.00024323287680445615,0.00024338914212169855,0.0,0.0,0.00024367142795288682,0.0,0.00024355417049899529,0.00024362123941703222,0.00024376630054253161,0.0002429981879584008,5.6116722783389444e-05,0.00024364405170210711,0.00024353340515912819,0.0,5.6116722783389444e-05,0.00024306175291609602,5.6116722783389444e-05,5.6116722783389444e-05,0.0002431374005106383,5.6116722783389444e-05,0.0,0.00024365255013631326,5.6116722783389444e-05,0.00024353477023409255,0.0,0.0,5.6116722783389444e-05,0.0,0.00024368753287732796,0.0,0.0,5.6116722783389444e-05,5.6116722783389444e-05,0.00024377444586241924,0.0002436668153301677,5.6116722783389444e-05,0.00024399295420030515,0.0,5.6116722783389444e-05,0.0,0.0002436986479851794,0.0,0.00024364660148759484,0.00024372914512679034,0.0
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4898899415648057,0.497890673059422,0.473286339524638,0.5668637082567122,0.4691421030611358,0.4400527384159151,0.5040469783304548,0.492214906170639,0.5028812579452896,0.4976413474737102,0.589198380316168,0.5086143635751595,0.4939757895084609,0.4874283850250868,0.5137889129496688,0.5012947971497713,0.542738252231929,0.4377619171647545,0.5329166378333635,0.4545772038340405,0.5317704989615389,0.492564506932996,0.4299658374444501,0.4868965382648938,0.4581523743684657,0.4517859247602143,0.4845281367106747,0.4912381909528371,0.4427548667458454,0.4293527655720749,0.4962463135482146,0.4824427363215403,0.5488725488252666,0.5017892569016562,0.5034258433690766,0.47749431490687544,0.5049573708556864,0.5666698982622245,0.4622966448708344,0.5958704002855841,0.540102650177645,0.4278991650554339,0.47280770116506904,0.5153133508710295,0.5675329660402214,0.4962670665846521,0.4668215485045873,0.5197904424024709,0.48275540678107953,0.541832978182518,0.4421665030829547,0.5327784949066937,0.5100942508865661,0.4882271124576641,0.4232417359592474,0.5471349036492908,0.46224133079262725,0.5008379498841661,0.5120910490175454,0.45784834486298787,0.5059486736420926,0.4840868436226824,0.48411384306778227,0.4854619607397743,0.4968232155339242,0.5071144080990281,0.4655549466754306,0.4501332439513716,0.5500611168729836,0.474390181272274,0.40914907163394265,0.549048837202716,0.59972943366237,0.5126438544487737,0.5501799712468443,0.5247640716998222,0.5535930960452742,0.5082087114503024,0.4616528061204609,0.5073018527056328,0.5817404567734664,0.5190770296403046,0.42879454759592794,0.48025329391996835,0.531367735759541,0.44205949784640974,0.5547664439130977,0.47618908590278913,0.45917033124977646,0.6071345162579369,0.4983795524213861,0.5233534125018172,0.4855948954138396,0.4255719118379858,0.6297013201497436,0.49367461580696975,0.4951558686958386,0.570407463805514,0.520506849067668,0.5380797577383625
NDCGk,0.1773890194399328,0.1773200371624802,0.1772243968959501,0.1825871750010942,0.1773868465848167,0.1766400601766324,0.1747413633255481,0.1766134146036572,0.1773219615116568,0.1755422963859504,0.1773941083321441,0.1816239617624357,0.1774113921697714,0.1773120243054314,0.1774017877489773,0.1773366783007332,0.1754959071369216,0.1772680539639988,0.1772638035812576,0.1773248985075136,0.1774912706377339,0.181279403636286,0.1813083440300518,0.1749532130053314,0.1773382382191229,0.176318480467936,0.1773248627603775,0.1755925368457764,0.1773844504329536,0.1774476095933839,0.1769170057475412,0.1773313185206064,0.17470393421010488,0.17565205499180042,0.1772714209417745,0.182411030196241,0.17505197845259118,0.17740314862920617,0.1803202366837303,0.17737587686036846,0.1806715086990308,0.17730341718114948,0.17668559826006916,0.17660105339945903,0.17731717735913982,0.17477930004827066,0.18166499274064635,0.17675702901186555,0.1773243477624232,0.17584458585920085,0.17739650425039424,0.17734424136075377,0.17730395326584186,0.17737265896325996,0.18267400546628082,0.17725107786008004,0.17727383756551726,0.1764716207766337,0.17387138643848224,0.17734511280931076,0.17556231571607647,0.17739129986956542,0.17731146359536723,0.1773452474978115,0.17733567196852582,0.1825536247971457,0.17739893140015045,0.17739041970535507,0.17528625626625421,0.18027158552904088,0.17733054650783964,0.1816298379009032,0.18200716582481538,0.1772472004141013,0.18061570750327174,0.17428198369809406,0.17742916840433756,0.18257402031596456,0.17746129870439276,0.17577061290014057,0.17433178637427343,0.18146828265044293,0.17623795953577429,0.1774893357984059,0.17612443598222657,0.17733798306372223,0.18262887414583706,0.18271830880660236,0.17745842698002448,0.17737406060190572,0.18158737679511197,0.17734137569025582,0.17702068063404203,0.18233114087117314,0.17723039613408004,0.17732440383068476,0.17629967956927367,0.17732361143872996,0.1773415633586939,0.1775405510193421
global AUC,0.8983524108936336,0.8932965236426049,0.0916094346750091,0.1128207172718671,0.8937748299634591,0.0852214560252513,0.1008378652535093,0.097377180766922,0.8936825357067237,0.0979342385211006,0.9147328608740574,0.1073321890311217,0.8935761849249203,0.8971515524988103,0.100484356127118,0.8964875349517438,0.0990904016409039,0.8792478704869338,0.1045772062348932,0.8830371019148161,0.8964111323303999,0.1018245512502632,0.0928497051333101,0.0987420141846532,0.8923377762312737,0.0907869175508452,0.8932013507180916,0.0965254949195617,0.8930793489975852,0.8885155685493573,0.0996660552335382,0.9019254595407024,0.11107112938982942,0.10353062876346235,0.8963905866872257,0.10711547154826863,0.10022870232021526,0.9123711247736225,0.09891143719133315,0.9183599483508199,0.11064542337248719,0.8921545511272333,0.09188194128864341,0.09748028779737963,0.9112216228135177,0.10136787370768172,0.10208994761910202,0.10280958548618482,0.8932077590654968,0.10079213045956953,0.8927602320356138,0.9083221428488903,0.8954570405422653,0.8956171999572653,0.090714979933844,0.9068637947291343,0.8911415330742967,0.0951495248375979,0.1024504321032184,0.8952100033537287,0.10025626693729289,0.9011507102090187,0.9012845787608931,0.8966769761689213,0.8990155924639464,0.10502876291504122,0.8971716110946583,0.894144547346389,0.10984054253085285,0.09701768814701209,0.8856662294204007,0.11362520072165326,0.11854141523824437,0.8976385901324258,0.10326318081882209,0.10757370311913443,0.9096534758107387,0.1063974935190882,0.8889093499471902,0.09962217412718276,0.1136908293392114,0.10958309884521934,0.08493212568233796,0.8988677756197425,0.10462202185825752,0.09441593787047907,0.11622705842321843,0.10377138522230112,0.8930057087342103,0.9180561018975506,0.10122375373845573,0.9071529514150407,0.09269986255992929,0.09132763700765671,0.11929375716209958,0.8960041142301121,0.09900508597272167,0.9137484913810037,0.9085938239859618,0.10944260709587536
global NDCG,0.2924852176796478,0.2905609489091524,0.243103434172333,0.2451368456243476,0.2872552424565055,0.2429897375786657,0.2432706677374475,0.2432009322395559,0.2927564411605679,0.2432135591397661,0.2985431904087188,0.2460240397605572,0.2903008828968938,0.291790390403862,0.2432579400480593,0.2890617401831531,0.2432355482616142,0.2869640693233669,0.2433259110392153,0.2869819537932644,0.2934698363642855,0.245430348636177,0.2447116144410672,0.2432304624471708,0.2898165457382636,0.2430904986830989,0.2874159932567841,0.2431926675964278,0.2881737355435911,0.2870527992864086,0.243237349850665,0.2959454430765269,0.2434392674567867,0.24332123470017236,0.29171928865089863,0.24511025189576283,0.243250340650383,0.2944793165558516,0.24506500198338554,0.2992113738744922,0.2452710159731086,0.28818339608315263,0.24310944879084997,0.24320440799157136,0.2972124120579878,0.24327370491832834,0.24514356940784165,0.24330032601936466,0.2899620007731882,0.24325927215356005,0.2887135184738039,0.2954884703264095,0.28965042262334545,0.2921773716372308,0.2450948374126233,0.30329059823808324,0.28745607759989567,0.24316274231491508,0.24328885498316022,0.289174457356388,0.24325221306897554,0.2931798194958175,0.2933070935999363,0.28909204425069746,0.2924585583983485,0.24596504273931014,0.29091747813120394,0.2901828978443207,0.2434208114394224,0.2450075934198617,0.2858878130857303,0.24546843586214295,0.24582636918709527,0.28975965209351795,0.24497514398965495,0.2433815301434803,0.2980744481456858,0.24477724945108367,0.28495298087945997,0.243245663146909,0.24349085406028997,0.24523702403008654,0.24298407557765733,0.2916265627835868,0.2433307231974961,0.2431569696404891,0.24580056348446735,0.2447382530597788,0.28920798452839197,0.29893721390883393,0.24550360800068458,0.29332519580148597,0.2431150012182481,0.24545704688170164,0.24358890876523492,0.29122201578699985,0.24324166813516349,0.30113107451229426,0.2954977816527124,0.24341804502149883
