,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6086787183621969,0.6163730307413973,0.533147576537394,0.6185098479787263,0.5721615995848047,0.5831497263905409,0.5818319068404495,0.5611646559115074,0.5827269150313819,0.5947691303446448,0.5894499566532878,0.5815099598798542,0.6120647039558283,0.6088162814252276,0.5752892347793301,0.5623607074552444,0.6221161289737771,0.5822734918193156,0.6036475894971465,0.5799170735253925,0.5963333242656577,0.6112810992729035,0.5922414935475939,0.5756572205176433,0.614234970287459,0.5725843075936123,0.6383832386721646,0.5099188309513697,0.6451962530219644,0.5857429639976737,0.6078063397775115,0.5862912710204542,0.6235532068313485,0.6057218531464302,0.6224131105095989,0.6238018745775836,0.6162997016134859,0.6106080944447012,0.5578053752551783,0.6253318707257074,0.6149454541612926,0.6127013550061741,0.5823908719884231,0.560091438766495,0.5605563887272208,0.6019722552894774,0.6267456077139643,0.5596237218880777,0.5935957009012091,0.5890667841113293,0.5339146266907588,0.6166539953102875,0.5469861835188379,0.5694308767527888,0.6072774014906372,0.6098838595491257,0.583197608621771,0.6258561552687866,0.5765116700707582,0.6189673753885606,0.6041546513659698,0.5351348042515904,0.6212322496447872,0.628165750541158,0.5497083592664204,0.6226571608285666,0.6114270400761906,0.5997591929822511,0.5878756366682873,0.6236233364340391,0.5910219672480876,0.5915655565319354,0.566555863267846,0.6013373248928969,0.5817643499971523,0.5914236688952288,0.5706653976122804,0.5533852847530101,0.6133905993437674,0.6217037508214531,0.6250290327707979,0.646101395679048,0.6146289130020742,0.5373077833265968,0.6102609983050049,0.6088301972727692,0.6225545748889225,0.5362103309850156,0.6120055838385666,0.6207720123871445,0.6128127974304433,0.5748738957017528,0.6129910769485216,0.6072182819465326,0.5685248650061435,0.5849022818694434,0.6229536369779516,0.6196550463572417,0.5943111623085517,0.6057305996080785
NDCGk,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375
global AUC,0.9189152376305035,0.9231233127969842,0.9112056047719796,0.9208307947640529,0.9137819033929692,0.9161800250787211,0.9208349512243185,0.9186200279882756,0.9151521500630709,0.9170030114806569,0.9159559978474415,0.9151989712229371,0.9199545828933807,0.9205003860581034,0.9156456057365756,0.9132000926498094,0.9238851008543033,0.9124639331358685,0.9218924392020196,0.9164251827330491,0.9205804653617499,0.9220579876381799,0.919952132310317,0.9088387227701937,0.9211334441955358,0.9155330210720808,0.9266768876280791,0.9046962229126086,0.9244383034229304,0.9185039241443449,0.9194174819639671,0.9145530382357901,0.9223140105671855,0.9207717029193142,0.9229579089403784,0.9224124983212618,0.9195503643055846,0.917831827104073,0.9081301609893178,0.9207317286917586,0.9193755781243683,0.921714266305317,0.9123976413908564,0.9162356122827502,0.91789658662889,0.9191864470666821,0.9239800225819371,0.9101974216531955,0.9188537202416184,0.9201440927656539,0.9123970388414282,0.9241259477763271,0.9160869449230665,0.9173938649405843,0.9204220675557355,0.9216039916828666,0.9145060135337577,0.9228909839530717,0.9157373628681503,0.92173736914888,0.919019396295486,0.9122330088944438,0.9179024909671218,0.9275410557795482,0.9111503656896713,0.9269989696824783,0.9186475174886014,0.9190281033770373,0.9173999978598995,0.9232715512642463,0.91872809030123,0.91480527463434,0.9165203831196007,0.9178920812391967,0.9164172268190156,0.9157807343113833,0.9120537245928977,0.9130267781107627,0.918428185458162,0.9223181024108905,0.9224893354889764,0.92709082212348,0.9231871369970854,0.9118773819602761,0.9200711568227903,0.9193008910727105,0.9236678519002386,0.915981653045151,0.9205245066124971,0.9234850920354352,0.9191267324798399,0.9158044566662218,0.9194141671344045,0.9195140909915416,0.9183106350109791,0.9172846508374358,0.9249154393763293,0.9236482391586593,0.9194366278508956,0.9207384399292919
global NDCG,0.31530336783911544,0.3170133730884241,0.30715545664873634,0.31553378646140995,0.31251427522189146,0.3116217982674911,0.3130247481962413,0.31645284524706757,0.3144016426376823,0.31352679801837846,0.3127969409732945,0.31500070222775595,0.3163506330573865,0.31453070806938227,0.31177195520288103,0.3109940922219147,0.3214543925580614,0.31294505743372086,0.3173821378379629,0.31297063094059946,0.32295561123990935,0.3211812942817625,0.3195047933913227,0.3054012636417767,0.31658688508476257,0.3166488668421939,0.3194729852820926,0.301761640125883,0.31506616001896204,0.3107713739711687,0.3142812307697221,0.31445382143959544,0.31472089817673865,0.3159921609740849,0.31767416962408457,0.31869471276046907,0.31366036837415145,0.314520202569682,0.30753465443541506,0.3132090577463517,0.3159441451743776,0.3170148004153642,0.30809083301312723,0.31318694315230006,0.31252409463475006,0.31863383276993346,0.3149979402815129,0.3085531470810181,0.31347629461243043,0.3166462777710934,0.3109984887211616,0.31980671602480754,0.3128186491923136,0.3162352946429049,0.3170705885189194,0.31755889784557334,0.31153718033690936,0.31739144402394465,0.31252914635030465,0.31924665831573124,0.31502825096651194,0.31249968834215514,0.3112966087216068,0.3159845196126788,0.3089328063877716,0.3191113503012392,0.3135529805641888,0.31271458059967294,0.31137085663558334,0.3192013181438842,0.31480202544546004,0.30984489639826474,0.3137951172919211,0.3116788879182667,0.3159580310649476,0.3112828823344566,0.3079256145519357,0.31026786663758144,0.3111181748604828,0.320634788801667,0.3158238327917706,0.322142181063576,0.3210774381153823,0.3136347360083813,0.3155479137830479,0.31427002574048896,0.3173144796470698,0.30883308203217086,0.3147644811933139,0.3200356225386727,0.31119557324353336,0.3100076161936216,0.3139578339056698,0.31316834287532647,0.31566059617575204,0.31905160246085346,0.31663351545820734,0.3182575023460201,0.3133533564220419,0.31538149424271494
