,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294
HR@10,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.016304347826086956,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.02717391304347826,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.016304347826086956,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.010869565217391304,0.021739130434782608,0.016304347826086956,0.016304347826086956,0.021739130434782608,0.016304347826086956,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.02717391304347826,0.016304347826086956,0.016304347826086956,0.010869565217391304,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.010869565217391304,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.016304347826086956,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.021739130434782608
HR@2,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.0,0.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0,0.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.0,0.005434782608695652,0.0,0.0,0.0,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652
HR@5,0.005434782608695652,0.016304347826086956,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.010869565217391304,0.005434782608695652,0.016304347826086956,0.016304347826086956,0.010869565217391304,0.005434782608695652,0.016304347826086956,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.010869565217391304,0.016304347826086956,0.010869565217391304,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.016304347826086956,0.005434782608695652,0.005434782608695652
Lin's AUC,0.5628321308642108,0.5581525242843854,0.43037482448011577,0.5714174405787261,0.5905385698452105,0.5111007593898109,0.527644202240474,0.5277609394289798,0.5492669822809916,0.5286687571482496,0.5749929701796633,0.5556889757987314,0.5899070075504194,0.5855912528979554,0.5160722928811776,0.5222182764208029,0.591429220366905,0.5907325360924438,0.5799775580361223,0.49232440232697017,0.5843522507861247,0.560307974240567,0.5682295550072751,0.5405019046237982,0.5614995150095391,0.5477643107358164,0.5312159834250904,0.45082420177804544,0.5757144572214496,0.553987939502802,0.563858023734522,0.5962429323445052,0.5638097994555565,0.5878671885897611,0.5897042742621958,0.5962901718078263,0.5670277075363042,0.5763703927673683,0.5452640518406101,0.5588588907361417,0.5864283892653764,0.592831302180643,0.5353667377049393,0.5779768145703049,0.5055194970368662,0.5826160320394852,0.5718547137871482,0.5411172425917553,0.5677154848561582,0.554793133829948,0.525404848015049,0.5673929457562519,0.5066905164224547,0.5123965347396086,0.5856691426795041,0.598747467122977,0.5084559536094456,0.5796753563264283,0.4924140607269435,0.5845921099653962,0.5551321144002093,0.5214567432015402,0.51217164624163,0.5793170269719121,0.4734838263296013,0.5801879830005847,0.5506240941591952,0.5663315735828048,0.5731478527476759,0.5612862522749515,0.4932436627954421,0.5529411358632753,0.5305315035543361,0.5688758534776054,0.5628776284492863,0.48975549506547117,0.541214045591807,0.5263755042580215,0.5185684662355545,0.5859027402750511,0.5976394856430909,0.5736822426963664,0.5859782848567148,0.5079217962496491,0.5789939868448138,0.5779102531708298,0.5798571473171014,0.48973119057950565,0.5766766047423174,0.5685869251097833,0.5176309461990791,0.518366578531499,0.5684753397317438,0.5836255937379087,0.5301071745421212,0.5802789787725741,0.5927107472634179,0.5742546441826929,0.5175354343773102,0.5685620365024624
NDCGk,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375
global AUC,0.9131927150539941,0.9096513188291727,0.8978590380100973,0.914314737206257,0.9193965001590084,0.907353586239795,0.9081019461680984,0.9094872484968379,0.9115172035971161,0.9078528404419132,0.9142572559292931,0.9112720023266098,0.9169271330611616,0.9155647437648379,0.9081407314509373,0.9080291846899488,0.9174400795124874,0.9170566448414328,0.9160488970767262,0.9024634235050546,0.9165173849111854,0.9126847497317896,0.9105761199303527,0.9111515295954703,0.913786005736865,0.9115569435896391,0.9078108768319959,0.9003288348080728,0.9180555498298103,0.907543733392898,0.9112578238377835,0.9175711332054374,0.9137983483076613,0.9152090247520716,0.9169937680816522,0.9181694074405504,0.9156612227515841,0.9127567721580268,0.913364713030617,0.9133315930047351,0.9167180532557804,0.9149342824054377,0.9110823729136993,0.9124717428549334,0.903696672566331,0.9146033002275125,0.9112329117305216,0.9106467942935926,0.9138113895450198,0.9106345575324146,0.9071449700582366,0.9141734522886307,0.906465068952849,0.9064699370029888,0.9153342201460892,0.9183442743924672,0.9053109832554715,0.9145819888780943,0.9030173102015179,0.9139296887365994,0.9103509926021275,0.9085470840006501,0.9083525162670898,0.9124147163170154,0.9044697200593479,0.9128495154998589,0.9122499214714941,0.910355814612968,0.9159529584459685,0.9130127215856946,0.9054592330306315,0.9128842929405219,0.9091572299133734,0.914229920701006,0.9125408292661947,0.9049104736582578,0.9113031386240787,0.9104744546569052,0.908329127495246,0.9167394025674279,0.916915519042087,0.9161243724504244,0.9162701272186355,0.9059754305026663,0.9144096726649099,0.9140516040324561,0.9129556829321712,0.9017233417658805,0.9142061741149573,0.9130699298576894,0.9082815050900275,0.9100326340770373,0.914195836272956,0.9168615181746225,0.9111624207167724,0.9148020421908922,0.9205038931219343,0.9119273862934629,0.9092478950250729,0.9144834728542728
global NDCG,0.39943026959350253,0.404939591703587,0.3972516513846435,0.40381730990579306,0.400932130460391,0.3996983087319439,0.3858978133686658,0.40935385683505376,0.39850779095370215,0.40514664694430913,0.4004288255472997,0.40599104514781453,0.4103593240717802,0.4048991396932737,0.40636956917777545,0.3985174254115511,0.3884551251575798,0.40188323814438426,0.4018639169309376,0.3984175510276355,0.4043867969800166,0.407381857640179,0.40134903617922124,0.3983336356109113,0.40251842982388436,0.40274166728462246,0.41863067695198014,0.3983847123412459,0.402842948566481,0.38515171306492063,0.387014610854102,0.4061394168837115,0.4005558187345826,0.4040296908703509,0.40360654053014416,0.4002272486018785,0.38346776370945873,0.3890864047986991,0.3994965387748518,0.3985995887164348,0.3996839293148845,0.38530427816725366,0.3962115367506976,0.40228031523685764,0.39700958475389936,0.4003284994255406,0.38569303651382325,0.3983294674216109,0.41075095856223975,0.4077710290022877,0.3981458119795642,0.40900384876546764,0.40824609237067055,0.4027118491311568,0.39316148589256894,0.40737697095517533,0.3826680464649792,0.40547265007903205,0.38425582728360613,0.39059301363896076,0.384602986944584,0.398965392911222,0.4028966823784245,0.38830028734254285,0.3972466117637646,0.40394618049578185,0.3968401642435808,0.4006901039421554,0.4078119641457207,0.4084779104797041,0.40404967061095226,0.392156477129026,0.39891463470912797,0.4059475554340485,0.40200932346292223,0.39625762541259474,0.40237599833710946,0.40493403941804995,0.4027058698894594,0.4178479567527898,0.3984324603932279,0.4050568124462193,0.3939541436937626,0.39709407734919033,0.4091467341799067,0.4011974842848305,0.39832136856079886,0.39836448239993844,0.4108813867607782,0.39123566535826404,0.40124922405920727,0.4000299325963891,0.4005875924274256,0.4000799231414608,0.4014432069163588,0.4073459463703494,0.4024588621532753,0.4081907677511935,0.4015139602845533,0.39907369005982335
