,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294,0.00024342051892371294
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.23651925288280853,0.23650564952436132,0.23621823515056992,0.23658229966351063,0.23635482404271277,0.2365183718330987,0.2363118591543145,0.23635556777447264,0.23631052585348358,0.23649868078244515,0.23652550975742154,0.23654691652927498,0.23653851793572714,0.23512196191901405,0.2365188657804495,0.2365471677177447,0.23654752388233943,0.23654192826499132,0.23631361563477438,0.23651517660495472,0.23522603201478265,0.2362590166278458,0.2352657009148481,0.23511894196992272,0.23649853691146194,0.236348460316041,0.23650370746847388,0.2363596407760659,0.23654981366763683,0.23648071481436803,0.23634439012164296,0.23635503399860516,0.2365101100894803,0.23647997529033998,0.23648989181745111,0.2365154493659685,0.23634065643814467,0.23622421318009218,0.23631435936622056,0.23656879847690174,0.23628583952009152,0.2365178441360111,0.23648982292607423,0.23626636311116178,0.23650321539185734,0.23627209369794483,0.23627927098836346,0.23635201731995611,0.23659048876959823,0.23570374395484825,0.23655131709407995,0.23633917880921268,0.2357654532335302,0.2362253365211839,0.23521913825465632,0.23621802894071905,0.23624270684836993,0.23631467476782328,0.2365156358766083,0.23653250569073844,0.23634276627632006,0.23650444699011366,0.2363206856091623,0.23648771074519304,0.23635528752770307,0.23650539646089566,0.23651394266700532,0.23633640956945845,0.2362792709910651,0.236302790403096,0.23653992527534148,0.2365565213983334,0.2363081324894812,0.23644155343502085,0.23623655213459216,0.23631196178534844,0.2365327545376451,0.2365011092970275,0.23624695558332823,0.2351399658509931,0.2362739603079669,0.23632188158882356,0.23629639012469147,0.236516895600027,0.23635830794253293,0.2364660912145106,0.23655681053585498,0.23521193190064393,0.2364766024516599,0.23650472770864125,0.23659396378396086,0.2365269480319895,0.23622860907091114,0.23649973991414705,0.23579614432241983,0.23645748079433254,0.23633752730311397,0.23513342637641965,0.23654991303570647,0.23515381618124687
NDCGk,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375,0.1773132460734375
global AUC,0.8707861028814023,0.8704109758807831,0.8712313590430307,0.8712057369613087,0.8711737037052066,0.8703011753823465,0.8712047386354462,0.8711631441476315,0.8711278869290056,0.8709326835300297,0.870721646650567,0.8707557585406552,0.8711456706180641,0.871441106822108,0.8711178741890752,0.8709014232495348,0.8711840233738002,0.8709427511940365,0.8711711957749453,0.8705869716032444,0.8716745284936028,0.8713470638796993,0.8715570806252101,0.8716364834742371,0.8712290138657318,0.8714272893783143,0.8709873713523049,0.8712482239653674,0.8703753055200222,0.8711578197430319,0.8711701970452295,0.8712535645241073,0.8710245751448212,0.8708426569107205,0.8710645521993514,0.8710538347350562,0.8712017093303109,0.8712204158246267,0.8711609754543139,0.8711645830776671,0.8713660151092388,0.8709051920104361,0.8711616749285831,0.871183485844786,0.8706892818307381,0.8712448449230976,0.8712051416812433,0.8711892468150239,0.8710907695611388,0.8714661933940835,0.8711080552988267,0.8713152208385978,0.8714757970304142,0.8712006839462637,0.8714883076042683,0.8711935337199713,0.8712899311283095,0.871153906402576,0.870937818527336,0.8710885079815152,0.8714286475376489,0.870680529113741,0.8712263351054383,0.8710371204500765,0.8712622275856267,0.8711830561446575,0.8706034161140831,0.8711608534905557,0.871206298721533,0.8711512090650212,0.8711838456782584,0.8711594210221761,0.8712262862391642,0.8712202179364096,0.8713900145075809,0.8712002889775363,0.8703769524346124,0.8706889720751004,0.8712241555080757,0.8716786219527217,0.8711922123113055,0.8711935870286339,0.8712098679788032,0.8705328988498563,0.8711999448943508,0.8708216880290739,0.8710541671064901,0.8715499675534404,0.8708001884839229,0.8708010494995939,0.8709514053707785,0.8711243778459072,0.8711859400625311,0.871060179677461,0.8715032622995296,0.871198286268009,0.8711713569124935,0.8714618523727666,0.8711975120808414,0.871630698272789
global NDCG,0.28834868450970813,0.2882257801645184,0.2882606811981656,0.28835677946964616,0.28822767657868575,0.28814829957909793,0.28820896596295,0.2882450482955978,0.28830660725574736,0.2882801526175762,0.288155554387036,0.2881387472364038,0.2881713697646368,0.28817468229957777,0.28821048404556565,0.288199845376992,0.28820901290395984,0.2881732360953002,0.28820468177479686,0.28825047597556974,0.28841452755612895,0.2882537086348573,0.2883974249451373,0.28823664570399715,0.28828599468819227,0.2883644220017448,0.2881550781359311,0.28823833701735335,0.28819185135452513,0.28821257267611405,0.2882454924196456,0.2883357810483948,0.28818589268339706,0.2881772447182452,0.2881776053521002,0.2882935584795916,0.2882450850203622,0.2883064354383405,0.2883009400749098,0.28825031863952627,0.28818333165148785,0.2882937109672241,0.28831448734036424,0.28823593578908785,0.28819367562372833,0.2882393184386166,0.2882214565116187,0.2882935967098459,0.28828791147808674,0.28837532422779494,0.28822477574082556,0.28821268857826576,0.2883134233553438,0.28836503897039345,0.2882056439699311,0.2882538951114693,0.2882200383123732,0.2882510327633128,0.2882882750598362,0.2882322323304854,0.288275438858207,0.28816775637653014,0.28815550983023014,0.28821416376810155,0.2882223897145221,0.28820132539890203,0.288231881171267,0.2883769260071454,0.2883183337704759,0.2882899592297612,0.2881975354638157,0.28824535407389656,0.2882797915112512,0.2882304397367654,0.28825388712440053,0.2883017173096183,0.28813161491887895,0.2881782639213926,0.2882124857935481,0.2882772825734708,0.2882536471371326,0.2881808305982983,0.28822358302927803,0.28819217204508885,0.2883435702850803,0.2881524273259046,0.28820575300748436,0.2883832113382189,0.28818814432763445,0.2882534020005246,0.28816526769074585,0.2881615592177747,0.28821881998711907,0.28833597407038125,0.2882836191437923,0.28830092158375165,0.2882232764283082,0.2883959463981232,0.28824214606044374,0.28838879398794554
