,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.5380434782608695,0.532608695652174,0.5271739130434783,0.5217391304347826,0.5434782608695652,0.5489130434782609,0.5543478260869565,0.5489130434782609,0.5434782608695652,0.5434782608695652,0.5434782608695652,0.5380434782608695,0.5543478260869565,0.532608695652174,0.5434782608695652,0.5217391304347826,0.5271739130434783,0.5434782608695652,0.5054347826086957,0.5543478260869565,0.5217391304347826,0.5271739130434783,0.5271739130434783,0.532608695652174,0.5434782608695652,0.5108695652173914,0.5597826086956522,0.5163043478260869,0.5597826086956522,0.5217391304347826,0.5543478260869565,0.5380434782608695,0.5108695652173914,0.5489130434782609,0.5489130434782609,0.5434782608695652,0.532608695652174,0.5380434782608695,0.5380434782608695,0.5543478260869565,0.5108695652173914,0.5543478260869565,0.5271739130434783,0.5760869565217391,0.5597826086956522,0.5434782608695652,0.532608695652174,0.5434782608695652,0.5163043478260869,0.5489130434782609,0.5217391304347826,0.532608695652174,0.5489130434782609,0.5489130434782609,0.532608695652174,0.5543478260869565,0.5380434782608695,0.5489130434782609,0.5380434782608695,0.532608695652174,0.5163043478260869,0.5217391304347826,0.5271739130434783,0.532608695652174,0.5489130434782609,0.5434782608695652,0.5271739130434783,0.5217391304347826,0.5163043478260869,0.532608695652174,0.5434782608695652,0.5054347826086957,0.5380434782608695,0.5489130434782609,0.5597826086956522,0.5434782608695652,0.5380434782608695,0.5543478260869565,0.5271739130434783,0.5434782608695652,0.5163043478260869,0.5652173913043478,0.5380434782608695,0.532608695652174,0.5108695652173914,0.5271739130434783,0.5271739130434783,0.5380434782608695,0.5380434782608695,0.5217391304347826,0.5760869565217391,0.5271739130434783,0.5271739130434783,0.5652173913043478,0.5434782608695652,0.5543478260869565,0.532608695652174,0.5434782608695652,0.5597826086956522,0.532608695652174
AUC,0.5052227582324116,0.507723539548518,0.4900425768350529,0.49057293336304114,0.5007663344140794,0.5081175515944671,0.5230558673227345,0.5127038170163026,0.5112235266582015,0.49394341193044367,0.5116913785696047,0.49925340467724383,0.512365386751189,0.503654836888187,0.4959347234984386,0.4971961590791487,0.5002441697157852,0.5177301902547695,0.48051250572814935,0.5146270122777132,0.5023626175685824,0.4971336823418328,0.49589237349374066,0.5016227509515829,0.5233374760530145,0.48513423967914465,0.5216179842328094,0.49255628304544513,0.5025584042323359,0.48650562337273867,0.5007881658443697,0.49404101078276835,0.4813222439891705,0.5220185352799651,0.5115824174759772,0.48519978564857646,0.492389471032242,0.5051029973748647,0.5094630494019764,0.5118650282469505,0.4782348241909422,0.5121073551403306,0.50010615827624,0.5360738219931394,0.5254841921032434,0.4987907609199677,0.49937867865021024,0.5078499671388037,0.48808797977432794,0.5137934240717248,0.47865454232843174,0.5077902147599904,0.5015358158550751,0.5121668167024207,0.498413755517349,0.5144746309984259,0.5027779842418705,0.5049853874954239,0.49779517545076557,0.49918186248522944,0.4952972176509104,0.49473086530600374,0.49608017147650507,0.4999733017677988,0.5053824378604963,0.5115476929684271,0.4972948755911375,0.4989534887726091,0.4927677433477046,0.5000133962961317,0.5133324300980137,0.4764171365432275,0.4960248568778221,0.5058904902306631,0.5150378909783484,0.5080080445040528,0.505573552489665,0.517617092624119,0.5039917807105736,0.5159608566016088,0.4941385945018492,0.5198677534315121,0.49307211249312155,0.49817458783406005,0.48565119266688966,0.5034253336523161,0.500295296957975,0.5032761133978856,0.49916495754632917,0.4906455021679575,0.5301102537877339,0.5041851369671773,0.5042456284081768,0.5201662261109565,0.5001639488933074,0.5022508141570782,0.4984568492222863,0.5203417484134168,0.5150452081589714,0.4964551171572776
Fscore,0.00025904725081129474,0.0002567706260667694,0.00025814982642796984,0.00025779820706373633,0.00026681876132803246,0.00026578738992249,0.0002598513605743584,0.00026263901236140937,0.00025981088400558826,0.0002673505625909873,0.0002530083396556916,0.0002679621857814298,0.0002645094495511471,0.0002518717103633367,0.00026967011839559965,0.00025478955881845413,0.0002492473926315582,0.00025666582024775367,0.00025155417953571667,0.00026621450284809267,0.00024402175518083903,0.0002555007363202915,0.00026376032925860577,0.0002564631936374236,0.00024977047504211173,0.000251784112329898,0.0002649238356804152,0.0002564850210866539,0.000271503363081654,0.00026068502691385393,0.00027344262285492957,0.0002617495684507233,0.0002520142170239788,0.00025921776230913255,0.0002633834218846248,0.00027427657605521384,0.00026719051005510324,0.00025755635184569547,0.00025846490637797,0.0002693519555360964,0.0002572152922722404,0.0002708001406630943,0.000248624750759319,0.0002668501589969753,0.0002675175693643432,0.00026623759474737787,0.00025686349441460054,0.00026305023953268836,0.00025261445359745025,0.0002634862040220504,0.0002673474702064828,0.00025792304975500943,0.00026547175431966693,0.00026185973948424226,0.00026087213083442293,0.0002624071222088858,0.0002595204621878935,0.00026719095924374725,0.0002650405892364293,0.0002600932259889871,0.0002529749623813971,0.00025701156792761273,0.00025828019227328643,0.00026023644340528244,0.00026388122721953246,0.00026609809850407267,0.0002568068912910269,0.0002557406889812447,0.0002551316084359889,0.00025935973571850876,0.0002533426059772388,0.0002522786214071736,0.0002695824798703027,0.00026570262917154704,0.00027014343383015965,0.00026192902711328194,0.0002546099612452422,0.00026773635025952844,0.00025083628612020446,0.00025490053503130427,0.0002501812025622665,0.0002743001000402974,0.0002712132483716166,0.0002601014428470825,0.00025302091911773425,0.00025031450322026615,0.00025748123305745273,0.0002586465771905994,0.00025670821764088006,0.0002527096966779442,0.00027410519037182645,0.00024696239340776826,0.00025072878547198577,0.00027113383872096053,0.0002632679229052486,0.0002700291879261242,0.0002575455909500461,0.0002495997348374801,0.00026757130809289704,0.0002635242703171809
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5313010375736994,0.5304162731829233,0.5308291855897691,0.5269406484654656,0.5305582037506044,0.5320800114682102,0.5294658045225892,0.5305660134770959,0.5277961876049988,0.5307525481138131,0.5376084353260114,0.5231667729556424,0.5396408293987994,0.537088025169226,0.5386556963027369,0.5255343051822388,0.5278266816526455,0.5236433051384995,0.5148483726388471,0.5289115954973348,0.5300900654545393,0.5278231875037935,0.5193708930761017,0.5336200302529688,0.5325736735412393,0.5205048515061894,0.5264573531027582,0.5219112878599447,0.540510805546892,0.517624361143026,0.5244749726555877,0.5308932908722644,0.5152995958117137,0.5291102380041424,0.5426505922535528,0.5352379899452344,0.5309849719835571,0.5179293632554638,0.5311078487696307,0.5309849135450744,0.5270332072877154,0.534185630804778,0.5346398173336732,0.5314353931504926,0.5400402453936334,0.5223688485235329,0.5324516863912497,0.5326633174980858,0.5206157685036681,0.5279892983945018,0.5273598074844738,0.5253876549770383,0.5460924787549487,0.5254458233500353,0.532098518455333,0.538331909196074,0.5242620567805282,0.5342285061744362,0.5330354604535925,0.5291322301113441,0.5294772407423317,0.5240347708426173,0.532181316893035,0.5170433606230495,0.5437978613474032,0.5324630527985029,0.5266753134688968,0.5280074631063894,0.5343496663328634,0.51383690526598,0.5341151997866588,0.5222670024549286,0.5216385980267202,0.5252620387086191,0.5324418685441318,0.535911089138846,0.5233530178198038,0.533779605112744,0.5317094297192513,0.531862453007932,0.5169959601311156,0.5351141005877003,0.5382984069257264,0.5248738129801876,0.5239370817795118,0.5354893437297558,0.5167633048389917,0.5168598082593999,0.5426705816242622,0.5275966147583426,0.5291335413682398,0.5225688665997958,0.5280354590922018,0.5381661289430537,0.531553126225621,0.5321647374986127,0.5280701073883362,0.5285851492604242,0.538604100649128,0.5307768178910449
NDCGk,0.17520346133410364,0.1760346236913281,0.18285401681536537,0.18415738034372456,0.18021026006854868,0.19246205692996682,0.17611289089874088,0.18432953596884585,0.17528097915068308,0.1813249838682363,0.18208307080858557,0.1769479032116646,0.1931513361184379,0.18265656516570403,0.18640510982325117,0.17510714906769625,0.19390179644273098,0.1850588007648426,0.18698604860087367,0.18792994124952309,0.18128342949691048,0.17580438576316842,0.18205759299206853,0.18043925782370826,0.17659098107084037,0.18384126994798108,0.19458484541374738,0.16983654649797647,0.1839914110846669,0.1719649878396002,0.1931050896026484,0.17642325756915586,0.17276034822916025,0.1752406370217289,0.17658842632174165,0.1834813859952451,0.1763467127277522,0.19520836811705464,0.18112015422962693,0.1970991777874911,0.17986091225477976,0.17441046092870852,0.17609223983458305,0.1759298185044403,0.1901824307910405,0.17562521256737415,0.1883689231227974,0.17636125320346224,0.1748351069995604,0.17679761635309127,0.1815792992506226,0.18300490835756053,0.1860397963172269,0.1757740612535215,0.18680475802218577,0.19095143800601605,0.17885524725621446,0.17564687003239982,0.19386702681417667,0.17378792666723403,0.18428528221163423,0.17466464413638855,0.18105492959737038,0.17490142858974705,0.19180746965892037,0.19334434598474434,0.18586639055390167,0.17354286477433808,0.1907158917027112,0.18268698851788057,0.1929134595728243,0.17286219992213547,0.1753643776002054,0.18475064063361787,0.18691017900827223,0.18096517606610626,0.18799487081363778,0.1945829567632574,0.18777765326431745,0.18029456950078238,0.1819771495748035,0.18513395457956044,0.1751562935909529,0.1735395795998509,0.1835580889962262,0.19636637160808607,0.1826630633594859,0.1958772236936516,0.18226716973364993,0.18651191073238577,0.18163507189808623,0.18814827168556306,0.18081376520782338,0.18262235702986493,0.18507759587435363,0.17215626653483512,0.17614901889027718,0.1800685273828236,0.18592339883753825,0.17730250899763314
global AUC,0.5369524478265212,0.531984830835912,0.5287720962467808,0.5223433582782552,0.5407126680340737,0.546761542204229,0.5508231485895031,0.5452605447313053,0.5408767722901029,0.5414391124481168,0.5416403179178725,0.5358672773065191,0.5513928057653066,0.5333553214335304,0.542736817336375,0.5231413308018461,0.5260817574732671,0.5405642147167472,0.5076305131108035,0.5492282188300307,0.523205608125579,0.5272116604228115,0.5256875003360062,0.5325276487155314,0.5425797142846952,0.5129995919851893,0.5533110776021114,0.517883683186347,0.555563203822964,0.5213169710589145,0.5494832733183334,0.5367314842279246,0.5122604883792027,0.5451462663052137,0.5466711775595369,0.5423792244433491,0.5306604449620431,0.5349529335879777,0.5378244466974371,0.5502788631062494,0.5137084865413526,0.549892397110792,0.5282180706247118,0.5688880925364461,0.5556562815554974,0.5399956527916473,0.532737823771616,0.5410598019290472,0.5173621241551902,0.5447570839910868,0.5227643238631647,0.5331709275774487,0.546705764381346,0.5449307636137014,0.5326797504454149,0.5507330060642385,0.5347295678687379,0.5464582538765025,0.5365613504390772,0.5322883017054224,0.519247067577705,0.5229994336423073,0.5282694383673286,0.5296349946828324,0.5471171877156578,0.5418380857866002,0.5261677257687122,0.5229596532644337,0.5208655371502318,0.5297675830190989,0.5413410818562073,0.5096447809255635,0.5351143182945094,0.5444743275755153,0.5543911450292341,0.5421939283785389,0.535869849853341,0.551522452432648,0.5292163116779288,0.5414511561673198,0.5181917337545954,0.5602916175753115,0.5380148224316235,0.5314427285847019,0.5124763844240281,0.5289920720197058,0.5260206883617717,0.5339981213251915,0.5380581752975954,0.5222946180065368,0.5681415079481472,0.5259968044655317,0.5280270939565113,0.5608629757820749,0.5411013705702375,0.549207502760678,0.531756282868506,0.541632355542183,0.5544950080734516,0.5328298539081596
global NDCG,0.2762785792078639,0.2762178230550536,0.27656013508294897,0.27518439044986814,0.2774130945472604,0.2776544622518607,0.27745312341569495,0.27753716714649135,0.2766569510490606,0.27784231058426406,0.27700517120394197,0.2770279321018929,0.277776791298329,0.27591609366609976,0.2776507978097762,0.27561391193332374,0.27548720391593723,0.27676987389742047,0.2749078008729568,0.27697226786338347,0.2759733561408005,0.27585305370580937,0.27566621833443933,0.27678782421739195,0.27721354513591584,0.27554135516310035,0.2774543366466226,0.27534373401189255,0.27821652938464186,0.2750154378604264,0.27708219999015665,0.27753756090865556,0.27490039599969956,0.27734982970029043,0.27734532424752517,0.2770733116174703,0.27578061468861054,0.2760537779157432,0.276338969480913,0.2778631182101993,0.27539691853337517,0.2770650179056287,0.27610581634593767,0.2784747840887786,0.2776085949019258,0.27651298004778874,0.2761080908003088,0.2775728148343455,0.27604386336544656,0.2763123166500231,0.2758051615474204,0.2762960132945565,0.2778685948755002,0.27674995190282814,0.2761259145641207,0.2776197351685947,0.27611658599955596,0.27715641859694745,0.27723152588956457,0.27614774217242316,0.27554490796141246,0.2757951494268445,0.27652748937043925,0.2761962649184375,0.2774956986234313,0.2771761310790857,0.2759291974540055,0.27557679408899655,0.27638573946542466,0.27615724621256604,0.27667662642378993,0.27548751788426046,0.2759198237461734,0.2775154769392146,0.27796737138511635,0.27777527248251,0.27648420233071447,0.27712170442419015,0.2763423422699897,0.27678801272010034,0.2759962734006959,0.2781951955667425,0.2768711820754078,0.2764139394759926,0.2754814287926567,0.2760921247680918,0.2763092930156707,0.27642411089016994,0.2768917145075107,0.2755507919188114,0.2783862812558727,0.2755626460968736,0.2763453042827985,0.278451515817122,0.27731960877066103,0.2767016501992992,0.2768396887350572,0.27631012362268653,0.27715744281768684,0.27656661145125166
