,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.8804347826086957,0.4782608695652174,0.47282608695652173,0.7608695652173914,0.6630434782608695,0.5543478260869565,0.4782608695652174,0.657608695652174,0.4782608695652174,0.30434782608695654,0.6032608695652174,0.31521739130434784,0.4891304347826087,0.592391304347826,0.42391304347826086,0.6304347826086957,0.7119565217391305,0.592391304347826,0.6141304347826086,0.32065217391304346,0.391304347826087,0.33152173913043476,0.33695652173913043,0.6630434782608695,0.5760869565217391,0.657608695652174,0.27717391304347827,0.43478260869565216,0.41304347826086957,0.45652173913043476,0.5380434782608695,0.5543478260869565,0.5978260869565217,0.3804347826086957,0.5,0.8152173913043478,0.3532608695652174,0.483695652173913,0.42934782608695654,0.5380434782608695,0.375,0.30434782608695654,0.5760869565217391,0.5163043478260869,0.5652173913043478,0.375,0.32065217391304346,0.6956521739130435,0.25,0.625,0.45652173913043476,0.6902173913043478,0.33152173913043476,0.8478260869565217,0.592391304347826,0.3532608695652174,0.5869565217391305,0.5163043478260869,0.6086956521739131,0.5760869565217391,0.625,0.7119565217391305,0.5,0.717391304347826,0.7554347826086957,0.47282608695652173,0.47282608695652173,0.5163043478260869,0.4945652173913043,0.3858695652173913,0.5869565217391305,0.5869565217391305,0.5054347826086957,0.47282608695652173,0.6847826086956522,0.7336956521739131,0.625,0.5489130434782609,0.6413043478260869,0.7282608695652174,0.2608695652173913,0.42391304347826086,0.4076086956521739,0.5380434782608695,0.5706521739130435,0.8369565217391305,0.483695652173913,0.3423913043478261,0.45108695652173914,0.31521739130434784,0.6902173913043478,0.3532608695652174,0.42391304347826086,0.5271739130434783,0.33152173913043476,0.3695652173913043,0.44021739130434784,0.657608695652174,0.5054347826086957,0.33695652173913043
AUC,0.5724045402907476,0.389752098836919,0.5498184881585668,0.47055921412090795,0.5385456925902181,0.5481618720375587,0.4719057036050616,0.5485517420034662,0.48647086031423825,0.5118441490620931,0.49401693183593076,0.4394167348431731,0.4218659603445215,0.4840256316453324,0.43509636894307835,0.6081445045058194,0.42607425969446683,0.4852423465023792,0.4987977965983319,0.4808834866451108,0.5005254084432127,0.5743250370567179,0.40928875298103284,0.5250602963817969,0.5884582657213597,0.5614808330024642,0.49157273748928104,0.45215677759887585,0.5495055288635946,0.5055984937936282,0.5030114993185576,0.4906102424183795,0.44067045257652,0.5081929176814202,0.5043539148432729,0.5717107752520688,0.5787170354053834,0.5440787979624708,0.4751737876147926,0.5608713293087713,0.5368226707280893,0.6292095098239457,0.543828419089515,0.49725143155165,0.5073737450278467,0.4792002076526233,0.48952326088083076,0.5083219862404704,0.5038450770932665,0.5119445637806159,0.4758353203133815,0.5224267076349625,0.6103256946887432,0.5146530330877548,0.47043744361091794,0.5585821760254092,0.46924888835927236,0.5301395345011307,0.5414806409558127,0.5079466962566006,0.5552017475344754,0.5010927403207628,0.35843104395609837,0.511975773498669,0.5054387192587619,0.47163112635543847,0.4880388259479667,0.5143801136204049,0.47236443795652283,0.5931240960312261,0.5948572684546647,0.5023402009689139,0.4641213180430716,0.40264277442774715,0.4778669477356412,0.5192872650954587,0.5240194201325956,0.46777155286588884,0.5809450120620456,0.4754929050869688,0.5756554315022568,0.5216077742504283,0.5130484905800742,0.501571768175261,0.4997423364455521,0.5472237515736873,0.5018326993240521,0.5161577230827495,0.4720437215705756,0.6051416506938491,0.49442947146513666,0.5447517945338645,0.524996955439863,0.5302989530759542,0.45961336270057307,0.46988356527564534,0.40882694755642923,0.5133882911164624,0.5664158337245112,0.5434368223186605
Fscore,0.00033887195037592886,0.00016638833690805357,0.00021293587736556928,0.00026857372830627876,0.00026163513194409917,0.00032025010105427064,0.00016052954809309215,0.0003065708075366761,0.0001842277125221965,0.00014798493457549483,0.00028949822130916615,0.00015918134400329424,0.00019983900814481292,0.0002679201864894472,0.00017280397587898466,0.00025558525053559695,0.0002499806167582828,0.00025229166186607337,0.00020840862966234772,0.0001387255351254589,0.00020290056294355164,0.00018720418363604702,0.00013766095889114342,0.00029602782528090414,0.0003232864907896796,0.0002856149060068167,0.000109670688136681,0.0002558143446953746,0.00028224136358755917,0.0002603342440567063,0.00028369023178841373,0.000289356648311875,0.0002453620081055529,0.0002282170350378809,0.0002107480555764681,0.00029806605502858096,0.0002411106538422083,0.00023928689305744425,0.0002941593718100782,0.0002660599533625259,0.0002679027974124389,0.000339418207477855,0.00025756885904009824,0.00034987686698737035,0.000253610325573645,0.00018254729389290141,0.00011243563766571613,0.0002750869932634651,9.520296892481087e-05,0.0002512247486898237,0.00027106839264830223,0.00028258399821663694,0.00043727423064140786,0.0002698272201516911,0.00023377578701661516,0.00016867450961450511,0.00021283088523309574,0.0003056164387677293,0.00023578842401178918,0.0002487842250695284,0.00030022303858034255,0.0003124171508916359,0.0002296367932880323,0.00026156088327666555,0.0002779136393580867,0.00023751623203750665,0.00021468188995703844,0.00019646197562592547,0.00023980172425439972,0.00019604206221375027,0.00027528807946281366,0.00023262990983492136,0.0001826720157030377,0.00019264967110645145,0.00027984404918121467,0.0003016228075327771,0.0002791786635785263,0.00020719951597275888,0.0003048802756020484,0.0002668905040269087,0.00016454027562827709,0.0002315865071030227,0.00014465678175632626,0.0002717942507869719,0.0002244275645318099,0.00031151317674728935,0.00021115985975223725,0.00023968497231443114,0.00022752762629056224,0.00020752383019769448,0.0003270690096056187,0.0002530506342199163,0.00021380691775107642,0.000238574878752466,0.00017443941327270526,0.00020441995994325714,0.00018630691752416544,0.0002712079396345152,0.00024197305477064238,0.0002263059193127199
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.743432665929254,0.5628177098908035,0.4681439120099072,0.6752946398779316,0.648365816106304,0.5107992051255533,0.4698764067799802,0.564016663384626,0.4933903647331177,0.5827936256928098,0.5989967345828876,0.3974020838000746,0.573960622972106,0.643382027247584,0.4732909597202158,0.492818169323401,0.5652036984499826,0.6031333984223334,0.5523329241504192,0.39450507207347507,0.47361974117334427,0.36335249499218464,0.5462848332050045,0.6129689906926549,0.5205760198182331,0.5947328891712808,0.34445122403645,0.5661296726195034,0.43271546979379016,0.5013669946470916,0.5122628713786003,0.515849601870628,0.6183150734027202,0.3953845614878544,0.5052695413466063,0.7690704562182189,0.41545435477001286,0.5132432474512761,0.33665277915269226,0.4813837997532533,0.4066398617372418,0.4145619408886282,0.5755030897933349,0.6466393682604026,0.5376913124794532,0.35148858773095276,0.41749761725574747,0.43145457901143097,0.3460855771567335,0.6210511631932873,0.5204634481168977,0.5832385583316162,0.409769459046249,0.7195820972017206,0.49088716923073694,0.40215684997313134,0.5354653850539125,0.473759662215894,0.4731618131173925,0.47793056886375934,0.6094645053254468,0.5784437411291967,0.5556852426744752,0.6044985274578604,0.6746407135739694,0.5734340664271512,0.48862333937610214,0.45326766390102996,0.49765294702173724,0.45379489994640354,0.5668542360565894,0.5565584599254644,0.5833107212101234,0.504217022336685,0.551424402555802,0.5703073785399386,0.5942045134462834,0.5336996632246496,0.6231156738158975,0.6194304542327081,0.4721041389073453,0.4201548263955531,0.4322791965715157,0.4860534164118428,0.5789343821403615,0.44659631256734944,0.4362546649654242,0.38755430446669525,0.47025929295446656,0.3822802160660865,0.7217967449462496,0.38676914899520487,0.42383261512567977,0.4799635818659954,0.3945688034927305,0.4796130241540983,0.5695940863202716,0.6653988578410058,0.48667830534306056,0.4001528305320844
NDCGk,0.19936661273807058,0.17750104315370038,0.17718155915800088,0.17093794972263412,0.19251475398000503,0.2053975020657539,0.18001897167065667,0.1812342223275357,0.19147962977804645,0.1730697298529103,0.18118012646611226,0.16606376073777387,0.18100335115071992,0.17826579400593826,0.1597422585032406,0.17823476620944273,0.18004753328642167,0.1834984350986033,0.18006885897295308,0.16864838116872913,0.17847125167129196,0.1807318581498748,0.16785772844127073,0.18464546664028697,0.1904085435280531,0.1939014010773569,0.17324254589893567,0.18289504134106344,0.19563459694089413,0.1753924857307107,0.17559664111233375,0.16725012868311978,0.1882490540209219,0.1843423211605931,0.1715330526618287,0.1875327735941919,0.20435822966674427,0.19057171419298702,0.1948840302168391,0.19179018516974347,0.18257110957248296,0.21398453260880168,0.1751839726360317,0.17752854424140813,0.17953048458210008,0.17981730018036352,0.17279283548312593,0.21797315350409052,0.18314229657257336,0.1865998204057655,0.18223212722536303,0.1797522870415193,0.21945532194312306,0.1868434220124774,0.1793424167972221,0.19717618096513076,0.17777274778733718,0.18220115796071604,0.18900650183653012,0.18531375800555128,0.1820263872975084,0.19020082797592597,0.16620403144668688,0.20294505598945003,0.19439108399032876,0.18708755707415498,0.18309739104763606,0.1779429827783102,0.17026285866415863,0.19086676891974047,0.19001458743634309,0.18428258111909648,0.17829728385690585,0.16056560144426904,0.1991943498793199,0.1844936135022352,0.19907992590952717,0.17906499216470043,0.21260780213629196,0.17191699273406985,0.19267039724192472,0.18219319160284747,0.1686733327049893,0.1843329459569024,0.1832202275781602,0.186469211260041,0.1734471421142378,0.18747765136273323,0.17387395502827996,0.19232842714324,0.19590329088352063,0.19642599291251028,0.1842458690284298,0.18133324691516162,0.18594511178645584,0.16941985129806772,0.1654466043236101,0.18391022684839886,0.20021312803052096,0.19196006587258316
global AUC,0.8499712905390087,0.48491525421757464,0.47459749665880685,0.7375173687699685,0.6621456166115428,0.5513889481566343,0.4806370716981738,0.6468630019970135,0.482951439821098,0.3559684100748901,0.5973032977875911,0.323084155484297,0.49725603755819503,0.5926735309076,0.4202770292236408,0.6138981584396517,0.680627476300455,0.5873236996912258,0.6062220252293035,0.3385898781595301,0.40733454697019156,0.34539813018929133,0.3678263170884026,0.6517540992487628,0.5685838850381439,0.644656413489591,0.28970417798662657,0.45178293584283713,0.4163630167554361,0.46412898785627377,0.5311318978889303,0.547275848834157,0.5997186333251072,0.3739856855773149,0.5071759662993103,0.8112467569594362,0.3613644550554601,0.48570722628579976,0.40919459847811973,0.5323896608579135,0.38345046495750873,0.3291199536856925,0.5733448873451619,0.535230502101434,0.5639159895411119,0.36607991964904835,0.33994237223729307,0.6423627969751283,0.27189178786708795,0.6271250763315431,0.470576131044401,0.6581717078224186,0.35462147948300127,0.8251686526157351,0.5751683166096198,0.373376546067524,0.5758661690032704,0.5100558569458616,0.5820784358395805,0.5564171431728778,0.6301580064558148,0.6833360611752893,0.5035585906916175,0.6950751326797686,0.7383513949112961,0.4900309634804774,0.4705986297231216,0.513531929058667,0.49186125179285106,0.4113199470069247,0.5953912251020762,0.5792469438046831,0.5137229937669314,0.46993040402254105,0.6619181582408911,0.7066599087221294,0.6297484513478134,0.5465419492844258,0.6445395802862317,0.6994387802931483,0.3058870628327817,0.4267657418606654,0.40669460636134014,0.5265501548445414,0.5754674589772717,0.7656751214507028,0.47832399590646335,0.344629061460998,0.45666883388457297,0.33718000296047235,0.700977416104959,0.3599231697462575,0.4327050659215568,0.5189311483277803,0.34639750526314805,0.39677209134238367,0.46096426741026025,0.6633514189809647,0.4957258923624569,0.35126508208681095
global NDCG,0.30318761070414485,0.26976380297954894,0.2732798056680923,0.29012137086534096,0.29015526945437264,0.3055730461381299,0.27644419595263825,0.2923258300416791,0.26982386393073765,0.2642647016307456,0.28153806828367295,0.2701157005199143,0.2769678279638878,0.28462465638435125,0.26895763384333765,0.2824935906222344,0.28146171154190625,0.283283406564341,0.28833475384775387,0.26463671950954587,0.26412613799078744,0.26529859251951887,0.266930708229,0.2895597522052914,0.2786243377223124,0.29277665853246504,0.26093188854452753,0.2698757379740755,0.27044967200018016,0.274684881519426,0.27831526917267835,0.27499828655653275,0.2832015561033022,0.26996234564566696,0.28302059535731267,0.33323795418502233,0.2614126388466138,0.27359442797790356,0.2649403311867416,0.2772884449108399,0.2609500195557448,0.26006961295717573,0.28733601340206183,0.2863957264322839,0.2833547715405533,0.26267733680794797,0.2597201395722507,0.27609745603661606,0.2572352599920141,0.27957587124874633,0.28113782345271227,0.2809926339724991,0.261516210591181,0.3089065366003842,0.27777141447390513,0.2692977770564102,0.2795503138075714,0.27225221996852894,0.2730790337670326,0.27109438333972097,0.2960442968981911,0.2840728115380614,0.2757709281436196,0.2908053873508076,0.2990723362891563,0.27395231947163884,0.2728701297562168,0.27316503480599086,0.2786081531035314,0.27470316837563974,0.29665585637620234,0.27980140405505866,0.2756319027123251,0.2695150364525886,0.28582953360031804,0.28442423121785604,0.3032592188397618,0.2734631701967982,0.29868926370832405,0.28938385014040674,0.25950463130729623,0.27608296728077014,0.26603049865699707,0.27133173745649486,0.2895840765270037,0.28161202194153023,0.26829092923382925,0.26248148571094687,0.26837546738258355,0.2637009832090085,0.2987663865809804,0.27754203465976784,0.27269746633657604,0.2710293743358673,0.26050060114907153,0.26666208053161583,0.2677714525247195,0.29624336225034675,0.2802196986059951,0.26917751493773046
