,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0013125973731071,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.020671834625323,0.015503875968992248,0.023255813953488372,0.023255813953488372,0.020671834625323,0.023255813953488372,0.01808785529715762,0.020671834625323,0.023255813953488372,0.015503875968992248,0.023255813953488372,0.023255813953488372,0.025839793281653745,0.01808785529715762,0.023255813953488372,0.020671834625323,0.020671834625323,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.020671834625323,0.01808785529715762,0.020671834625323,0.025839793281653745,0.020671834625323,0.020671834625323,0.020671834625323,0.025839793281653745,0.020671834625323,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.020671834625323,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.020671834625323,0.023255813953488372,0.023255813953488372,0.020671834625323,0.025839793281653745,0.023255813953488372,0.020671834625323,0.025839793281653745,0.01808785529715762,0.020671834625323,0.015503875968992248,0.025839793281653745,0.025839793281653745,0.01808785529715762,0.01808785529715762,0.020671834625323,0.023255813953488372,0.023255813953488372,0.020671834625323,0.020671834625323,0.025839793281653745,0.023255813953488372,0.020671834625323,0.023255813953488372,0.020671834625323,0.020671834625323,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.01808785529715762,0.023255813953488372,0.023255813953488372,0.025839793281653745,0.020671834625323,0.025839793281653745,0.025839793281653745,0.020671834625323,0.023255813953488372,0.020671834625323,0.020671834625323,0.01808785529715762,0.01808785529715762,0.025839793281653745,0.020671834625323,0.023255813953488372,0.020671834625323,0.020671834625323,0.020671834625323,0.023255813953488372,0.023255813953488372,0.020671834625323,0.023255813953488372,0.020671834625323,0.015503875968992248,0.023255813953488372,0.020671834625323,0.020671834625323,0.023255813953488372,0.01808785529715762,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.01808785529715762
HR@2,0.0051679586563307,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.0,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.0,0.0,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075
HR@5,0.0103359173126615,0.007751937984496124,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.007751937984496124,0.0103359173126615,0.0103359173126615,0.007751937984496124,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.007751937984496124,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.007751937984496124,0.012919896640826873,0.007751937984496124,0.012919896640826873,0.012919896640826873,0.00516795865633075,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.007751937984496124,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.007751937984496124,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.007751937984496124,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.007751937984496124,0.007751937984496124,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.007751937984496124,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.0103359173126615
Lin's AUC,0.800860120285036,0.8292707282141674,0.7870796704507214,0.8108712035644305,0.8214374311835849,0.788126586797524,0.8110227946424093,0.8232980155103801,0.8086361138014736,0.8215918643986686,0.806584510644142,0.8066007898020424,0.8178949752673367,0.8062883005979306,0.8301398773769944,0.7922421472019875,0.80635088587869,0.8175223099116845,0.8009668336945526,0.7930676967142665,0.8100193784879055,0.7914427342947381,0.8090201343253532,0.8082430388661579,0.8324454107608791,0.7830369134901694,0.8050453188236146,0.803984294626295,0.7978199553237146,0.8034463293824577,0.8295478038305788,0.8029063199079617,0.7992765730225619,0.8080770495418756,0.8301489596052822,0.8038017576657125,0.8102442540155743,0.8071611904990115,0.7986457785702425,0.8296556358947285,0.8166696872370375,0.8200107594288373,0.8274167305924637,0.8356053887518171,0.8069696567019465,0.818321427243673,0.8149113515285593,0.8152211660446866,0.8226718341283286,0.8059188863307363,0.8154540291193924,0.803156098991155,0.7984946207520803,0.7931620746990591,0.8571013429806712,0.8153080251767899,0.7993210406567309,0.7826780508876178,0.7978707908331801,0.8009149380828354,0.8182940728915625,0.8047885948549902,0.8077830074908806,0.8039483134082419,0.791113468139918,0.8346449789454664,0.8033423953799378,0.8037525015312746,0.7946784145663952,0.8150921165051918,0.8153566184132516,0.8082621737172894,0.802224616919267,0.8275080004195704,0.7758258296789805,0.8313519916422479,0.8116156992473792,0.8026691248415011,0.818604373734091,0.8172817615952976,0.7846427350401538,0.8169377279642422,0.8030944660314674,0.8238676033267515,0.8442459467052671,0.8134236303177754,0.8128276020335022,0.8176174027353538,0.8004499332091368,0.8084736971362705,0.8046103122830929,0.8168945324765332,0.7986129862571211,0.7989982962184954,0.8148686559879749,0.7845722324524091,0.8015843901468171,0.8067982912327833,0.8222920876192106,0.7975779789744176
NDCGk,0.2309710773455809,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.9631440804451796,0.9692213397278948,0.9612363829512552,0.9678005989153543,0.9673775783606777,0.9646985249099922,0.9635588491519514,0.9704296320775152,0.9650041641489114,0.9679732948159673,0.9649411836461795,0.9673106219041795,0.9687490452479441,0.9636696038780979,0.966198463931417,0.964390186207726,0.9657068546865906,0.9661498317390317,0.9633550292062402,0.9649062650066097,0.9677290387229158,0.9638103386907149,0.9662223196540156,0.9673141863118543,0.9690610599636048,0.9625977285948113,0.9652571254881042,0.9658276818289454,0.9645324416482748,0.9633608466543827,0.9704626115677041,0.9646780801372036,0.9628131276339472,0.9663835620176383,0.970359557636221,0.9631354031004683,0.9683937065869443,0.9645591433167273,0.9639120952057056,0.9676606802195631,0.9661010181873517,0.9652948691474553,0.9701626990972799,0.9691260912214373,0.9638881697295322,0.9670882963350608,0.9685231413204356,0.9661014646102308,0.9680006870448108,0.9660979211286285,0.9682031258697399,0.9663615756908456,0.9658914365963581,0.9626997501733865,0.9705993355497672,0.9660965121064164,0.964826543645914,0.9627088181381169,0.965224676125084,0.9657808771802212,0.9681462139280199,0.9643124388731986,0.9660251262979154,0.9664616092925378,0.9632264175649321,0.9683323234410766,0.9639686723302663,0.9656395145854306,0.9651386699672941,0.9660309158446277,0.9675913870183072,0.9662680291716147,0.9644090754757954,0.9693135330277736,0.9605793391529578,0.9711525023243984,0.9651834726884202,0.9653078433123775,0.9687116294303949,0.9673780457096292,0.9610960317833,0.9655331264330698,0.9643443860104798,0.9692434864879095,0.9713505606248268,0.9660269468662189,0.9653703215893704,0.9651184414305878,0.9638660857477347,0.9651644369378437,0.9669289652193888,0.9679732250623926,0.9670244020604983,0.9655053366088495,0.9666406457931047,0.9628378064487292,0.9643519193965635,0.9675342169883605,0.9669278631129062,0.963124354134212
global NDCG,0.7658519970495495,0.7730638935900638,0.7758123017428453,0.7876584180445245,0.7783936990040238,0.7884803880106188,0.7610143810472201,0.7863120404682559,0.7772569519616259,0.7670917824812954,0.788113140157055,0.7872148573350711,0.8094988634964175,0.7559597734223581,0.7832215165280766,0.7811520951037638,0.7639439514143684,0.7907681869257319,0.7747424737821893,0.7876430736360838,0.7595191925896849,0.7627234234603937,0.7829105600058164,0.8009572172220935,0.7972698053260479,0.771273697622397,0.7769113601626427,0.7835042440730349,0.7679244901755936,0.7779397119493601,0.7990260397647375,0.7849019455356802,0.7684137919720178,0.7822298236328648,0.7803960600150773,0.7872889070667172,0.7820605507453595,0.7690641607177353,0.7739438264275809,0.7941269771561751,0.787271548836685,0.7850429416028171,0.7830699578510798,0.7946199112748541,0.7717825768510872,0.7864694181143927,0.7682206002740237,0.7977862756961336,0.8075308462832542,0.7686536979443213,0.7845631888893012,0.781871304986521,0.7798535927418381,0.7748323257622077,0.7716225298264411,0.7669002298275561,0.8049984066983,0.7621088596754615,0.77181802031047,0.79603601203884,0.7781101790515529,0.7637972444701057,0.7903640830963166,0.7840503081626775,0.7903846926378599,0.7681777142146865,0.789576695367905,0.7717249280971927,0.7959430083995601,0.761494742153484,0.7842888662904748,0.8055335369005977,0.784889400079414,0.7960637154889616,0.7825282623903302,0.7954480182087441,0.773669517037644,0.7604753943316135,0.7867516401572174,0.7899981383862282,0.7773775646198434,0.7692519739657797,0.747117296527181,0.7465469327892337,0.7923152973828762,0.7863963531744583,0.7665285111900526,0.7817404469594974,0.7663966409034835,0.7849627459052967,0.7727474314094809,0.7968627679937297,0.7840905928504409,0.7922467353738192,0.7713105062695661,0.7694401425419221,0.7860020544040331,0.7924429557800112,0.782629530540487,0.7712527562802773
