,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.5219638242894057,0.6201550387596899,0.5710594315245479,0.5503875968992248,0.5142118863049095,0.58656330749354,0.6046511627906976,0.5736434108527132,0.5581395348837209,0.5891472868217055,0.524547803617571,0.5736434108527132,0.5891472868217055,0.5581395348837209,0.5038759689922481,0.5684754521963824,0.5322997416020672,0.5555555555555556,0.524547803617571,0.5607235142118863,0.5426356589147286,0.4935400516795866,0.5452196382428941,0.5968992248062015,0.5426356589147286,0.5555555555555556,0.6201550387596899,0.5219638242894057,0.524547803617571,0.5478036175710594,0.5219638242894057,0.5297157622739018,0.5710594315245479,0.5607235142118863,0.5426356589147286,0.5142118863049095,0.4935400516795866,0.5581395348837209,0.5348837209302325,0.5710594315245479,0.5503875968992248,0.49870801033591733,0.5891472868217055,0.5658914728682171,0.5297157622739018,0.5503875968992248,0.5529715762273901,0.5633074935400517,0.6304909560723514,0.48578811369509045,0.5788113695090439,0.5503875968992248,0.5297157622739018,0.5064599483204134,0.5452196382428941,0.5426356589147286,0.5658914728682171,0.5529715762273901,0.5658914728682171,0.5142118863049095,0.5736434108527132,0.49870801033591733,0.5658914728682171,0.524547803617571,0.537467700258398,0.5710594315245479,0.524547803617571,0.5788113695090439,0.5788113695090439,0.5322997416020672,0.5762273901808785,0.5503875968992248,0.5891472868217055,0.5968992248062015,0.537467700258398,0.6020671834625323,0.5452196382428941,0.5478036175710594,0.5038759689922481,0.5167958656330749,0.58656330749354,0.5400516795865633,0.5658914728682171,0.5684754521963824,0.5607235142118863,0.5400516795865633,0.6046511627906976,0.5116279069767442,0.5581395348837209,0.5271317829457365,0.5271317829457365,0.5478036175710594,0.5452196382428941,0.6124031007751938,0.5478036175710594,0.5762273901808785,0.524547803617571,0.5193798449612403,0.5193798449612403,0.5322997416020672
AUC,0.5339554154259195,0.5349973203116188,0.5184366368653669,0.5307880869291584,0.515074310105386,0.5516383924952112,0.5495041592810878,0.5569083312641935,0.5324461805531157,0.5175650300396827,0.5374711552682625,0.5229015085605753,0.5290800102158957,0.5463756105176618,0.5248926797755259,0.5254143173262915,0.5373735187126687,0.5416077289156316,0.5322004310955871,0.5367585739279965,0.5381515012492042,0.5179446709674548,0.5315014195147924,0.5421521721155537,0.5171001481498922,0.5204934501979405,0.5415327752630262,0.5175234750756031,0.53440416076421,0.5214176281833487,0.506515901479114,0.5332478283743155,0.5366493249707999,0.5044764501752143,0.5566620435154277,0.5201310136593154,0.5263071064305068,0.5315625837002887,0.5338772880501121,0.5546603623589793,0.5396809773978792,0.521717665642601,0.5286485491900756,0.5371798308073209,0.5039284145316655,0.5285850902926871,0.5230718084935566,0.5315230694822899,0.5509936293408552,0.4911094647069141,0.5564226245475966,0.5357290554431132,0.5121741790415747,0.5130348290114631,0.5359667949001891,0.5266366998803321,0.5235709908074465,0.5173103309751866,0.5438965900563253,0.5262562741726926,0.5138416908260911,0.5193075575166881,0.5453436706999644,0.5106253406710816,0.5267543568529768,0.5340894421088466,0.542626204287042,0.5621599504444652,0.5394972763242262,0.5376288849789295,0.5276929131884133,0.5359514597413946,0.5296853917619818,0.5581467734151994,0.5067342774922796,0.5457644893035027,0.5228065546593642,0.5515073805070667,0.5199822015640507,0.5243274655508429,0.5493998117782153,0.5400185686519039,0.5431844782620515,0.5533429249576668,0.494498898065885,0.5214997421179989,0.5645483600216887,0.5226670825864851,0.5337325804787686,0.549249996452848,0.515426373433833,0.5418651352005808,0.5224860517151689,0.5668530015623413,0.5339960436556295,0.5389885350962882,0.5356089387794093,0.5324639404406446,0.5324261519429417,0.5439101434644089
Fscore,0.0012310800479225525,0.0017989753724284593,0.0010531519547049865,0.0013065279609829064,0.001304294637285533,0.0012625474656045368,0.001381075685879812,0.001379734444191248,0.001263634886239812,0.0014348511878192831,0.0017627601683678914,0.001284073239383424,0.0017402432402147889,0.0015204679370072374,0.001418666666610402,0.0014314022740242029,0.001581027177405002,0.0014045568297116069,0.0012022448427477077,0.0013480555358141254,0.0013490286522280467,0.0011933443855529258,0.0013088363913857613,0.0014693764287090417,0.0014149328289411976,0.001409394978566043,0.0013431089367906227,0.0014062962294164576,0.0015360511038391002,0.0011720030835615613,0.001460180530428116,0.0013722624187767292,0.0013431434944539892,0.0016197251234718667,0.0011876516276268297,0.0013869552379257826,0.0014566520235930872,0.001564850047086157,0.0011781733919388581,0.0018134400732812582,0.0011867424460928226,0.001396099476075401,0.0013274777155436604,0.0012907336183046619,0.0015521493498940407,0.0012939650983588183,0.0013263499143729826,0.0018238885387999826,0.001753029084043768,0.0013449188343672906,0.0015491737087827391,0.0012334046723428153,0.0015400066825513913,0.001345119435670287,0.0015477996627784475,0.0013855820611091286,0.001357043559465666,0.0012560014743612656,0.0013103119731671317,0.0012323471828564272,0.0013649387373394952,0.0012382765662768728,0.00131253667865531,0.001499410733845645,0.001570232449413867,0.0014722277016549876,0.0012686964788023625,0.0017482258445451317,0.001624668633498068,0.0012614874569333969,0.0013767662659909443,0.001388718209003776,0.0015494905249958861,0.0017146714536485465,0.0013500415981400169,0.001478584226219578,0.0015098684940821122,0.0015941712143437738,0.001204170610036021,0.0012618532581110977,0.0012602557047307731,0.0016982563731785172,0.0015116708905007082,0.0015330192844552593,0.0014827368411944911,0.0012975706152072604,0.0015540190635364955,0.0013725652091837002,0.0012602570245051773,0.0013930586358856722,0.0013004282805916467,0.001387031715597725,0.0012548972257123464,0.0012838201117328254,0.0014517190898506126,0.0013391558556289382,0.001348968716832858,0.0011975522179859977,0.0015052379145346542,0.001316421786306214
HR@10,0.002583979328165375,0.007751937984496124,0.002583979328165375,0.007751937984496124,0.012919896640826873,0.00516795865633075,0.002583979328165375,0.007751937984496124,0.002583979328165375,0.007751937984496124,0.0,0.002583979328165375,0.002583979328165375,0.0,0.00516795865633075,0.0,0.0103359173126615,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.0,0.002583979328165375,0.007751937984496124,0.00516795865633075,0.0103359173126615,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.0,0.0,0.0103359173126615,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.007751937984496124,0.007751937984496124,0.0103359173126615,0.00516795865633075,0.007751937984496124,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.0,0.00516795865633075,0.002583979328165375,0.007751937984496124,0.002583979328165375,0.00516795865633075,0.007751937984496124,0.002583979328165375,0.012919896640826873,0.007751937984496124,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.0,0.0,0.00516795865633075,0.002583979328165375,0.0,0.0103359173126615,0.0,0.01808785529715762,0.00516795865633075,0.0103359173126615,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0,0.002583979328165375,0.00516795865633075,0.007751937984496124,0.00516795865633075,0.007751937984496124,0.0,0.00516795865633075,0.0
HR@2,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.00516795865633075,0.0,0.0,0.002583979328165375,0.0,0.00516795865633075,0.0,0.0,0.0,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0
HR@5,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.00516795865633075,0.0,0.0,0.0,0.0,0.00516795865633075,0.0,0.00516795865633075,0.0,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.007751937984496124,0.0,0.002583979328165375,0.0,0.0,0.0,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.0,0.00516795865633075,0.0,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0103359173126615,0.00516795865633075,0.0,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.0,0.0,0.00516795865633075,0.002583979328165375,0.0,0.00516795865633075,0.0,0.0103359173126615,0.00516795865633075,0.00516795865633075,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0
Lin's AUC,0.484320976135956,0.544240518301179,0.538621279164417,0.510829840555363,0.48896577506326006,0.5134224186024811,0.5384807595060761,0.5053900783714587,0.4794368794805352,0.5340187670932138,0.49382066974232586,0.508236600776601,0.5358222427062543,0.5019805842406336,0.48007381436827834,0.519226922038632,0.4942781792519312,0.48555119303735755,0.5066207185513623,0.47197181389350285,0.4917251438435528,0.45949219574931577,0.49262485870655537,0.5387091958346879,0.5075660263895428,0.527619941403588,0.5519972081991438,0.4729950710402615,0.49350172191426345,0.49179350651179665,0.5095856898299482,0.48986227763141765,0.5258926850610057,0.5248818098538716,0.49772858287392363,0.5009620101472476,0.46270338994423443,0.5103285388816862,0.46950021297676037,0.5159528410220839,0.5002958311832867,0.47079181716615365,0.5299797425632965,0.5293066892338549,0.5019601953471885,0.502755002352928,0.5092008239219791,0.5284044842774649,0.555127540251204,0.4716518797282992,0.5273798935123121,0.502036240231007,0.4843701240423927,0.4861464209277429,0.46774637848283485,0.5262167048828242,0.5211275540112946,0.5132502866497162,0.5053807869233092,0.483064605353302,0.5251186658848328,0.4861862372947043,0.5473267097853993,0.4876404118980149,0.4910153583378976,0.520953013244827,0.49987030913615155,0.5210057581371813,0.5271105937182028,0.5100026161362465,0.5206692319013736,0.5281968960815476,0.5238575063457945,0.5128762573560365,0.4934328283878427,0.5457533829898241,0.4879421451373659,0.5237525882858903,0.48681660864148685,0.4628214039548383,0.506691133196777,0.49538505969884233,0.5198789247933712,0.5152792409052682,0.5408153691023868,0.48527475482657867,0.5485418944552306,0.4889107595911762,0.5255154160092227,0.5090671935949523,0.4954974075236111,0.49823312238550227,0.5057785511599301,0.5304813225339187,0.49637910867756896,0.522056829805638,0.46373946428338464,0.4663659038524808,0.4686604842449346,0.4906307309451781
NDCGk,0.22706464968573462,0.23038078935644313,0.2379891674938189,0.2400808515941701,0.2374608657762622,0.24427039579113316,0.24004081918241374,0.25487396266728046,0.22908084263083545,0.2380831406441669,0.23393318098575655,0.2329352608045194,0.23368532065102046,0.2410958949127247,0.22731504161197505,0.24284016661984492,0.23824523922892088,0.23590997051256093,0.23204576631716764,0.23412755574247146,0.23185921644731364,0.23298964077352122,0.24158902402166157,0.23351885103923237,0.2358669042462295,0.22880653211663055,0.24983949978424752,0.23329648258498442,0.2391464093754043,0.2298403768681818,0.22869361302649133,0.23683854433832557,0.24321184101066792,0.24452912071885774,0.2501798055487572,0.2479304522905077,0.22712350263617334,0.23598995283820803,0.23470799236193823,0.2501851855497324,0.24117770847137351,0.22518769178340714,0.23905193541441408,0.24480584803576885,0.23752773509613184,0.2256041503504705,0.23504358678386608,0.23366486153215432,0.24697092376933172,0.23396097721598094,0.24549877373797147,0.22015395669182578,0.22513608724034606,0.23570365249426303,0.23288676216727264,0.2461613873818182,0.2349558898819651,0.23988527070559393,0.21806919524460106,0.23476357554553026,0.22483014015230263,0.23306814718254296,0.2363844831030864,0.21996742023267457,0.24851113355700533,0.2500118557081277,0.23178240560790786,0.27032069120512014,0.2440240956816321,0.25922656571380265,0.23931025630914973,0.2368018447162053,0.24626135417572587,0.2467126117891718,0.23645605155633576,0.2436995245146502,0.24753466083836745,0.22941474271015036,0.2284300624541072,0.24216077831699567,0.237980644826276,0.23788153214620417,0.23940021283420723,0.2429008142128681,0.21920525687138864,0.2314385044926703,0.23967077895042518,0.23329276530769294,0.23076899301337517,0.22503438911195128,0.23074721743349996,0.23827106822043806,0.23863724024138572,0.24181185527491375,0.22679027341485705,0.24282281655677748,0.2529784782448163,0.24232914635722383,0.24795862310291586,0.23895268354912882
global AUC,0.5271864278962738,0.6205395762671216,0.574121752967603,0.5575998096229632,0.5236523072236495,0.5893641158091258,0.6060704945810261,0.5789336475257555,0.5587321054527847,0.5879551284739478,0.5317856647307818,0.5745964957980307,0.5892591855064795,0.5621456012684213,0.5139861428106232,0.5682643220760271,0.5412072591596697,0.559927291105691,0.5338530002561072,0.5594568450954741,0.5491689182423092,0.5075641753117155,0.5501811402683844,0.5960142333006524,0.5480101579061896,0.5613958131170035,0.6179976234678035,0.5330499412995766,0.5358407051003841,0.5507396152900618,0.5330215934467576,0.5359468491152332,0.5775630037306723,0.5638906543518684,0.5510415366634415,0.5274271195816503,0.5060781033009707,0.5634159184967982,0.537488340341196,0.5778521601998546,0.5570602447954278,0.5089300270362066,0.5921233370433864,0.5685418924764267,0.5372606576975287,0.5567352698655601,0.5578713323884235,0.5692421834911313,0.6257069908455686,0.4993447349178611,0.5836998116402365,0.5553523215398732,0.5345778584798738,0.5163220714512652,0.5480657096532001,0.5523177968963956,0.570714807012645,0.5588319925719697,0.5675284218613619,0.5218260330776474,0.5772472153466124,0.510495457689058,0.5725689825885869,0.5332964225316659,0.5421988759797344,0.5731843765273418,0.5377978439281619,0.5798514511129141,0.5839030875080637,0.5424102153608141,0.5773318543343351,0.5568064115365493,0.5927707687990699,0.597686547356246,0.5440466830542925,0.6029950594658992,0.5508981442396229,0.5538950577555414,0.5148567860058259,0.5243944573586212,0.5908634479744497,0.5471964266527071,0.569685314001437,0.570808597669388,0.5667890130418817,0.5463218981833853,0.6063171153202651,0.5205096854652271,0.562137858621613,0.5372686444818492,0.5337960883143874,0.5526386563653471,0.550762013162946,0.6117895064786701,0.5516127626386015,0.5812390031745409,0.5273550083359707,0.5260831635043046,0.5273537527716234,0.540744207028387
global NDCG,0.5024941794002543,0.5470190100033463,0.5165362851422668,0.5460956234359171,0.5398949311598695,0.529221740438937,0.5274593162413301,0.5348059067153437,0.48603668679318807,0.5410182773713972,0.4936483456769881,0.5027028511310668,0.4948504192152112,0.5013931612250064,0.5085698697813567,0.4872699444960531,0.5242011863303543,0.48351833839103875,0.5112803880360458,0.49739444200546334,0.4998664297656306,0.5198226347692642,0.5131015480238615,0.515761793267888,0.5200758640479823,0.5217151115473195,0.5128305797946326,0.5084186915857674,0.5263132859637614,0.5241390716747202,0.5250082555586969,0.49500945758828074,0.5375342858786861,0.5005889354636126,0.508389992325996,0.5042499514816844,0.5311395708555335,0.5383413381547842,0.5205539139611296,0.524266466460055,0.5151502303077211,0.507092989244822,0.5212811842289918,0.5286518638344186,0.5030439894401044,0.5191882934228812,0.5237063328230843,0.5344721707500758,0.5539824544993219,0.5032572868346242,0.5186478052518924,0.5138630705237451,0.5128445035276925,0.5070903667961899,0.5241325164163327,0.5268453702553018,0.5219829095267365,0.5080377855401716,0.5029998181074411,0.4862342903768769,0.5233276128415236,0.508150213063347,0.5423703893815556,0.5001217075195158,0.5235437645603552,0.5273207389858319,0.5222257759882852,0.5567102819803003,0.5398938771466315,0.5250894734930579,0.5139800909550122,0.5321074268343058,0.5481378645944236,0.536234135128965,0.4985628607943885,0.5134674056376708,0.501058768704114,0.512938551261962,0.48379569192622146,0.5185167213474255,0.5144229864136501,0.5662156437285096,0.5335180754760029,0.529080805284423,0.5329598923087561,0.5045322866002353,0.5181464973086468,0.5146291234618605,0.5268218564355123,0.527100986256588,0.4880461258943121,0.50179825631853,0.5055885139474798,0.5265207376922216,0.5182464314596221,0.5413506608623923,0.5146272300211049,0.48984346312176885,0.5027228712424489,0.4963424752088013
