,1_DRRS,2_DRRS,3_DRRS,4_DRRS,5_DRRS,6_DRRS,7_DRRS,8_DRRS,9_DRRS,10_DRRS,11_DRRS,12_DRRS,13_DRRS,14_DRRS,15_DRRS,16_DRRS,17_DRRS,18_DRRS,19_DRRS,20_DRRS,21_DRRS,22_DRRS,23_DRRS,24_DRRS,25_DRRS,26_DRRS,27_DRRS,28_DRRS,29_DRRS,30_DRRS,31_DRRS,32_DRRS,33_DRRS,34_DRRS,35_DRRS,36_DRRS,37_DRRS,38_DRRS,39_DRRS,40_DRRS,41_DRRS,42_DRRS,43_DRRS,44_DRRS,45_DRRS,46_DRRS,47_DRRS,48_DRRS,49_DRRS,50_DRRS,51_DRRS,52_DRRS,53_DRRS,54_DRRS,55_DRRS,56_DRRS,57_DRRS,58_DRRS,59_DRRS,60_DRRS,61_DRRS,62_DRRS,63_DRRS,64_DRRS,65_DRRS,66_DRRS,67_DRRS,68_DRRS,69_DRRS,70_DRRS,71_DRRS,72_DRRS,73_DRRS,74_DRRS,75_DRRS,76_DRRS,77_DRRS,78_DRRS,79_DRRS,80_DRRS,81_DRRS,82_DRRS,83_DRRS,84_DRRS,85_DRRS,86_DRRS,87_DRRS,88_DRRS,89_DRRS,90_DRRS,91_DRRS,92_DRRS,93_DRRS,94_DRRS,95_DRRS,96_DRRS,97_DRRS,98_DRRS,99_DRRS,100_DRRS
ACC,0.8708010335917312,0.8630490956072352,0.8423772609819121,0.8294573643410853,0.875968992248062,0.875968992248062,0.8682170542635659,0.8837209302325582,0.8785529715762274,0.8785529715762274,0.896640826873385,0.8992248062015504,0.8940568475452196,0.8268733850129198,0.8372093023255814,0.8578811369509044,0.8656330749354005,0.8630490956072352,0.8656330749354005,0.8888888888888888,0.8397932816537468,0.8785529715762274,0.8785529715762274,0.8837209302325582,0.896640826873385,0.8940568475452196,0.8863049095607235,0.9043927648578812,0.8501291989664083,0.8811369509043928,0.8863049095607235,0.8785529715762274,0.8708010335917312,0.8578811369509044,0.8811369509043928,0.7932816537467701,0.8708010335917312,0.8242894056847545,0.875968992248062,0.8785529715762274,0.875968992248062,0.8552971576227391,0.8682170542635659,0.8785529715762274,0.8837209302325582,0.8733850129198967,0.8837209302325582,0.8733850129198967,0.834625322997416,0.896640826873385,0.8733850129198967,0.8733850129198967,0.8501291989664083,0.8656330749354005,0.8888888888888888,0.8708010335917312,0.909560723514212,0.8811369509043928,0.8604651162790697,0.8682170542635659,0.7881136950904393,0.8914728682170543,0.8708010335917312,0.896640826873385,0.8449612403100775,0.8940568475452196,0.8837209302325582,0.8475452196382429,0.8527131782945736,0.8837209302325582,0.8578811369509044,0.8811369509043928,0.8604651162790697,0.9043927648578812,0.8863049095607235,0.917312661498708,0.8785529715762274,0.8630490956072352,0.8863049095607235,0.9018087855297158,0.8372093023255814,0.896640826873385,0.8372093023255814,0.9198966408268734,0.8888888888888888,0.8501291989664083,0.8630490956072352,0.8863049095607235,0.8811369509043928,0.8656330749354005,0.875968992248062,0.8940568475452196,0.875968992248062,0.8527131782945736,0.8888888888888888,0.8733850129198967,0.8785529715762274,0.8682170542635659,0.8888888888888888,0.834625322997416
AUC,0.6539516036954479,0.6550938074849728,0.6546157066264057,0.6590486490777901,0.6413808249617755,0.6663497833173733,0.6637149930206863,0.6609933814331017,0.6671270764844517,0.662857042751827,0.6586562164713887,0.6706311159937176,0.6664639594325054,0.6517800122630927,0.645042655574352,0.6644108445694015,0.6553025338492242,0.6611416306343124,0.6698304434101605,0.6729045808010103,0.6467109519341098,0.6701193170965566,0.6538095230153483,0.667695699403665,0.6648337274480378,0.6666010454160682,0.669792686795466,0.6546390727239543,0.665183265234841,0.6642270172728826,0.6576693513070876,0.6702593787099642,0.6590787046630654,0.6751689456864354,0.6619865843838297,0.6619472236796965,0.6743812480029183,0.6438751594355445,0.6449882356416108,0.6578737696571626,0.6654786311420644,0.650229278466476,0.6682328298458792,0.6730173668576973,0.6618850849029945,0.6613071119095371,0.6731549318381208,0.6493429785140297,0.6590030647843034,0.6655528842360505,0.6649860919828495,0.6633179527283736,0.6588279011779239,0.6723943907200616,0.6478600878417357,0.656275766508683,0.6769285517636614,0.6593569884064966,0.6634352864936987,0.6571261018562222,0.645908575490558,0.6676278274835796,0.6534959360017677,0.6645485571851273,0.6637829378405696,0.670687958302548,0.6656578307154745,0.6559738631851122,0.6600187425728503,0.6721631443108942,0.6572902021746951,0.6772265766015017,0.6593140165752582,0.6559580166434817,0.6550022561416647,0.6747923673905926,0.6589410422144306,0.6408248881919193,0.653952173231746,0.6764193554050991,0.6329956347926651,0.660526040562796,0.6399679740928095,0.6878214466123244,0.6606360584885284,0.6572770979056508,0.6585983446902961,0.6718128458792335,0.6656870313265882,0.6589402621811141,0.6394100112578639,0.660920875033158,0.658555007269655,0.6678011949647731,0.658029514084681,0.6538951538211304,0.6672922393046424,0.6862684990900033,0.6670518587449307,0.6529869940420838
Fscore,0.0017396435133268,0.0022175848886227,0.0014175808283606,0.001769668774584,0.0017769248511134,0.0016842269083703,0.0018607315658526,0.0017512062856561,0.0016606685613453,0.0019690552443573,0.0023703449525835,0.0017536645421602,0.002164093856888,0.0019273439252028,0.0019895382400724,0.0020148209184558,0.0022583645725487,0.0019800121657803,0.0018052979975027,0.0018753229357183,0.0021898074656379,0.0016935604364251,0.0019845507523732,0.0019688315956627,0.0020515564158127,0.0018825982547027,0.0019853369493914,0.0019860317404192,0.0018382718453861,0.0016660841994834,0.0019511528087882,0.0019478824783622,0.0017384479834102,0.0020867824247405,0.0015665908581397,0.0019799637160643,0.0022453093022979,0.0020195991291174,0.0016684503096442,0.0022119801057072,0.0016323887331182,0.0020617460811732,0.0017570822283878,0.0018300073460966,0.0021477588010564,0.0018645026241355,0.0017490930673721,0.0023284072508532,0.0021382726762762,0.0018422692536904,0.001968525232861,0.0016540412325609,0.0018845585866753,0.0019530041119207,0.0021543165816964,0.0019448133318968,0.0017459411391036,0.0017960976914269,0.001991433565968,0.001690443413649,0.0018193788229327,0.0016584861092469,0.0016279636920234,0.001973256161149,0.0020630834962493,0.0019829435237085,0.0017564713236381,0.0021668044488032,0.0020706159616386,0.0017126011144651,0.0017944698655375,0.0018622416356248,0.0018202801064953,0.0021909775409701,0.0018113878622665093,0.001856705561860047,0.0020895334662862437,0.002246171835051957,0.0017539316621458193,0.0017663709124326504,0.0016404447586874143,0.002226707680771457,0.0018919170303022788,0.0021381476071360025,0.0019763817984769683,0.0017980533706141353,0.0020064178475968373,0.001992285339640293,0.0016824575918913006,0.001889018284048416,0.0017441190369798765,0.002066275411605935,0.0017393237311795304,0.0015750702321173553,0.0021116427047723407,0.0016973180791739523,0.002018864511261448,0.001722615292460253,0.002186479351868528,0.0017430899711006209
HR@10,0.0103359173126615,0.0180878552971576,0.0077519379844961,0.0051679586563307,0.0155038759689922,0.0129198966408268,0.0051679586563307,0.0155038759689922,0.0180878552971576,0.0077519379844961,0.0232558139534883,0.0103359173126615,0.0129198966408268,0.0077519379844961,0.0180878552971576,0.0077519379844961,0.0103359173126615,0.0077519379844961,0.0103359173126615,0.0155038759689922,0.0103359173126615,0.0025839793281653,0.0155038759689922,0.0103359173126615,0.0129198966408268,0.0155038759689922,0.0180878552971576,0.020671834625323,0.0103359173126615,0.0103359173126615,0.0129198966408268,0.0155038759689922,0.0103359173126615,0.0129198966408268,0.0155038759689922,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0180878552971576,0.0180878552971576,0.0180878552971576,0.0103359173126615,0.0103359173126615,0.0129198966408268,0.0129198966408268,0.0103359173126615,0.0258397932816537,0.020671834625323,0.0129198966408268,0.0258397932816537,0.0051679586563307,0.0155038759689922,0.0129198966408268,0.0103359173126615,0.0180878552971576,0.0103359173126615,0.0155038759689922,0.0180878552971576,0.0129198966408268,0.0129198966408268,0.0077519379844961,0.0232558139534883,0.0155038759689922,0.0103359173126615,0.0077519379844961,0.0129198966408268,0.0155038759689922,0.0103359173126615,0.0051679586563307,0.0129198966408268,0.0103359173126615,0.0129198966408268,0.0155038759689922,0.0180878552971576,0.023255813953488372,0.023255813953488372,0.01808785529715762,0.007751937984496124,0.012919896640826873,0.01808785529715762,0.012919896640826873,0.012919896640826873,0.01808785529715762,0.015503875968992248,0.025839793281653745,0.0103359173126615,0.00516795865633075,0.01808785529715762,0.020671834625323,0.012919896640826873,0.015503875968992248,0.015503875968992248,0.023255813953488372,0.012919896640826873,0.015503875968992248,0.0103359173126615,0.0103359173126615,0.015503875968992248,0.015503875968992248,0.007751937984496124
HR@2,0.0,0.0051679586563307,0.0,0.0025839793281653,0.0025839793281653,0.0,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0,0.0051679586563307,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0,0.0,0.0051679586563307,0.0,0.0,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0025839793281653,0.0,0.0025839793281653,0.0,0.0,0.0051679586563307,0.0025839793281653,0.0051679586563307,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0025839793281653,0.0051679586563307,0.0051679586563307,0.0,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0051679586563307,0.0,0.0051679586563307,0.0025839793281653,0.0025839793281653,0.0,0.0,0.0051679586563307,0.0051679586563307,0.0025839793281653,0.0,0.0,0.0,0.0025839793281653,0.0,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.00516795865633075,0.0,0.00516795865633075,0.002583979328165375,0.0,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0
HR@5,0.0025839793281653,0.0077519379844961,0.0025839793281653,0.0025839793281653,0.0103359173126615,0.0051679586563307,0.0051679586563307,0.0103359173126615,0.0103359173126615,0.0025839793281653,0.0129198966408268,0.0051679586563307,0.0051679586563307,0.0025839793281653,0.0077519379844961,0.0051679586563307,0.0077519379844961,0.0051679586563307,0.0051679586563307,0.0103359173126615,0.0025839793281653,0.0025839793281653,0.0129198966408268,0.0051679586563307,0.0051679586563307,0.0077519379844961,0.0103359173126615,0.0129198966408268,0.0051679586563307,0.0051679586563307,0.0025839793281653,0.0077519379844961,0.0025839793281653,0.0025839793281653,0.0077519379844961,0.0051679586563307,0.0051679586563307,0.0025839793281653,0.0077519379844961,0.0077519379844961,0.0077519379844961,0.0025839793281653,0.0051679586563307,0.0077519379844961,0.0077519379844961,0.0077519379844961,0.0129198966408268,0.0103359173126615,0.0077519379844961,0.0129198966408268,0.0025839793281653,0.0103359173126615,0.0103359173126615,0.0051679586563307,0.0103359173126615,0.0025839793281653,0.0103359173126615,0.0077519379844961,0.0077519379844961,0.0077519379844961,0.0025839793281653,0.0129198966408268,0.0129198966408268,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0025839793281653,0.0,0.0077519379844961,0.0077519379844961,0.0077519379844961,0.0103359173126615,0.0129198966408268,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.002583979328165375,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.00516795865633075,0.0103359173126615,0.00516795865633075,0.012919896640826873,0.00516795865633075,0.002583979328165375,0.0103359173126615,0.012919896640826873,0.007751937984496124,0.0103359173126615,0.007751937984496124,0.012919896640826873,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.0103359173126615,0.002583979328165375
Lin's AUC,0.8145777361452052,0.8315009601662652,0.8253806725884725,0.8055403701428746,0.8327706398778543,0.847216383630483,0.8298403325330901,0.8429239645665597,0.8345600506437728,0.8316294605085226,0.8455328608271762,0.8435451150769356,0.8499521637204481,0.8242628220620426,0.8234440028204241,0.8211613796888818,0.8331397612915541,0.8368985692232118,0.8345545891449725,0.8234262283769204,0.8042036743671104,0.8337642276508515,0.8460755672851348,0.8432717726169043,0.8639812125946918,0.847937079680759,0.8470983342644652,0.8341085107828459,0.8093533604553439,0.8450326619479668,0.8443782115265779,0.8183252104837345,0.8432270419229108,0.8079548801493573,0.829072089805239,0.7832200317338893,0.8303654258125082,0.7991284772149112,0.8310244604355342,0.8489094181823628,0.8428786296310288,0.8277514143398479,0.8280749403184913,0.8628508605855376,0.8441447871357076,0.8304914747001342,0.8416370260925932,0.8348209070382954,0.8043770851203799,0.8463800988177276,0.8298636463870828,0.8329347117847901,0.8352734450556579,0.8346200857198094,0.8447902187605705,0.8420491815610369,0.857012954474989,0.8307249557751125,0.8331957188686808,0.8269545843881531,0.7799590214351446,0.8504325629708743,0.8268274703624322,0.8494639865636211,0.8081696206510803,0.8536553339541662,0.8409976473854158,0.8099138907544504,0.8384383608601654,0.8401268094302009,0.8278183259095877,0.8395426267840127,0.8305216018044979,0.8191256800648038,0.8387934709030355,0.8606182184437926,0.8449720376287805,0.8158596960809943,0.8375921875339221,0.8506353710078377,0.8111201366862115,0.8346389171364135,0.8078898785286299,0.8615789436750172,0.8393566794856436,0.832841155029054,0.8333804823969471,0.8501995485498383,0.8348317926885037,0.843439192203112,0.8279287922536422,0.8560598384753509,0.8265020380194161,0.8358781856694045,0.8679949700568548,0.8249949578298158,0.8228232727526338,0.8007836972025626,0.850773604312975,0.804599223361644
NDCGk,0.2465397859399566,0.2825043130045786,0.2476178356483599,0.2729189674649678,0.2741874588791743,0.2519889749280409,0.2763601825549989,0.2716204981598554,0.2667279273897116,0.2708127346520098,0.266193602087764,0.2606262427721499,0.2615548688762184,0.2693496532339573,0.2408421887931094,0.2645746619745224,0.255069569564654,0.2562642974580539,0.253216735423223,0.2629643401084235,0.2664978502070413,0.2759777023702495,0.2653251686099449,0.2681980230836661,0.2734379663956865,0.2637454501557864,0.2821518166148247,0.2611912248748293,0.2726283766983692,0.2471976559411107,0.2592071884018589,0.2713555592285638,0.2606915676015883,0.292486098702568,0.26170011853763,0.2852678107645413,0.2646283840095892,0.2670304854250351,0.2513752752165197,0.2661718665246982,0.2685732686177087,0.2521268151814404,0.2570242568146836,0.2859256523328058,0.2773944688572984,0.26201868165565,0.2574645167010777,0.2559195885223712,0.2738806634364273,0.2586998113264284,0.2722697316070698,0.2514473884086479,0.2639635624780147,0.2731949385926095,0.2733913004065659,0.2843514640059393,0.2710647223576969,0.254917958224483,0.2611315739517343,0.2579880414616781,0.2589415296190563,0.2675846855641349,0.2519363788142064,0.270792782093645,0.2733685534277428,0.2611534515447268,0.2429531904879469,0.29568644361486,0.2689399393545674,0.2720019003707902,0.2670278090972311,0.2617754266187011,0.2700007473179461,0.2743436063167706,0.2536481246382588,0.26537269676906894,0.27851691027448416,0.2539529484117504,0.2584969410047938,0.26731211124045673,0.2753433837127877,0.25547953664909634,0.2618983991121047,0.2653074520726962,0.26544986956081723,0.25755072845169646,0.25896052358989013,0.25507840619217453,0.2556607953942321,0.2647258456917651,0.2627792004581848,0.27031791341879113,0.25668726579269713,0.25719886818672844,0.2511758896546171,0.2771005221895909,0.2676706309405333,0.2734902563771567,0.2740841545654654,0.2653155634137259
global AUC,0.8607479321482981,0.8574186986510802,0.8356997094093972,0.8267977093595655,0.8671994472615125,0.8707820954961595,0.8599358610298969,0.8756502393370712,0.8696384577350674,0.8708865654252124,0.8870556463607592,0.8895570862838048,0.8860810982404608,0.8237431933415359,0.830745057184957,0.8504947565261236,0.857722845163498,0.856712094937852,0.8602675881058103,0.8800953835493781,0.8351753648118938,0.8705118980486214,0.8710487773635254,0.8762075355233337,0.8884687631075686,0.885441576540165,0.878459836603088,0.892072818714337,0.8429834334980717,0.8728846984289295,0.8773017040491422,0.8690806802491385,0.8633438044609756,0.8506239819988903,0.872435290096887,0.7909845708719617,0.8644293374942179,0.8212248381765892,0.8662944504306964,0.8715822387532615,0.8687473209395742,0.8506169647892603,0.8619638206622198,0.8722689278208703,0.8749161038878498,0.8646775137381759,0.8752659878192961,0.8643669359461574,0.8293960369980771,0.8872034262844362,0.8666882233114381,0.8652258186886401,0.8453887948471192,0.8606357683999399,0.8791425148401428,0.8629329489297528,0.8988800003303529,0.8710739305026167,0.8554567607773526,0.8617551179662694,0.7860936245874321,0.8823056929770734,0.8611502986694618,0.8865742490392909,0.8400354242134804,0.8856077225800999,0.8771634943159351,0.8418771069241666,0.8482060580310122,0.8752798060024739,0.8506890690595825,0.8735923414704232,0.8535908735761936,0.891042893230965,0.8774426690485558,0.905409583644539,0.8706736286872679,0.8560747704751643,0.8780833905103387,0.8900071084473058,0.831334307483858,0.8846490294473648,0.8319131645001068,0.9079583932202651,0.8802678632139096,0.8451703824535497,0.8570952094723568,0.8788030381420638,0.8706144218529358,0.8601820702230444,0.8662487897405998,0.8856941402839812,0.8658869849232113,0.8468288225231057,0.8824443003056576,0.8657873768183257,0.8696518085692937,0.858865764462769,0.882317697567305,0.8295331027726569
global NDCG,0.6837825628228476,0.7520484825864006,0.6962183472473336,0.6984625737562548,0.7164685856218719,0.7194788176741169,0.7076243103517494,0.7238822386496521,0.7395207213925725,0.7111117077662342,0.754281255003456,0.7337155832727519,0.7289854825391578,0.6855377760937165,0.7169394861769132,0.7044588626274919,0.7085446178772142,0.7104727390435425,0.7140502364114023,0.7400701076400461,0.6917084110756243,0.6850193743517075,0.7337256434451318,0.7200632606835313,0.7152462325087671,0.719381305856296,0.7480784263713957,0.7378332327402223,0.7007121092768555,0.7075182969454641,0.6981596393120018,0.722022071086657,0.6949820269255219,0.7018291768463387,0.7234486595350225,0.6748412815459105,0.7310588714358532,0.7031703039552518,0.7171028635084421,0.7390651322077513,0.7352118041035677,0.7011519356327932,0.7201542399724373,0.7226520976458568,0.7230414005318746,0.7069097356559921,0.75223261431356,0.7326339420768276,0.7236007058743901,0.7551607878100983,0.7135631001648889,0.7158186295214144,0.7219477602073222,0.7217264259291901,0.7376386404760117,0.7063815484251302,0.7469759806245002,0.7111617968956577,0.7159820471136707,0.7247268233728651,0.6668139957963561,0.7554572595661961,0.7283456688921863,0.7094172359703729,0.6954894231702815,0.7192342340209561,0.7289360654778589,0.6991982901224151,0.6971814652685507,0.7230054049196681,0.7074055713219396,0.7342746661048813,0.7236744503525109,0.7275493996275346,0.7300366781067943,0.7560592078180424,0.7283878401648275,0.7043009675151355,0.7321302927583714,0.7315672332857827,0.7112304109270503,0.7095592631523434,0.7200521943653279,0.7118854788159282,0.7508372785147968,0.6923709013732516,0.7034129525702918,0.7331589757476455,0.7383402791160327,0.7384929929350815,0.7217236347955015,0.73621064406103,0.7429660446738463,0.7107694096237944,0.7343732398278617,0.712915441911617,0.7258351839760329,0.7090309727795703,0.7362674450881093,0.6854899288897441
