,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.0,0.00516795865633075,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.00516795865633075,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0
HR@2,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.00516795865633075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5044680764810234,0.5468119527670087,0.5585135896783284,0.4789998721932481,0.41268497263732573,0.4530692052761627,0.5349978793299949,0.4504187400623576,0.40794451154387434,0.5000923375721014,0.5298785603991534,0.5167924407718854,0.4944070436649609,0.5098829028470312,0.5010853148172009,0.5348993461165267,0.4815557504090441,0.4067481635500679,0.38319380293721494,0.4198906365137971,0.4589193397492904,0.489349663216269,0.466790810885403,0.6050637195574741,0.5082454789485182,0.6113929001697733,0.4699452493205035,0.4707368394360733,0.4952757860359337,0.4783281840562552,0.44809294305258135,0.5329559799851045,0.5245114516356428,0.4346033986792732,0.41918558238786585,0.5789758084546047,0.4131368626280135,0.5413396233953308,0.5218388480950877,0.5843181959939462,0.4579817284038244,0.6309777990304262,0.5645066291289281,0.48632045761714826,0.5480613805889942,0.47433922702322506,0.548874125605718,0.5433825591402852,0.5015858845349119,0.4937840668208572,0.5027178026296069,0.4828321259567291,0.4242010150263527,0.5047064118003941,0.46551996362984605,0.4267559535558343,0.48949780441477947,0.5209394518265275,0.5613664618466979,0.4929759672057945,0.4168248878820753,0.425395179099905,0.5640972375338705,0.468260451821024,0.5106290946329191,0.6163299148421818,0.5562216821468039,0.45563037500307707,0.421372004924292,0.449497084978296,0.4719457251011551,0.6141802725615518,0.46111402819218367,0.5191501840970141,0.6377678607299365,0.527754771040921,0.43012400947239093,0.55085464788876,0.5790866792423593,0.5130188676126786,0.49773951022948837,0.5238165753294296,0.5495436672006281,0.5479370648675005,0.4752363383047371,0.5579665250475644,0.3922706933704513,0.4930568217793696,0.4026926172766907,0.5828869071640278,0.5470839124107107,0.5287709679748421,0.5508539610190196,0.527180693936486,0.4593624909682471,0.5386227918557559,0.5044650162106304,0.5444407807661614,0.39961298139624296,0.5283353375856913
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.8962802497189141,0.9093044558555711,0.917099982848991,0.8973057039981382,0.8897394500298921,0.8936476660997934,0.9077974996245165,0.8900370187802014,0.8897168289455684,0.9032748243137636,0.9103804186983442,0.9065402542160664,0.9013592586165964,0.9015750761771816,0.9005114806432295,0.908290894560859,0.8960964002216825,0.8830822176737311,0.8834347243395919,0.8885474381646415,0.8954950197761149,0.9025105064927045,0.8981396707636848,0.9164492866260048,0.8998097736309558,0.9190445799840108,0.896627106345212,0.8929602306689338,0.9034625939619018,0.8996571388584692,0.8939338440913296,0.909717641156194,0.9008706976029908,0.8899983125215173,0.8934243081777669,0.9107437371683067,0.8850468619861628,0.9113123473844097,0.9047119362903213,0.9174692792003182,0.8931728674665058,0.917455970218237,0.9117375721520515,0.9015557823383781,0.9038527396567515,0.9003980613305239,0.9094078027520688,0.908101715890509,0.9023612966207434,0.9004414689801529,0.8991814404040662,0.9017356489064858,0.8936251356951169,0.9008438355013163,0.8968461813977427,0.8910489199398324,0.8954731729564721,0.902331030544616,0.9134585184000305,0.9058620471831595,0.8874678481359766,0.8879897095062153,0.9151874514323296,0.898656321541882,0.903310440489082,0.9205628572202637,0.9123430052803178,0.8950050357895828,0.8872588315489391,0.8989750814282308,0.9017327890099169,0.9172451888657558,0.8987306858280296,0.8988092004518803,0.9223769733181695,0.9078568529413562,0.8905091179501423,0.9087699621129273,0.9111736493761784,0.9035923216604075,0.9019542984622099,0.903068465337928,0.908660288567191,0.9055727860836149,0.9049647581223643,0.9087865355623115,0.8845473426859484,0.8972452276487434,0.8885373866745058,0.9177457335435204,0.9053369631977627,0.907977219710117,0.9151774348189812,0.9075466518186417,0.8947417927734571,0.911585481457449,0.9053683313803726,0.9109356153020036,0.8870917856878888,0.9038125964744256
global NDCG,0.4801917335592852,0.5198738811598008,0.5031945353101626,0.4843832040803115,0.4801967969980413,0.478865010616605,0.49002599435383415,0.48649499161792614,0.4748772136579011,0.48709125072134307,0.49539530360613493,0.4948675989978345,0.4833059963617719,0.48585186827336696,0.486967916574223,0.49639689565555317,0.4855595401175635,0.47693547196843267,0.4730414362217002,0.4755701265877228,0.4852255386602419,0.48445160634934736,0.49000720995532443,0.5008368685296939,0.48299515430406076,0.5071617301136256,0.484055977957541,0.48003859588617437,0.48975083018965604,0.4869169331011313,0.4847194497490215,0.49822724559748893,0.49478284270337836,0.4748723480642212,0.4789767764042015,0.4932483674983121,0.4711450809182335,0.49699141081177645,0.4895008899090811,0.5194249872096802,0.4794975307236319,0.4998535605247475,0.5033172703331231,0.48980201818467506,0.48243987058551163,0.4840067552186543,0.4935572691180066,0.49223204690785693,0.49058710953777024,0.4888425981517239,0.48809259744927747,0.4859374768579121,0.47908001315141013,0.48772935964533065,0.48210167189247766,0.47726278613475304,0.48190343415021863,0.4891297992384062,0.49450759003106837,0.49487773581753997,0.4734109385923468,0.4800178057641165,0.5019777810649613,0.48533180246309565,0.48817960538399796,0.5011627551177965,0.49715835622298243,0.4902768981767898,0.4789910369966554,0.4861502371811698,0.49238564959888526,0.5160575558905134,0.49921028782800336,0.48599026380625293,0.5221669922062119,0.49137232097286176,0.4771886874136665,0.49314258589326415,0.5035696356527807,0.49011515121996396,0.48607776020050697,0.4942984211932071,0.4973914713149755,0.48658238796745473,0.4912435606488814,0.5039417625452224,0.474480584791712,0.48203042549700753,0.4733752806896907,0.5014013945337555,0.4915828640199462,0.4903964067795802,0.49908103898009554,0.4942141019577865,0.47889030551885986,0.4912939173985824,0.494691149240624,0.4990748352637567,0.4725956069979278,0.4880721135884934
