,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0
Lin's AUC,0.6684744208408084,0.6722607565926253,0.6666494484104349,0.6622149524605121,0.678695288336241,0.6575699328916451,0.6586071205280973,0.6654599926695122,0.7057676988022747,0.6898569596225654,0.7021737326321515,0.6981487341340523,0.7143258579024334,0.6778733410863976,0.7075220830509023,0.7077462275542454,0.7019110342643614,0.6455341121979475,0.680130500690284,0.7032092831251368,0.708190615296485,0.6780354987798088,0.6767327369465135,0.684066047563255,0.7132134233700576,0.6972071140766314,0.6679702161321923,0.6780024281992296,0.7043154466418661,0.6626525917393409,0.7198597285031857,0.689643373145462,0.6773436320571335,0.700254190332937,0.648657375328441,0.6834067927694035,0.7108968932950996,0.7132913218812016,0.6722798606341402,0.7008883965885202,0.6755248310260511,0.6996946674102551,0.6760459925271985,0.6846798725455175,0.6724787222915684,0.6714247563780604,0.6629293667571035,0.7005093889424611,0.7062659990268754,0.6720928648926011,0.7279503739729343,0.6707674750611893,0.6622242636006369,0.6572891277938848,0.684140315172685,0.7135528462284153,0.7017220626182664,0.6631244806979106,0.6938020502675473,0.6748196714906042,0.711623643608899,0.687071290169466,0.6813022859547369,0.6857518936683272,0.704291339307544,0.6854594511027445,0.6628318999794827,0.6871738675567098,0.7054858811580379,0.6744696976903884,0.683104454873897,0.6632576973957433,0.6756064134165368,0.7092189137225211,0.6647068058890843,0.6798753108565104,0.6723951680199401,0.705794501346847,0.6789102232710593,0.7218196424522806,0.6832149200916777,0.6846503841152869,0.6627371948981954,0.6545331871238884,0.7113378235414898,0.6751107112185373,0.6658466248766364,0.6926178720444485,0.6975301859673262,0.7176201565634962,0.6894983293009218,0.6524212875678758,0.6778635374441405,0.6837223283687104,0.7075190601888406,0.6659725536566828,0.6731396594399777,0.688514751616197,0.7019014595071539,0.7106787366300031
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.9321662876675931,0.9334966766746307,0.9311720620638291,0.9300476344372505,0.9353658143923779,0.9286563296332968,0.9301407066321726,0.9308039794247044,0.9345145905924135,0.9332803987404514,0.9363386186733054,0.9356718791281037,0.940101070697843,0.9328035912042081,0.9331807487834209,0.9389787426538674,0.9351536588944722,0.9260497361961653,0.9319493680005252,0.9411920096331361,0.9367548591805066,0.9313874541276077,0.9318938441549448,0.9285031577582841,0.93695060166225,0.9349637896637311,0.9276258670473985,0.9254239489747578,0.9372589194384435,0.9287907935995348,0.9406489362007856,0.9325642806396136,0.9317946266700783,0.9368530024603202,0.9288700336605642,0.9357280726080028,0.9353003088102363,0.9394821542035583,0.9322577485549361,0.9379952102731279,0.934402943020509,0.9347977970816611,0.9330756301461223,0.9339062417647185,0.931511406230116,0.9309963458334252,0.9285695492108262,0.9369739202823224,0.9370139937110736,0.9297430415019541,0.938036016114415,0.9322742592261031,0.9294789335415004,0.9274757713050366,0.9350574687147544,0.9389751782461927,0.9372790293940727,0.9336966810997973,0.9370236894579775,0.9330313645275226,0.9337042981901709,0.935194199672175,0.9326963660089492,0.9352613793401127,0.938027241114699,0.9355532143465692,0.9324706783175226,0.9352121821437711,0.9340627966881113,0.9296640595291519,0.9319810430988645,0.9264500798636579,0.9326518702035523,0.9401950287631656,0.9291316374676808,0.9316082520934373,0.9311906583668841,0.9407027999112845,0.9325094334037091,0.940169533831558,0.9326610218725726,0.9363963397564937,0.9294019046687937,0.9250586355525545,0.9352354589116986,0.9325491371385137,0.9306329297084578,0.9374183761105501,0.937561698780794,0.938878848559325,0.9372189436646972,0.9284423186903001,0.932155196849192,0.9337929270823753,0.9355760656176901,0.9303766201976722,0.9300136923477289,0.9343179761909843,0.9380931163907871,0.9411870292278919
global NDCG,0.5188685478576659,0.5225627049777725,0.5075189651560676,0.5182161042505644,0.5222877028748315,0.5217223984112507,0.5094736439075683,0.5118210608112572,0.5185706707743792,0.5154995131773372,0.5159111208730853,0.5176038302198839,0.5256664182722619,0.5172317728315289,0.5176456163664376,0.52084606087857,0.523145838371349,0.5070119851040603,0.529002363336973,0.523655453448524,0.5211126676206339,0.5111978989912538,0.5147405532732652,0.5057176317108094,0.5197565188708079,0.5199549020158407,0.5095386205197711,0.5064767199998551,0.5236302854828244,0.5091229516756832,0.5193772588320176,0.5156621661874942,0.5139543513458048,0.5197325946838388,0.510320522068931,0.5167186543216588,0.5190738937530298,0.5267041093967331,0.5108897299266342,0.5200894863442383,0.516150838552692,0.5224156668858431,0.5159409898689841,0.5154065254636222,0.5139187220358288,0.5172313626852145,0.5067812438520874,0.5187357465737733,0.5184945341583171,0.5139445896977389,0.5234422682636746,0.5145351675729247,0.5086044413474092,0.5101855656972885,0.5164664281669517,0.5293988159827558,0.5191753362996018,0.5167847344305182,0.5238680527141752,0.5160293034032518,0.5120232071943274,0.5128708463968056,0.5097033137936592,0.5185014757149916,0.5297105614064805,0.5134698374887989,0.5105070612054241,0.5190504035906046,0.5172374334986088,0.5108190133322955,0.5143734237227368,0.5161308310416078,0.5137526789339633,0.5166164744797861,0.5083580181964169,0.5088355672351971,0.5134131244647332,0.5281700457624333,0.5167890513078693,0.5227750712761875,0.5185003299593247,0.518201715784053,0.508597452926837,0.5057171944335017,0.5158902419495205,0.5096726566554282,0.515569978747093,0.5219635257208936,0.5182990600160012,0.5217621299211294,0.5171770886422355,0.5055235828987958,0.512011753910631,0.5155377460500152,0.5199969212494673,0.5174644959863616,0.507287936031984,0.5184855262301201,0.5215520819393843,0.5271417922911311
