,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.015503875968992248,0.015503875968992248,0.020671834625323,0.012919896640826873,0.9922480620155039,0.023255813953488372,0.9844961240310077,0.9870801033591732,0.01808785529715762,0.9767441860465116,0.01808785529715762,0.012919896640826873,0.00516795865633075,0.020671834625323,0.01808785529715762,0.015503875968992248,0.015503875968992248,0.002583979328165375,0.020671834625323,0.012919896640826873,0.020671834625323,0.0103359173126615,0.9844961240310077,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.01808785529715762,0.012919896640826873,0.028423772609819122,0.9819121447028424,0.00516795865633075,0.015503875968992248,0.023255813953488372,0.007751937984496124,0.01808785529715762,0.012919896640826873,0.023255813953488372,0.015503875968992248,0.015503875968992248,0.007751937984496124,0.015503875968992248,0.020671834625323,0.01808785529715762,0.012919896640826873,0.0103359173126615,0.01808785529715762,0.020671834625323,0.023255813953488372,0.9819121447028424,0.025839793281653745,0.015503875968992248,0.012919896640826873,0.020671834625323,0.03875968992248062,0.9715762273901809,0.0103359173126615,0.015503875968992248,0.023255813953488372,0.00516795865633075,0.007751937984496124,0.020671834625323,0.015503875968992248,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.9844961240310077,0.012919896640826873,0.007751937984496124,0.020671834625323,0.012919896640826873,0.015503875968992248,0.020671834625323,0.012919896640826873,0.025839793281653745,0.0103359173126615,0.023255813953488372,0.023255813953488372,0.002583979328165375,0.020671834625323,0.015503875968992248,0.007751937984496124,0.015503875968992248,0.01808785529715762,0.0103359173126615,0.9819121447028424,0.0103359173126615,0.007751937984496124,0.01808785529715762,0.007751937984496124,0.020671834625323,0.031007751937984496,0.020671834625323,0.9870801033591732,0.01808785529715762,0.020671834625323,0.007751937984496124,0.9870801033591732,0.01808785529715762,0.012919896640826873,0.023255813953488372
AUC,0.5046119722168957,0.5027175918630175,0.5021541498893146,0.5016211320917546,0.5057340726882052,0.503827899653301,0.49684887978973175,0.5027846430210617,0.5052196897958627,0.4987879594328874,0.5049733436101769,0.495675574164983,0.49744967880074764,0.5064259434204349,0.5006741985434935,0.5006951524581867,0.4990646905454573,0.495888503647295,0.502114713878133,0.5006122409087113,0.5054991770193776,0.4967001188030766,0.4995552553074782,0.49870184322902217,0.5001622335253442,0.5029240281478813,0.502992889939876,0.49821129561836386,0.506499880377852,0.4966027737507483,0.496627131071698,0.502912443181647,0.505266436436038,0.4973242584881894,0.5013908163155558,0.5012798411465418,0.5104771385011663,0.4984802046031044,0.5008550783222213,0.49535757162525745,0.5016182391344092,0.5044916178052283,0.5017293628299797,0.5001334077349884,0.500401119328601,0.5006545279602211,0.5089202059104689,0.5016350843719969,0.4943938883720533,0.5034217623518313,0.49902081971276846,0.5010072405540607,0.5060173483620775,0.5062933244967762,0.4988653938583516,0.49937820515185616,0.5038889520801874,0.5050815788598729,0.4958644403327494,0.499320801645164,0.5001159465865951,0.49943359156953576,0.49700409553933267,0.5009519243420745,0.5017775305379565,0.5013772399845029,0.5032801321180056,0.4945130141418461,0.5020401975021446,0.5021320021680814,0.500661735675674,0.5032207160977047,0.4993763928844984,0.5075503901473545,0.5012088390945458,0.5026110145852724,0.5054243395249961,0.49403990762331423,0.4999387605193005,0.5005468903343482,0.4951467509505049,0.498917420965882,0.500778637034141,0.49977293235669623,0.5011070746819263,0.4984973853305139,0.4946637697057308,0.502476177011077,0.4985082183240627,0.5068244665981918,0.5070279529716422,0.5052453360255252,0.5038909596250368,0.5037736802086756,0.5033848834684029,0.49682139435194506,0.49694094736542826,0.5013483560671802,0.5044357707685027,0.5057623014138448
Fscore,0.0002698388698970973,0.00030056929841233563,0.0003897728721616265,0.0002702041152499777,0.0013660966731333319,0.0005067256460799034,0.0014015578501694987,0.0012296813090039247,0.00041041082625125144,0.0014156473828927953,0.0004430123785296365,0.00032098308141261325,9.234696383966867e-05,0.0004551351163119362,0.00044110517579067684,0.00041764246377709813,0.00041071551266695736,4.668534080298786e-05,0.0004881975389200533,0.00024703000770545,0.0005075506510469586,0.0002151005805192169,0.0014323369822026768,0.0002341036514705983,0.0002682664019935597,0.00022318546598652463,0.00044396253612034555,0.0003093545977993335,0.0006853752731713547,0.0012420628432475121,9.61476158526517e-05,0.00031926342450615703,0.0004767267430664542,0.00017189617919992584,0.00038484166893659185,0.00031923988278861583,0.0005815316055884672,0.0004629251437407076,0.0003069594630817539,0.00023709739672125702,0.0003201723960069788,0.00038098265974227885,0.0004389096730282702,0.00031279475254697057,0.00018601819495524464,0.0004505849719762485,0.00032191963552385256,0.0006345020995778169,0.0015776901891261187,0.0005468682205470101,0.0004012172148657991,0.00023960154822249118,0.00047863204082101366,0.0010090952757064202,0.001639323805400293,0.0002159662835441094,0.00020829629548136853,0.000518074307281178,6.915303251764188e-05,0.00013200203705631075,0.0004543914522902238,0.0003016888615292519,0.00029655610399454004,0.0002658085345203619,0.00020975891663693708,0.0014473809761407154,0.00016891150655216287,0.00023789527089817896,0.0004491077787997957,0.00025097833139322775,0.0003326718270462373,0.0004401127282590421,0.000266570390960466,0.0006238661200515099,0.0001946371407631415,0.0005179277924347131,0.0005671602034641173,9.515653249595587e-05,0.00042974807627629114,0.00034389559816365634,0.00022015325994786844,0.00037820275502512446,0.00045170335790294607,0.00023910785141776803,0.001501464012938844,0.00023809064839599192,0.00021039263087668366,0.0004407997627506308,0.00012404278775960192,0.00040903183958398184,0.0007868175094572442,0.00045592667326449423,0.0012555068585595177,0.00030785009629614014,0.0005117843069096744,0.00015986634851197039,0.0014752961671099859,0.00041520945761124294,0.00024389156834587838,0.0005043276632227941
HR@10,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0
Lin's AUC,0.4760345078511381,0.4986379736735977,0.47959633964371795,0.5343559262412443,0.481401810040764,0.5328663216475858,0.47635264273231626,0.47380330823321,0.4843982725343817,0.49425031470314623,0.476717322802967,0.5142365680826999,0.5018714703534183,0.49853731448244004,0.4821008949442967,0.4484082375052637,0.4978296774127777,0.4513087519450011,0.5258155500273537,0.5043550516398909,0.5068828982572351,0.4676420774146209,0.5168627900925199,0.4832356439143563,0.49981942089024634,0.482079393969852,0.5020175788648658,0.5106757207566347,0.5073624115850247,0.48140845087644474,0.4714305328646134,0.5393642922395008,0.4993529248428611,0.48049945477786876,0.5055057708370642,0.49390604478718975,0.4552755012571381,0.4817863017316143,0.4976216777958065,0.46441540688258637,0.5391170192519344,0.5043529829918546,0.5236701230343562,0.48867659574982575,0.4803595093512934,0.4728079823557074,0.5204302657080785,0.5105390090278265,0.5145790015999858,0.5135854681868618,0.5249003051987078,0.5061278448315683,0.4952840065407192,0.5226947887795895,0.4978246961924745,0.5331131201864205,0.5014541154418284,0.49781708950175196,0.5177217415132498,0.483990260892106,0.48960115678024757,0.4965072329284371,0.5202134939810621,0.49638948687482054,0.49456294140355395,0.5054685927721403,0.5179950257102134,0.5011884788813628,0.4992640402270823,0.5221235854491287,0.5305153938571717,0.4885617234004808,0.48117942139846587,0.5140789223364342,0.49895320067583665,0.5202825830962219,0.5001009338463691,0.4695295305706615,0.5114632709515416,0.5278401558417704,0.4860709839040325,0.4556425319685443,0.5072584223749727,0.49279985620842687,0.5165574980816676,0.4605371185320179,0.49352766724664143,0.5025815524336157,0.5095743215728236,0.44865397955687825,0.4917088023900341,0.5125049664103958,0.5112316507605053,0.4910784324139274,0.4840433990455329,0.5027813202174796,0.4922665369550392,0.5001499851960874,0.48544915304879416,0.5236878476418679
NDCGk,0.23702608433188066,0.22547568048428085,0.23102863622102693,0.2322506871318356,0.25053862158321916,0.23196354581893483,0.23653631566611966,0.23755254743868978,0.22747036615954067,0.23459541699714453,0.23438207471172395,0.2189241937378402,0.21879695143899044,0.2375096872442858,0.22338591610025274,0.23282098118216585,0.23043449215184358,0.22145451541894948,0.23010844043512765,0.22330724147051184,0.23659673476625823,0.22115736068593733,0.23267625189312352,0.23936301657081588,0.2224767677480854,0.23763238743099838,0.23582963574194088,0.22735406117556964,0.2422482794385828,0.22068148083437553,0.22410770604685257,0.23823318573695196,0.249122596775221,0.23853450108502733,0.23143320851068064,0.23971026704603138,0.24617800361629644,0.23036022968098394,0.22112172285870157,0.22792465013597527,0.23233200486462946,0.23103934664072281,0.23430492126932326,0.22737627225543297,0.23427121820706706,0.22647154947537157,0.2442032362276015,0.23621351462797863,0.24259891860075672,0.23566143870390627,0.21889740782658887,0.21951214188797255,0.25036396511074,0.24748118155537066,0.22286158860148383,0.23120735332778677,0.2312643260389829,0.234766091297195,0.21974826120049024,0.2328865724451537,0.22476443559074186,0.22099622916697526,0.21628775891106802,0.23501771486451553,0.23626408202607113,0.2511726069849002,0.23693735860856588,0.23842451729398556,0.2416925619182599,0.23638146572662594,0.2315207758817874,0.2370550082691879,0.2319742948457168,0.2568016124558042,0.23377329713482603,0.23498490272265243,0.25578878839723396,0.22432294864697017,0.21873823723943328,0.22147378437779844,0.22727673982034957,0.22068010306152547,0.23772696976146473,0.23695340926573588,0.2306530073291346,0.220277714384029,0.22001933587604675,0.2355751923766065,0.21440854179758734,0.2262454686639879,0.23887997017806473,0.2298998298302134,0.23056077667025898,0.24215387122988533,0.23861449666843387,0.21772252730070754,0.23943436974165844,0.2368069014484647,0.2373547233544879,0.23587352777671836
global AUC,0.10870778656644921,0.11304803535289742,0.11120409960174336,0.1175555741379079,0.8881727986894812,0.12378214792294641,0.8841300140229796,0.8882529106701961,0.10972618178389856,0.8805535459550641,0.11143916217362965,0.11126311112606628,0.10317292410640858,0.11602730121437904,0.11380266440240983,0.10371635328199079,0.10924210592515604,0.09345903429747003,0.11955299565516142,0.10997070991589197,0.11882374295617937,0.10200884854788543,0.8933273228072954,0.10453205856164166,0.1078767215496164,0.10722479766371282,0.11341572039664562,0.10956788302113446,0.12449959134170639,0.8856889924701573,0.09742036771461926,0.1154082452129447,0.11729595830767447,0.10331870907784463,0.11631714824395235,0.10924001331791054,0.1102979309108698,0.10994584974181551,0.11000253847209593,0.09864713081085992,0.11666124262868635,0.11847743738312266,0.11825965277172665,0.1067251667577788,0.10583334637725182,0.10925281309889547,0.12064869875961683,0.11759224359220644,0.886846343784065,0.123158704421654,0.11567657326467683,0.11149932463193758,0.11770186133508287,0.13260731441008133,0.8771798933813817,0.11329799031301414,0.11301370961871385,0.11808182998336211,0.10913107218471013,0.10263930228345024,0.11371548638456257,0.11322092656352009,0.11289318241673091,0.11054599554910807,0.10644453417544313,0.8902128047641803,0.11154407852556122,0.10419894338958903,0.1177304463500563,0.11275469366922414,0.11535733207866183,0.11438258864835346,0.10765393560690369,0.1252356310635213,0.1093855192750472,0.12017096350082812,0.11733730125148795,0.09598108640188377,0.1198477812378341,0.11835976310235106,0.10571957829667182,0.1026248772441713,0.11436282048524102,0.10586490289451388,0.890800122889058,0.10296325881112509,0.10317103378453014,0.11462247816761933,0.10553313396645585,0.10842079943344472,0.12228979111510771,0.1188310252293937,0.8883115873773598,0.11146580803922228,0.11243655458969176,0.10616975391803736,0.8879791139381956,0.1151309259254144,0.11010284411272993,0.12180214387333287
global NDCG,0.3886646193737826,0.39019038950992885,0.3938183064566304,0.39329297996617185,0.4831493717479341,0.3927326020898994,0.49292357388227115,0.4881456357436594,0.3885960888024135,0.48673196772963506,0.38998270098862364,0.3881542528619429,0.3834346506018815,0.3947137488623468,0.3902597138352965,0.3884686420329193,0.3921604810605666,0.38236985242965116,0.3909686656717415,0.38854426541593734,0.3907842302224759,0.3855229620110747,0.4941583489690625,0.3866869995212125,0.38817887652294425,0.38755513427439764,0.3903951954897889,0.40111218028634227,0.39510105125514583,0.4894597525217499,0.3839045104567869,0.38830199047534386,0.3930154362419507,0.38498197669872164,0.39134370754185605,0.3885002175025691,0.3981245775423061,0.38748521153976623,0.3954392430469281,0.38441010586553087,0.38809109753477156,0.39245998563563467,0.38955285444298793,0.38743916446032794,0.38637445086255456,0.3903578127630654,0.3917553876537016,0.3915123090066272,0.4907949825735116,0.3937176995690491,0.3888609401142032,0.3895914522534737,0.39200296819896613,0.39684764093648167,0.48940732747107646,0.38573159590347816,0.3886716618288916,0.3973081435474468,0.38397721182637434,0.3840758011779496,0.3900506289240521,0.38724613842936123,0.3888011946448136,0.40258270345557,0.3857161245058685,0.4954239969253371,0.3871449229879146,0.38415772452846125,0.39139157809804487,0.3866952137807326,0.38902758756915196,0.3921082758969218,0.3911753521478992,0.3930510953628521,0.38830881203965634,0.39293356112360084,0.3917289476345631,0.3823817115100459,0.3944016510576349,0.3894226041115417,0.38387794287345606,0.38826582049051617,0.38896455527526963,0.38538486821461976,0.49725835279029656,0.385476868078915,0.38358242038098705,0.3918839017031224,0.38534513370107837,0.390888751326439,0.39580829087234704,0.39002903298946645,0.48286892151572086,0.3894543799750946,0.39292755633384324,0.3928887884397221,0.487015133181002,0.39080829307007375,0.38817602445776905,0.3925850802061105
