,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.002583979328165375,0.007751937984496124,0.0103359173126615,0.0,0.01808785529715762,0.00516795865633075,0.0103359173126615,0.015503875968992248,0.002583979328165375,0.0103359173126615,0.01808785529715762,0.012919896640826873,0.015503875968992248,0.007751937984496124,0.012919896640826873,0.0103359173126615,0.00516795865633075,0.007751937984496124,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.007751937984496124,0.00516795865633075,0.0103359173126615,0.007751937984496124,0.007751937984496124,0.01808785529715762,0.007751937984496124,0.012919896640826873,0.0103359173126615,0.00516795865633075,0.002583979328165375,0.0103359173126615,0.00516795865633075,0.012919896640826873,0.002583979328165375,0.0103359173126615,0.00516795865633075,0.012919896640826873,0.002583979328165375,0.0103359173126615,0.015503875968992248,0.00516795865633075,0.002583979328165375,0.012919896640826873,0.00516795865633075,0.01808785529715762,0.015503875968992248,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.012919896640826873,0.007751937984496124,0.00516795865633075,0.012919896640826873,0.0103359173126615,0.002583979328165375,0.007751937984496124,0.007751937984496124,0.002583979328165375,0.007751937984496124,0.007751937984496124,0.002583979328165375,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.007751937984496124,0.012919896640826873,0.0103359173126615,0.007751937984496124,0.015503875968992248,0.0103359173126615,0.007751937984496124,0.002583979328165375,0.007751937984496124,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.007751937984496124,0.0103359173126615,0.007751937984496124,0.0103359173126615,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.012919896640826873,0.00516795865633075,0.007751937984496124,0.012919896640826873,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.012919896640826873,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.012919896640826873,0.007751937984496124
HR@2,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.0,0.00516795865633075,0.002583979328165375,0.0,0.00516795865633075,0.0,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.0,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.0,0.00516795865633075,0.0,0.00516795865633075,0.0,0.0,0.0,0.0,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.00516795865633075,0.0,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0,0.002583979328165375
HR@5,0.002583979328165375,0.007751937984496124,0.007751937984496124,0.0,0.0103359173126615,0.002583979328165375,0.002583979328165375,0.0103359173126615,0.002583979328165375,0.00516795865633075,0.0103359173126615,0.007751937984496124,0.007751937984496124,0.002583979328165375,0.007751937984496124,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.0103359173126615,0.007751937984496124,0.00516795865633075,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.007751937984496124,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.007751937984496124,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.007751937984496124,0.002583979328165375,0.00516795865633075,0.0103359173126615,0.002583979328165375,0.0,0.007751937984496124,0.0,0.012919896640826873,0.007751937984496124,0.0,0.002583979328165375,0.0,0.007751937984496124,0.007751937984496124,0.002583979328165375,0.002583979328165375,0.007751937984496124,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.0,0.002583979328165375,0.00516795865633075,0.007751937984496124,0.0,0.00516795865633075,0.007751937984496124,0.002583979328165375,0.0103359173126615,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.0,0.0,0.002583979328165375,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.012919896640826873,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.0,0.00516795865633075,0.002583979328165375
Lin's AUC,0.8433001828000073,0.8621052157616812,0.8379648939067611,0.834565513977654,0.8536225085976713,0.8387439130882514,0.8533257551097739,0.8481711064186005,0.8566374586161657,0.853672638417683,0.8777708414230981,0.8386797017258524,0.8544901772436342,0.8562247078932769,0.8544094172036649,0.8514476183835157,0.849610525730752,0.8568215818614143,0.8422714297384021,0.8420479197382137,0.8347298135354212,0.8416647681580169,0.8514018473028744,0.8545061085125859,0.8622679700546949,0.8583318121830866,0.8455253179119541,0.8713347127939856,0.8548211270171183,0.8580867441400889,0.8655670864597221,0.8566398172211385,0.8391902337297451,0.8436290056561454,0.8623036907747497,0.8432148844216825,0.8467881774284317,0.8547925039623876,0.8316784611724856,0.8565881933107107,0.8581895362445232,0.8568072489876264,0.846514530037152,0.8646090873590001,0.8423927154243498,0.8533065508031972,0.8478678708241822,0.8611138049277443,0.8612117030931512,0.8572631250407969,0.8544000964378923,0.8431381503942286,0.8424295991998328,0.847229198728365,0.8573025205505629,0.847761902853211,0.8488943668593136,0.8457485686177663,0.8401646395436413,0.8439303299478539,0.8474600361887882,0.8317695958462789,0.8481916498986166,0.8516106118168768,0.838361500540102,0.8519030667930891,0.8488313481509175,0.8404862047088918,0.846161924249973,0.8383888529809648,0.8438794287875206,0.8665464458711258,0.852038176146443,0.8418588659685367,0.845744958485023,0.8603287986374516,0.859767119625777,0.8570318743671006,0.8442010366160084,0.8567249003245966,0.8341972734897564,0.8566318197730814,0.8343566949586313,0.853846264246113,0.875583463299604,0.8367236685169243,0.8609778303047116,0.8408504707993758,0.8477968135949405,0.8565378722029564,0.8469196609901529,0.8522630316149307,0.8468852329705688,0.8491237552778993,0.8758628884378692,0.8295171344268142,0.8472148530767859,0.8395880212105469,0.853477996085857,0.846464818607699
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.9667497264334548,0.9709807550724031,0.9681910724520059,0.966078139014801,0.968423142595531,0.9689968099458106,0.970421791775702,0.9715950050525305,0.9706500254726105,0.9726121795824201,0.974171939269636,0.9672820159631335,0.9729286794529434,0.9702479658671763,0.9660796317413027,0.9693629604109122,0.9678142775913823,0.9692953273447379,0.9661089561441697,0.9690344210733697,0.9689268471102364,0.9673872741075817,0.9698624518096964,0.9719596209389852,0.973021214545339,0.9698272960079722,0.9677307128087123,0.9729737960651562,0.9716847081497872,0.970923710598891,0.9734284359153121,0.9695712166839837,0.9668706512308143,0.9685116040791556,0.9711756326098185,0.9672731433084126,0.970622863430564,0.9713135075258665,0.9648715137756195,0.9698229852370466,0.9709566482369351,0.9702932219865388,0.9695268255089493,0.9705843873586768,0.9691764254010489,0.9723968642475737,0.9698113084886166,0.9708837557512172,0.9733813383015736,0.9696719687474966,0.9704358122442468,0.9685630822173947,0.9669537137877455,0.9700121290306093,0.969515302218384,0.9678709593463052,0.9699187289938854,0.9681154595768687,0.9683149268995092,0.9684860463693306,0.9702312668613572,0.9639195169860697,0.9689121291059429,0.9693465404193925,0.9670852271777675,0.970539717169343,0.9700879232650409,0.9673010307876375,0.9701872523556272,0.9685974986312256,0.9690776682897766,0.9735329267704371,0.9701791469902294,0.9708595791621742,0.9676175864610208,0.9726029721105397,0.9706819028563168,0.9713751975874637,0.9688160784333749,0.9712709438944932,0.9654310071994897,0.9704020096618745,0.9681678166101509,0.9710185894114018,0.9723490969995164,0.9693131563584694,0.970639143914934,0.9686210334873798,0.968816510905539,0.9698986678657585,0.968163101268491,0.9718966753130408,0.9690873082338207,0.9694589552806203,0.9734870986717608,0.9670722530128453,0.9682453686346689,0.9692680536969716,0.9707518656918912,0.9675195826883569
global NDCG,0.6538825946091773,0.7031880476137982,0.6699348102508262,0.6284912243658624,0.706006888391124,0.6761333737088543,0.6734828094415809,0.7218742575549697,0.6467217228918971,0.6954713492439242,0.730364246682693,0.6868621123800248,0.7156261426126306,0.6572349608976626,0.6785521140888185,0.6751809039070377,0.6565834560193109,0.6857043263611474,0.7196957663279931,0.7039025361326369,0.676883939106593,0.6685753267088267,0.7058100527942999,0.6674840330064081,0.6899878204957369,0.6808186748784908,0.6725821495566164,0.7283253046785406,0.6683800316744429,0.7015098699488296,0.6769278362867944,0.6532913488940759,0.6596039754544359,0.6789609632651183,0.6524231809583457,0.6656271818541079,0.6735353571433061,0.6681286493612678,0.6559731204848056,0.6819493928634296,0.6561177034046339,0.6840354921084736,0.7278103619795608,0.6755096783472839,0.6532902179804033,0.7103163264726993,0.6501302710891447,0.7325478336272346,0.6945742430353317,0.6620021398317555,0.6536563847805057,0.668998876121467,0.6861903880234342,0.677841568953231,0.6665542113650071,0.6717411154466033,0.6901848132767147,0.6520307554812711,0.658965596121194,0.6725953077498004,0.660189939186267,0.6628539972959365,0.6605102910505067,0.6386226657754115,0.6646196939081054,0.67371512789404,0.7180694415692814,0.6468509591332396,0.7004976787168194,0.6796860493845204,0.6750414610599783,0.7251813626181388,0.6915910436475928,0.7037004746823747,0.6623096666029337,0.6688462287890756,0.6667129407500237,0.6813602437594207,0.6490997535372426,0.6738365072716503,0.6607371100263238,0.6679230281595193,0.6572571421119117,0.6630864366333595,0.6531837210503258,0.6451260125952862,0.6573507954337628,0.6940649485113191,0.6592972020385497,0.6846445402596649,0.7068089059480427,0.691025625018932,0.6787970668913222,0.6563348716707714,0.7277940651251896,0.6820779070773624,0.6603212576408006,0.6497545826043228,0.6903321028048507,0.6593911781683688
