,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4462721765097419,0.4624664412425796,0.5035988325701843,0.43048845583017525,0.4469006498062328,0.4949579375273686,0.4378840465416335,0.4673831814801421,0.47903982411718626,0.47333505009260934,0.4793606822881472,0.47462650482909347,0.45989877430197806,0.47912245543440607,0.4826973750977624,0.44806947549406423,0.4767368174907099,0.4757620996283115,0.46942546421357617,0.45040296510011824,0.49137806708701814,0.44121831263303884,0.44639736276400876,0.5020638186429021,0.4877777467757153,0.4614911030410856,0.48113228145159737,0.4805720890466287,0.4970655346712569,0.4693500552476129,0.4791346418296264,0.4485671745774257,0.4791421365435434,0.4636524511067893,0.4591914979367446,0.47813211141088136,0.4750014923012206,0.45232883956458003,0.4473655447661874,0.4318370085855066,0.4906468999261581,0.4977810233276411,0.4824491419297712,0.4829586573828268,0.4496689430519711,0.4839789985618157,0.45237311490013055,0.48019788576484823,0.46836122653290696,0.4862702486356304,0.45053584862612517,0.5009924770918361,0.4912234541979415,0.4792099045181304,0.4924190696938367,0.4519658853040277,0.4706655026961506,0.4996564562483178,0.4439712540277046,0.4681622469752445,0.47570497188581506,0.4827108193598019,0.4675699416023847,0.45024420399309584,0.4670674840912158,0.49498238642194614,0.47751420146864315,0.44702822701428974,0.49182075609674814,0.47667002413085297,0.47497655448140613,0.4773898251542403,0.49348223256700113,0.468825871123795,0.46127236586370635,0.44089240777308863,0.46814923586907303,0.4773908235856252,0.44113233771817795,0.4790066957181496,0.48384308656625546,0.43973087639755404,0.45042204790740564,0.47651254576064156,0.48171242021911903,0.46474149959694955,0.4526614463771361,0.4611085243383306,0.5009814541434489,0.47021166346307225,0.47417544907848924,0.45831191050742714,0.48812791067614475,0.4700008817167348,0.48545373691166793,0.4763888946701027,0.4849244247710331,0.49611060785158867,0.4756599550541911,0.48878479835454375
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.8965784811281841,0.8975888058570235,0.9021250063859398,0.8963349992998136,0.8934997954964692,0.902915879392944,0.8966046177926805,0.8976860214142917,0.9005133779404655,0.8981758798443893,0.901016698810509,0.8993688124568278,0.8965594942051103,0.898166211998915,0.9019456490189285,0.8955796936406251,0.9012758054396461,0.9010235765129891,0.8976932757860762,0.8989903435104077,0.9035587213634022,0.8954093205340545,0.900261658214905,0.9062762160091875,0.8992905349951312,0.9009411417382317,0.8989592613174547,0.9013157951641074,0.9017460700905682,0.9003168472433262,0.9005579225733645,0.8995103424601981,0.8973330473994793,0.8995040646384614,0.8997256508196868,0.9004800427070447,0.9026913984383624,0.896807091494397,0.8943661418714611,0.8938564804014636,0.9050790005272533,0.9004909312400786,0.9014073537064552,0.9007971494336694,0.8947282396538637,0.8997139391944695,0.9016349456704752,0.9005885234666511,0.8967738190391937,0.9008975318032355,0.9001378107427591,0.9032489527128518,0.9047911833267083,0.8991470379409505,0.90219226278281,0.8934100993745698,0.9021889146112173,0.9029778414934833,0.8953385206555821,0.8996997094652002,0.8999548680420008,0.8966786333109535,0.9018384866018868,0.8973996132359584,0.8979106907035252,0.8980084642893923,0.8995511204000552,0.8970458231043205,0.9018833311751578,0.8999920397220381,0.8980621326898817,0.8975546126546322,0.9019770939304709,0.8988753338161954,0.9013813774751812,0.8935976388359111,0.8997465768921418,0.8983588434712202,0.8992629474562782,0.9007203507477598,0.9023206093605335,0.8938615375356402,0.8978369053720493,0.9004797985695328,0.9006472001738147,0.8975833441521128,0.8992146082289073,0.8960869067601454,0.9010787655414104,0.9011134539941832,0.9020497422786768,0.898140898426602,0.9019349348698317,0.9001764751492984,0.9030884567124801,0.9027114595664895,0.9032618989763438,0.8985017406446575,0.8999788911731791,0.8997556657829446
global NDCG,0.4841190083642185,0.48725052994142054,0.48898488985516597,0.48382340439468907,0.47861341305275745,0.4894357113036791,0.48212864975610703,0.48660890729522766,0.4892556719015137,0.48159886527445883,0.49080742073706213,0.4842872779651949,0.4814739891061215,0.48492977080986444,0.4886109015088854,0.48209177832522526,0.48941004705579033,0.4856370746592652,0.4822829183544986,0.48582928771938805,0.4921827089111503,0.4819054414227161,0.48989532093315175,0.4915931070626487,0.4877349313447129,0.48897335740663705,0.4869870937212529,0.4918223092420676,0.48653570695014403,0.48830481796293385,0.4873017969856958,0.48723785756235755,0.4860932245325431,0.48739738585878456,0.4894241138645911,0.4856039369342584,0.4873086360882989,0.4830834651692664,0.4832525370487539,0.4801920622865371,0.492717366124407,0.4857340221542858,0.48739952352167143,0.48077041157241546,0.4847236624194268,0.4879576905895383,0.4899340460469241,0.48483753253622036,0.4835404037748099,0.4873412518080744,0.486844580723668,0.4884139301054506,0.49230233670899104,0.48592351783008864,0.489536867687444,0.4798262910655603,0.49037228601148636,0.4896133094004884,0.4805154443987851,0.48681246917251403,0.4857517668025604,0.48234785099414007,0.490896212495068,0.4839655900249952,0.4848524196404263,0.48514537440873173,0.4849237479352137,0.48565674714108215,0.48756898205972815,0.48956058660993357,0.48300607047490396,0.48447014096947566,0.48709968990464536,0.4873631217301785,0.4856633587257813,0.4803441260361054,0.4836492031634268,0.48626247965422387,0.4900087381921232,0.48967395494300825,0.4903727060919987,0.48192735403855974,0.48843199335863785,0.48443469375708786,0.48623206952597386,0.49044422578405483,0.48905888334216713,0.48331895372173234,0.486071659932269,0.4877932345998685,0.4927541740049038,0.4843255242899327,0.48639198222182983,0.4895456196351464,0.490493146698341,0.4909117941295145,0.48817714938564577,0.4839901373682227,0.4902663365388219,0.48474737721991684
