,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.5762273901808785,0.5968992248062015,0.524547803617571,0.5581395348837209,0.5555555555555556,0.5478036175710594,0.5891472868217055,0.5529715762273901,0.5116279069767442,0.5839793281653747,0.5710594315245479,0.5452196382428941,0.5581395348837209,0.5142118863049095,0.5968992248062015,0.5322997416020672,0.5400516795865633,0.6046511627906976,0.5478036175710594,0.5503875968992248,0.49612403100775193,0.5607235142118863,0.524547803617571,0.5116279069767442,0.5478036175710594,0.5555555555555556,0.5503875968992248,0.5607235142118863,0.524547803617571,0.5478036175710594,0.4883720930232558,0.599483204134367,0.4728682170542636,0.5426356589147286,0.5762273901808785,0.6149870801033591,0.5736434108527132,0.5271317829457365,0.5167958656330749,0.6098191214470284,0.5762273901808785,0.5193798449612403,0.5167958656330749,0.5762273901808785,0.5633074935400517,0.4780361757105943,0.5762273901808785,0.5839793281653747,0.5478036175710594,0.4573643410852713,0.5219638242894057,0.5322997416020672,0.6124031007751938,0.58656330749354,0.5529715762273901,0.6356589147286822,0.6175710594315246,0.5193798449612403,0.5762273901808785,0.5322997416020672,0.5710594315245479,0.5219638242894057,0.49612403100775193,0.689922480620155,0.537467700258398,0.5529715762273901,0.5555555555555556,0.5348837209302325,0.5193798449612403,0.5943152454780362,0.5813953488372093,0.5400516795865633,0.5142118863049095,0.5478036175710594,0.5658914728682171,0.5788113695090439,0.5607235142118863,0.5452196382428941,0.5710594315245479,0.48320413436692505,0.5348837209302325,0.5968992248062015,0.4935400516795866,0.6227390180878553,0.5038759689922481,0.5012919896640827,0.6020671834625323,0.5116279069767442,0.5271317829457365,0.5839793281653747,0.5271317829457365,0.5788113695090439,0.5452196382428941,0.5271317829457365,0.48578811369509045,0.5607235142118863,0.5684754521963824,0.5219638242894057,0.5736434108527132,0.5710594315245479
AUC,0.5470736676084915,0.49862832340495755,0.5048011687021522,0.528193716294612,0.5156152436914773,0.5033069427496083,0.518621519745506,0.5065436771388718,0.5000599762451153,0.5198804716643323,0.5126220680444039,0.5393615460764832,0.5032344297126019,0.5287032773275722,0.5501219282026674,0.5338711781903439,0.5108114537140488,0.5235964017708299,0.5229784201509929,0.5280250000583455,0.4863201308008489,0.5001194327572016,0.4908615020553946,0.4963829784104202,0.5322304637295454,0.5114102148351408,0.51491923025007,0.5113105760315574,0.5045097809296973,0.4944080099693158,0.5178351866542451,0.5296387914668265,0.47882503114743313,0.5119923248623046,0.52851549843311,0.5176348065655073,0.5163623190581498,0.5265554245096239,0.48824404556570705,0.538079747371349,0.5296116111574769,0.5081679923807586,0.512103211237077,0.5316487593695944,0.5053347975804432,0.4884183438571874,0.5332712742823688,0.5220161988425434,0.527139542167215,0.4856746761867295,0.4987030456398304,0.49675995336637696,0.5232789465540932,0.5162000022440144,0.5271174111091927,0.5354752329999469,0.5445283196774447,0.4789192689853451,0.5244144587373842,0.5204521280716539,0.5491221730262045,0.5298584874952571,0.5038616301540004,0.5593550691994864,0.5068336285010725,0.5193638092704078,0.5089613222028183,0.5141987671095265,0.5135871006201991,0.5238540992383702,0.5473296706146217,0.5109575756664916,0.4801867469857489,0.5331736281161812,0.5347468993381043,0.5330870814023709,0.5135488059107396,0.5056522347835598,0.5091985611567869,0.4898330859000747,0.5119780856639687,0.5351798284420111,0.5059307341050868,0.5263452452078345,0.5009477397888445,0.5033607047610692,0.5463488939920664,0.5010167118940438,0.5285342767497208,0.5379456130129745,0.5146271095577973,0.5422950261395394,0.5166452536194728,0.5190207979668444,0.5051136505046911,0.5015405164801756,0.5424703973797284,0.5300473712015631,0.515395239531539,0.5331284670670197
Fscore,0.0013044767900058062,0.0018928555907367403,0.0010689618358023898,0.001226458731184658,0.0014481282975168594,0.0012799575184043173,0.0014144565288013887,0.0012528211469633405,0.0012960654430361764,0.0014778281659985908,0.0018417168198580918,0.0011433133540853602,0.001640229512104831,0.001477983159650392,0.0016503301255783676,0.0014644389642521599,0.0014773666787542676,0.0015994566304342122,0.0012382062002954867,0.001465119365457528,0.0016928414566948669,0.00128685586175429,0.0013861351037504437,0.0013728106419369868,0.0013983948059893582,0.0013390622849327677,0.0013932224962714668,0.0013614612127692228,0.0014183911077835368,0.0013351080686370002,0.0011350224817382615,0.0015083270348451386,0.0011330058733903079,0.0016897729474730499,0.0011473126965629177,0.0015288241878064959,0.0017772379853024246,0.0015095820666077917,0.0012311464552973534,0.0017223387870154993,0.0012488916840389735,0.0013649276459570924,0.0011477457531873269,0.0014303594915538297,0.0016449161233168196,0.0013089158387821383,0.0013398631820975325,0.0021019629144888876,0.001548142956089384,0.0011295394618164485,0.0013231476495592304,0.0012687110577023855,0.0014737287987967303,0.0015326924601674753,0.0017924803175059468,0.0016181663894902737,0.0014450796791572686,0.0012671837400102877,0.0015794365307947892,0.0012181184615414392,0.0013433732757400587,0.0011993790499377063,0.0011272607247981704,0.0016879668178740805,0.0014257032542372423,0.0013486213872217648,0.0014099133911880397,0.0016491484184744764,0.0014321933454507626,0.0014025127428993506,0.0015027517956444213,0.0013635056314989162,0.001287561716890457,0.0014524288207830203,0.001386738309156458,0.0014100174979515077,0.0016189029169645117,0.0017239584006038917,0.0012007584119619146,0.0011954927494978336,0.0012613138657926258,0.0015793540794493705,0.001411899847105769,0.0016704182240959112,0.0015196458246202358,0.001206746869415586,0.001528109593874764,0.0013423601239432293,0.0011996726792638875,0.0015471994018226548,0.0013028820594653745,0.0014380433320580772,0.0012851923605882438,0.0011525030302110642,0.0013887351367751865,0.0013152780715604273,0.0015249896105525543,0.0012123941212139886,0.0017658827633736682,0.0013387762095310245
HR@10,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.538798547946812,0.5261645166403065,0.531922118029908,0.508677726945253,0.5352322801347079,0.5318877308354666,0.5421566319954452,0.5164900966601892,0.5351332706054085,0.5289701427675411,0.5189355570073003,0.5266396387430442,0.5458641860852396,0.519216882992083,0.5682134936671974,0.5361380101265536,0.513058285813318,0.5673582123956792,0.5177235498986329,0.5078384349294537,0.512931952214673,0.5470042213216599,0.5060046597501583,0.4827493173687518,0.5245440951418016,0.5325092303465963,0.5185003736436823,0.5103932664664277,0.5264048073943631,0.5103833062213674,0.47422817575611353,0.5638460365389351,0.4815548874740276,0.5432101528574682,0.5203056824667929,0.5459502605225852,0.5200193252802772,0.5181497607655242,0.5006255811627193,0.5700196519748362,0.5390037117809603,0.5123220243188906,0.5009619304273979,0.5469928207750937,0.5478127230778186,0.5054596276804506,0.5298791821893918,0.5528340797634994,0.5453549834051018,0.4738669298909441,0.5087707992325342,0.5148949132480694,0.5772704913819113,0.5628594459932171,0.5431737512079858,0.5566693084136076,0.5511160768800675,0.5306065449185028,0.5657959562188726,0.5045763045026231,0.523126217453037,0.5263625941037546,0.4912084331411586,0.6152467604902686,0.5343179085371695,0.5429740187046029,0.5234497764725202,0.5163517836278451,0.5025221061146378,0.522199913731067,0.5467340559939327,0.4929391792413527,0.5016909469915627,0.504212308861764,0.5484245206159221,0.5602818108680767,0.5437620816247397,0.5227759520556561,0.5468072390325114,0.48878073671689315,0.5261490829600398,0.5745377738038658,0.5196685076905709,0.5927598313027084,0.49714898260407897,0.4932237585151794,0.5593451302257404,0.5263368171812451,0.5115448844629277,0.5537864608984769,0.5060074261323021,0.5353109994978427,0.5279832136686381,0.525281891748223,0.4940461730485841,0.5439804532657149,0.5554302297553315,0.5122743108795316,0.5482817790047158,0.5161845656541548
NDCGk,0.24004524790530463,0.23471461969187205,0.22394100257453345,0.23065065650912958,0.22358238274174164,0.23891563380074954,0.23476916208037976,0.2376679244118026,0.22140035062012844,0.23103956883101487,0.23696942633423368,0.22961298266762561,0.23084994191938843,0.24916021027269222,0.23871100420464816,0.23382393995643472,0.23139745321523866,0.2187421541828447,0.22893847116007973,0.22886766250968166,0.23174117865885213,0.21998710698402976,0.23717790771247046,0.2420676047385904,0.24995542018246814,0.220824528893253,0.24731018209046504,0.23988076238524064,0.2268414842936471,0.2155247617699799,0.22827760855449974,0.25661950711638765,0.2298870444242723,0.24537969226104464,0.2407938029573819,0.23090411205333672,0.22304020723813178,0.23906309576419696,0.219387441467451,0.2567797149706823,0.2381128149065751,0.22549143260156443,0.23292563340388928,0.2429798247764711,0.2234351164803328,0.227369736005162,0.232751119981363,0.24796570687663733,0.24905505016847626,0.2402606874074997,0.2271904687539818,0.22128681704081285,0.2303915895596341,0.23237840108986602,0.2203476485259921,0.24680998357340883,0.2359359707015122,0.23277097630641527,0.22507912173507813,0.2412449687156912,0.22720825696601077,0.22600661886264384,0.2255375525856642,0.2335834074406988,0.23648875840729347,0.22847764096231776,0.2366852254186556,0.2376621192854115,0.2303101445155005,0.2436160744500868,0.2515017488591541,0.22669062174989393,0.22064236853552757,0.23613012837923442,0.23742874436098785,0.24182255831114619,0.23486538642488566,0.23143311881779927,0.22220865435489517,0.2238622640456672,0.23602741547304887,0.23955887901930123,0.22207180444764443,0.23634320012522686,0.2296592959092294,0.22342915204872443,0.23400482853328147,0.21708662953928995,0.2367182779962692,0.2390045074399649,0.23595160873726106,0.2410556536383819,0.2322408206108773,0.2281924821149157,0.2284243400940568,0.2344898822966589,0.2386576211838991,0.23316221190801237,0.23031907176360322,0.23560319896563386
global AUC,0.5718742648845131,0.5834463271492325,0.5240182344773114,0.554407481467103,0.5535668253337284,0.545375216616239,0.5766307053506601,0.5446488028877533,0.5150982449805258,0.5730786301078694,0.563206560117244,0.5449457438558889,0.5542352877922286,0.5150307235200712,0.5901937578530319,0.5326924542284716,0.534778602292934,0.5943267548178863,0.5436839853911462,0.5459483398886347,0.49987922866050505,0.5543572728439261,0.5211369096102764,0.5094959168628905,0.5439357678949238,0.5511593365006479,0.544538466683056,0.5506378727257857,0.5249060579779995,0.5422647512558225,0.4874359581966267,0.5916782255315551,0.4732671796009744,0.5408607094491009,0.5687552477358199,0.6010583235587649,0.5642947019341857,0.5271462079850154,0.5132800203970613,0.602171409254073,0.5714490749936587,0.5185883929995647,0.5138767343284714,0.5699628634757643,0.5589256018694182,0.48302450496097193,0.5677516053994512,0.5764452724472795,0.5488525718296505,0.4625634935402749,0.5191258721952123,0.5307369267082727,0.6036478971236332,0.5775689746366794,0.5520140410039972,0.6199080134497168,0.6048349774111419,0.5189481958893549,0.5723286815232295,0.5257022113306201,0.5647181061335239,0.5248021391021884,0.49622474121912014,0.6742939968650511,0.5361728785991764,0.5488640951202156,0.5507713950187633,0.5316617335543461,0.5155155248159922,0.5813602069862,0.574399986026964,0.5347776675950309,0.5131803006864561,0.540715831274138,0.5617674183116581,0.5726296681987062,0.5557908901663838,0.5428934820780885,0.5648165842304969,0.4858735199721365,0.5311582662017954,0.5900384863954162,0.4953621685125276,0.6147904029237127,0.503448323775559,0.5031555261697697,0.5885215693538729,0.5141613568152884,0.5237303056710465,0.5773378252403423,0.5246042203089096,0.5697527238561717,0.5397239354397741,0.5260994439886747,0.48914750166271603,0.5528280373210642,0.5640549170452821,0.5213467423141397,0.568694855090715,0.5626043914562809
global NDCG,0.4739648133091889,0.47079635416228005,0.4577004586852717,0.4751386514769056,0.4633176672668823,0.465631733436609,0.46434859263506356,0.4543613515535047,0.4572983877514284,0.46318215211651215,0.4657320537232971,0.46976310053556564,0.46012398123245724,0.4725212132256127,0.4818385458051311,0.4610884479422685,0.46289144022128703,0.47256515968586466,0.46125221440740594,0.45953695508328546,0.4558210392706575,0.4574197784641602,0.46065502685862697,0.4581494273959398,0.4639079903922717,0.4660515003028087,0.45999616909821994,0.4636113011862335,0.4665877809798873,0.459199684820299,0.45382756603428925,0.4689899269201492,0.4479033178685755,0.462231023314035,0.46371574658542053,0.47000137468905145,0.46440258145974467,0.46661780278982923,0.4628916292743752,0.4723717125922083,0.4664764253533587,0.4547913067645852,0.4543731171279048,0.4653817744357537,0.4675782332846962,0.45562753497334263,0.46064713017399916,0.465202507240826,0.46738705927774865,0.4488141132192946,0.46510203826037416,0.46029495242258245,0.47856277393877006,0.4646604117828834,0.4631758973299487,0.4682768937665289,0.4664498344313695,0.4614570984725621,0.48215746163591167,0.452560445745717,0.46854438773188817,0.4595811527631386,0.4522178331815277,0.5314300581069283,0.47280783676092125,0.4673400756036963,0.4660363041656883,0.4589368085659492,0.452113309368773,0.46049717343511887,0.4880493523332556,0.45893614700242874,0.45515868604691584,0.4589506574008787,0.46412213673916614,0.46486505091521263,0.46568043684139404,0.4642678650997664,0.4676224503823326,0.45841009623262813,0.46646888934676173,0.47423407649531746,0.46206009786060626,0.4780082459435852,0.45245217327783105,0.4584481180592407,0.46235261011152506,0.4601250868009143,0.4589863853270407,0.47212541491756477,0.4573881103896927,0.47047491807764363,0.45755695644882544,0.45896981855788976,0.45578811384396606,0.46372333466222865,0.4722596318082053,0.458709505019186,0.4713668867344165,0.46336788966283
