,1_SimpleBinaryClassifier,2_SimpleBinaryClassifier,3_SimpleBinaryClassifier,4_SimpleBinaryClassifier,5_SimpleBinaryClassifier,6_SimpleBinaryClassifier,7_SimpleBinaryClassifier,8_SimpleBinaryClassifier,9_SimpleBinaryClassifier,10_SimpleBinaryClassifier,11_SimpleBinaryClassifier,12_SimpleBinaryClassifier,13_SimpleBinaryClassifier,14_SimpleBinaryClassifier,15_SimpleBinaryClassifier,16_SimpleBinaryClassifier,17_SimpleBinaryClassifier,18_SimpleBinaryClassifier,19_SimpleBinaryClassifier,20_SimpleBinaryClassifier,21_SimpleBinaryClassifier,22_SimpleBinaryClassifier,23_SimpleBinaryClassifier,24_SimpleBinaryClassifier,25_SimpleBinaryClassifier,26_SimpleBinaryClassifier,27_SimpleBinaryClassifier,28_SimpleBinaryClassifier,29_SimpleBinaryClassifier,30_SimpleBinaryClassifier,31_SimpleBinaryClassifier,32_SimpleBinaryClassifier,33_SimpleBinaryClassifier,34_SimpleBinaryClassifier,35_SimpleBinaryClassifier,36_SimpleBinaryClassifier,37_SimpleBinaryClassifier,38_SimpleBinaryClassifier,39_SimpleBinaryClassifier,40_SimpleBinaryClassifier,41_SimpleBinaryClassifier,42_SimpleBinaryClassifier,43_SimpleBinaryClassifier,44_SimpleBinaryClassifier,45_SimpleBinaryClassifier,46_SimpleBinaryClassifier,47_SimpleBinaryClassifier,48_SimpleBinaryClassifier,49_SimpleBinaryClassifier,50_SimpleBinaryClassifier,51_SimpleBinaryClassifier,52_SimpleBinaryClassifier,53_SimpleBinaryClassifier,54_SimpleBinaryClassifier,55_SimpleBinaryClassifier,56_SimpleBinaryClassifier,57_SimpleBinaryClassifier,58_SimpleBinaryClassifier,59_SimpleBinaryClassifier,60_SimpleBinaryClassifier,61_SimpleBinaryClassifier,62_SimpleBinaryClassifier,63_SimpleBinaryClassifier,64_SimpleBinaryClassifier,65_SimpleBinaryClassifier,66_SimpleBinaryClassifier,67_SimpleBinaryClassifier,68_SimpleBinaryClassifier,69_SimpleBinaryClassifier,70_SimpleBinaryClassifier,71_SimpleBinaryClassifier,72_SimpleBinaryClassifier,73_SimpleBinaryClassifier,74_SimpleBinaryClassifier,75_SimpleBinaryClassifier,76_SimpleBinaryClassifier,77_SimpleBinaryClassifier,78_SimpleBinaryClassifier,79_SimpleBinaryClassifier,80_SimpleBinaryClassifier,81_SimpleBinaryClassifier,82_SimpleBinaryClassifier,83_SimpleBinaryClassifier,84_SimpleBinaryClassifier,85_SimpleBinaryClassifier,86_SimpleBinaryClassifier,87_SimpleBinaryClassifier,88_SimpleBinaryClassifier,89_SimpleBinaryClassifier,90_SimpleBinaryClassifier,91_SimpleBinaryClassifier,92_SimpleBinaryClassifier,93_SimpleBinaryClassifier,94_SimpleBinaryClassifier,95_SimpleBinaryClassifier,96_SimpleBinaryClassifier,97_SimpleBinaryClassifier,98_SimpleBinaryClassifier,99_SimpleBinaryClassifier,100_SimpleBinaryClassifier
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5088149713094429,0.4807694003449865,0.5029732014914811,0.4990374084564096,0.5089869896572516,0.5100600313829666,0.5063413422467951,0.4886953630491048,0.5157607688649769,0.4864253404064724,0.5023289249197226,0.48973409322428024,0.48195284395575366,0.5069502780018247,0.49011387507905035,0.4906202129825895,0.4931128842448804,0.5268213424632412,0.5029485916528356,0.4857032741370727,0.49717355046374934,0.4709508042292822,0.4617221626050725,0.47492224579306375,0.4658817144104234,0.49803902668882316,0.49700071540521407,0.48634429440858945,0.5009553318182616,0.5061099298760404,0.49229500195673287,0.48820880617916756,0.5086646328926425,0.4994247673078554,0.5091536192385795,0.49114940969252674,0.4978751464156549,0.532619755282747,0.5303223702364827,0.4903392068884385,0.4962837805886558,0.5092190598857029,0.5287056258453893,0.4799398739118076,0.48809721661791416,0.5021406284179386,0.48954185537203637,0.5306896658865136,0.4704332611594754,0.5018104953554747,0.5247633853388611,0.5095065864536024,0.5039341646552045,0.4939684271434267,0.4957719971490218,0.5102791650307371,0.4754445751745706,0.46091200741610266,0.4908562322072972,0.4935680609584923,0.5032049177159745,0.5090702434960379,0.5095178148869454,0.490314936133935,0.45212197590537606,0.5365984764632469,0.4795505110350341,0.4815927716720257,0.5350006899858176,0.47159270010679977,0.49131958893558114,0.5134801386590281,0.487281272678552,0.4771936577015146,0.5180861092316612,0.49971645109206814,0.5210378484709095,0.4983533756406837,0.5053574960713472,0.5223355578378909,0.5036432045702041,0.5089190181344323,0.5125764400090268,0.46022281498871287,0.5003427174586567,0.5076988814396088,0.49528016489535526,0.5220770272755405,0.5043077807356157,0.5204201392878411,0.5164088152786391,0.5227433565262083,0.5042038671245929,0.5016108191533005,0.49108347164528,0.5449765470920842,0.48723719767705254,0.5347586301894566,0.5320913903767667,0.47963623981181736
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.902495523424827,0.8947648184285151,0.9008799260009435,0.9017416616646378,0.9038971099057136,0.9069670693652149,0.9033779968263239,0.9026188616958765,0.9061022366427973,0.8993875203656024,0.9009179835513815,0.9010604970801572,0.8979266782228809,0.9039430914622545,0.903314786136795,0.8993796940145043,0.9012617152175263,0.9028020624848618,0.9023847686986803,0.8989936428544982,0.9024514182394493,0.9005482547278902,0.8969350893042463,0.9022094988911553,0.8975163109666823,0.9007620912869497,0.9025914694670327,0.9019740666253224,0.901514488222067,0.9030154874978298,0.9028682446766793,0.9049315344946633,0.9039798446208428,0.9039696536235573,0.9025859659099772,0.8992658422296345,0.9006478419067032,0.9022482400266268,0.9029045723384609,0.9012624197286324,0.9037609439522494,0.9066676102930273,0.9045677696018218,0.9025902906316177,0.9017906147234674,0.9034322790582721,0.9003714433663611,0.9042887064749201,0.899619464952693,0.9014458995319172,0.9042426063373019,0.9047840405606435,0.8978137123084117,0.9014198047195661,0.8992967012111481,0.9062759369948884,0.9007542858619241,0.8958005264832422,0.9001278429569131,0.8963735730267055,0.900350126673887,0.9049817919453427,0.905531638449811,0.8972895002427005,0.8927579941293717,0.908053132525626,0.8994342831621819,0.9010243996051724,0.9068060292869593,0.900072207505613,0.9012820553599526,0.9006052364231851,0.8985747726375253,0.8993841094157925,0.9039044479817878,0.901699049205762,0.9018360452267672,0.9033756740322814,0.9044048322263302,0.904388705199825,0.9036458505537471,0.901884168218056,0.904819070805933,0.8979175823567205,0.9041838459258486,0.9039441935687372,0.8988276572477857,0.9043811508876687,0.9045361363556275,0.9050822370931264,0.9054732268062319,0.904383083061692,0.9017354814979063,0.901566036113881,0.8996672182500352,0.9094891912232035,0.9031121659525714,0.9079474209829411,0.9063380107011471,0.8997171129821253
global NDCG,0.48180332594637043,0.48281481929454034,0.48203461296821315,0.4802235253657832,0.4840685079786653,0.48365411540273295,0.4864189073445783,0.48451133781231,0.4882174643118815,0.4798845109738026,0.48631059471397453,0.48100643269865745,0.47764522091657463,0.48425795015079803,0.484744950299455,0.4822723023224725,0.4836056819107932,0.481995683512212,0.4850161581126628,0.48043899707084664,0.4819296912513512,0.4820504551972485,0.5027967011484102,0.4835019994715038,0.4794180193373772,0.4785224209582136,0.4814273334619753,0.4822857622342766,0.4781247933200626,0.48151689167658107,0.47889746627321894,0.4932729496691374,0.48280366340252817,0.4852751545390122,0.48192983624968677,0.48101765646869693,0.48035746244064126,0.48203467965902524,0.4831295870297058,0.48187155489827665,0.4823914799562754,0.4851567527824828,0.4861737971809657,0.4825161739862519,0.478639153002739,0.48723462627284103,0.4840367155597912,0.4844120621144279,0.4815234536182819,0.48080621366621756,0.4831653025610229,0.4808495771111506,0.47947024106094943,0.482829842682219,0.48450245654328805,0.4881781968051939,0.4822820310653025,0.4791271057782174,0.482020164024302,0.47813130836530904,0.4787563770084733,0.48435861333008084,0.4822468435768551,0.47629683172990284,0.47391854133319306,0.48380786451065466,0.4831681207860101,0.4813415987957612,0.4848431912658663,0.4813382890476503,0.48355875334445136,0.48095602967505513,0.4774588995060372,0.4798340892915226,0.4829735774860983,0.4841784640439272,0.4819162568278605,0.4947544979736597,0.48257207724734785,0.4843685578041531,0.49113245281940066,0.4824098866240931,0.48882193136683655,0.4772779439243919,0.4831170638332636,0.4824203308445557,0.47890421720285864,0.4847350280069154,0.4859656726565783,0.4838641147859829,0.48621762554414627,0.4805692783921531,0.4866797105731507,0.4791611296999404,0.47949275317116236,0.4878451516921876,0.4871148222321601,0.48485964025322914,0.48418233440589664,0.48077998809528083
