,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.2567237163814181,0.2567237163814181,0.2665036674816626,0.2665036674816626,0.2665036674816626,0.2591687041564792,0.2591687041564792,0.25183374083129584,0.2567237163814181,0.2616136919315403,0.24938875305623473,0.25183374083129584,0.25183374083129584,0.2591687041564792,0.26894865525672373,0.2713936430317848,0.2591687041564792,0.254278728606357,0.24449877750611246,0.2567237163814181,0.254278728606357,0.2762836185819071,0.2616136919315403,0.26894865525672373,0.25183374083129584,0.2616136919315403,0.2665036674816626,0.2860635696821516,0.24938875305623473,0.2665036674816626,0.26894865525672373,0.2713936430317848,0.2713936430317848,0.25183374083129584,0.28117359413202936,0.26405867970660146,0.26405867970660146,0.26405867970660146,0.25183374083129584,0.28117359413202936,0.2591687041564792,0.26405867970660146,0.27383863080684595,0.26894865525672373,0.2591687041564792,0.2713936430317848,0.2616136919315403,0.2591687041564792,0.2616136919315403,0.24938875305623473,0.24938875305623473,0.2665036674816626,0.27383863080684595,0.2665036674816626,0.26894865525672373,0.26894865525672373,0.27383863080684595,0.2713936430317848,0.26405867970660146,0.26894865525672373,0.2591687041564792,0.2616136919315403,0.2713936430317848,0.25183374083129584,0.2713936430317848,0.2616136919315403,0.2616136919315403,0.28117359413202936,0.24938875305623473,0.2762836185819071,0.2591687041564792,0.2665036674816626,0.2591687041564792,0.26405867970660146,0.2396088019559902,0.2616136919315403,0.2616136919315403,0.254278728606357,0.24449877750611246,0.2616136919315403,0.24938875305623473,0.2762836185819071,0.2591687041564792,0.2591687041564792,0.2762836185819071,0.2567237163814181,0.2665036674816626,0.24449877750611246,0.2787286063569682,0.2591687041564792,0.26894865525672373,0.2567237163814181,0.2713936430317848,0.27383863080684595,0.26405867970660146,0.2567237163814181,0.2591687041564792,0.2616136919315403,0.2713936430317848,0.2713936430317848
AUC,0.5257813452596375,0.532027295431249,0.5310196995123279,0.5363236467170752,0.5340766301981713,0.5263725151905437,0.5291167161582081,0.5217132551394469,0.5304079100178191,0.5245891968399339,0.5240397361394584,0.52816164658737,0.5258039783178107,0.5240340782798011,0.5378948370356132,0.5339817566642446,0.5259203269055971,0.5251746741896,0.5191677002008236,0.5290995332825242,0.5268717667024487,0.5338500523664105,0.526315847831197,0.5233300531743547,0.526413572359682,0.528990460285293,0.5337711561147104,0.5461929372017877,0.5232823441710444,0.5293789705664832,0.5305282412240545,0.5342715285482826,0.5320556898944369,0.5272701361150605,0.5377830615142786,0.5344509982587329,0.5292279203882213,0.5259110925638656,0.5192160413880403,0.542787602934418,0.5294638604375294,0.5330503657630538,0.5329544832625599,0.5327836889552319,0.5332235539976918,0.5410535991607344,0.5350410047912708,0.5258595773842519,0.5278789794705663,0.5235066723503327,0.5246719893175128,0.532943817578092,0.538312169241945,0.5362712207434972,0.5330528079761435,0.5383730714761708,0.5389587301016703,0.5334529317271975,0.5289863035252598,0.5348951166043957,0.525994174250571,0.5279245268363079,0.5329590822900381,0.5201742349997279,0.5386503945746496,0.530068590061226,0.5268395436525768,0.5383440388842559,0.5198104874812483,0.5366031421759567,0.5305685108679327,0.5317095792764926,0.5265643728708673,0.5233100309300989,0.5210981150278757,0.5307852417193059,0.5275104194031989,0.5245171091429468,0.5174978763046172,0.5290582405997083,0.5240314294717647,0.5368106372036495,0.5291892195604977,0.5278693149327467,0.5346655552951868,0.5288466781662717,0.5321730308997364,0.5189585526261344,0.5401326760755059,0.5273653496721223,0.5368521312468265,0.5176854337781154,0.529685841861907,0.5336107740606124,0.5323235543422711,0.5351810348366269,0.5283520343459446,0.532556210244821,0.5410884805242979,0.5342796887470003
Fscore,0.001159255663196275,0.0010938287598340614,0.0011790323691639594,0.0011846118615576296,0.0011515381989353494,0.0011686103673172364,0.0011551675324663676,0.0011243976254352772,0.001156970355380071,0.0011897582969198615,0.001110261240715995,0.0011185529866193527,0.0011116657169534104,0.0011343383199549596,0.0011610856226446087,0.0012005394973720056,0.0011511498873146518,0.0011397918146086924,0.00107460688481084,0.0011261794120502415,0.0011232589589956253,0.0012246392490620362,0.0011703580192188895,0.001230959889086668,0.0010991617383564476,0.0011480470100046689,0.0011894645441839033,0.0012225632246272557,0.001091270502879395,0.0011676790082855999,0.0011759615131574845,0.0012149477138462548,0.001236305434989555,0.0011057037536620893,0.0012174010798798433,0.0011466567926672244,0.0011827572045148356,0.0011529904543647823,0.0011280002463392607,0.001207750133093151,0.0011831749790308297,0.001195564121864313,0.0012062752797125217,0.0012096957576495405,0.001103938766966221,0.0011805181207264496,0.0011234173074240678,0.0011830165024562629,0.0011551725122713992,0.0011135666059157406,0.0010876377260018756,0.001152643500006766,0.0011858512449342278,0.0011839946213738066,0.0012004741924820643,0.001178810592192784,0.001182638194722466,0.0011661512451504382,0.0011502255749600019,0.0011768696735338124,0.001150405274834849,0.001190786982316584,0.0012074975042668393,0.0011428966028096514,0.0011579873103129501,0.0011052818213653146,0.001188435916283457,0.0012233138778824223,0.001100366731119027,0.001227541989945249,0.001116825870821148,0.0011781753584296166,0.0011731956250744242,0.0012214702906701825,0.0010974174747026735,0.0011495831763650415,0.001164214004299297,0.001128747832277767,0.0011083388276455783,0.0011178037020320869,0.001095785308275369,0.0012618511331666561,0.001132952502051544,0.0011459318331158948,0.0012326343447051807,0.001145554265058566,0.0011472610061703805,0.0010861739520494518,0.0012097170853515857,0.0011613434549447355,0.0011879168572161965,0.0011694731711402466,0.0012426825025686514,0.001182370500989359,0.0011577627625156608,0.001077632859856653,0.00112052026033295,0.001118144034252688,0.001180640870019458,0.0012092417191748878
HR@10,0.007334963325183374,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.007334963325183374,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.007334963325183374,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.009779951100244499,0.007334963325183374,0.004889975550122249,0.0024449877750611247,0.007334963325183374,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.007334963325183374,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.004889975550122249,0.009779951100244499,0.007334963325183374,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.012224938875305624,0.009779951100244499,0.004889975550122249,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0,0.007334963325183374,0.004889975550122249,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.007334963325183374,0.007334963325183374,0.004889975550122249,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.007334963325183374,0.007334963325183374,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.007334963325183374,0.007334963325183374,0.007334963325183374,0.007334963325183374,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249
HR@2,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.004889975550122249,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.004889975550122249,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247
HR@5,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.007334963325183374,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.007334963325183374,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.004889975550122249,0.004889975550122249,0.0,0.0,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.004889975550122249
Lin's AUC,0.26037219153718794,0.2630872057458829,0.2686448383671138,0.25963492767044594,0.2674897755877489,0.2624657498027317,0.24874642910488798,0.25248774479894404,0.25500021738237383,0.25605566930107826,0.25810809253639366,0.2567091284959638,0.24707337384419642,0.25664510073021796,0.27132233980369036,0.2626343749248535,0.25489801882067614,0.2591913381395639,0.2630352311258985,0.26577788710915884,0.2600640009112083,0.25853114302943675,0.26468937085254046,0.2705662112643738,0.26385366372578667,0.2691060616665653,0.265105984777103,0.2652849603856285,0.25619405498608344,0.2578914041916544,0.2697069427853746,0.2661499172975143,0.27542064716475173,0.2527843646399321,0.26906414338437795,0.2603975661096942,0.2626477794305072,0.2598891730146215,0.26277636956220496,0.26432808333032515,0.2626623759822146,0.26846392925329504,0.2640931444140214,0.2669786794508787,0.26859295082250534,0.26803719988834457,0.26240979865151653,0.2591568429665162,0.2568180287168679,0.2563079692132335,0.2516887060273564,0.272148715319276,0.26192223168723716,0.26521480968958056,0.2658521710087777,0.2637565706753092,0.26790191548701625,0.2631089405189197,0.267905924692229,0.2650317260211353,0.26355191674023537,0.273421142669304,0.2613426556387247,0.26206975816397765,0.2650456694292805,0.26375813732875114,0.26101382532895967,0.2722990695626261,0.2657146098206842,0.26783433288856756,0.2544306145107512,0.26014496881651705,0.2662972835781722,0.2663885713759064,0.2529948317622836,0.25934078598420424,0.25836158561370287,0.25195037135059833,0.25598081563781305,0.2541075074171645,0.25540655785524785,0.27160398521918744,0.26617418752933963,0.2663106781118307,0.26266647349145555,0.25214184761998376,0.2715628895883372,0.25498063654167813,0.2583028613230405,0.26532910787107417,0.2623664355705934,0.2603709865425949,0.27166064877211005,0.2649532703322534,0.26203790149207257,0.25203745977305936,0.260557356957638,0.25870485303443685,0.2633266601917719,0.26359046313464624
NDCGk,0.2263671103321768,0.2229992977968634,0.2284665862770987,0.22912626717587947,0.2274587434934947,0.22554791003210076,0.22981000863610757,0.22154959856073966,0.22819762737710106,0.22855978907466243,0.22801143445852742,0.23206061197503863,0.2282607871460924,0.23067923489652697,0.22812722460343401,0.22642867886574267,0.22672083505710336,0.22388830175096458,0.21900883289302653,0.23226263241343856,0.23009530448229285,0.23179196465992455,0.22114958623172995,0.2294560437013001,0.22354500538850333,0.2274456221854723,0.22410852407952914,0.2339109924545746,0.2262400387814101,0.21979574922616063,0.2244387683011264,0.2312912569700054,0.2302667192994349,0.22567986420369082,0.23228112906969858,0.2263581169155048,0.2316934671583468,0.22883885788202632,0.21638457348152051,0.23666944653076077,0.23685452241349197,0.23549420634998047,0.23549267348940925,0.2260067741202487,0.2220462784113598,0.23842961384014524,0.2289887591156965,0.22548193825653118,0.22685387848357821,0.22452745736145416,0.22335596584927775,0.22512873496424504,0.23357345510554556,0.230530931870285,0.2316926743651425,0.23132656921028608,0.23124871573806338,0.23184293467990372,0.22552999790535277,0.2216532638324772,0.22335335323617128,0.2297113800467642,0.23177349799166333,0.2194004684455369,0.22938436265147086,0.22731473590649007,0.22512552978910805,0.23032520481687777,0.22076301949094324,0.2359093134971979,0.22424913516067538,0.226668883338924,0.23173279130505037,0.21979247681655992,0.230016263698068,0.22941838047055488,0.22337430399046554,0.22337514869397884,0.22250419366524912,0.22888971901950497,0.22701252462509025,0.2333148153432718,0.2228765829312765,0.22860171585574804,0.2301137917207876,0.23231421354434847,0.22827838928656943,0.22464480336916762,0.23079082006464893,0.22609512549857105,0.24384590921182217,0.2168962363722539,0.23089730558853347,0.23583557671262276,0.2270097149745378,0.23096368781694224,0.22512405455777104,0.23008049631834426,0.2307738462795559,0.2279919629187926
global AUC,0.30929296023066316,0.31058046676559276,0.3181755532907001,0.31752699123923384,0.3180917873758363,0.3117709130946786,0.31075255324317325,0.30502608030966316,0.30945933029514117,0.31291195799690547,0.30368856506149444,0.30568140172258096,0.3052911410118976,0.31136543721979015,0.3200390445536973,0.32213638067878786,0.31045943194960046,0.30818736897136256,0.29958045752427825,0.3103084486737393,0.30679552799590215,0.3258846248290357,0.3142256768602766,0.3204828058743076,0.3057484078535331,0.3144551188961117,0.3184551756641864,0.33327087744960837,0.30318202221083934,0.3167782863434495,0.31996457276082946,0.3212192924321556,0.3227113290594454,0.30491259036685375,0.3297736604054561,0.31586193740197605,0.3155156917519948,0.31572097435139174,0.3067428723061568,0.32893862182956907,0.31114684052659647,0.31689231096231124,0.32359955800113005,0.3194413361356519,0.31124231650709994,0.32249982837558816,0.3141439638374163,0.3115055949558265,0.3126860012568187,0.3037325273146853,0.30286626629771823,0.31767142638368884,0.3237451747136512,0.31758187804633325,0.31980916025495465,0.3189490711158755,0.32389557710688766,0.321614596260172,0.31672309589315983,0.31979436755084045,0.3116842031610576,0.31486500419819724,0.32167125211890135,0.30627571065708387,0.3212354911362592,0.31398556770715075,0.3135621372784065,0.3300695804971299,0.30454741322405704,0.3247626302365248,0.31089535135477675,0.3175689864126274,0.3117127456209371,0.31543371469157777,0.29439674679326383,0.31283519567823326,0.3138601366658393,0.30693124330004695,0.29848502510997166,0.31290786541477655,0.3023889061980176,0.32588570078207924,0.3113095074643418,0.31198691561887754,0.3261412099256998,0.308564500414539,0.3184999036262918,0.2992387863249668,0.3269481615064927,0.31138732593324076,0.31853981950392624,0.3089320208906515,0.32240939551241765,0.32385051909783646,0.31557570088769427,0.3080147874233631,0.31158277313365057,0.31304181826823047,0.3208473955335407,0.32179963377990883
global NDCG,0.4811046235452994,0.4773039066646117,0.48305153155322833,0.4801342614762592,0.4724186443596473,0.48260811103818413,0.4650340924361148,0.4680866717537713,0.47832177553314287,0.47179276163327716,0.4716080538149571,0.47537155921255814,0.473563239443621,0.47394626791910915,0.48491220424616693,0.47578682047124976,0.46986146151910324,0.4746629789145625,0.48634465710390207,0.4730113318504541,0.4773163811769996,0.4820255447542201,0.4832128023992761,0.4765100060344992,0.47265719256866584,0.48802661582320445,0.48931993839736276,0.4875596907146574,0.4739063080565815,0.48315746614455074,0.4826132875040795,0.4780705265950721,0.46618909713356965,0.4795398818006973,0.48523052592141774,0.46916411541735686,0.4753863316310803,0.4782319402889097,0.48722383536081904,0.49006766446302963,0.47924643893331714,0.48981048960664664,0.47893347450535906,0.47850092928259347,0.4900477703921686,0.494893889487857,0.4736122608118453,0.4673197750831449,0.4762099798593289,0.4736980889829112,0.45354080876269387,0.4708618578775033,0.4892322541125381,0.46735172140692516,0.4632515555350713,0.482616783461969,0.4825067939603057,0.4913543185332197,0.48944093391647503,0.478937258127965,0.47315390443164346,0.47692276224256946,0.4790944434038591,0.47523683031834235,0.46790412024167216,0.4702435273580808,0.48138611632836803,0.4922793415367891,0.47079648809777386,0.4811399251348059,0.47807656555575595,0.478458883897009,0.48992269818453216,0.4825151986358,0.4669095370551747,0.4772249796053144,0.48007168655504623,0.47502668367062,0.47495047732581225,0.49047346068417774,0.4706447772255196,0.48259264510292355,0.48929350145342426,0.4787572629020263,0.48242458865676685,0.4593039797601436,0.48162898231300905,0.47881370864039074,0.4912104792011174,0.46805347265483205,0.4853629278178168,0.4789928017557725,0.47596871469911267,0.48034946685816293,0.49649342308850425,0.4727884600792884,0.4721516498328964,0.47775188465644397,0.4808881206500105,0.48145495204173344
