,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902
HR@10,0.0,0.0,0.0024449877750611,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0024449877750611,0.0024449877750611,0.0,0.0024449877750611,0.0024449877750611,0.0073349633251833,0.0048899755501222,0.0,0.0,0.0024449877750611,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0048899755501222,0.0,0.0,0.0048899755501222,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0024449877750611,0.0,0.0,0.0,0.0048899755501222,0.0024449877750611,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0024449877750611247,0.004889975550122249,0.0,0.0,0.0,0.0024449877750611247,0.004889975550122249,0.0,0.0,0.0,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.004889975550122249,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5089575494102914,0.516400687688429,0.5210565677671647,0.4978571668913154,0.4973965641075716,0.5107691272530027,0.5052085078599043,0.5040333240578561,0.508664129012945,0.5156318299071604,0.4991003348960277,0.5076869102419559,0.4946893043420409,0.5144249830663372,0.509596462315338,0.485820237082348,0.4870386448020337,0.4909521577913307,0.4885369440659482,0.4871234330544498,0.5122273053535156,0.4929071322804109,0.5327022057234936,0.504911617142688,0.4984937497907635,0.5002861120112105,0.4964072276040839,0.5027711175954933,0.5050887732190832,0.5286599537051304,0.5388999587797818,0.5026344429265156,0.5133654465273175,0.5099742312329748,0.5013264073326757,0.5167092407621581,0.4934219585596405,0.5419261530688336,0.4909924316126343,0.5221774900838642,0.5102960319514154,0.5038695318255406,0.5013532460161556,0.5088793109947427,0.5148018348902933,0.5136593131417095,0.487352198354273,0.493261536296454,0.4829894467343757,0.5156205136040621,0.4764157575075304,0.5184995329696352,0.482746059320586,0.4913374992878994,0.5166211917777471,0.524998842191392,0.4876905907755286,0.4983553854094166,0.4935254622518623,0.5176732712630403,0.5174547503779932,0.5127335789914751,0.5013467401110124,0.5001419129556415,0.5158988889154555,0.49043722873694073,0.49557928064014295,0.5129921793525258,0.5142244980453278,0.47588838851564214,0.5064965374586751,0.520524853243795,0.516487647604457,0.4959023525475926,0.490092977626614,0.5170881316461086,0.5028049034122217,0.4999604002707406,0.48158054778265724,0.4909272007617864,0.5150148411097124,0.4952612064153545,0.5219739343637346,0.4979833017647688,0.5401891118808713,0.4935137026024846,0.5046527244991426,0.49961450057379375,0.47591146959296693,0.4988942962166798,0.5027196970396849,0.4508919199027458,0.510448307927451,0.5036353623046864,0.4943314614180018,0.5042231430634233,0.508478346526051,0.4837278526387847,0.5257128907307151,0.5143508414358331
NDCGk,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.2237274851365809,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097
global AUC,0.9098237945365352,0.912589205088532,0.9126962063083852,0.909776630827969,0.9109326004530884,0.912481424957886,0.9120084412806876,0.9112023412210152,0.911062823776054,0.911443915782581,0.90989309779423,0.9106226269624592,0.9101696309283032,0.9129854066442412,0.9105222266815232,0.908954873341184,0.9086741816155932,0.909335417469781,0.9070575588671732,0.9086738053620748,0.9123720209962666,0.9107019768491872,0.9127692126928136,0.9089863136132484,0.9099080093152452,0.9096491270918377,0.9119906979568776,0.9113845139332618,0.9101905295009164,0.91330270057613,0.9158552638527304,0.9088159037741528,0.9110070524431396,0.9112621193238528,0.9093832610750552,0.9124383472305102,0.9088244783938068,0.913634628789599,0.9076902060549092,0.912286089973438,0.911616121077062,0.9087047241599646,0.910684055300026,0.9096672862747998,0.9114557182613656,0.9113637935859998,0.9095315841725328,0.9094055986523524,0.9084100912513796,0.9126647660363212,0.906892819234608,0.9124402086952847,0.9099083855687634,0.9100936607223012,0.9126759876324808,0.9126203219145892,0.9085850293345726,0.9086217899634045,0.9082030660041085,0.9110923695786489,0.9127063981580741,0.9112152460565991,0.9101771493977305,0.90941939461469,0.9102684799885936,0.9098164674943365,0.9093904428965975,0.9099724740847138,0.9135193037857705,0.9085252314289186,0.9102663148806286,0.9126527985340634,0.9126713537733607,0.9089173800081323,0.9084725493354175,0.9129258991798994,0.911457210073561,0.909420529976184,0.9076413327031637,0.9076637824964223,0.9117005470858175,0.9091211113868837,0.9126243484873289,0.9092110029730628,0.9131320927088671,0.9095462118531741,0.9108379165852551,0.9096172445568657,0.9080253093199978,0.9091866851140906,0.9115652740445801,0.906838374690416,0.9106812631028639,0.911128786958657,0.9091677536212751,0.9092419349728306,0.9095089825576791,0.9083372366885467,0.9127311516790149,0.9103148845891841
global NDCG,0.5165493688098614,0.5162330823099917,0.5253029951867516,0.5160169949362776,0.5227151635039946,0.519715650888188,0.5207105507693016,0.5215153579348016,0.5207823878232433,0.5185396060389696,0.5284322572393514,0.5229983840196611,0.5155011319947105,0.526408340593843,0.5232626773199062,0.5156747882983643,0.5228669938445117,0.5295238081685509,0.5128944276224431,0.5217693171497458,0.523326744163607,0.5187388768054795,0.5157413252098301,0.5152841546771687,0.5191086198851079,0.5238849929734677,0.5279367115814381,0.5235502026279111,0.5244618492547793,0.5267137086494209,0.525443558566941,0.5243723160479418,0.5198699265328207,0.5185063482721974,0.520290260176866,0.5298167877362134,0.5146259062412062,0.5232779710829876,0.5177275061253355,0.5216856980047906,0.524449968122592,0.5104730939917009,0.5232313491356849,0.5160994864650461,0.5228438493973504,0.5215045657502679,0.5138181200005862,0.5162233465014276,0.5160550611654614,0.5281782260523292,0.5184122736615786,0.5167065859703288,0.519763111847017,0.5199013733278623,0.5184375673738382,0.5257358228421553,0.5207893844419534,0.5247656084973744,0.5244781150284481,0.523369456008493,0.5217692455924681,0.52064589516938,0.5175764631192034,0.5223451434989222,0.5188159917796056,0.5156190387403985,0.521567507438893,0.5177323869365491,0.531244475257347,0.5158246453476766,0.5217701019177732,0.5261698235432424,0.5210972543499527,0.513709985203703,0.5216378177248561,0.5244191238279063,0.5262731207026962,0.5196601981372807,0.5174159511217288,0.5169702867458215,0.521111006269377,0.514466594343749,0.5149106702936305,0.5240234061534768,0.5231796440161153,0.5153191656809775,0.5195855423055098,0.512342425286299,0.521641781869002,0.5154912284438393,0.5159563566067606,0.5172330942809654,0.5254305446712871,0.5219551348359935,0.5186016551902927,0.5221165872157176,0.5203684780180853,0.5210851508571666,0.5207196682912465,0.5199810419481335
