,1_DRRS,2_DRRS,3_DRRS,4_DRRS,5_DRRS,6_DRRS,7_DRRS,8_DRRS,9_DRRS,10_DRRS,11_DRRS,12_DRRS,13_DRRS,14_DRRS,15_DRRS,16_DRRS,17_DRRS,18_DRRS,19_DRRS,20_DRRS,21_DRRS,22_DRRS,23_DRRS,24_DRRS,25_DRRS,26_DRRS,27_DRRS,28_DRRS,29_DRRS,30_DRRS,31_DRRS,32_DRRS,33_DRRS,34_DRRS,35_DRRS,36_DRRS,37_DRRS,38_DRRS,39_DRRS,40_DRRS,41_DRRS,42_DRRS,43_DRRS,44_DRRS,45_DRRS,46_DRRS,47_DRRS,48_DRRS,49_DRRS,50_DRRS,51_DRRS,52_DRRS,53_DRRS,54_DRRS,55_DRRS,56_DRRS,57_DRRS,58_DRRS,59_DRRS,60_DRRS,61_DRRS,62_DRRS,63_DRRS,64_DRRS,65_DRRS,66_DRRS,67_DRRS,68_DRRS,69_DRRS,70_DRRS,71_DRRS,72_DRRS,73_DRRS,74_DRRS,75_DRRS,76_DRRS,77_DRRS,78_DRRS,79_DRRS,80_DRRS,81_DRRS,82_DRRS,83_DRRS,84_DRRS,85_DRRS,86_DRRS,87_DRRS,88_DRRS,89_DRRS,90_DRRS,91_DRRS,92_DRRS,93_DRRS,94_DRRS,95_DRRS,96_DRRS,97_DRRS,98_DRRS,99_DRRS,100_DRRS
ACC,0.5061124694376528,0.5036674816625917,0.511002444987775,0.5354523227383863,0.508557457212714,0.4792176039119804,0.5158924205378973,0.511002444987775,0.491442542787286,0.5281173594132029,0.5281173594132029,0.4987775061124694,0.491442542787286,0.511002444987775,0.5232273838630807,0.5354523227383863,0.5427872860635696,0.491442542787286,0.5403422982885085,0.5330073349633252,0.5012224938875306,0.5134474327628362,0.5061124694376528,0.5354523227383863,0.511002444987775,0.508557457212714,0.5330073349633252,0.5061124694376528,0.5012224938875306,0.5330073349633252,0.5183374083129584,0.530562347188264,0.508557457212714,0.5207823960880196,0.5207823960880196,0.5378973105134475,0.5158924205378973,0.5061124694376528,0.4938875305623472,0.491442542787286,0.5525672371638142,0.5330073349633252,0.5036674816625917,0.4963325183374083,0.491442542787286,0.5207823960880196,0.511002444987775,0.5330073349633252,0.5061124694376528,0.5232273838630807,0.5158924205378973,0.508557457212714,0.5134474327628362,0.508557457212714,0.5158924205378973,0.4963325183374083,0.4987775061124694,0.5158924205378973,0.5207823960880196,0.5281173594132029,0.511002444987775,0.5330073349633252,0.5256723716381418,0.5134474327628362,0.5134474327628362,0.5330073349633252,0.5207823960880196,0.5330073349633252,0.5256723716381418,0.5183374083129584,0.5012224938875306,0.4963325183374083,0.511002444987775,0.5134474327628362,0.508557457212714,0.4841075794621027,0.5036674816625917,0.5207823960880196,0.4816625916870415,0.491442542787286,0.4938875305623472,0.4865525672371638,0.5207823960880196,0.5183374083129584,0.5134474327628362,0.5134474327628362,0.5158924205378973,0.5256723716381418,0.5061124694376528,0.5158924205378973,0.5207823960880196,0.508557457212714,0.5036674816625917,0.5183374083129584,0.46454767726161367,0.49877750611246946,0.5378973105134475,0.5061124694376528,0.5207823960880196,0.5061124694376528
AUC,0.5037264834097659,0.5155413346354711,0.5112708402278316,0.5244983694903831,0.5244699449042027,0.5094302461137127,0.5191602964869714,0.5072042978860687,0.4975772870183734,0.5213610492364793,0.5231178474115786,0.5114200065857499,0.4924840100825152,0.5188590373800426,0.5158550832495066,0.5190373117294844,0.5302519897252127,0.5025572114342659,0.5235240419686468,0.5241663367006143,0.5124406733679668,0.5174677237249815,0.5036357731057878,0.5265164654692759,0.5207146388871977,0.5155804098674092,0.5174368534882834,0.5057725540373549,0.5013636808034078,0.5229457501515559,0.5170355354910715,0.5289788150314352,0.514091153217075,0.5270049479357779,0.5238218354632453,0.5266468127130792,0.5229908574799974,0.5092926465560352,0.504702161262508,0.500734823892539,0.5299023911576859,0.5251917454493594,0.5112436948752657,0.5052872025883943,0.5173646308864077,0.5172941586671078,0.5145838643691512,0.5215838217719146,0.5141541411479981,0.5125730957137192,0.5132187080375551,0.5158810868818001,0.5139157315875771,0.5066816111287442,0.5186033823389906,0.5023915213411055,0.5185706186925104,0.5159643189698055,0.5195584893988253,0.5234310502533749,0.5067602244135907,0.5315109328203564,0.5142019653683634,0.5197308894667614,0.5138480984358578,0.5253482730497856,0.5236097721131816,0.5254917979106616,0.5195666569964952,0.5181201477625091,0.5129965513103754,0.5046514989257768,0.5089901860963526,0.508358861778222,0.5134656020241536,0.5076040910874944,0.5111507179568819,0.5079756661330533,0.5156157688343053,0.5152911125368089,0.5008843621158716,0.5049093738854749,0.5178792695336631,0.5245448843828686,0.5197164466614134,0.5310240299894033,0.5215739178960359,0.5213128689684878,0.5009105659998633,0.5163453756862956,0.5220034429594409,0.5094630301467863,0.5151730961444783,0.5069258558479701,0.49050911403736125,0.5131727828239948,0.5226039022275731,0.5018995720000059,0.5154295085100432,0.5225250285950469
Fscore,0.0012525520717424,0.0012574278285716,0.0012862650273509,0.001360262344157,0.0012806309728815,0.0011552286898781,0.0013014673794952,0.0012843213480693,0.0012118601162963,0.001324801783744,0.0013679615364294,0.0012757347664412,0.0012120472633904,0.0013028461575656,0.0013219826638109,0.0013576153618719,0.0013198560145115,0.0012675587133238,0.001366967256406,0.0013444717707365,0.0012476826234777,0.0012655158714057,0.0012536896552173,0.0013600390748063,0.0013024099810071,0.001242551828981,0.0013107927750976,0.0012782568507116,0.0012217872558609,0.0013024645126425,0.001329994540844,0.0013286648620831,0.0013359595362802,0.0012447104704765,0.0013070633824118,0.0014012390451548,0.0012682677318328,0.0012729019968525,0.0012487706022068,0.0012738807413232,0.0013366019142685,0.0013304689258535,0.0012453124510199,0.0012508212899746,0.0012471629971574,0.0013284686951723,0.0012667888198447,0.0013954008228365,0.0012856074246881,0.0013957440507228,0.00130025795141,0.0012724105618404,0.0012639867928631,0.0012592125676269,0.0012727768218445,0.0012147146535035,0.0011633281164851,0.0012560090884665,0.0012638189297577,0.0013494011747407,0.0013053467588891,0.0013071856512551,0.0013035267808498,0.001265394876594,0.0012977624395773,0.0013676620874555,0.0013213643172129,0.0013490726053744,0.0013168263822143,0.0012808886351069,0.0012608222119592,0.0012068157013876,0.001229432421614,0.0013284356379344,0.0012540196554549,0.0011512468203163,0.001260821904083,0.0012946342367061,0.0012072301457713,0.0011989684667665,0.0013134666611819,0.0012105481521499,0.0013353786065353,0.0012461283346024,0.0012155454067282,0.0011660449630197425,0.001301583808399518,0.00124689883871532,0.0013668853541225407,0.0013185258741147217,0.0013573549986122663,0.0012803159835928152,0.0012209759081888134,0.0012961504431360028,0.0011951064523906992,0.00123996285840966,0.0013522817282841176,0.0012689281780030109,0.0013671637695897895,0.0012691893475468134
HR@10,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0024449877750611,0.0,0.0,0.0,0.0,0.0024449877750611,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0024449877750611,0.0,0.0,0.0073349633251833,0.0024449877750611,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0024449877750611,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073349633251833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5214273457390253,0.510562103153915,0.5078212532057137,0.5198078891734709,0.5210132930203448,0.4860668220617338,0.5205414875333667,0.5203852307739534,0.4968787717386816,0.5145852414521733,0.5477824914557963,0.5216251686581962,0.507345028835171,0.5349067272170787,0.5223552134593166,0.520910129003047,0.5308497879289551,0.504034517582494,0.5200144007162462,0.5309868155256463,0.5139845198978725,0.5236918858427916,0.5077938232690299,0.5210120773608518,0.5316511571925046,0.5071714506891054,0.5263781187146576,0.5174425960220905,0.5010468217286745,0.5115852521906828,0.5260921322292744,0.5275716055965061,0.529175145573719,0.5235821529489282,0.5335869211774501,0.5442412029954825,0.505166819285939,0.5193440429235766,0.4975428898567421,0.527201783735378,0.521914464855752,0.5351310358416421,0.5109105939167649,0.5020147402256423,0.4997498962987179,0.5202441130417187,0.5008145179567662,0.5191210429681077,0.514796649778052,0.5177693515200921,0.5186212478953872,0.5150228563618399,0.5138588605695146,0.5093755485289826,0.5122764494211575,0.5156810333721843,0.5046620896661308,0.5168462132050381,0.5068734265354309,0.5111705237939684,0.486835158696806,0.5024420292630875,0.522657523429224,0.5144674480547239,0.5159482175544094,0.5266522363508308,0.5190619770929228,0.5147230818629325,0.49925479057459,0.5107268885612815,0.5066239533628177,0.5156777130159733,0.518913211668776,0.5183943660480237,0.5098322665973035,0.4846977409769827,0.5085561761310468,0.5196998913186981,0.5367533355338837,0.4779840341944549,0.508039780627327,0.4814599434771112,0.5306431413520345,0.5067100731191906,0.4904285298352955,0.48453172872914374,0.5110302373539876,0.5092648751304008,0.5224575654694249,0.5101711829946702,0.537998459810912,0.4987841291531142,0.49327864928166926,0.5108683420635456,0.4914676215619278,0.49357260844817463,0.5195234338714434,0.5129462265397094,0.5313402526549568,0.49856917941392115
NDCGk,0.2181866544498583,0.2305840320066464,0.2216306963734114,0.2261561122805822,0.2276712218465803,0.2251510050191453,0.2311949658081115,0.2282272586229622,0.2314278386644325,0.2265736241052366,0.2255898658687579,0.2249384769358652,0.2284259364152668,0.222615757052293,0.2329885053817111,0.2387061120489204,0.2227957590332673,0.2240988947072102,0.2343441944048619,0.2324962488913458,0.2292900745838121,0.2253725899563152,0.2224701712088752,0.2366266838666693,0.2305577170419831,0.2298882726583877,0.2263726437683277,0.219513867283155,0.215528033477751,0.2309439939051853,0.2239487375608567,0.2270438679798226,0.2360730892199544,0.2322884545415861,0.2288340664962868,0.2214958045604723,0.2237689134602518,0.2249775833605992,0.2227095056473537,0.2266904504437186,0.2270283822625612,0.2302134577927186,0.2342426973383615,0.2275885656264401,0.2191652916255035,0.2307422373952392,0.2226835401988568,0.2331027156690699,0.2261014314372769,0.2363729670175606,0.2309698505209231,0.2228583079161148,0.2270044165632992,0.2282718045798032,0.2259099055829077,0.2200027084746453,0.2189772201230611,0.2186887414271175,0.2344959530458404,0.2205973027213022,0.2314795101066438,0.2344776509326855,0.2334471118309689,0.2260442234264829,0.2279175182889763,0.2277736319294012,0.220099782413828,0.2245722850061901,0.2232396016920432,0.2194546106446654,0.2325881206806967,0.2255459831174819,0.2277170281380731,0.2259802022104806,0.2343871731751704,0.2312803772529167,0.2274876557526884,0.2216593698032316,0.2347677415377793,0.2182194392503997,0.2267198274094878,0.2235693344269541,0.2342967791842981,0.2275599191907415,0.2336528294553848,0.2259297109373515,0.23194933738190443,0.22784420573835307,0.22735970196227095,0.23668225571355225,0.22309640083838578,0.23203235350460083,0.22113530411904064,0.22203523777059528,0.22053522486649535,0.22014047415396137,0.22916138523378632,0.22331620410400302,0.23140842917778856,0.23041820566747917
global AUC,0.5123480067804844,0.5101510228814947,0.5137840212391809,0.5361264172215855,0.5102749621106106,0.4859857182085579,0.5190540458474815,0.5153420078471962,0.4951802188343269,0.5282375757127693,0.5326876118859146,0.5035569555413563,0.4980249132636625,0.5167410768507711,0.5250745047975625,0.5358647824066495,0.5425211296054752,0.4958437320124414,0.5394037173847609,0.5361928424699128,0.5072915819546171,0.5172961101987148,0.5109026057866473,0.5353437967016428,0.5167142836397048,0.5123452277852002,0.5348434059260591,0.5119081070091409,0.5055370457893932,0.5331469910280038,0.5241617467668601,0.5341596278654677,0.5136481673153189,0.5227830548617234,0.5264765112189559,0.5418398466997946,0.5180027143060828,0.5117848344748557,0.4994018427181083,0.5000093931360796,0.5497985525461142,0.536057047954501,0.5067219869354217,0.501291876356493,0.4967299146630615,0.5232287700602533,0.513470516246231,0.5334770907813927,0.5114447408999457,0.5250070696055806,0.5191357126637692,0.5133791724534897,0.5167860490476166,0.5131936134595787,0.5180934904180772,0.5038770218675904,0.5048280191374422,0.5186920899628763,0.5232470546610551,0.5287809914082179,0.5118797361736734,0.5331267525492827,0.528118151525873,0.5173385080293822,0.5175548604033438,0.536204849577804,0.5255695752163789,0.5317910063527437,0.5278003031151152,0.5187798626476631,0.5067701407848252,0.5023221971093168,0.5152120749655431,0.5180017373671231,0.5123667138413769,0.4890697626830441,0.5079189285884024,0.5228618700723993,0.4919405704267375,0.4953893497811129,0.5008787037868268,0.4915010205051567,0.5250490581780354,0.5200753563186828,0.5184966955699778,0.5166378711707953,0.5185159637106782,0.5268284600801618,0.5109441454952552,0.5178905049454234,0.5263553509851242,0.5107105712716576,0.5078051218005248,0.520501334709849,0.47288746851352137,0.5030765458078759,0.5380990154039511,0.5107720524167357,0.5256195707277405,0.5097673763116065
global NDCG,0.4972030109665121,0.5004333964577922,0.4943151122547332,0.4953533574716592,0.4984258559512648,0.487398550904199,0.4906300813497548,0.4989634140811152,0.4899834146175206,0.4982362360894571,0.5029411165596932,0.4973587910317388,0.4970443516009609,0.50048298121403,0.4909717754980732,0.4992036206789617,0.5048275234701345,0.4809360155534958,0.4948240874205615,0.4995387141245398,0.5004011369549778,0.4952374446089997,0.5025882535956048,0.4934527885153806,0.5056936951384663,0.4936544122161044,0.4953726400810515,0.4975177833480515,0.492806732715494,0.4983912004667969,0.5078696657574583,0.5022142922615457,0.5030819541800913,0.4941604737610134,0.5048797101019715,0.509758256145335,0.4930671785123078,0.5014984327215458,0.4938986334016114,0.4988890679160827,0.5037646473428564,0.5042390482507805,0.4889151026592822,0.495380901266123,0.4987548444904231,0.4901243244037792,0.4976678441598247,0.4876376126770769,0.5018713792629569,0.4911079665099491,0.4941656498226319,0.4969402725076511,0.4994932382283773,0.4975565647757966,0.4945880517552772,0.5022033963091065,0.5026815386513814,0.4971631382666936,0.5004319741151504,0.4946286143603731,0.5243354839116073,0.4871999936113623,0.4991408912674524,0.4988104773612572,0.4944460269505393,0.5080818153212532,0.4959421992036931,0.4956604018438292,0.4976992466656117,0.4880421893046634,0.5018899502360775,0.491081378144755,0.4930668946551511,0.4974331757765342,0.4953546527288591,0.4921917831882666,0.4888869880978975,0.4950787117553397,0.4977141304388942,0.4896759506785994,0.496398975310673,0.4870965158677711,0.5044976403118094,0.4931513974720815,0.502118857637631,0.49868447392870485,0.48971711454641353,0.5014349290855776,0.4890076134377964,0.489015282008672,0.5026010988482941,0.4973930392907004,0.4939033128132893,0.4889711255500858,0.48726850310951014,0.4914755061575691,0.49714064071654096,0.4955962653973366,0.5005759349122616,0.49490510345446426
