,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.004889975550122249,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.43772014966106354,0.5418315842474999,0.4346716655139233,0.4856751275828277,0.5269498874548973,0.5410578883669026,0.5164279131101642,0.40440327638533197,0.5253409990977234,0.5181053619541531,0.4339150223246806,0.5849409939750471,0.5384076089798447,0.5332720674281145,0.5490415125429176,0.4928964782424719,0.46213687346799537,0.5567165601984125,0.552767799132958,0.4134381288930307,0.44723107426163455,0.4101054651417737,0.4485409032601224,0.49797141419404,0.4586357796497369,0.3925774943372033,0.4476384870561023,0.39012282933691417,0.5097222451008312,0.42544701305270505,0.5240516904539022,0.4503319825223255,0.5258165593407814,0.47280332690281884,0.3859847694687677,0.5563145146695724,0.47633798809896094,0.4586043572062443,0.5188574881410731,0.563637371751316,0.40707675939257,0.4294853257479986,0.48299705306762636,0.5580756434023996,0.5664201543596236,0.497317437137433,0.5169806204430637,0.4925668349188282,0.43355299094711314,0.5146123442965167,0.411314186377437,0.5010162955001849,0.5132766134743753,0.4508315346651917,0.4485627644318057,0.4594314798138495,0.505492418118643,0.5334878668152668,0.5146476353001722,0.3923796426329911,0.44320713664789585,0.5441024167161266,0.5607520812156809,0.4219009844666764,0.49272622554720685,0.4332977151853696,0.42909704759505224,0.480098468272017,0.5136892789492581,0.5466907141413636,0.5105276817063171,0.4454489207247495,0.4188326246655336,0.3963005090660541,0.4936713877275846,0.501187282143014,0.522860976498062,0.4206311424270965,0.4183789026030936,0.5111005810893746,0.4594130280302698,0.5036933848289878,0.5913487914179466,0.4778627003663331,0.5474941775602161,0.4506612144014772,0.5519594890122829,0.4027391443215472,0.5546949287730999,0.48394481337217254,0.4884289713799933,0.5021374096808592,0.5074637952397224,0.5426011561515951,0.4441086412355403,0.4848402902442204,0.41701976573211724,0.44895581144269486,0.41022311913968346,0.4359198937247834
NDCGk,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097
global AUC,0.893364670190688,0.9145460402287622,0.8937678159341385,0.9083042319939589,0.916693061621085,0.9173742389117429,0.9124021080758526,0.8873051270812761,0.9110814582266182,0.9110227626777633,0.8913983693040499,0.9158419761626895,0.912406741934973,0.9122777661894629,0.9098465347711059,0.901034479344342,0.8925954495767479,0.9140301372467221,0.9162482111455533,0.8892158216584727,0.8915420189367735,0.8881060123992037,0.8960221883960775,0.9045245475716467,0.9022910274757482,0.8857218918819014,0.896423017209968,0.8822032481900226,0.907222998199264,0.8874147950804523,0.9092232807194496,0.8963905801961272,0.9077898736316253,0.9001154306188511,0.8838698928535595,0.9172738386308069,0.8978293934529248,0.8984078535330866,0.908562183484979,0.9171270997586697,0.8857435165577953,0.8946636953640287,0.9080879852350199,0.9175271562627069,0.9171224658995497,0.9056011475072215,0.9044982890366327,0.8980718987468778,0.8961110040292132,0.9115664688145242,0.8906631303236573,0.9119572576003211,0.911825964925251,0.898118237338079,0.8963565985625797,0.8943146113103129,0.9032795840880408,0.9040881925045019,0.910270532880597,0.8860725205553239,0.8936349786393618,0.906727175273411,0.9144827108207872,0.888360102340957,0.9098596640386128,0.894015727397065,0.8904383881563315,0.907111785580381,0.9116854045319407,0.9165849382416155,0.9067155906256106,0.8944235069996357,0.8868880797604652,0.8873058993911294,0.9030417126532079,0.9083011427545455,0.9114011945059066,0.8895247455998142,0.8912361842348456,0.9100465630231245,0.8968323414322453,0.9072291766780908,0.9192463179962719,0.9016183455934773,0.9153067654343154,0.8945741074210396,0.9126724165245266,0.8880156521463614,0.9179658282594116,0.8995972107072511,0.904082014025675,0.9095947617589126,0.9074747712114571,0.9143730428216109,0.8978942674806065,0.9040673401384614,0.8875028384037346,0.8916949362877377,0.8872672838984618,0.8939817457635174
global NDCG,0.4878672975110607,0.49572040835106257,0.4887348025169434,0.4917914745868169,0.5116893747261533,0.5119478963207699,0.49780468948822415,0.481474483129411,0.4959065878757023,0.5066794776142906,0.4834087065983439,0.51361408629889,0.5004697065957415,0.5000697180880401,0.4998678786863522,0.4960237782029903,0.48703386408268895,0.5028596012260149,0.5065391391136335,0.4813910369632297,0.49390893488171844,0.4813607918658653,0.4832273121677151,0.4911614924838688,0.5010567303926147,0.47705748921492513,0.4966984715818649,0.47596536966126557,0.4905611954831163,0.4855523689946051,0.49498619089990703,0.48948380441081035,0.510823866794061,0.49008595263518656,0.4791200372951957,0.5089588578164517,0.48857732790667113,0.49948612125024017,0.49412249679266024,0.5036792713517185,0.4863074346207689,0.48909471462252696,0.49576750510166934,0.5135891131625411,0.5055223930787547,0.4927690621679652,0.4951898574581856,0.49484597105148215,0.49242842814558224,0.5034942599779757,0.48581347451194307,0.5075268422334828,0.5022188343341393,0.48727517484763166,0.49144691236316845,0.4883891685497579,0.49235152570549867,0.49592537138195475,0.4989205882786034,0.479513376693235,0.4883633271051807,0.4970266563745087,0.5111515805045934,0.4866682743497508,0.4941341899965033,0.4887279843411985,0.48333444616007754,0.5008409330131736,0.4979439134063197,0.49901461579659423,0.4996704002942034,0.4905384477611433,0.48501479649254975,0.4826950420365397,0.49650617408069986,0.49481384823211766,0.5040999308166227,0.4818054505228287,0.48562354198705276,0.49467802908065683,0.48708322500982865,0.4923031403030096,0.5136233293600573,0.48944052311543146,0.5035251500459206,0.4942214669969088,0.5096832463792696,0.4816599655528878,0.5083707105233299,0.491776149631873,0.49545735113290973,0.5127557045995411,0.49812467020917056,0.500079035047785,0.4921520648166429,0.4900255321970637,0.48293256526204664,0.48354669686650503,0.47969601429293107,0.4997168789284845
