,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.004889975550122249,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004889975550122249,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004889975550122249,0.004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5973415807637116,0.5926953234056279,0.592905940122429,0.5936064395489917,0.5931173651013664,0.5830116661261361,0.594995904397068,0.6011135341765232,0.6057750893621495,0.5873704519397661,0.5887484356217204,0.6207282511127653,0.6004675921004426,0.6147797768360436,0.5765910966386826,0.577948645146054,0.5867697282264743,0.6482368937576123,0.5759673330188749,0.614322644807987,0.6120053357900852,0.6065936509532704,0.6098590257062608,0.5978311051160922,0.582891564309143,0.6173200903891277,0.5806935809575999,0.6014996680674424,0.6029005001042985,0.5894266470654509,0.6221893528000999,0.598741896794527,0.6035135813682168,0.5881025708973474,0.5872084074655376,0.6071301379260255,0.6099933032796707,0.5789703016522282,0.5916021846465124,0.5797000862151902,0.5972890232118028,0.6170539670437354,0.5844656710344222,0.5961431263781267,0.612524694304864,0.5912847015127488,0.636049889268814,0.5986884276731532,0.5830180048593717,0.5754314950546364,0.5863713485792534,0.6088283536304886,0.6040146163026643,0.6135666755104019,0.6106834777689244,0.6259940283323222,0.5963462699247297,0.5898681402121947,0.6084361461158222,0.6216888538516375,0.5983157346445642,0.5992879461478631,0.5922176610542826,0.6049637256266421,0.5918907997554166,0.6126192484321739,0.6122353217791849,0.6210089442931214,0.5942826688296967,0.6089485782618316,0.607751426801342,0.5837908593471346,0.5725734019403796,0.5742282532016448,0.6046908951142392,0.5874619161711623,0.6043056038500674,0.5796529475825685,0.6292463307895086,0.5818493754482909,0.6026749244398281,0.5989266089017169,0.5849504789206342,0.608956486848114,0.639353479661891,0.5786331406019066,0.6034646924377733,0.6130543334673555,0.5944321902668728,0.5768851937240909,0.6115480160154576,0.5920163828924987,0.5917532537082245,0.5701160283911758,0.6038807921458514,0.6006609604855082,0.6106852289738165,0.6069739220100956,0.6369899723374902,0.5821138951303961
NDCGk,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097
global AUC,0.9250347803471567,0.9267253666161476,0.9236801488643746,0.9252201347119615,0.9251035159241051,0.9244424186896345,0.9246223668854658,0.9278946437341248,0.9276977047215196,0.922586558112026,0.9248988538129664,0.9280290256486083,0.9247235394762551,0.9296022208198895,0.9227116723082691,0.9220359011865847,0.9229989715737167,0.930044754365861,0.9209585289411566,0.9269547426425936,0.9304872879118327,0.9281379213379312,0.92783826511483,0.9254819477522483,0.9230244577988774,0.9271694447818258,0.9222637325933241,0.9259414721149937,0.9268620654601911,0.9248138997290976,0.9287040244604393,0.9252463932469754,0.9268118653197231,0.9246354961529729,0.9224915640000634,0.9280189856205147,0.9253846367107258,0.9242879567189638,0.9246177330263456,0.9248656444892722,0.9229673068697292,0.9276320583839845,0.9255900711317178,0.9260997956349312,0.9263322609007906,0.9237558352300032,0.9315731555656477,0.9256425882017458,0.9224181945639949,0.9227433370122567,0.9243250275919247,0.928078453479223,0.925985493776635,0.9289951852751536,0.9295010482291002,0.9269045425021256,0.9244447356191945,0.9231248580798134,0.9281162966620373,0.9272451311474544,0.9268605208404844,0.9232600123041502,0.9245721667449979,0.9250340080373033,0.9249390139253408,0.9281340597886644,0.9276953877919596,0.9281078012536504,0.9242199934518687,0.9292261059213063,0.9269586041918603,0.9233133016840316,0.9231665628118944,0.9217849004842449,0.9252255408809349,0.9256325481736523,0.9255321478927163,0.9227116723082692,0.9307367439944658,0.9246092376179589,0.9264257103930464,0.9287858893048948,0.9231974552060286,0.9281564567744116,0.9316032756499286,0.9223664498038201,0.9254711354143013,0.929609943918423,0.9274181285546057,0.9227997156315515,0.9299752464790592,0.9244393294502211,0.9258904996646723,0.9209871044057307,0.9269694165298072,0.924592246801185,0.9291202994713968,0.925083435867918,0.9303606290958827,0.9244794895625954
global NDCG,0.5352842757577772,0.5237737721379789,0.5258206864149665,0.5480319047904091,0.5258959546210271,0.5221451563643621,0.5251549278489515,0.5188497075219712,0.5274394659894729,0.5359210393784906,0.5288734942168019,0.5373048596613113,0.5370483131578738,0.5466329929146009,0.5138077637735857,0.5310831887478342,0.5325236094125876,0.5261199385426755,0.5162630882955748,0.5159822990994319,0.5380572082268168,0.5286852158903103,0.5161326879942599,0.5384319828140497,0.5365192945937295,0.5361711058855912,0.5138729086631681,0.5293439866631507,0.5276307021668932,0.5346951536003587,0.5261873275617865,0.5242915943854173,0.5369658276470279,0.526982756964035,0.51535591814109,0.5344632375038489,0.5206168701345567,0.526561412941424,0.5199465682772851,0.5106906850503533,0.51746873793389,0.5158488112243813,0.5226060252804162,0.5272900958376484,0.5494086003651594,0.5193839681316915,0.5465855595497413,0.5326799237747935,0.5296010152226358,0.5245188526699939,0.5320848658166364,0.5353168818566998,0.5324718444049759,0.5175584411776398,0.5207028228912322,0.52136383078827,0.5256668938001787,0.520272599234428,0.5408441500034422,0.5361849578489182,0.5227966339011877,0.5289469947648376,0.5170640041673576,0.5154356637215742,0.5177416109186145,0.5209481792102074,0.527390314862539,0.5269123229267638,0.5205656761668839,0.5269598589205026,0.5370128235512014,0.5456527235920223,0.5161704813184136,0.5468910622673362,0.5367665300893741,0.5253088123097611,0.5285650961236636,0.538778199663251,0.5192740980094711,0.5222915537721001,0.542554458185705,0.5327417238711208,0.5244024360652256,0.5186040520073449,0.528109369629215,0.5334370857312813,0.5255631294965777,0.5345496458220916,0.5204635669019683,0.5199395895682973,0.5238658404135524,0.516715289977092,0.5239251901775626,0.5429805927244459,0.5344850874288997,0.5379238447429004,0.5260623853444542,0.5109533195636383,0.5246278088621538,0.5169657597459504
