,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.0073349633251833,0.0073349633251833,0.0048899755501222,0.0024449877750611,0.0024449877750611,0.0122249388753056,0.0,0.0024449877750611,0.0048899755501222,0.0073349633251833,0.9975550122249388,0.0024449877750611,0.0,0.0097799511002444,0.0048899755501222,0.0048899755501222,0.0,0.0024449877750611,0.0048899755501222,0.0073349633251833,0.0048899755501222,0.0048899755501222,0.0,0.0048899755501222,0.0,0.0024449877750611,0.0073349633251833,0.0073349633251833,0.0073349633251833,0.0024449877750611,0.0024449877750611,0.0,0.0024449877750611,0.0097799511002444,0.0,0.0073349633251833,0.0,0.9975550122249389,0.007334963325183374,0.007334963325183374,0.009779951100244499,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0,0.0024449877750611247,0.009779951100244499,0.009779951100244499,1.0,0.0,0.009779951100244499,0.0024449877750611247,0.007334963325183374,0.0,0.0,0.004889975550122249,0.0,0.007334963325183374,0.007334963325183374,0.0024449877750611247,0.0,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.007334963325183374,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0,0.0024449877750611247,0.0,0.004889975550122249,0.007334963325183374,0.9902200488997555,0.0024449877750611247,0.007334963325183374,0.012224938875305624,0.004889975550122249,0.004889975550122249,0.007334963325183374,0.0024449877750611247,0.0024449877750611247,0.9975550122249389,0.0024449877750611247,0.0,0.004889975550122249,0.0,0.9975550122249389,0.0024449877750611247
AUC,0.4977115728138696,0.4984490643452289,0.4968198788643084,0.4966243273984166,0.4957921259397195,0.5008303076898415,0.4957558470780273,0.4966252885034121,0.4973851791241485,0.4979013640700171,0.5034477814041678,0.4966539268313415,0.4957331351404161,0.4990474527125308,0.4961575528999801,0.4972278597689046,0.4963663817363667,0.4957078964623924,0.4978670502788183,0.4976379868768952,0.4977112199377295,0.4966016515978426,0.4956694411039509,0.4967157169709452,0.4959478207682799,0.4959334625966686,0.4976103795309276,0.4986582761479955,0.4982369327163781,0.4967029708035225,0.4960721918238848,0.4954632618557837,0.4963338260796285,0.4983209148110156,0.4960061006456134,0.4981719967243525,0.49528112710217187,0.5041375712288764,0.4979211691644857,0.49728230653404343,0.4998780391227989,0.495885486367496,0.4956511630976864,0.4948939389829168,0.4963327000715118,0.49637976990376437,0.4966990826965109,0.4958743894026496,0.49701843640920285,0.4988541280953479,0.4985489686708112,0.504052863548458,0.49622397623800385,0.49843883439570674,0.49616211238081614,0.4979905535413748,0.49622396113446715,0.49577570735398246,0.4965213539532556,0.49586652312793195,0.49757436009125394,0.497604702917211,0.4960469666514527,0.4957825681988329,0.4968241480689396,0.4966862467442918,0.49631772730966034,0.4974103023238102,0.4974356818585695,0.4967340844759987,0.4977972689299516,0.4958404773807768,0.49674529632837056,0.49607382701261754,0.49668403385909127,0.49861689598806896,0.49589098599627557,0.49643089736537166,0.49708762660304084,0.4959249882911431,0.49626745368183833,0.4961557109847305,0.4973353901700705,0.4986393293396051,0.5021110713445134,0.4960695494551701,0.4975843191029898,0.49974718902946486,0.4969393686255955,0.49720655564380717,0.49861160820829614,0.4962464634203203,0.49559748750169336,0.5039495767573908,0.49600994229711454,0.495274754410028,0.4990042626220608,0.49664016560674445,0.5038326494456136,0.4962820113506718
Fscore,0.0001378202436403,0.0001162858305715,0.0001085334418667,4.0197571061768594e-05,8.039514212353717e-05,0.0002718360743052,0.0,6.029635659265288e-05,9.044453488897934e-05,0.0001562223784446,0.0011389363919337,6.029635659265288e-05,0.0,0.0002259938767875,0.0001406914987161,0.0001085334418667,0.0,8.039514212353717e-05,0.0001085334418667,0.0001876724098946,0.0001085334418667,0.0001178519697038,0.0,0.0001055186240371,0.0,6.029635659265288e-05,0.0001421271262541,0.0001356668023334,0.0001688297984594,5.1682591365131056e-05,8.039514212353717e-05,0.0,5.1682591365131056e-05,0.0001873493936986,0.0,0.0001356668023334,0.0,0.0011359411413822827,0.00011628583057154485,0.00017083967701251652,0.00020701749096810828,0.0,0.0,6.029635659265288e-05,6.029635659265288e-05,6.029635659265288e-05,0.00012561740956802683,0.0,5.1682591365131056e-05,0.00021606194445700618,0.0002259938767875276,0.001140363089630512,0.0,0.00021606194445700618,8.039514212353717e-05,0.00014245014245014247,0.0,0.0,0.00012607420014827423,0.0,0.00020852489988292455,0.000135666802333469,8.039514212353717e-05,0.0,0.00010853344186677522,0.00014069149871619006,5.1682591365131056e-05,9.044453488897934e-05,0.00017083967701251652,9.905830011650118e-05,0.0001889285839903124,5.1682591365131056e-05,6.029635659265288e-05,6.029635659265288e-05,0.00013207773348866824,0.00010300627584578202,6.029635659265288e-05,4.522226744448967e-05,9.044453488897934e-05,0.0,6.78334011667345e-05,0.0,0.00010853344186677522,0.0001889285839903124,0.0011268376711550724,6.577784355562133e-05,0.00015791902917123375,0.00025625951551877475,0.00010551862403714256,0.00010853344186677522,0.00015827793605571383,4.522226744448967e-05,6.029635659265288e-05,0.0011358272568134668,6.029635659265288e-05,0.0,7.42937250873759e-05,0.0,0.0011350726284902802,5.1682591365131056e-05
HR@10,0.0,0.0048899755501222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073349633251833,0.0,0.0048899755501222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048899755501222,0.0,0.0024449877750611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5180265085460504,0.505200259805761,0.4693769741294201,0.469651989582215,0.4888302341653329,0.5636083220526263,0.4833402783974174,0.4825332411090705,0.5025751156927145,0.5030083529585906,0.5168137308609658,0.4880332403609513,0.5227855542203154,0.5068638761972016,0.4889841049046735,0.4921796687042142,0.5201252027769535,0.5057684672781713,0.5014813574341411,0.4854997683585652,0.4828964659106558,0.4939862455685161,0.476929169992098,0.4738893676504072,0.4433407142628017,0.4854009521983351,0.4906999508886761,0.5285867657786519,0.531271348064756,0.493021235765303,0.4978284871640824,0.4827724228347699,0.4987729376167584,0.5538041128121841,0.4575812718352243,0.5065302760112075,0.5152483829668545,0.4918281022541095,0.49637719673482483,0.5206939754413767,0.47660326027285316,0.5299244811331223,0.49790333801875536,0.5132540670756596,0.5023051617967842,0.4948029597200127,0.5086608990344044,0.529751621357046,0.47786668510241664,0.5298955812824484,0.47584350623543553,0.5320595314701926,0.511416549750715,0.5214892646618354,0.49616258346972214,0.5314681455458364,0.48267802240861407,0.4596804517416306,0.5387716170689009,0.5166823350008082,0.5129159765411608,0.4916417139391605,0.4871420662272785,0.5031506971641988,0.5138728573593884,0.4742490225187601,0.5068740208308719,0.5492593501313132,0.5227330073187462,0.4772069478821374,0.5381536119213096,0.4716479627334669,0.49983941814727983,0.49598719036135797,0.526684877414283,0.5191253987105399,0.49564627090319835,0.5163535695525032,0.4914433736088592,0.4843992904983312,0.5079474547519823,0.47697307480717227,0.4941052908679362,0.48605707580254875,0.4922078974563867,0.4681790468784637,0.4766103091191666,0.4770756299231187,0.48242630649080304,0.4784028433859703,0.5338574509990253,0.4989373446377862,0.48910510783197975,0.5210968416090418,0.4741856659638599,0.47554284410594705,0.49753073383384755,0.494196735926183,0.5190822543963982,0.48370302107524576
NDCGk,0.2210587267104282,0.222312446815428,0.2210096676769964,0.2211495165080652,0.2168464523960452,0.2264282729391981,0.2141281441950033,0.2222850371249394,0.2191985916045078,0.2195584758259361,0.2238985137269194,0.2173407424982051,0.2178190819533842,0.2218409174050588,0.2178535190781338,0.2196780276260322,0.2193603820724403,0.2182334972757376,0.2208583255898396,0.2215634318484976,0.2230184169257249,0.2208332884344556,0.2163197144550859,0.2180397358903055,0.2163299857993628,0.2166863052016175,0.2219010008848501,0.2231908997958388,0.2238368144002257,0.2190154927348844,0.2185481140953626,0.2153203770812373,0.2187502226581898,0.2208218709872603,0.2171113259700571,0.221654155812293,0.21621663365464902,0.223353446535873,0.21994548349247153,0.2181287841549884,0.22158923203529035,0.21849027161878395,0.2179740268951365,0.21695151158862608,0.21690390329620848,0.21885777391911027,0.2195682873398576,0.2145317345738495,0.21805173202529712,0.2220658607451484,0.22425103986252512,0.22409610841730349,0.21820917681053292,0.22000247601633569,0.21765929689077818,0.2184935057516602,0.21748660047418716,0.21812794935146715,0.21909195031558154,0.2146151476545669,0.22135322142454295,0.218987434782839,0.21700862189452483,0.21757636998671628,0.2191801445666669,0.2179168882943003,0.2188669493258679,0.22060074880905026,0.22102436986454524,0.22173034385360316,0.22098825339823705,0.21956142297866238,0.21952523838857071,0.21635403592723138,0.21771066085876178,0.22263364725632837,0.21405631116176788,0.21981503614555783,0.21983403415807942,0.2171914335487219,0.2175442639415537,0.21856558191395667,0.2209149413635662,0.22402455740828606,0.2238103162823972,0.2167609265998537,0.22048880568005302,0.22178910671034072,0.2183802463350852,0.22197999793473758,0.22170809437812128,0.21798092990200424,0.21719494751971502,0.22410364938945876,0.216658850398872,0.21668179270953095,0.22231955287038047,0.21529807832287107,0.22382685634131722,0.22002209695028616
global AUC,0.1045912302565917,0.1050197104036078,0.0998270818041158,0.0970625029704225,0.0969248205864802,0.1153684776122555,0.0920426341442806,0.0967292347663531,0.1030429140240907,0.1010114882740921,0.9037050542069104,0.0979841656677245,0.1005125233013143,0.1048533799447633,0.0995070286797594,0.1019976685483743,0.1010475426024597,0.0980424255546108,0.1026710567311094,0.1011742806296767,0.0990245132467642,0.0969688356471824,0.0924309145732889,0.1002856358288402,0.0899602491458385,0.0993483685119371,0.1048011665179255,0.1052064641674631,0.1076225530319432,0.0998607201888396,0.0999179899348883,0.0924770287325669,0.0985788970623181,0.111688572982621,0.0926518347969815,0.1046016465382036,0.09931397762017671,0.8956950392623848,0.09827359043550354,0.10640004594253487,0.09970571694117772,0.10196443942186337,0.09355760243337012,0.09977456473408777,0.09826364942149372,0.09793005117047848,0.10312620467135246,0.10262055954839017,0.0956355119952262,0.10862079982256675,0.10218085780521421,0.9019709611495139,0.09699057913997687,0.11019680039288789,0.09835466316728891,0.10698178668933869,0.09899107289020789,0.09324158908363125,0.11157501042948348,0.10023706612028496,0.10134396436549134,0.10465168165519864,0.09963273696050527,0.09952877217255382,0.1039852772658383,0.09934185998616443,0.1014254067498561,0.1071946933731854,0.10504904497615741,0.09546354433454615,0.10721619923217877,0.09712418214366811,0.10213273696050526,0.09425669467225017,0.10385047289126406,0.10505177776486928,0.095242426082686,0.10168127234417824,0.10579625805974642,0.09441934180717865,0.10132326382104591,0.0935323604429494,0.10311858718784159,0.1023827013154351,0.8894561222388273,0.09770634535056266,0.10007463021540185,0.10464657252847645,0.09830714960896036,0.102043729900141,0.1101810109469971,0.09873952430993785,0.10014903599888048,0.9017405883812915,0.10142271356677775,0.09478414929739606,0.10162350092677183,0.1004897764658045,0.9011866375873306,0.09832565864168519
global NDCG,0.3904996201128501,0.3961494898581044,0.3879791264278087,0.3871854252302909,0.3867537813317594,0.3922026831748461,0.3854099471003612,0.3866141970348491,0.3877456616804235,0.3891960159101407,0.491813683946487,0.3876344799890628,0.3857105550817955,0.3928216793743816,0.3880284968161771,0.3890589126311575,0.3857290145529777,0.3872653708413575,0.3877849033717648,0.3903203777663683,0.3880642296679314,0.38790119890814,0.3854272850823787,0.3880517313411334,0.3853391885013064,0.3867567800906622,0.3904905029129512,0.3937992993407195,0.3902134323397608,0.3871077134492675,0.3867518112463824,0.3854300399712455,0.3889198651411112,0.405151883730342,0.3854315506842211,0.3982296388643667,0.38567018043125095,0.4868840249024601,0.38892616381344447,0.39105431725166406,0.39014142406054375,0.385767850239962,0.38546414289278386,0.3867310002033349,0.38688575385983354,0.386625865019669,0.38788237129958,0.3857839168371796,0.3874214771143724,0.3969606575859724,0.3899329336032903,0.486446971895211,0.3855892752957388,0.3965252977004917,0.38665428566847854,0.38940854228212063,0.385660692145499,0.38545306868436596,0.38872835473937445,0.38570869302980626,0.38900415459948867,0.3926752288483666,0.3868553303956112,0.38567880172207153,0.3881639367467181,0.38783406375608737,0.38677260023117604,0.3886378654016256,0.39002504173170566,0.38757502685845224,0.38984763099813907,0.38678904403075787,0.38707729910730865,0.38660687970068797,0.39635874304562974,0.38804506852418563,0.386500609340099,0.3867694178267655,0.38786907251463043,0.38549880528244246,0.38670679465844315,0.3854659123355436,0.3887520986512256,0.3893822639001359,0.48515132653613197,0.3865915574279693,0.38876430447329746,0.3956303234362043,0.38773219033197176,0.3883388658144943,0.38993679704826056,0.3867716929857571,0.38728875846149496,0.48994547877066863,0.38670249893462444,0.3855095638951979,0.3877162730079262,0.3857097160861549,0.48730671410054194,0.3870972543117059
