,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6194296237098448,0.6491372568953531,0.6326758098532834,0.6214272917396548,0.6198244280715582,0.6241013471708227,0.6271558380507314,0.6575388274744255,0.6552824042582844,0.6123294196694532,0.6237996835241453,0.6298266236690739,0.6364084617067259,0.6204444268428866,0.6531021076628666,0.6302193560749898,0.6243949086954057,0.6197860506437151,0.631646690669944,0.6129313744453492,0.6378729266774932,0.6367041199649133,0.6364695411412331,0.6057583778644272,0.6352373010694802,0.6115910266887298,0.6136918358060616,0.5798945492603652,0.6411677919145542,0.5875264413277949,0.5960971174973048,0.620626957952841,0.6141706948214127,0.6244467686432638,0.6351781115488703,0.6069345458147188,0.6291950853179781,0.6410685883909587,0.6246315757296875,0.603750370658235,0.6165325771411191,0.6193811242471903,0.6175866953784204,0.6184128410062223,0.6190455220924279,0.6488412316604795,0.6416184465505034,0.6413871591451573,0.6158074143731598,0.6455587746423788,0.6151546417510462,0.6226882851571449,0.6156246798699958,0.6327157929195694,0.6437318101474996,0.6138660538126672,0.6274908639547333,0.6261538013954346,0.5871501181089979,0.6138773968174962,0.6187813882433009,0.6113081173737307,0.6060727099488474,0.6202918804164018,0.6155636592942009,0.621247843871772,0.565489357972882,0.6059817465332371,0.6413655909415719,0.6413113777825413,0.6005806843317921,0.6271281634015693,0.6063260384965663,0.6204998448694656,0.5982332035283768,0.6622571566535018,0.6284619655632434,0.6296806942669863,0.6065668717736771,0.6410539612135615,0.6526551297672463,0.6330489705068348,0.6177626467514055,0.6482551965869949,0.6383742220807916,0.6184274105780065,0.6037933684569555,0.5932372663760463,0.6517852850612754,0.5832311132381713,0.5996566636020648,0.5995794661753722,0.6135026120550665,0.600023440949575,0.617126431468442,0.5927398807512343,0.605206753819961,0.6211940455820649,0.6090972338686924,0.6587021336607657
NDCGk,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097
global AUC,0.9211954168360909,0.9274484598689318,0.9261571973997581,0.9247227209598293,0.9240448045329968,0.9249529353055179,0.9233216584727013,0.9290519335470279,0.9275795413139566,0.9208239688013224,0.9218401173382902,0.9238330728162775,0.9253372287674201,0.9231232210469619,0.9272139285091913,0.9242971716296927,0.9228041316596872,0.9243773994412966,0.9265723964576722,0.9208202986792842,0.9266319237248306,0.9258952853453876,0.9264482724022666,0.9230890281833689,0.9267988350663,0.9230798264745177,0.9222731257294037,0.9157349353372024,0.9282261560884422,0.9162682251923514,0.9194698653936536,0.9245387527921972,0.9232253639757719,0.9223271874191385,0.9239255519705123,0.9235933531185475,0.9233793902844741,0.9274125243574646,0.9235028278422324,0.9216950815083939,0.9192195709917779,0.9236391768365132,0.9238044775488866,0.9237381513146432,0.9243854393848981,0.927355822292163,0.9256255181737052,0.924208679442564,0.9252190323551622,0.9273298013909498,0.9206286206149964,0.924712740340186,0.9256217028310108,0.9241940913675561,0.9261687094372304,0.9241776286258958,0.924154393320906,0.925637294248734,0.9191233028986043,0.9242608136581348,0.9251326524684871,0.9187131601599011,0.921276978037356,0.9216500367012205,0.9226144470789527,0.9252494362798165,0.9173581722264176,0.9205117971980336,0.9259740873541853,0.9258103708671522,0.9222011622933246,0.9240617821478927,0.923127696483548,0.9194010176007436,0.9224196929771291,0.9290457418663232,0.9243459657701711,0.9233482074490277,0.9188266831074052,0.9265509962137015,0.927504488638464,0.924730510067752,0.9242223697898788,0.9267315450949744,0.9269517524172639,0.9232282683888957,0.9185413641236329,0.9172501148563372,0.9268233377515619,0.9178853100064953,0.921808353620219,0.9242455522873575,0.9224436147797663,0.9207712405012489,0.9255848827937286,0.9194637925298496,0.9215840801195563,0.9241534559875797,0.9243951823707405,0.9282909641067346
global NDCG,0.5317413997457667,0.5350473163633798,0.534248418799927,0.5309774644991206,0.5355536124633004,0.5360436464487273,0.5324633028538341,0.5378404512503332,0.5374313662210259,0.5334650917997648,0.531434496468764,0.533935100926256,0.5366697189294535,0.5338617120842386,0.5360124899643748,0.5327447534094757,0.5289151541658567,0.5337060093680078,0.5373759354532626,0.5291832278191014,0.534319877585283,0.5299248846729178,0.5325585580594016,0.5327468599371127,0.5319506095276118,0.5281352423827725,0.5313497679305892,0.5215576364353036,0.5399266546235925,0.5308264441334583,0.5260635373036131,0.5329870540604846,0.5269158065134436,0.532196343267619,0.5318211680878768,0.5325663836252635,0.5341254686496553,0.536211274618647,0.5298090893245195,0.5324000944425671,0.5297140943815534,0.5322645249406408,0.5321886825755889,0.5359380265857046,0.5345885949616196,0.5344137644230842,0.532426018081413,0.5275700943565481,0.53217537954125,0.5352641632869058,0.5315622903480813,0.52833751312144,0.5349783035929175,0.5325481967286155,0.5356112166976339,0.5297992412580794,0.5321028725552458,0.5321719759467395,0.5261123307103746,0.5325327279596758,0.5326447954149295,0.527705412696119,0.5306070211335285,0.5288456726793116,0.5298700255692417,0.5322076482999729,0.5257627959489494,0.5305165511748092,0.5333727125612924,0.537246944687414,0.5315574180438892,0.536344729844637,0.531839343075641,0.527200780629068,0.5323374926085598,0.5360360506029052,0.5321830590334895,0.5293180463416487,0.5283465693022208,0.5357920956973408,0.537165553795741,0.5329340644272099,0.5303515443823744,0.5319792270738377,0.5313617832048939,0.5346727239939987,0.5278688199098155,0.5266656380750929,0.5340921674003564,0.5256402189421355,0.5315827075983498,0.5299595343881218,0.533365462045351,0.5315592939216471,0.5329343925135204,0.5292143808362394,0.5314204057585658,0.5320526039621601,0.5306030024442905,0.539129259230115
