,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902
HR@10,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.004889975550122249,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.004889975550122249,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247
HR@2,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0
HR@5,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247
Lin's AUC,0.6731429001824877,0.6656648639361435,0.6799158735448712,0.681116990513441,0.6815815453006324,0.6784722054339195,0.6695080531406509,0.6804308604026051,0.675635543180439,0.6739866135966593,0.6723575881603161,0.6770921115814789,0.6601061106387701,0.6748627613609813,0.6712023030319739,0.6663416979875144,0.679275266338369,0.6814891503761409,0.6683746977579957,0.66189227495658,0.6772115568989772,0.6715024244862109,0.6711332396918965,0.6688862270602763,0.6818371116303655,0.6796027461817948,0.6818944001841776,0.6647145885763781,0.6743105177313988,0.6777785814378103,0.6834293140468883,0.6834708581156764,0.6732205371102246,0.6780395884456397,0.6722512196588696,0.6622654309026222,0.6743888331880965,0.6735584949668386,0.6726357281830577,0.6770428588839436,0.6849474474295986,0.6768209948818354,0.6848141959686325,0.6645088588681837,0.6697288447293619,0.6699972576867264,0.6605237658306763,0.6607849413127215,0.6687420197590097,0.6757268679562157,0.655704370596709,0.6639627576152665,0.6843203941047814,0.6798115712636336,0.6817982593750149,0.6715828442365229,0.6770531441142569,0.6775486258862343,0.6725875015170074,0.6806203605004685,0.6691159783808833,0.6607894203780645,0.6677638299532581,0.6765216181296794,0.6646765990028383,0.6852056834937563,0.6829895150145351,0.6808425968010857,0.6745479585413867,0.6767120479184721,0.6796945787596967,0.6671245176460479,0.6712067083529103,0.6639034983079543,0.6808101897437829,0.6819649747245458,0.6692772715723693,0.6660259432700791,0.6570602929307342,0.6607103076016037,0.6748756789051151,0.6703481006810956,0.6748600329608602,0.6678565051370371,0.6819473024109614,0.6690450723305245,0.6701202514045768,0.6772008205101532,0.6713996853435814,0.6618305477215388,0.6770968076759489,0.6640079729039694,0.66498914991948,0.6715413067734001,0.6840993540023506,0.6787905715278728,0.6762615639065963,0.6577439196729106,0.6648510851023146,0.6740239396503457
NDCGk,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097
global AUC,0.9285300501143282,0.9286543193903901,0.9288424989570517,0.9296425195519811,0.9290498212465741,0.9297617985182213,0.9300106803191687,0.9298916917942408,0.9273007968653462,0.9285655631657047,0.9282972085949507,0.9299410932210999,0.9260626323488254,0.928761452629022,0.9294913976564028,0.9280286823997846,0.9298499474565263,0.9303633552836557,0.9283210907919544,0.9260187889125349,0.9295160323604429,0.9288799658863478,0.927787985763095,0.9290188892468064,0.9304186711517846,0.9293652537136883,0.9306844909619945,0.9273753610713589,0.9295464890926086,0.930057243342293,0.9325205817275449,0.9301313982900928,0.9285793855317981,0.9297884927152038,0.9288343005909161,0.9271389682468435,0.9298823052591001,0.9282564940037071,0.9287399995775399,0.9297110901054567,0.9304756108508874,0.9288370465815059,0.9310296408561155,0.9275499030982166,0.9281372678449784,0.9287054106576119,0.9276390817829929,0.9285808905458713,0.9294163053752766,0.9281438819857737,0.9282535895905834,0.9274607376153184,0.9306457302486706,0.9310365586401009,0.9298352801702515,0.9287251342630977,0.9302901244673044,0.9292794019021265,0.9286870204417876,0.9293706928873563,0.9288359508256456,0.9264174460175215,0.9283695680873647,0.9281996995252605,0.9274399050520947,0.9297304572602407,0.9302890815189553,0.9303314727486839,0.9287676443097266,0.9288767050225225,0.9299993135023527,0.9269459963985278,0.9301085326376823,0.9271711676268832,0.9303768211990475,0.9303851515839613,0.9272767034382972,0.9286766965733207,0.9256956465487651,0.9257111455533436,0.9295625161723003,0.9295199797219157,0.9294215993282886,0.9292549652262538,0.930000567680747,0.9279565077336601,0.9281002365776507,0.9290965294903548,0.9296678407536689,0.9271022670264618,0.9289597052284717,0.9274884879625279,0.9292008639308855,0.929193061621085,0.9306280925398829,0.9291238573774735,0.9297068258989158,0.9268141360427107,0.9276864369187874,0.9284843452132632
global NDCG,0.5480368659071241,0.5543211008897627,0.5476649350284268,0.5453244410025122,0.5493300725986568,0.542377239908396,0.5473554119610773,0.5489860674853693,0.5487900184896266,0.5455692694424614,0.547959407386414,0.5606241196605372,0.5397708638108755,0.5548042369024779,0.5527868266866551,0.547476582695187,0.554180940975045,0.5498222793586146,0.5533490757589833,0.546843463323695,0.5470657830805005,0.5495552366217278,0.541458196612527,0.5472970148708461,0.5471077228068161,0.5591238253188355,0.5507720302060307,0.5494060476176652,0.5488590772060372,0.5512567429932212,0.5544335667882453,0.5612224665962608,0.5428558620869065,0.5514836502517206,0.5587075658861756,0.5420825275019184,0.5504310335416457,0.5413538727425666,0.545419929358283,0.5477436132493566,0.5549211501840065,0.5408724236513648,0.5504438798381689,0.5426121358278303,0.5472491515388163,0.5498030168925029,0.5446989012110134,0.5477014298793701,0.5482110902647758,0.5428675972361038,0.5464013743922663,0.5446485347502564,0.550699270119362,0.5456061918150131,0.5495013074972511,0.5447575212199106,0.5596217989385048,0.5509017891277683,0.5494934878532823,0.5493311534894949,0.5447367336855247,0.5441760099705546,0.5446563685775871,0.5421153572760584,0.5485341321874965,0.5573840381273586,0.5470268386193968,0.5499578136066888,0.5454775175135613,0.5428790032463785,0.5496602096966299,0.5541131205348836,0.5512593483888869,0.5467345053915539,0.5528916386504853,0.5522958832087276,0.5512415968549497,0.5433325750076365,0.5459455826223961,0.5435083963659735,0.5449607993654739,0.543132976643178,0.5562306334398753,0.5494170941696113,0.5551181834481754,0.5480483965227729,0.5403945482905738,0.5458284473482082,0.5469426143273787,0.5412430123030254,0.5448709315533113,0.5452939794892114,0.5488024755296862,0.555280010124276,0.5484597517319476,0.545158690628942,0.5582785830401426,0.5422031336831731,0.5439446193982075,0.5472450362437317
