,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902
HR@10,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.004889975550122249,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0,0.0
Lin's AUC,0.47593221591839163,0.46405754621174444,0.4687144756817349,0.4670432192420418,0.4643185071566234,0.4648918411442649,0.4633214783296433,0.4717205505645531,0.4670981742937816,0.4734652055272246,0.47149056340878054,0.4622666529137438,0.46031907491536106,0.47196454444964653,0.4671974320598905,0.4596889890002219,0.45909573256743724,0.4689023201519311,0.47016793553640457,0.46500036791829086,0.46975021768147396,0.4725656681145032,0.4667908897145674,0.46567571976347943,0.46770349347126117,0.4722484094009108,0.4624504829305201,0.46420577262038043,0.4696633900189692,0.46968486602057413,0.47148809223005456,0.47221840873136683,0.4649886603242067,0.4759775190534705,0.4607303418826823,0.47356226918413863,0.47082679216404005,0.4682417969870476,0.47132359224752796,0.46533358289214655,0.47127580901609883,0.4642400492245649,0.46999452564787564,0.4749937021178867,0.4649069255733412,0.4755032714477293,0.46835980865845084,0.4673762930331379,0.46801828826951963,0.46628861410722383,0.4754288253257675,0.4624692130579849,0.461416627993681,0.46202577189349553,0.46329622744542126,0.4694389052077294,0.4635834381450234,0.4705292528422588,0.4716382634639126,0.47031317574212367,0.4722014403672569,0.4692980020116849,0.46772758936311476,0.46868456145642556,0.4747235635945252,0.47131286621562485,0.4638450134936626,0.472577369205331,0.46863103646805254,0.4635897517015495,0.4688811981504843,0.47019098872221377,0.46993998210952836,0.4603290139071717,0.4725381594620361,0.46973205417679914,0.4741725558195164,0.46278661451322384,0.4747947479052645,0.46794887089787246,0.4593372228703322,0.4695382352290535,0.46843712880488464,0.46960607547544286,0.47279064551089395,0.4703120718848133,0.4645506714265051,0.464831954650111,0.4663450983836988,0.4638791961943898,0.4692177669185262,0.46756338726466085,0.4738375401220098,0.4662682104419052,0.4610852110589846,0.47093195027494544,0.4701126284683091,0.4644008327455389,0.46314797934900387,0.47119437332500586
NDCGk,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097
global AUC,0.8976842124023723,0.8971448958899915,0.8970603906699689,0.8971918549694509,0.8973764172215857,0.897130288012167,0.8969564258820175,0.8976970974351391,0.8978094190117603,0.8976955594163715,0.8974019100476852,0.8972295397297312,0.8971640188100356,0.8973216624332646,0.8972314672038951,0.8977612981670514,0.8977036455665454,0.8974583150707357,0.8974638070519151,0.8975980767504371,0.8973473598884706,0.8978819303257696,0.897728979970111,0.8972306222837136,0.8976960940924239,0.8975432625536657,0.8973748395971844,0.8972059215702842,0.8972886247339822,0.8978947823538421,0.8975106737182297,0.8975110103661145,0.8974778868546263,0.8976807271066237,0.8970206266139297,0.897510878347336,0.8975568934925303,0.8974307099441825,0.8977685591998605,0.8975080201407849,0.8976579340645415,0.8973254315693866,0.8974981781408587,0.8977424128808081,0.896902106755665,0.8976039581870126,0.897546932675704,0.8972029115421377,0.8976371477078899,0.8977327028996605,0.8978885906731374,0.8969716674499781,0.8971438991482149,0.8971970763121346,0.8972191894575086,0.8975371500842281,0.8969292960230663,0.8972270049691868,0.8974465653994625,0.89807828845575,0.897575184694271,0.8975961228725176,0.8966630999593382,0.8975232155021731,0.8976841199892274,0.8975941029852086,0.8971469091763612,0.8975082049670746,0.897551170478489,0.8978014978850594,0.8979791423532084,0.8976116350789738,0.8974932934460597,0.897362865493988,0.8974623746481699,0.8977025960172574,0.8975987566471456,0.8969203847555277,0.8972640362365142,0.8977493570685494,0.8975367738307097,0.8974433177375151,0.8972491775230109,0.8973199659919628,0.8976744760174687,0.8976854995854611,0.8970781141909626,0.897232114095909,0.8973236757196345,0.8972616929031986,0.8974267295780153,0.8974783291175338,0.897559500863403,0.8974349477469676,0.8972861427809491,0.8974615429298664,0.8977594961107267,0.8974906200657982,0.8974088608363654,0.8973943915782583
global NDCG,0.4990085452518173,0.49955792561748735,0.4965913348509185,0.5010147230951904,0.49662813095157304,0.4969459013130163,0.49939192872722415,0.49973249151077825,0.511653932711765,0.49961765910018047,0.4970114130145588,0.5007360481396883,0.4977883189888943,0.5042702960927192,0.49644678089083744,0.5097115478204635,0.49846890591872406,0.49743378465752125,0.4962237075610714,0.5020142380287675,0.4978715470329262,0.5014018412773762,0.5018593363162914,0.4975828291066509,0.5111282816147616,0.4967750854312641,0.5007249974166786,0.49711839657236634,0.4964408246465156,0.5021471890459996,0.4987068231096363,0.4976915558050128,0.4959440186717857,0.497354124395287,0.4972858930429356,0.5010218081853887,0.49654222795584924,0.5017111394269628,0.49930585124990484,0.5047499994858059,0.4985505893624357,0.495296741487102,0.5008232140688232,0.5021214352042065,0.4964883326474974,0.49672269338103947,0.5004205990756502,0.4958836581807468,0.5018230077094297,0.5013403638116671,0.49984757403409,0.511516360697973,0.49695957852927325,0.49606495364617,0.496506373469153,0.49563759649743705,0.500427216026588,0.4988697182570995,0.4962760786778192,0.5115805712543511,0.4997096624686811,0.4993477341315632,0.4962695015256523,0.4971419715389878,0.49785318384036986,0.49683596878689923,0.49585197000762404,0.5113232998460719,0.4977244644838197,0.504600291607634,0.5017050352927901,0.4984444394118631,0.49674375543605115,0.5096621966210155,0.4985985536559685,0.49588000483682765,0.5006649020062541,0.49744115137189904,0.49761451762920395,0.5020965233598935,0.5091352695804949,0.49655759635517566,0.49676717045908503,0.49900535640483096,0.4972870474140809,0.5013078929779697,0.4963080841442716,0.5020330118118733,0.4963736636850753,0.4974478158047392,0.49630500294495855,0.5015168589762903,0.49883215040008994,0.5017539877179968,0.4999515464084855,0.5042318619205157,0.5013754526655714,0.5009136333358957,0.49622523747004066,0.49589509593922165
