,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.5158924205378973,0.508557457212714,0.4938875305623472,0.4938875305623472,0.5134474327628362,0.49144254278728605,0.49877750611246946,0.5256723716381418,0.5061124694376528,0.5061124694376528,0.5061124694376528,0.4938875305623472,0.4938875305623472,0.5378973105134475,0.4792176039119804,0.511002444987775,0.4841075794621027,0.5183374083129584,0.5281173594132029,0.4767726161369193,0.508557457212714,0.4938875305623472,0.4963325183374083,0.5012224938875306,0.5158924205378973,0.49877750611246946,0.48655256723716384,0.5158924205378973,0.5158924205378973,0.5207823960880196,0.4938875305623472,0.49877750611246946,0.5256723716381418,0.49877750611246946,0.5183374083129584,0.5061124694376528,0.5256723716381418,0.530562347188264,0.5183374083129584,0.511002444987775,0.5378973105134475,0.49144254278728605,0.508557457212714,0.5207823960880196,0.508557457212714,0.5427872860635696,0.508557457212714,0.508557457212714,0.5012224938875306,0.4938875305623472,0.5378973105134475,0.4889975550122249,0.5452322738386308,0.5330073349633252,0.511002444987775,0.5134474327628362,0.5158924205378973,0.5281173594132029,0.5012224938875306,0.5476772616136919,0.4889975550122249,0.4938875305623472,0.508557457212714,0.530562347188264,0.5281173594132029,0.5183374083129584,0.511002444987775,0.5036674816625917,0.5012224938875306,0.4889975550122249,0.49877750611246946,0.5061124694376528,0.4963325183374083,0.511002444987775,0.5232273838630807,0.46943765281173594,0.5036674816625917,0.5354523227383863,0.508557457212714,0.5183374083129584,0.508557457212714,0.5134474327628362,0.5158924205378973,0.5036674816625917,0.49144254278728605,0.4841075794621027,0.5158924205378973,0.49877750611246946,0.5207823960880196,0.4938875305623472,0.5134474327628362,0.5036674816625917,0.5183374083129584,0.5012224938875306,0.4963325183374083,0.5378973105134475,0.5012224938875306,0.5061124694376528,0.5134474327628362,0.5012224938875306
AUC,0.5088374323407634,0.514831214938802,0.5057490909847999,0.5036365363798485,0.5099334120742298,0.5105170028862271,0.5090602327965491,0.5241999247382584,0.5158203725947418,0.5177331666608979,0.520905346080399,0.5066932043434343,0.50508405536096,0.5255002284158607,0.49774044486596414,0.5168079525064265,0.5058640110412942,0.5164755239101422,0.5207909074677562,0.5035419320560206,0.5149399727131354,0.5179165251656169,0.5083636202267495,0.5085390670992727,0.5160677817944433,0.5114044419184891,0.4993374721025121,0.5206901263401693,0.5154767716503488,0.5212433400630024,0.5049707120928939,0.507383677923447,0.528327857930089,0.5124632351931523,0.5092921729478146,0.5089207052655028,0.5169109411696783,0.5256375855561046,0.5183373124159718,0.5112003368668367,0.5322068663673644,0.49673891612476023,0.5106295748379163,0.5231121247731437,0.5188079860443836,0.5178056044243016,0.5140601055456187,0.5128549598086745,0.5070611109679372,0.5025170456328278,0.5329239626337844,0.5111692049497323,0.5305452452663271,0.5222828271924129,0.5131070494378263,0.5118130493780929,0.5144521041735093,0.523312781956684,0.5131600600703053,0.5320943173717075,0.5085914083868696,0.5051109476947943,0.5192323150010641,0.5231806385253875,0.5288019997629192,0.5216521521360611,0.5190746806182948,0.5088099563275275,0.5093868171732132,0.5022752128564822,0.5019704117526886,0.521718571737053,0.5149317329792686,0.5180502661933795,0.5137354487994871,0.49379840434876127,0.5187619436061006,0.5276018630036822,0.5119517856366363,0.5245663664557121,0.5124412969399681,0.5120332522288876,0.5171272691905836,0.5154860405229919,0.5036067030081065,0.5019214588753549,0.5252645280177016,0.5097926081595053,0.519347334306219,0.5089513267442491,0.5096069757735624,0.5094590516532888,0.5289102996630722,0.51462207769564,0.5044060566517099,0.5316056588191536,0.5086060770865994,0.5128434246796805,0.5170217708866861,0.5084656167287672
Fscore,0.0011386483121740133,0.001140795463631408,0.0010801498707556465,0.0010986964538330034,0.0011482686881044253,0.0011191622140067949,0.0010913108083445932,0.001160525735999464,0.0010825767365091595,0.001084659645142009,0.0010756121424245308,0.0011143972085390496,0.0011074781605342715,0.0012139204042464528,0.0010892482379584927,0.0011152417319292287,0.0010516820798195257,0.0011779836218356887,0.0011838787382463577,0.0010011909960014633,0.0011459539713171672,0.001035223668292403,0.0010814768843507717,0.0011341484863256028,0.0011652608516811286,0.001072828749848095,0.0011017441502187099,0.001137467896196121,0.0011392609355461401,0.0011828049942999676,0.0010707831873136239,0.0011328731176849102,0.0011639647317510016,0.0011620145675898133,0.0011663115227038016,0.0011060409270766435,0.0011953163064574814,0.0011689887214165657,0.001096852121919444,0.001178762529850149,0.0012081293796726692,0.0011075405277293508,0.0011188197984052697,0.0011147613173732955,0.0010869620173175692,0.001262989481809212,0.0011596329947593858,0.001108185391163767,0.001125639785949114,0.0011377304114319376,0.0011855536551077385,0.0010302285765407084,0.0012267435663523942,0.001217273870156789,0.0011536154936632142,0.0011547303817159766,0.0011662481450642596,0.0011710679595627748,0.0010702856573918695,0.0012130936754980867,0.001047635729367393,0.0011073121100430362,0.0011126137915200957,0.0011620682098082383,0.0011184352398459544,0.0011557476345462265,0.0011324511092538254,0.0011056811361558846,0.0011332958995624487,0.0010988618145043685,0.0010810672996412094,0.001112063351033428,0.0010959970853208127,0.0011140047777195429,0.0011582107658883408,0.001059583880867276,0.0010573804265757425,0.001211071201504129,0.0011260296749254068,0.0011340007197779248,0.0011380906852424993,0.0011504029511429728,0.0011494651753021783,0.0011311733017176854,0.001111687268600195,0.0010819603135038937,0.0011441565099964395,0.0011141085582455615,0.0011639533332857622,0.0010762529236929973,0.0011842406393926125,0.0011465884181591532,0.0010988273321045684,0.0010944301995517353,0.0011328238486879936,0.001129522474849142,0.0010744416282844828,0.0011745594937136758,0.0012039675557111529,0.001126939541556488
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5159887198675097,0.524115856674791,0.5160688173085687,0.5234366113983747,0.5139358228797509,0.5259823683794471,0.5252431735396215,0.5190619835078937,0.5317917050598094,0.5349732010387507,0.5295801617106739,0.5152590614883238,0.507216846776606,0.5343660093695344,0.5131435642197485,0.5391332514587858,0.5270858968363182,0.5189203255004073,0.5319674252857052,0.5124181068755225,0.5321241818555493,0.5248132054431125,0.5322745242654123,0.5103385604662007,0.526061749504453,0.5370249951525548,0.5218309489993478,0.5265692295282135,0.5406854286852169,0.5323641793818888,0.5277203440366762,0.5406134216852735,0.5329682570070896,0.5156796865402045,0.523215125839866,0.5275108483153669,0.5384333252444315,0.5275559793184604,0.5313799858320819,0.5163638503069324,0.527552287746053,0.5158234526764649,0.5410669011230829,0.5255457918509951,0.5141588590859932,0.5519691716348799,0.5310396743898493,0.5185503632598465,0.5209379233161151,0.5332671097349778,0.5280039643652085,0.5117760077932058,0.5313557647125217,0.5270983378711736,0.5305703316642412,0.517831251315865,0.5039913129943562,0.5197869268542546,0.5189929908826626,0.5276222189606267,0.5289077220717064,0.5087759417729252,0.5277264540079135,0.5195587729521866,0.5369198458818667,0.5229094860788379,0.5198991512430048,0.5203053047147975,0.5107352320611357,0.517608235454044,0.5188608612577839,0.5186430367324562,0.519730469509382,0.5241310709656923,0.5382980431984773,0.5125863996779431,0.530873010931036,0.5376034162178955,0.5157408444827989,0.5304261029137731,0.5193345700907013,0.5104442950669673,0.5247893104843792,0.5274865590445412,0.5152549045271564,0.5102907274770329,0.5273965878629079,0.5349085741779733,0.5253248253403539,0.5132826140156359,0.5228222242904892,0.5405275873660054,0.5324736318308368,0.522950918894104,0.5127032368051093,0.5294672452393454,0.5194416140347213,0.5251713700679765,0.529166086558683,0.5153577077992157
NDCGk,0.2255954210374837,0.22121553964387236,0.21431401280481702,0.21335730117890048,0.21899133079752758,0.23082895394644629,0.21965991294762496,0.22457534998397918,0.21973261679533543,0.21625876969022279,0.21847340857507383,0.226962822609395,0.2185246411569993,0.22442167317337997,0.22471587329149645,0.2174745663843137,0.2203848883243348,0.22093561685813998,0.22211417276683323,0.21306166129568738,0.22175097209848055,0.22047339364562393,0.2357232938014107,0.21447933088238139,0.2223525543411719,0.21588881989230188,0.22272513231007438,0.22534838235094765,0.21948155748586975,0.23028231467849,0.2198669653088728,0.22163243429715218,0.2237526277396872,0.20734231108599646,0.22095109881780478,0.2221992426716388,0.21926985842811397,0.22904824121063216,0.22157594182975804,0.22219016211296405,0.22760563708303355,0.21782328130626374,0.21924370236352012,0.23077177878639812,0.2256334983846366,0.22398806574938196,0.22255168739993358,0.225114022666206,0.2137466284962462,0.2157005630201912,0.2248770717609802,0.21883357322868677,0.22263142770175826,0.21853001600710015,0.2202256338304275,0.21935536480000653,0.22222738776726533,0.22689574476912355,0.22256927713459226,0.22646432489264645,0.21959673928426837,0.22276423879665105,0.23553018476958976,0.22061782723200077,0.22359206237589205,0.2196385574649601,0.23132910614090751,0.21964660969944474,0.22797782027616675,0.21414808180388276,0.221543785541916,0.21519749137650732,0.22145571253335347,0.2196006992273075,0.22576170502700255,0.22356304768320284,0.2204231580034297,0.2367969024875472,0.22196621281543563,0.22855391973816375,0.21669780458609733,0.22072388309027702,0.23167293966189498,0.2210140235538783,0.21137740086209325,0.22069171696413514,0.24074211675289675,0.22002238568343285,0.22401032785109634,0.22069269736208358,0.21970013196385407,0.2172690258354463,0.22435272118433267,0.2224231798105699,0.22825799729746768,0.22884343897908058,0.23276222995493367,0.23010643844032072,0.22975282077443418,0.2203950720162123
global AUC,0.5156711702672588,0.5115050404769574,0.4971574244720569,0.4969368078915545,0.5122605971473382,0.49577035597543395,0.5013256005534228,0.5226468840927934,0.5082085579852879,0.5075901292199803,0.5076873082427245,0.49808740435239507,0.4960545395977124,0.535016898403629,0.48566912397619444,0.5135320832035148,0.49040678946173305,0.5172210971288556,0.5267762994608353,0.4820434394588286,0.5110171518796834,0.49713135076333254,0.4990854927204845,0.5036940966483072,0.5166582746729895,0.5017576056018208,0.4907218918819013,0.5163340761589928,0.516246481699557,0.520592064615271,0.49686683793902847,0.5033389793364208,0.5246798940681323,0.5002688166364784,0.5157599528956999,0.5079270411423321,0.5250732308163514,0.5292375651512671,0.5187857968917499,0.5112544028262581,0.5354380383065687,0.49320804311205224,0.5111154002545322,0.519178816794901,0.5088909762524622,0.5400060596619264,0.5109126986222521,0.5099199042071745,0.5037055162726346,0.49691249003258225,0.5343353778641473,0.49215294903547085,0.541533582936837,0.5302935569555414,0.5102066621956307,0.5134023219462737,0.5149554040566731,0.5248619215597227,0.5024537934275772,0.5421184657305655,0.493930621491601,0.4963366901308042,0.5105054602966725,0.528452330659513,0.5259237881996335,0.5171767916268409,0.5114412622051362,0.5055557594512243,0.5024282477939662,0.49346221886601155,0.5019467753093201,0.5062645682721911,0.49920647472896545,0.512452763681106,0.5235862637101502,0.47598889986111614,0.5064472030501619,0.533398770641136,0.5099763686386752,0.5188583808160873,0.5094528085674908,0.5120787808857933,0.5163241879524944,0.5065342562326066,0.49419263916099426,0.4876326524684871,0.5151041100086076,0.5030865858359693,0.5198395707805479,0.4968266778266541,0.5139280207216675,0.5073077542549652,0.518413094678587,0.503509494790539,0.499076409828534,0.5351798755855033,0.5031276304741586,0.5074785469485179,0.5132417607080432,0.5015204074627575
global NDCG,0.45863374566779497,0.45911928460327955,0.45947737572582126,0.45656407834757895,0.4576451514542603,0.45760820716169276,0.45982463279205404,0.45989096767941023,0.4563750104467436,0.4585485282706325,0.45473779647541346,0.45671966684193843,0.45675050653796073,0.46426505744032465,0.45503727306295105,0.45854594164641094,0.4583202976461974,0.4734140685251079,0.4584934784991932,0.45593594804627335,0.4597701060475101,0.45463599640738356,0.4564897546768293,0.45892798582208694,0.46131239439958593,0.45796271959499507,0.45730921958210363,0.4638228663487055,0.4600021285256885,0.46018635066453867,0.4578388889118181,0.4596066962850455,0.4617530244271875,0.45437962966615847,0.4620716796786084,0.4583919828133292,0.46155966952540856,0.46746212164658446,0.45756558698796834,0.46075079009757236,0.4620179894528635,0.4548596841960372,0.46120724440489097,0.4613477689349228,0.45603747075902834,0.46324920181284457,0.4576934783884383,0.45872480599707716,0.45798582560352424,0.45935757038885333,0.4628054402665,0.45536020956245665,0.4654307829380862,0.45800200934707325,0.45766843043848887,0.4575979951708768,0.4596959303881594,0.4588934583538331,0.45711537888044257,0.46114192811384247,0.4581788323640687,0.4541879522733651,0.46050188086780636,0.46174149527749964,0.46158011998467535,0.45622454971111187,0.46103708120542347,0.4618019880096238,0.4561601278885957,0.45675542899076016,0.45844077582380033,0.4606733026660616,0.4574228025682919,0.4601278086216805,0.4628438375663326,0.4543138302857746,0.45777159368858267,0.46301316910200346,0.4621826803730428,0.45904260934886376,0.46053332170265354,0.45725791336094485,0.46244949130652746,0.4563650078522501,0.4576278988645338,0.45726638654503315,0.4555611951178212,0.4579048307413379,0.45993286721885523,0.4546863402774208,0.46053968333858936,0.45968981754764837,0.4608911782194174,0.45812182054090256,0.45527990658919176,0.46397655323415393,0.4553787384380417,0.4592704197237135,0.4614716210773797,0.45520146019744
