,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.4963325183374083,0.4841075794621027,0.45965770171149145,0.5843520782396088,0.49877750611246946,0.5256723716381418,0.4841075794621027,0.5794621026894865,0.48166259168704156,0.5794621026894865,0.4058679706601467,0.5134474327628362,0.4792176039119804,0.48166259168704156,0.511002444987775,0.45232273838630804,0.5012224938875306,0.5012224938875306,0.4229828850855746,0.508557457212714,0.4718826405867971,0.511002444987775,0.4938875305623472,0.4449877750611247,0.4449877750611247,0.4841075794621027,0.4938875305623472,0.45232273838630804,0.4621026894865526,0.4938875305623472,0.5599022004889975,0.5158924205378973,0.5036674816625917,0.5452322738386308,0.4792176039119804,0.508557457212714,0.4743276283618582,0.4963325183374083,0.4132029339853301,0.4889975550122249,0.4669926650366748,0.5134474327628362,0.4792176039119804,0.4743276283618582,0.4718826405867971,0.5183374083129584,0.4621026894865526,0.4963325183374083,0.4254278728606357,0.5525672371638142,0.4792176039119804,0.508557457212714,0.4572127139364303,0.5207823960880196,0.5232273838630807,0.5476772616136919,0.4669926650366748,0.5134474327628362,0.5207823960880196,0.4572127139364303,0.4352078239608802,0.46943765281173594,0.4938875305623472,0.511002444987775,0.41075794621026895,0.4572127139364303,0.4889975550122249,0.4841075794621027,0.45965770171149145,0.44987775061124696,0.4792176039119804,0.37163814180929094,0.4547677261613692,0.5036674816625917,0.4963325183374083,0.46454767726161367,0.46943765281173594,0.4889975550122249,0.530562347188264,0.4474327628361858,0.5207823960880196,0.4669926650366748,0.5256723716381418,0.5036674816625917,0.49144254278728605,0.41075794621026895,0.4767726161369193,0.5012224938875306,0.45232273838630804,0.4278728606356968,0.4254278728606357,0.49877750611246946,0.4841075794621027,0.5232273838630807,0.5134474327628362,0.49144254278728605,0.49877750611246946,0.4572127139364303,0.5158924205378973,0.4792176039119804
AUC,0.5171202961848178,0.5208666237605929,0.5004353226734383,0.5262540841924715,0.5278525311326379,0.4901298292187902,0.502905833586161,0.5527375995277647,0.4800818202458907,0.5339574350470875,0.4611933068848226,0.49919701996168486,0.46726315555841996,0.4953051404123959,0.49815154332798006,0.49013428960657507,0.49700699049461483,0.4800033370635487,0.4827116624385401,0.508832410633464,0.5066205998444235,0.5113384130624166,0.49074302930022706,0.506328574989569,0.4973399719404057,0.5019316364713925,0.504129216570338,0.5156659941969209,0.48631480102475044,0.5080339747094182,0.49496377710546935,0.5339415829095859,0.49774892497113904,0.5087349011572079,0.48927923771687515,0.5011494895757351,0.49015969239318474,0.5107335385155309,0.47124307446373515,0.5149890228301091,0.5317051411316656,0.48800094673536054,0.523921072964656,0.513950359953384,0.4988203924895271,0.5172253528582281,0.46270860085699816,0.49997854066532577,0.5138184022893418,0.49528787434873633,0.50225827511811,0.49481294916885193,0.49897044605751456,0.5221945107213254,0.5190870022760767,0.5169896042894323,0.5014640054641951,0.4856513702347542,0.5281399832789215,0.494976735323057,0.4785790766028888,0.511806312563178,0.5016181338476702,0.4962336698857552,0.4642273211029327,0.4740872256303453,0.5108393356998412,0.4978762996372265,0.4790084603591451,0.501981509975014,0.5087602770414702,0.47261646322507234,0.48806096465216303,0.523826016786572,0.5197405867095027,0.496422430880102,0.49075698123310363,0.5012684014706034,0.5274504637262655,0.4879902807384137,0.5049599376804318,0.47899692507521435,0.5004502150760276,0.49662002453457055,0.5196628337187799,0.48436072888503,0.4698913685021922,0.5134570850136871,0.4951415758254915,0.4776718184760871,0.48380277990695963,0.5046154711502052,0.4925264581271243,0.51259098892134,0.49278838020408533,0.5028785466660007,0.5062696878080083,0.46413083869800426,0.5120998965605242,0.4913626533189017
Fscore,0.0010811834007653633,0.0009799272724859986,0.0010531360774728134,0.0013628792958212679,0.0011519969692563475,0.0011353150676750852,0.00112484590259337,0.0012315239120742883,0.0010096116701565992,0.0010581137444417078,0.0009927635961324798,0.0012146579911760291,0.0010924100908248824,0.0010505847810157042,0.0011548852227236085,0.0010541569947144925,0.001050246778324524,0.0010865885679481198,0.0009987474664161897,0.0010382817550974705,0.001104215253786431,0.001239632459037337,0.001091113845062385,0.0011067290069466879,0.00098826182300118,0.0009821207363293618,0.0009480166458220789,0.0011285526368865783,0.0010515055739144885,0.001181129524340423,0.0011795644583126243,0.001231340188171099,0.0011617124568542286,0.0011538024714143236,0.0010813453129847829,0.0011633125144551281,0.0010650060399905981,0.0009730577720642995,0.0009921044336081992,0.0010695641174687084,0.0010950692180611025,0.001122290805358302,0.0011625500128783941,0.0010431953484467055,0.0010664622285440014,0.001090458538274833,0.001108230963876904,0.0010575506321646192,0.000949132887005024,0.001152675352210927,0.0011074790513175366,0.0010703301699812866,0.0010146631964805329,0.0010772348093019014,0.001142107193052599,0.0010624810768716357,0.0010523790959783039,0.0010991804161510307,0.0011543569620614646,0.0010102235457357292,0.0010934201107971608,0.0009916539112742563,0.0011179881373774403,0.0012067450376076,0.0010267646484356636,0.0010300754976865652,0.0010478195302880578,0.0009698414147440869,0.0009709047939464684,0.0010874393565251813,0.0010174436338378221,0.001011180995547055,0.0008907848246776156,0.0010676555003184774,0.0011794005242874803,0.0010623735751299124,0.0010201145772689645,0.0011677828801650069,0.0011815328884400755,0.0009843366640601506,0.001202155176918548,0.0010690924178405488,0.0010038438736602185,0.0011782630442167498,0.0010584192403773301,0.0009471783205110022,0.0010291088370174078,0.0010777738478266647,0.0010085147085281316,0.0010265582296818815,0.0009894826241642648,0.001029963708131012,0.0010507367959566008,0.001137956136165731,0.001053856924476563,0.001086999246862929,0.0011195897827001246,0.001058659628891062,0.0011492689805913002,0.0011232887618895322
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5360979977218183,0.450741424327191,0.4990255823784838,0.5389368129047031,0.48784583518445185,0.5146165815460249,0.5189995104430043,0.5693999046144294,0.49823974534440757,0.5024850807380586,0.5108431081527149,0.54726204189359,0.44668881167131724,0.4948737899091814,0.4943231047617055,0.46852327410167416,0.5255232471706348,0.4853208983343967,0.4871713751107957,0.5008863447082297,0.5029551355999587,0.5275691170961472,0.5101331864728046,0.508804810846569,0.5200772719300072,0.4951480502555667,0.46736193222632805,0.4980926655847667,0.47850616286944103,0.5209316597448104,0.5056683302347486,0.526191688300841,0.5043328060013536,0.5396424817370798,0.5056583686999844,0.5086202805230492,0.4704552585671855,0.469840496380669,0.46897296838271957,0.49624804074102363,0.5098252963471019,0.49250354003884833,0.5135262247241614,0.49901012949332035,0.4965828804169135,0.4954392098556263,0.49248885385783747,0.4986952611167524,0.5081050202372156,0.5065303095946088,0.5402683546878476,0.5171013608961865,0.46453907359175606,0.5045358601663257,0.5415069594179195,0.4901256123821759,0.5064043143847801,0.5063038782134136,0.5076861661365923,0.4801731670472357,0.49390330310494096,0.4755202733315008,0.5393765437412239,0.5117352226921955,0.4788748270896437,0.49424310086484996,0.5062485898019632,0.45913727113926006,0.4738041315768904,0.4873864468347257,0.4824025341456459,0.4182163884629645,0.4841996086827414,0.4823974862511108,0.4871048435254401,0.49707102467305564,0.4952075778076764,0.5145684074800265,0.5077745112592942,0.4587353851826971,0.5476658397578079,0.5140890690938285,0.47062327795994874,0.5055416325405161,0.4870833413395538,0.5095811702712948,0.4649580233192578,0.49302093159793076,0.4661285310509512,0.5073034381427636,0.48637151700499887,0.5241258205526117,0.4845885280295723,0.5182899383436574,0.5178287024961675,0.49881682510143793,0.4509671205371438,0.4576562938673804,0.5053540028814831,0.5125441949549292
NDCGk,0.2262626373446571,0.2193988070407983,0.23092855993834083,0.23148313170545382,0.24215850108245981,0.22020528155604288,0.22789089748662328,0.2450036387064313,0.2181030499223063,0.21015035927502126,0.2315765804751428,0.21543368150390246,0.2129198380387418,0.2268749760335958,0.22142569336406995,0.21471622639355217,0.2188999360562212,0.2077482956511464,0.2210403339472488,0.24252741693125054,0.22024151423476998,0.21319019474398554,0.21137209975467683,0.2275779224848007,0.20849043355039978,0.2405792729410472,0.21047653968732546,0.24472866571042784,0.21632834457581165,0.21356234742465832,0.22349988403069815,0.2276749144767092,0.22399670871419375,0.22388512035104072,0.21742752690866773,0.22188458858237828,0.21137674571502213,0.21833345636390797,0.21128319085019323,0.23031786584045905,0.21703067260493095,0.2296655443706116,0.22570031436877372,0.2288439501244389,0.22387350229607325,0.22705053637058675,0.20706832607890943,0.22450275232921632,0.23177023305959976,0.21989711575065188,0.22231078924470143,0.21105511145714567,0.22902660143269743,0.21717796757684205,0.24072147142506395,0.22077315586671598,0.22785106334286848,0.20992094087863802,0.22859595321758183,0.22470478622443654,0.2194080753123053,0.2200287454114716,0.21635158378198596,0.22519867889707085,0.2179458886894229,0.21979837568899657,0.2158788378166416,0.22323936114011164,0.2127009638608803,0.21677576674319868,0.2181277614111966,0.22631600260972198,0.21781034796304372,0.22177774896699803,0.21843664232169147,0.2200734558774912,0.21079749655632132,0.229999543081562,0.22640166010420565,0.2201644170739592,0.2193233719183763,0.22302030039843748,0.21721262390945567,0.23113275938001984,0.22903457677037342,0.2052244350815564,0.22190418048849536,0.2169875826825098,0.22478639102355882,0.21546937314391232,0.21861685876686615,0.21158024977421674,0.21523628412248963,0.22772618164916955,0.21942744687398347,0.22004477685804924,0.23788976625308364,0.2125257325102334,0.21124982582337087,0.21582935051234195
global AUC,0.4978011348334187,0.48161493290805685,0.4654023404289026,0.5748613406770979,0.49943993673660153,0.5211537385077654,0.4893862314975682,0.5732052311120734,0.48414994428807556,0.5650370180654496,0.41614226607592664,0.5121949310069864,0.47873515448837434,0.48320273595716257,0.5083602739653689,0.45858441544725326,0.5013958213416276,0.49622652046027027,0.43607595304356095,0.5054718747194601,0.4778388129927601,0.5146208684723316,0.49391550534147977,0.45695039262384674,0.4581690579668053,0.4868100434605819,0.49249248813151186,0.4625603457835843,0.4663813520835204,0.498914766036321,0.544149825471175,0.5188996498861999,0.5066670275179941,0.5399530541224185,0.48258496728574674,0.5085821843298991,0.47519083314410643,0.4953696261756272,0.42304251796775577,0.49115148098665556,0.4747981828935347,0.5088037778493613,0.48712836713894186,0.4780012092920097,0.4773269629872154,0.5201484023087444,0.46122273152133164,0.4954054560720717,0.4370927748762984,0.5436449328552494,0.4833054993742309,0.5077472975756071,0.46247627622553034,0.5176545807875712,0.5202979663827382,0.5404514910200827,0.47295454065386255,0.5104220904381439,0.5174266767705039,0.4633783473361251,0.4434920023024075,0.47494809021635237,0.4960388029593329,0.5121383873642187,0.42368717886432167,0.46218496358922095,0.4914217630315737,0.4817883923809323,0.4641283856215708,0.4589244298108963,0.4837399335681507,0.3862949721968453,0.4576160709099262,0.5030895562584821,0.5005824140425734,0.47328563054808903,0.4758986386223577,0.49238530208536857,0.5269901698817638,0.4534141376269361,0.5186967370238743,0.4711799574371459,0.5132568108487752,0.5041939329450221,0.4937961339620947,0.42342843526063145,0.4806042763522684,0.5021914589131158,0.46127466770873493,0.43902537136882347,0.43616064308987307,0.5050807690885952,0.4843773466337852,0.5235262083678783,0.5083401278997925,0.4950295590044728,0.4954455897806904,0.46090901529833606,0.5153491236593494,0.4858623598620668
global NDCG,0.4602039315807822,0.45641090720707045,0.45422750852909005,0.46749073243766825,0.4628407402803589,0.46321297219836893,0.463788736357282,0.4835387903347196,0.4683738306297782,0.4640029930107246,0.44846457127831557,0.4679860568142683,0.45180876395033553,0.4569655821065601,0.48676494589265695,0.45290090315680126,0.4621112867507038,0.461933653966509,0.45377640808672115,0.4593515719125953,0.4538142866265659,0.4840734012559423,0.46002635322589747,0.460675284837038,0.4531817095617931,0.45654711017814736,0.46228955216129863,0.4562919995845048,0.45454429293602866,0.4621423799380605,0.45853171122071135,0.4630628770442195,0.46152008114914933,0.47056333292041563,0.4636034327109909,0.4585223302338352,0.4531340728316582,0.47298447469388416,0.4575741186898963,0.45348883976653626,0.4606921267170388,0.4622403947832862,0.45989178474673637,0.4732217752490367,0.4532560415684405,0.465380113156148,0.45914386688554165,0.4504291230420597,0.4525474849532498,0.4644840270425752,0.46338497863306405,0.4559809572425518,0.45229955097122665,0.4581081296305743,0.46289305531517405,0.46462983076453207,0.45613786404925294,0.4658641796893251,0.4597247402149908,0.451603655083513,0.45139529736475575,0.45628078317238085,0.46158067620817067,0.4765582351851643,0.45641595735289475,0.45346499103962257,0.45882747466774504,0.4549126302096256,0.4551936376981001,0.45192861218213287,0.4542501471872976,0.44631619205040546,0.4571909921703011,0.4672017184795418,0.4580543265230897,0.45607659807267953,0.4682376660856481,0.4588530950571709,0.4604636567649852,0.4508714245753663,0.47005349677224023,0.4524911101543398,0.4530110824611834,0.45684142030194347,0.4700361617562655,0.45236421957910794,0.4596524960232965,0.46258369878493216,0.45738430371552025,0.4503009595506231,0.45987140636903046,0.4598718906105009,0.46320846467701676,0.46648992582632165,0.45692071703693404,0.4576035021364258,0.459348566486351,0.45882369489451574,0.4618823429103767,0.46078682626841316
prediction time (sec),0.01676630973815918,0.017019033432006836,0.01777815818786621,0.01806926727294922,0.016727685928344727,0.016561269760131836,0.016199588775634766,0.016509056091308594,0.018551349639892578,0.016037940979003906,0.016037702560424805,0.01823258399963379,0.016225814819335938,0.015932798385620117,0.016478776931762695,0.01655435562133789,0.016772747039794922,0.01596236228942871,0.017489910125732422,0.016423463821411133,0.016510963439941406,0.01641058921813965,0.016508817672729492,0.01640462875366211,0.017852067947387695,0.01652383804321289,0.01663494110107422,0.017449140548706055,0.01618170738220215,0.016521453857421875,0.017680883407592773,0.016492128372192383,0.01822066307067871,0.017518997192382812,0.016438961029052734,0.017099618911743164,0.016398906707763672,0.01653122901916504,0.016611337661743164,0.016177654266357422,0.01660633087158203,0.016678571701049805,0.016402006149291992,0.01695847511291504,0.016614198684692383,0.016741037368774414,0.016080856323242188,0.016220569610595703,0.015969038009643555,0.016843318939208984,0.016483068466186523,0.01665329933166504,0.016450166702270508,0.015934467315673828,0.016605615615844727,0.01690196990966797,0.016398191452026367,0.016101837158203125,0.016435623168945312,0.016607999801635742,0.019186735153198242,0.015916824340820312,0.01657271385192871,0.0166776180267334,0.016457319259643555,0.017375469207763672,0.01734137535095215,0.017188072204589844,0.015995025634765625,0.01617145538330078,0.018512487411499023,0.016442060470581055,0.017218589782714844,0.015911579132080078,0.01645827293395996,0.01644444465637207,0.01653766632080078,0.016627073287963867,0.016382217407226562,0.016772985458374023,0.01690840721130371,0.016193628311157227,0.018132448196411133,0.017328500747680664,0.016079425811767578,0.01657867431640625,0.01777935028076172,0.01622629165649414,0.0172116756439209,0.01630401611328125,0.016506195068359375,0.016446352005004883,0.016944169998168945,0.016802549362182617,0.01711273193359375,0.01760244369506836,0.01753520965576172,0.016465187072753906,0.0173187255859375,0.016060352325439453
training time (sec),130.86528992652893,130.9797818660736,137.09513592720032,133.00188183784485,131.63635158538818,132.8483657836914,130.5100133419037,130.9808168411255,130.71695351600647,130.52132654190063,131.88910269737244,130.09732842445374,130.37313675880432,146.70465517044067,135.07459092140198,132.41016912460327,130.64046621322632,129.5974018573761,131.84660077095032,130.97341108322144,133.46876430511475,135.8085057735443,130.58230805397034,131.5149462223053,131.41832613945007,130.64214062690735,131.28306794166565,130.99132800102234,133.20101475715637,133.15978598594666,131.83363103866577,131.48602652549744,133.468829870224,132.32745003700256,129.73412084579468,134.32627511024475,131.4092254638672,132.59464859962463,130.4558608531952,131.71969175338745,132.0853009223938,131.86221551895142,131.00404953956604,131.03257203102112,135.49683737754822,131.74424767494202,130.10745787620544,130.40897750854492,130.4150094985962,132.59747576713562,132.63744950294495,132.82473874092102,136.0208601951599,133.0759198665619,133.3774163722992,131.82071042060852,131.98716402053833,132.39262914657593,131.21462774276733,132.41756105422974,131.62863850593567,132.9248833656311,131.70829272270203,131.68564534187317,132.94435048103333,132.3732511997223,132.3951871395111,133.74265217781067,132.81394624710083,130.22711563110352,131.0246615409851,133.71742868423462,130.92879509925842,130.11927771568298,131.05648112297058,132.40714502334595,131.67579436302185,132.21503567695618,130.73311185836792,132.2050051689148,131.62878942489624,132.82660508155823,131.52010083198547,130.10523128509521,130.68724989891052,131.2133548259735,131.0007643699646,130.23374605178833,136.91318225860596,135.63483047485352,132.59284496307373,131.9825267791748,133.90518069267273,131.99054718017578,132.49329280853271,133.1013023853302,132.10076212882996,131.70417952537537,133.29765629768372,130.08795189857483
