,1_SimpleBinaryClassifier,2_SimpleBinaryClassifier,3_SimpleBinaryClassifier,4_SimpleBinaryClassifier,5_SimpleBinaryClassifier,6_SimpleBinaryClassifier,7_SimpleBinaryClassifier,8_SimpleBinaryClassifier,9_SimpleBinaryClassifier,10_SimpleBinaryClassifier,11_SimpleBinaryClassifier,12_SimpleBinaryClassifier,13_SimpleBinaryClassifier,14_SimpleBinaryClassifier,15_SimpleBinaryClassifier,16_SimpleBinaryClassifier,17_SimpleBinaryClassifier,18_SimpleBinaryClassifier,19_SimpleBinaryClassifier,20_SimpleBinaryClassifier,21_SimpleBinaryClassifier,22_SimpleBinaryClassifier,23_SimpleBinaryClassifier,24_SimpleBinaryClassifier,25_SimpleBinaryClassifier,26_SimpleBinaryClassifier,27_SimpleBinaryClassifier,28_SimpleBinaryClassifier,29_SimpleBinaryClassifier,30_SimpleBinaryClassifier,31_SimpleBinaryClassifier,32_SimpleBinaryClassifier,33_SimpleBinaryClassifier,34_SimpleBinaryClassifier,35_SimpleBinaryClassifier,36_SimpleBinaryClassifier,37_SimpleBinaryClassifier,38_SimpleBinaryClassifier,39_SimpleBinaryClassifier,40_SimpleBinaryClassifier,41_SimpleBinaryClassifier,42_SimpleBinaryClassifier,43_SimpleBinaryClassifier,44_SimpleBinaryClassifier,45_SimpleBinaryClassifier,46_SimpleBinaryClassifier,47_SimpleBinaryClassifier,48_SimpleBinaryClassifier,49_SimpleBinaryClassifier,50_SimpleBinaryClassifier,51_SimpleBinaryClassifier,52_SimpleBinaryClassifier,53_SimpleBinaryClassifier,54_SimpleBinaryClassifier,55_SimpleBinaryClassifier,56_SimpleBinaryClassifier,57_SimpleBinaryClassifier,58_SimpleBinaryClassifier,59_SimpleBinaryClassifier,60_SimpleBinaryClassifier,61_SimpleBinaryClassifier,62_SimpleBinaryClassifier,63_SimpleBinaryClassifier,64_SimpleBinaryClassifier,65_SimpleBinaryClassifier,66_SimpleBinaryClassifier,67_SimpleBinaryClassifier,68_SimpleBinaryClassifier,69_SimpleBinaryClassifier,70_SimpleBinaryClassifier,71_SimpleBinaryClassifier,72_SimpleBinaryClassifier,73_SimpleBinaryClassifier,74_SimpleBinaryClassifier,75_SimpleBinaryClassifier,76_SimpleBinaryClassifier,77_SimpleBinaryClassifier,78_SimpleBinaryClassifier,79_SimpleBinaryClassifier,80_SimpleBinaryClassifier,81_SimpleBinaryClassifier,82_SimpleBinaryClassifier,83_SimpleBinaryClassifier,84_SimpleBinaryClassifier,85_SimpleBinaryClassifier,86_SimpleBinaryClassifier,87_SimpleBinaryClassifier,88_SimpleBinaryClassifier,89_SimpleBinaryClassifier,90_SimpleBinaryClassifier,91_SimpleBinaryClassifier,92_SimpleBinaryClassifier,93_SimpleBinaryClassifier,94_SimpleBinaryClassifier,95_SimpleBinaryClassifier,96_SimpleBinaryClassifier,97_SimpleBinaryClassifier,98_SimpleBinaryClassifier,99_SimpleBinaryClassifier,100_SimpleBinaryClassifier
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902,0.0011326870492737902
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4786360808494839,0.46669511135524766,0.47339579064115356,0.4817039841485665,0.5043142961293504,0.48351362020740246,0.4711423557616467,0.469535069114419,0.46255309303009373,0.47721962442081184,0.4296432421972459,0.471499785093756,0.4783481940909897,0.4818398578359756,0.4677053705649154,0.47413617515182394,0.4514825162978781,0.4403623852134106,0.48159846138621654,0.4254841177954692,0.44006399723398115,0.4773741920054962,0.4452401145715206,0.44021593818554333,0.48197225653703385,0.472816947984523,0.4509435969068814,0.46644030275723364,0.4757832210021048,0.46975809664477985,0.46298745884351994,0.47873185046763445,0.46360969372794936,0.4675258856525581,0.4534068338510293,0.46383199035070133,0.47439024789597783,0.4762675245702729,0.43291530604704254,0.4774528005407008,0.4835157738432586,0.46506972385401796,0.479850948621613,0.4673654607757194,0.463216434453807,0.4773238513752117,0.4448451981085883,0.4667308902470178,0.467075610252494,0.47492825480330714,0.4397938423483073,0.47443785021406715,0.47522434135553954,0.4746377136752907,0.4693314109602638,0.4649660975346132,0.4251857993925008,0.46556732489789115,0.4273453405258617,0.4355345596174096,0.46654576093409256,0.4727852743668495,0.4652271415268252,0.4788143223407569,0.4663685166801451,0.46287795979259655,0.468965383963371,0.4235391095391457,0.4654559076423852,0.47739577668955474,0.4697756356612308,0.4737129788995241,0.48124875182067667,0.4858593520061678,0.4640747045266961,0.45396232026374883,0.4755712043776029,0.412724943398783,0.46821216889048717,0.4757054308917109,0.4742806927781411,0.44910873511016397,0.43883881998507157,0.4313342051941066,0.4793504152614499,0.47231728381757876,0.4636248178748816,0.4716273301023866,0.44791221136386883,0.46552415591611934,0.4281485992275787,0.48101391824871087,0.4573331478565658,0.47570186849820434,0.4759679074083118,0.4767787210904947,0.46641621393117116,0.45281916303856784,0.45278883123982583,0.4741937162251337
NDCGk,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097,0.22372748513658097
global AUC,0.9028375720162438,0.8978714612366464,0.9001694064963801,0.9009113124250794,0.903293802510469,0.8989960235943961,0.8980048398084143,0.8993617816198175,0.8986420416440035,0.9005387092260003,0.8968057462493466,0.8993251134041308,0.9009445151478346,0.8985754051656308,0.8975148257088089,0.8999812269297186,0.8964331298483897,0.8967318619400425,0.9000328990795652,0.8985211322458507,0.8978562328705635,0.9008741095333402,0.8952439905052095,0.8980631723056287,0.9004538409543373,0.8994863677409475,0.8988123854737099,0.8988324919336528,0.9011251498413134,0.8983674293831555,0.8981158411972519,0.8977220489842477,0.8975306283565775,0.8982304070931049,0.8979543624285119,0.8985598467526023,0.9012187049485919,0.8989832903832241,0.8949512652679718,0.8990838424857551,0.9019771198255242,0.897829050204101,0.8997861823865828,0.8983230116651792,0.8985091515417152,0.8997973049686588,0.8955046681840027,0.8994887242761411,0.8980197777331849,0.9010260367434665,0.8962518746666527,0.8989201854071724,0.8999173364419355,0.9002481755004834,0.9005311577518786,0.8989952446836039,0.8978887424947324,0.899847815353256,0.8969998534591561,0.8956272278168848,0.8988690941399505,0.8980583734230357,0.9005162396299251,0.9007452262009747,0.8977563870684966,0.8995712426135494,0.9000102248543834,0.8944993121821647,0.8997148790443953,0.8991380890017796,0.9001972426557956,0.8998238011374738,0.9004070534992898,0.9005993652537136,0.899524838012959,0.8987198601129026,0.8994062389434274,0.8946529820401655,0.8990336093405926,0.8990128295848803,0.9008466100218097,0.8979431210295353,0.8993077991413498,0.8963458588349607,0.9005786779111461,0.8995196694777866,0.8976559207781716,0.8987913152766851,0.8973244744332435,0.8962562378872772,0.8975525302719058,0.9016537398279533,0.8978302317721674,0.8988484662058333,0.8996402554299324,0.8999937621127231,0.8984274913263662,0.9007869177311782,0.8966774437996062,0.9007397738254289
global NDCG,0.4949393297311834,0.4962900098920564,0.49209722360654135,0.4930585945077295,0.4929345820732502,0.49054787488474116,0.48807945550223436,0.49105168793586224,0.491893989876654,0.49233405138183717,0.49812503114051465,0.4915458036561743,0.49082972422091903,0.4891900357471335,0.4902531450358202,0.49490725022359994,0.4876397863445948,0.5090753605686454,0.49357170696114067,0.4948354315777079,0.4902820805934645,0.49421299790065015,0.4913204365002695,0.5015580541238845,0.4918593111293474,0.49175714497151,0.49334419482150305,0.49007883905000116,0.4912237857712609,0.49041990643055156,0.49005005682140296,0.491107959266786,0.4919336925997484,0.4902029632593797,0.4889001369107724,0.4911647096958193,0.4935256518976746,0.49020745996659576,0.488833756936393,0.4900422583358152,0.4947966582803886,0.48929434783163966,0.4895536739037694,0.4901373287738248,0.4915956711091347,0.4920309261295929,0.4889192462203147,0.49244840045441424,0.4902238636693375,0.49770995242966265,0.4903329039834245,0.49067927825147634,0.4924807187520986,0.49206499894644024,0.4946722975255211,0.49220173991291033,0.4927611098517061,0.4946393147724649,0.49479406725080427,0.4892829089088797,0.4899115635085883,0.49007818986988466,0.4925769051180123,0.49509786965487135,0.4927586187110413,0.49176757970916396,0.49375828600421745,0.48804559486412974,0.49201074039540477,0.49412569589329625,0.49343518600770564,0.4915131105202968,0.49144387446614063,0.49099996781609767,0.49525323575374597,0.48967687696486956,0.49118645228895264,0.49728034686404843,0.49089096906812985,0.49117764077193105,0.49363655645191046,0.48986930739622864,0.5002260967903672,0.49366142237318805,0.4934098589043003,0.49040647062682663,0.48851080949817527,0.4887456451237228,0.4958388444394399,0.4878242602905203,0.48981943078548507,0.4912971639212544,0.49078631880314466,0.4880292893966651,0.4926819350841198,0.4934489344498051,0.4909718408341014,0.49111823606486055,0.4892938514095816,0.4914441722335943
